item,item_en,item_id,2025,2024,2023,2022
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,8326182949311.0,7083824823724.0,6310809485147.0,6914471346281.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-210176534575.0,-175251773730.0,-157353302353.0,-156556735521.0
Doanh thu thuần,Net sales,net_sales,8116006414736.0,6908573049994.0,6153456182794.0,6757914610760.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-5984867444344.0,-5446333780951.0,-5609733698076.0,-6308051231498.0
Lợi nhuận gộp,Gross Profit,gross_profit,2131138970392.0,1462239269043.0,543722484718.0,449863379262.0
Doanh thu hoạt động tài chính,Financial income,financial_income,49803985954.0,85587296965.0,44198794858.0,40197118841.0
Chi phí tài chính,Financial expenses,financial_expenses,-71761791446.0,-51309959808.0,-70775838243.0,-119116231858.0
Chi phí lãi vay,Interest expenses,interest_expenses,-60212004153.0,-42488833031.0,-65259285995.0,-88046372244.0
Chi phí bán hàng,Selling expenses,selling_expenses,-193691543287.0,-187661851992.0,-174357362428.0,-179078784002.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-168126653034.0,-157423087036.0,-127428110462.0,-131753421296.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,1747362968579.0,1151431667172.0,215359968443.0,59039393363.0
Thu nhập khác,Other incomes,other_incomes,6499571223.0,4074593260.0,2580937801.0,5435913098.0
Chi phí khác,Other expenses,other_expenses,-1986862966.0,-11469004035.0,-2742185089.0,-2803299749.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,4512708257.0,-7394410775.0,-161247288.0,2632613349.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,1751875676836.0,1144037256397.0,215198721155.0,61672006712.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-145359449658.0,-122257827532.0,-33512896461.0,-35805597826.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-6265236409.0,9074956298.0,-549981097.0,-3415404852.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-151624686067.0,-113182871234.0,-34062877558.0,-39221002678.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,1600250990769.0,1030854385163.0,181135843597.0,22451004034.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,3409184303.0,-8896351937.0,-39485675290.0,-42901765643.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,1596841806466.0,1039750737100.0,220621518887.0,65352769677.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,5848.0,0.0,0.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,-1072667584.0
