item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,305399465481.0,308584764782.0,355314754637.0,426074617781.0,445487535140.0,456428261314.0,472815968612.0,454367336421.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,-38865741.0,-192790909.0,-942577787.0,-48837542.0,-418757803.0,-2640615951.0,-1357241733.0
Doanh thu thuần,Net sales,net_sales,305399465481.0,308545899041.0,355121963728.0,425132039994.0,445438697598.0,456009503511.0,470175352661.0,453010094688.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-226268738766.0,-229264226298.0,-260347676786.0,-312061880423.0,-338987943179.0,-363894687191.0,-376654615774.0,-358699143828.0
Lợi nhuận gộp,Gross Profit,gross_profit,79130726715.0,79281672743.0,94774286942.0,113070159571.0,106450754419.0,92114816320.0,93520736887.0,94310950860.0
Doanh thu hoạt động tài chính,Financial income,financial_income,33547130819.0,11961215271.0,17166777522.0,8727178555.0,7481785852.0,8423312454.0,9787754593.0,9153139462.0
Chi phí tài chính,Financial expenses,financial_expenses,-1449926940.0,-2139789008.0,-2231472275.0,-1696840961.0,-801426630.0,-1971723369.0,-2317776070.0,-2184487751.0
Chi phí lãi vay,Interest expenses,interest_expenses,-1449926940.0,-2025131250.0,-2231211925.0,-1549368062.0,-745248885.0,-1632872470.0,-2292509981.0,-2180346869.0
Chi phí bán hàng,Selling expenses,selling_expenses,-4607568033.0,-5862088391.0,-6351421760.0,-8445270914.0,-9788816461.0,-9031573583.0,-9316253477.0,-9431054068.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-46951048037.0,-31193412473.0,-55220870740.0,-49462002948.0,-52568918362.0,-43528218028.0,-46396840858.0,-35927585948.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,91451039090.0,82609607110.0,72823348529.0,78867728552.0,70325797575.0,76787220928.0,78422187000.0,81313556945.0
Thu nhập khác,Other incomes,other_incomes,8407252397.0,5231821783.0,9810622267.0,4145179854.0,6477947182.0,5058350860.0,6206893248.0,3909732555.0
Chi phí khác,Other expenses,other_expenses,-12139148001.0,-4625498779.0,-3959586024.0,-2721141995.0,-2943995469.0,-2666442971.0,-3163956376.0,-2446233218.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-3731895604.0,606323004.0,5851036243.0,1424037859.0,3533951713.0,2391907889.0,3042936872.0,1463499337.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,87719143486.0,83215930114.0,78674384772.0,80291766411.0,73859749288.0,79179128817.0,81465123872.0,82777056282.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-13502360077.0,-11567620530.0,-12255723508.0,-14226002219.0,-12430243681.0,-6981265872.0,-10030470246.0,-11209335849.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,444525862.0,-445401646.0,820132030.0,717582459.0,1712990919.0,56226795.0,213497543.0,56920136.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-13057834215.0,-12013022176.0,-11435591478.0,-13508419760.0,-10717252762.0,-6925039077.0,-9816972703.0,-11152415713.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,74661309271.0,71202907938.0,67238793294.0,66783346651.0,63142496526.0,72254089740.0,71648151169.0,71624640569.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,2670134329.0,3334883164.0,4468838167.0,8593727118.0,9286593913.0,4701212858.0,4910904990.0,5550218906.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,71991174942.0,67868024774.0,62769955127.0,58189619533.0,53855902613.0,67552876882.0,66737246179.0,66074421663.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2190.0,2374.0,2196.0,2422.0,2517.0,3393.0,4194.0,4150.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,2190.0,2374.0,2196.0,2422.0,2517.0,3393.0,4194.0,4150.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,31781724566.0,30562008968.0,24686048840.0,16674505249.0,19552418757.0,30780607134.0,33144565925.0,25392594390.0
