item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,36380231520433.0,30248751019243.0,10995242821798.0,1073192908035.0,873627989784.0,761665090488.0,1108269404228.0,1147081921292.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-62793992370.0,-19865959759.0,-13492599834.0,-31553283.0,-3232902029.0,-11140015001.0,-1047161151.0,-10781858131.0
Doanh thu thuần,Net sales,net_sales,36317437528063.0,30228885059484.0,10981750221964.0,1073161354752.0,870395087755.0,750525075487.0,1107222243077.0,1136300063161.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-32943734827517.0,-27554726149903.0,-9949960088056.0,-683110742799.0,-590367689340.0,-665347885882.0,-764741055727.0,-824462250808.0
Lợi nhuận gộp,Gross Profit,gross_profit,3373702700546.0,2674158909581.0,1031790133908.0,390050611953.0,280027398415.0,85177189605.0,342481187350.0,311837812353.0
Doanh thu hoạt động tài chính,Financial income,financial_income,1269229335104.0,874739630652.0,376200206685.0,368051525761.0,241366117006.0,60297693779.0,104740431744.0,99074434595.0
Chi phí tài chính,Financial expenses,financial_expenses,-1144856298192.0,-706004285205.0,-405905966955.0,-310849818159.0,-308472569866.0,-237596645345.0,-257193036441.0,-142135319720.0
Chi phí lãi vay,Interest expenses,interest_expenses,-932240531785.0,-623497739767.0,-385698233569.0,-310148255529.0,-308472569866.0,-197290779043.0,-255849396630.0,-139511428686.0
Chi phí bán hàng,Selling expenses,selling_expenses,-1377370990474.0,-1128818122835.0,-378473665460.0,-25096674652.0,-63163220097.0,-28257825444.0,-15021305630.0,-33609432018.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-1567253558240.0,-1393438088958.0,-538226514225.0,-242564882403.0,-102738547163.0,-121014253343.0,-112326415006.0,-147091331858.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,517341134651.0,295490109664.0,66756005950.0,191691002180.0,53183793171.0,-252358356743.0,75540219852.0,90342179337.0
Thu nhập khác,Other incomes,other_incomes,332568984884.0,162168008767.0,66535447634.0,2948243119.0,4554994371.0,13033880048.0,4995398468.0,11482512248.0
Chi phí khác,Other expenses,other_expenses,-61911637148.0,-31835557627.0,-77445543396.0,-3656697661.0,-7558278053.0,-7699020138.0,-7651605240.0,-7736984462.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,270657347736.0,130332451140.0,-10910095762.0,-708454542.0,-3003283682.0,5334859910.0,-2656206772.0,3745527786.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,787998482387.0,425822560804.0,55845910188.0,190982547638.0,50180509489.0,-247023496833.0,72884013080.0,94087707123.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-385255634208.0,-114171611453.0,-29612771480.0,-47137025330.0,-6027496979.0,3580733940.0,-28221795011.0,-28407368914.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,227520641777.0,-6903859260.0,30115525855.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-157734992431.0,-121075470713.0,502754375.0,-47137025330.0,-6027496979.0,3580733940.0,-28221795011.0,-28407368914.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,630263489956.0,304747090091.0,56348664563.0,143845522308.0,44153012510.0,-243442762893.0,44662218069.0,65680338209.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,138082419382.0,148492184105.0,9152820784.0,-719718933.0,-17430783747.0,-8381136308.0,-8925459503.0,-11555542601.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,492181070574.0,156254905986.0,47195843779.0,144565241241.0,61583796257.0,-235061626585.0,53587677572.0,77235880810.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,516.0,175.0,88.0,415.0,224.0,-875.03,212.43,306.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,516.0,145.0,72.0,143.0,224.0,0.0,212.43,306.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,-36110054093.0,-25147933571.0,-18628188003.0,12100239680.0,6164614876.0,-10964515995.0,12859357835.0,2266015985.0
