item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,700777051426.0,393590487971.0,250811433577.0,443648799594.0,308345518644.0,405245025996.0,526343793843.0,490455472531.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,700777051426.0,393590487971.0,250811433577.0,443648799594.0,308345518644.0,405245025996.0,526343793843.0,490455472531.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-615821562559.0,-329528956750.0,-207672254004.0,-366729864757.0,-258633971167.0,-336073079657.0,-435605184146.0,-403323476876.0
Lợi nhuận gộp,Gross Profit,gross_profit,84955488867.0,64061531221.0,43139179573.0,76918934837.0,49711547477.0,69171946339.0,90738609697.0,87131995655.0
Doanh thu hoạt động tài chính,Financial income,financial_income,2991756474.0,1888566318.0,3288559128.0,1651954807.0,1402519399.0,1506562227.0,4324456859.0,9960209344.0
Chi phí tài chính,Financial expenses,financial_expenses,-3970974973.0,-756303993.0,-869346884.0,-1174551362.0,-1478524796.0,-885136057.0,-2227455.0,-28524227.0
Chi phí lãi vay,Interest expenses,interest_expenses,-3738000356.0,-639077433.0,-747993224.0,-1169216033.0,-1473446314.0,-884543038.0,-2227455.0,-28480239.0
Chi phí bán hàng,Selling expenses,selling_expenses,801822760.0,2087898264.0,-1683515378.0,-5163725644.0,-7191941879.0,-6748257983.0,-5522490269.0,-8614549615.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-31687789679.0,-29049298074.0,-30405393289.0,-35628508741.0,-27243661474.0,-34131319274.0,-30802419235.0,-24192394914.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,53067168869.0,38194625875.0,13441001367.0,36582202908.0,15211271365.0,28913795252.0,58735929597.0,64256736243.0
Thu nhập khác,Other incomes,other_incomes,203853353.0,804443599.0,1382200136.0,1100248439.0,124697236.0,206966609.0,152972517.0,597766554.0
Chi phí khác,Other expenses,other_expenses,-422945834.0,-637322136.0,-679082206.0,-9185500559.0,-1470909062.0,-542963850.0,-974016147.0,-830657035.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-219092481.0,167121463.0,703117930.0,-8085252120.0,-1346211826.0,-335997241.0,-821043630.0,-232890481.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,52848076388.0,38361747338.0,14144119297.0,28496950788.0,13865059539.0,28577798011.0,57914885967.0,64023845762.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-10906349337.0,-7861464758.0,-3051601641.0,-6026414395.0,-2382579645.0,-4796195024.0,-11732191165.0,-13026187734.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,209074202.0,62136986.0,0.0,0.0,0.0,-46322043.0,46322043.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-10697275135.0,-7799327772.0,-3051601641.0,-6026414395.0,-2382579645.0,-4842517067.0,-11685869122.0,-13026187734.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,42150801253.0,30562419566.0,11092517656.0,22470536393.0,11482479894.0,23735280944.0,46229016845.0,50997658028.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,261070252.0,355991832.0,153407787.0,303508470.0,949575262.0,1332416856.0,549510327.0,40803614.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,41889731001.0,30206427734.0,10939109869.0,22167027923.0,10532904632.0,22402864088.0,45679506518.0,50956854414.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,963.0,743.0,269.0,600.0,324.0,1104.0,2290.0,2550.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,963.0,743.0,269.0,600.0,324.0,635.0,2290.0,2550.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,-23134580.0,-37767861.0,-28481783.0,-21900989.0,11332638.0,0.0,0.0,0.0
