item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1813678801800.0,1611696910235.0,1357690315145.0,1470522794027.0,880045877073.0,753458302949.0,1026319830220.0,1009384606638.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-210308939181.0,-160764875610.0,-98946067238.0,-94328321693.0,-61271873720.0,-44092395071.0,-51263993179.0,-18239664956.0
Doanh thu thuần,Net sales,net_sales,1603369862619.0,1450932034625.0,1258744247907.0,1376194472334.0,818774003353.0,709365907878.0,975055837041.0,991144941682.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1296527607558.0,-1159033086662.0,-1027412805019.0,-1010790542295.0,-637398855865.0,-580599126342.0,-825236371720.0,-765296348490.0
Lợi nhuận gộp,Gross Profit,gross_profit,306842255061.0,291898947963.0,231331442888.0,365403930039.0,181375147488.0,128766781536.0,149819465321.0,225848593192.0
Doanh thu hoạt động tài chính,Financial income,financial_income,985083228.0,2746129587.0,9680967530.0,7424053147.0,4296100645.0,4900064428.0,3385191695.0,2704630590.0
Chi phí tài chính,Financial expenses,financial_expenses,-9196697826.0,-21811523407.0,-17362209058.0,-17723969223.0,-13843664176.0,-15728273417.0,-11768360189.0,-12279723768.0
Chi phí lãi vay,Interest expenses,interest_expenses,-9105682791.0,-9196643837.0,-5164930878.0,-4387497575.0,-6301131745.0,-9702112623.0,-5750088846.0,-8801648344.0
Chi phí bán hàng,Selling expenses,selling_expenses,-105269984989.0,-102652820221.0,-87435648349.0,-89745412259.0,-50145635627.0,-47919443543.0,-54296710876.0,-59168010616.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-69022797091.0,-63695416042.0,-52191474327.0,-47410629983.0,-43403026942.0,-32190252768.0,-33186696746.0,-43721007452.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,124337858383.0,106485317880.0,84023078684.0,217947971721.0,78278921388.0,37828876236.0,53952889205.0,113384481946.0
Thu nhập khác,Other incomes,other_incomes,1721364129.0,2217618350.0,4492642117.0,4243211995.0,8188896558.0,1643881434.0,2347574708.0,1742990083.0
Chi phí khác,Other expenses,other_expenses,-2216240202.0,-2683970296.0,-2713768660.0,-836207002.0,-953237443.0,-2457041959.0,-1168781444.0,-815948150.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-494876073.0,-466351946.0,1778873457.0,3407004993.0,7235659115.0,-813160525.0,1178793264.0,927041933.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,123842982310.0,106018965934.0,85801952141.0,221354976714.0,85514580503.0,37015715711.0,55131682469.0,114311523879.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-25004747776.0,-21275301120.0,-18144850551.0,-44346303042.0,-17127591540.0,-7465959901.0,-11038336494.0,-22900518138.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-25004747776.0,-21275301120.0,-18144850551.0,-44346303042.0,-17127591540.0,-7465959901.0,-11038336494.0,-22900518138.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,98838234534.0,84743664814.0,67657101590.0,177008673672.0,68386988963.0,29549755810.0,44093345975.0,91411005741.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,98838234534.0,84743664814.0,67657101590.0,177008673672.0,68386988963.0,29549755810.0,44093345975.0,91411005741.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,3238.0,6941.0,5542.0,14498.0,5601.0,2420.0,3612.0,7654.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,2776.0,5542.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
