item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,2113215248917.0,1572511299308.0,1495874871666.0,1293296167260.0,2094061386593.0,1582947801318.0,2261186738758.0,2367476184403.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,-917490489.0,-29415585.0
Doanh thu thuần,Net sales,net_sales,2113215248917.0,1572511299308.0,1495874871666.0,1293296167260.0,2094061386593.0,1582947801318.0,2260269248269.0,2367446768818.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1994227918028.0,-1444342644025.0,-1381470861374.0,-1212348855350.0,-1931064589076.0,-1431084099723.0,-2041958907191.0,-2189457530493.0
Lợi nhuận gộp,Gross Profit,gross_profit,118987330889.0,128168655283.0,114404010292.0,80947311910.0,162996797517.0,151863701595.0,218310341078.0,177989238325.0
Doanh thu hoạt động tài chính,Financial income,financial_income,14546747268.0,24844261981.0,14189646683.0,72985742955.0,19400683573.0,28164855011.0,28215107276.0,56063047008.0
Chi phí tài chính,Financial expenses,financial_expenses,-19459848408.0,-22042833817.0,-34032754161.0,-33561026002.0,-41780129451.0,-46273221791.0,-41489689249.0,-64985148770.0
Chi phí lãi vay,Interest expenses,interest_expenses,-10790739932.0,-12018315906.0,-27846094698.0,-16864364163.0,-29222938200.0,-34736290464.0,-31866208572.0,-48793573924.0
Chi phí bán hàng,Selling expenses,selling_expenses,-63542411904.0,-54814320072.0,-41994295197.0,-32100371899.0,-16454597686.0,-15311382001.0,-45842733079.0,-7396990537.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-55513616089.0,-51618641577.0,-42568905074.0,-47153114372.0,-44128991814.0,-37385022513.0,-52292811093.0,-65786459725.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,-4981798244.0,24537121798.0,9997702543.0,41118542592.0,80033762139.0,81058930301.0,104605895056.0,101218028991.0
Thu nhập khác,Other incomes,other_incomes,46828718457.0,28210435720.0,16624122216.0,16122144288.0,8379991866.0,5155984942.0,6535436267.0,7363027355.0
Chi phí khác,Other expenses,other_expenses,-1750106101.0,-15564851996.0,-6587725961.0,-34308205436.0,-17365874939.0,-4376370429.0,-1852065750.0,-65226209.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,45078612356.0,12645583724.0,10036396255.0,-18186061148.0,-8985883073.0,779614513.0,4683370517.0,7297801146.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,40096814112.0,37182705522.0,20034098798.0,22932481444.0,71047879066.0,81838544814.0,109289265573.0,108515830137.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-8295452546.0,-6078448106.0,-5110075606.0,-4041955942.0,-13356036775.0,-13815630027.0,-19524366972.0,-15563800508.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-8295452546.0,-6078448106.0,-5110075606.0,-4041955942.0,-13356036775.0,-13815630027.0,-19524366972.0,-15563800508.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,31801361566.0,31104257416.0,14924023192.0,18890525502.0,57691842291.0,68022914787.0,89764898601.0,92952029629.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,31801361566.0,31104257416.0,14924023192.0,18890525502.0,57691842291.0,68022914787.0,89764898601.0,92952029629.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,988.0,874.0,464.0,531.0,1619.0,2113.5,2789.03,2888.05
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,-2294319877.0,5334342690.0
