item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,8588311505194.0,8846468727140.0,7237031762979.0,7485474353550.0,4318462878079.0,4542065507806.0,4931143507862.0,5119283778761.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-161733648.0,-58216914.0,0.0,-84601832.0,-17226386838.0,-209359182.0,-2397982667.0,0.0
Doanh thu thuần,Net sales,net_sales,8588149771546.0,8846410510226.0,7237031762979.0,7485389751718.0,4301236491241.0,4541856148624.0,4928745525195.0,5119283778761.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-5528143612263.0,-5509150910457.0,-4813899911209.0,-4425566349653.0,-3563801771641.0,-3766979575324.0,-4090630896335.0,-4205083562993.0
Lợi nhuận gộp,Gross Profit,gross_profit,3060006159283.0,3337259599769.0,2423131851770.0,3059823402065.0,737434719600.0,774876573300.0,838114628860.0,914200215768.0
Doanh thu hoạt động tài chính,Financial income,financial_income,321804692647.0,168019715116.0,221222894088.0,143805776814.0,605210793205.0,149832703472.0,129074878007.0,165978521422.0
Chi phí tài chính,Financial expenses,financial_expenses,-145565294159.0,-136128794388.0,-188679474210.0,-185623983190.0,-294361221510.0,-230292982822.0,-206341146473.0,-251086036505.0
Chi phí lãi vay,Interest expenses,interest_expenses,-142471672836.0,-130327583405.0,-184925818782.0,-178612836703.0,-173228238197.0,-232262186049.0,-202144603821.0,-239521110918.0
Chi phí bán hàng,Selling expenses,selling_expenses,-94936681163.0,-122640065753.0,-114958202090.0,-85871441181.0,-71383708291.0,-65378646368.0,-81329733807.0,-70877547866.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-301202858982.0,-275142930631.0,-247396870177.0,-247956770707.0,-188898557141.0,-184484153907.0,-197473455309.0,-209747704829.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,2840164587311.0,2973250742495.0,2094794898592.0,2560717684566.0,716668991312.0,468231459190.0,561573014312.0,549716659096.0
Thu nhập khác,Other incomes,other_incomes,97965221714.0,31611016484.0,15524792874.0,122373835435.0,57341033465.0,68952377903.0,28932291430.0,16418354982.0
Chi phí khác,Other expenses,other_expenses,-20384408522.0,-11595270290.0,-53542476413.0,-65473518121.0,-17840850035.0,-15416774970.0,-16044513804.0,-11279209576.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,77580813192.0,20015746194.0,-38017683539.0,56900317314.0,39500183430.0,53535602933.0,12887777626.0,5139145406.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,2917745400503.0,2993266488689.0,2056777215053.0,2617618001880.0,756169174742.0,521767062123.0,574460791938.0,554855804502.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-619569014188.0,-639981783431.0,-507679994386.0,-563832937604.0,-166809809492.0,-97330713384.0,-70825889148.0,-76036488209.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,55904688735.0,39068820814.0,106948154866.0,906131021.0,-11332085410.0,5217365901.0,-26597261775.0,-3502809728.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-563664325453.0,-600912962617.0,-400731839520.0,-562926806583.0,-178141894902.0,-92113347483.0,-97423150923.0,-79539297937.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,2354081075050.0,2392353526072.0,1656045375533.0,2054691195297.0,578027279840.0,429653714640.0,477037641015.0,475316506565.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,422289614598.0,396298410415.0,262398182292.0,287184162360.0,123719209701.0,125227643687.0,132340992878.0,125857725585.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,1931791460452.0,1996055115657.0,1393647193241.0,1767507032937.0,454308070139.0,304426070953.0,344696648137.0,349458780980.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,5090.0,5976.0,4154.0,5605.0,1514.0,1015.0,1149.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,5090.0,5976.0,4154.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,58569685.0,1883218382.0,1474699211.0,-123459299235.0,-71333034551.0,23677965515.0,79527843034.0,1249211106.0
