item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1058639824373.0,717532138019.0,862043543600.0,816873483814.0,893402743536.0,410720724219.0,378184672461.0,245133486254.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,1058639824373.0,717532138019.0,862043543600.0,816873483814.0,893402743536.0,410720724219.0,378184672461.0,245133486254.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-780700465148.0,-466325773201.0,-578888003072.0,-558613138599.0,-593597103119.0,-295778286817.0,-334497157827.0,-184204343509.0
Lợi nhuận gộp,Gross Profit,gross_profit,277939359225.0,251206364818.0,283155540528.0,258260345215.0,299805640417.0,114942437402.0,43687514634.0,60929142745.0
Doanh thu hoạt động tài chính,Financial income,financial_income,-28906329269.0,6041389594.0,49375672752.0,65963250021.0,18974770555.0,11224105821.0,3250131625.0,671735971.0
Chi phí tài chính,Financial expenses,financial_expenses,-110025253326.0,-33605704423.0,-41795326461.0,-27611934262.0,-11180138273.0,-3042728840.0,-2433354082.0,-543527525.0
Chi phí lãi vay,Interest expenses,interest_expenses,-21590845987.0,-15629130065.0,-15768798917.0,-16117318842.0,-5761057448.0,-2880901265.0,-2433354082.0,-492076433.0
Chi phí bán hàng,Selling expenses,selling_expenses,-187533991014.0,-108891561004.0,-143165880503.0,-89982377815.0,-33178719722.0,-12429006566.0,-532215839.0,-316502661.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-69357367058.0,-26664808414.0,-43646538816.0,-49280799438.0,-46086083941.0,-21847559048.0,-10705964800.0,-4812460074.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,-117883581442.0,88138944958.0,105942023414.0,157596636393.0,226604781081.0,88285324221.0,36059366216.0,57245676689.0
Thu nhập khác,Other incomes,other_incomes,17246951142.0,38638016657.0,38777793234.0,25175428929.0,28776795059.0,12898803876.0,1393022938.0,242333272.0
Chi phí khác,Other expenses,other_expenses,-3539754522.0,-5898263576.0,-3249291782.0,-1882806851.0,-1472025370.0,-1697896134.0,-870325530.0,-878363470.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,13707196620.0,32739753081.0,35528501452.0,23292622078.0,27304769689.0,11200907742.0,522697408.0,-636030198.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,-104176384822.0,120878698039.0,141470524866.0,180889258471.0,253909550770.0,99486231963.0,36582063624.0,56609646491.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-11007373.0,-25268559534.0,-28522821809.0,-33353492460.0,-51046645324.0,-20727636767.0,-7499013181.0,-4917086418.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,-15837169.0,-3538790885.0,-22820590.0,22820590.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-11007373.0,-25284396703.0,-32061612694.0,-33376313050.0,-51023824734.0,-20727636767.0,-7499013181.0,-4917086418.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,-104187392195.0,95594301336.0,109408912172.0,147512945421.0,202885726036.0,78758595196.0,29083050443.0,51692560073.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,9058975.0,-10421420.0,13547860.0,17814033.0,78719550.0,-723324.0,-71813320.0,-495090.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,-104196451170.0,95604722756.0,109395364312.0,147495131388.0,202807006486.0,78759318520.0,29154863763.0,51693055163.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,-601.0,551.0,631.0,981.0,2991.0,2415.0,892.12,1586.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,551.0,631.0,981.0,2991.0,1178.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,53264387.0,2018555914.0,248152672.0,-1730687955.0,-561924548.0,2793254678.0,1317288233.0
