item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1805145618482.0,1767765246504.0,1533265809102.0,1710685506923.0,1538796225789.0,1210773886431.0,1310016652425.0,1164934570661.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-1016275049.0,-673454406.0,-1110705533.0,-483190115.0,-2372621926.0,-711721890.0,-487847619.0,-333588876.0
Doanh thu thuần,Net sales,net_sales,1804129343433.0,1767091792098.0,1532155103569.0,1710202316808.0,1536423603863.0,1210062164541.0,1309528804806.0,1164600981785.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1457756836246.0,-1452948570545.0,-1255490512221.0,-1447832546335.0,-1320259882136.0,-1029379480896.0,-1073851737699.0,-976249009330.0
Lợi nhuận gộp,Gross Profit,gross_profit,346372507187.0,314143221553.0,276664591348.0,262369770473.0,216163721727.0,180682683645.0,235677067107.0,188351972455.0
Doanh thu hoạt động tài chính,Financial income,financial_income,6497105999.0,8192513388.0,10605700319.0,2286433485.0,2433984565.0,3221762935.0,3243065232.0,1572892428.0
Chi phí tài chính,Financial expenses,financial_expenses,-2036955346.0,-2181630533.0,-3009835624.0,-9718676067.0,-6439671264.0,-5464283051.0,-3934716088.0,-4078804578.0
Chi phí lãi vay,Interest expenses,interest_expenses,-1999570215.0,-1899818422.0,-2881525673.0,-8850047565.0,-6435652520.0,-5414476785.0,-3924003588.0,-3970736844.0
Chi phí bán hàng,Selling expenses,selling_expenses,-53382208047.0,-58556888671.0,-57339448889.0,-52625342723.0,-49531681146.0,-34264992701.0,-40886076376.0,-31744314883.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-148507236631.0,-127573880051.0,-115414602315.0,-100741155174.0,-82309761365.0,-62821455849.0,-90195139201.0,-58688105701.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,148943213162.0,134023335686.0,111506404839.0,101571029994.0,80316592517.0,81353714979.0,103904200674.0,95413639721.0
Thu nhập khác,Other incomes,other_incomes,586810432.0,1233667409.0,1652092735.0,5739050063.0,8327859873.0,2446448618.0,3449438296.0,5768058428.0
Chi phí khác,Other expenses,other_expenses,-64848135.0,-55138547.0,-57209899.0,-4120602940.0,-23118119.0,-157054494.0,-398600.0,-5258788051.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,521962297.0,1178528862.0,1594882836.0,1618447123.0,8304741754.0,2289394124.0,3449039696.0,509270377.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,149465175459.0,135201864548.0,113101287675.0,103189477117.0,88621334271.0,83643109103.0,107353240370.0,95922910098.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-22724112448.0,-21211403999.0,-13860360082.0,-20637895424.0,-17724266853.0,-16563124334.0,-21470648074.0,-19184582021.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-22724112448.0,-21211403999.0,-13860360082.0,-20637895424.0,-17724266853.0,-16563124334.0,-21470648074.0,-19184582021.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,126741063011.0,113990460549.0,99240927593.0,82551581693.0,70897067418.0,67079984769.0,85882592296.0,76738328077.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,126741063011.0,113990460549.0,99240927593.0,82551581693.0,70897067418.0,67079984769.0,85882592296.0,76738328077.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,6088.0,5476.0,5430.0,4421.0,3751.0,3546.0,4534.0,5816.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,6088.0,5476.0,5430.0,0.0,3751.0,3546.0,4534.0,5816.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
