item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,590053393494.0,560331817604.0,347553198362.0,294736468606.0,266910235277.0,248126720720.0,228821338081.0,1057126902631.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-61328954.0,-277196874.0,-361939870.0,-164565065.0,0.0,-18401800.0,-18156311.0,0.0
Doanh thu thuần,Net sales,net_sales,589992064540.0,560054620730.0,347191258492.0,294571903541.0,266910235277.0,248108318920.0,228803181770.0,1057126902631.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-304629805986.0,-280748813885.0,-207405353252.0,-138065252370.0,-121684688272.0,-151251098440.0,-176473826003.0,-966772300244.0
Lợi nhuận gộp,Gross Profit,gross_profit,285362258554.0,279305806845.0,139785905240.0,156506651171.0,145225547005.0,96857220480.0,52329355767.0,90354602387.0
Doanh thu hoạt động tài chính,Financial income,financial_income,328459478780.0,458658911672.0,311708940299.0,578830464495.0,1605208228711.0,121462682494.0,110378806687.0,116568910971.0
Chi phí tài chính,Financial expenses,financial_expenses,-330519814098.0,-418170026569.0,-527176119525.0,-877085477189.0,-284478789087.0,-101398205599.0,-74600401526.0,-88087684065.0
Chi phí lãi vay,Interest expenses,interest_expenses,-369885138994.0,-372789770996.0,-430914438683.0,-467454178802.0,-231282450799.0,-99209338319.0,-73703406511.0,-84299301783.0
Chi phí bán hàng,Selling expenses,selling_expenses,-18978832652.0,-13802534256.0,-9856964283.0,-7510657122.0,-7475257814.0,-9041436945.0,-8524947515.0,-8674706061.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-75836393719.0,-69612055348.0,-53717894095.0,-62570697787.0,-40059076693.0,-40728446102.0,-31653569309.0,-26299980565.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,538673322013.0,517060624209.0,343041301816.0,76293037149.0,1792209772553.0,171588911524.0,130385101823.0,75201934910.0
Thu nhập khác,Other incomes,other_incomes,3258481482.0,5739819319.0,4651449310.0,7590031483.0,174889086.0,17035481517.0,1680330276.0,1406759094.0
Chi phí khác,Other expenses,other_expenses,-3846256874.0,-5422033684.0,-4229959603.0,-4371982332.0,-3170366070.0,-2063192852.0,-7361790236.0,-1824623179.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-587775392.0,317785635.0,421489707.0,3218049151.0,-2995476984.0,14972288665.0,-5681459960.0,-417864085.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,538085546621.0,517378409844.0,343462791523.0,79511086300.0,1789214295569.0,186561200189.0,124703641863.0,74784070825.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-39485670795.0,-47296000850.0,-16711482613.0,-10886841640.0,-229571181490.0,-2707050934.0,-1041705822.0,-2287965308.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,2098229807.0,40171874.0,9016388450.0,64546970738.0,34309619403.0,1410982488.0,3477105199.0,-19110777433.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-37387440988.0,-47255828976.0,-7695094163.0,53660129098.0,-195261562087.0,-1296068446.0,2435399377.0,-21398742741.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,500698105633.0,470122580868.0,335767697360.0,133171215398.0,1593952733482.0,185265131743.0,127139041240.0,53385328084.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,33280790120.0,58668354577.0,37100221492.0,38516142407.0,34625726360.0,15924573678.0,2192639919.0,4425121921.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,467417315513.0,411454226291.0,298667475868.0,94655072991.0,1559327007122.0,169340558065.0,124946401321.0,48960206163.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2186.0,1924.0,1397.0,443.0,7292.0,1940.0,1431.0,561.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,1924.0,1397.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,350186625148.0,280680521865.0,482297434180.0,288122753581.0,373789120431.0,104437097196.0,82455857719.0,-8659207757.0
