item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,737510426468.0,572806132538.0,531504743092.0,816645123099.0,723956465138.0,925847655485.0,451076374639.0,621621062399.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,-62764180.0,-2488379860.0,-732048791.0,-5916972600.0,-4314570952.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,737510426468.0,572743368358.0,529016363232.0,815913074308.0,718039492538.0,921533084533.0,451076374639.0,621621062399.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-483448960316.0,-380499614852.0,-303979121090.0,-472074912174.0,-450591146928.0,-622193721740.0,-294489499518.0,-519329754909.0
Lợi nhuận gộp,Gross Profit,gross_profit,254061466152.0,192243753506.0,225037242142.0,343838162134.0,267448345610.0,299339362793.0,156586875121.0,102291307490.0
Doanh thu hoạt động tài chính,Financial income,financial_income,8048141802.0,4030452207.0,2577988197.0,2139513695.0,1850426530.0,2702019238.0,6927438976.0,10770427692.0
Chi phí tài chính,Financial expenses,financial_expenses,-80002572166.0,-77035573985.0,-83903468433.0,-49834592188.0,-48737062974.0,-30733928138.0,-4972516220.0,-6222210800.0
Chi phí lãi vay,Interest expenses,interest_expenses,-78765876966.0,-76936267364.0,-83542328267.0,-46006200089.0,-57654903394.0,-30731038758.0,-4972515949.0,-6072683531.0
Chi phí bán hàng,Selling expenses,selling_expenses,-22558668411.0,-8940598914.0,-6681066118.0,-9011243983.0,-9386899219.0,-16840573165.0,-7918963917.0,-8168708844.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-90176247635.0,-59826884261.0,-57988863111.0,-75158405474.0,-68858090408.0,-39279769857.0,-32161971690.0,-21321835924.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,67238180020.0,49762185093.0,78079488279.0,209554464981.0,142140935708.0,215044836198.0,118381507535.0,77118262111.0
Thu nhập khác,Other incomes,other_incomes,28988972774.0,30105831374.0,49031205235.0,6487625536.0,37485069346.0,16838719831.0,24854412697.0,17459732431.0
Chi phí khác,Other expenses,other_expenses,-3076949862.0,-11212880795.0,-2337774879.0,-5905747863.0,-3439103986.0,-52136942195.0,-25336597996.0,-9805905059.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,25912022912.0,18892950579.0,46693430356.0,581877673.0,34045965360.0,-35298222364.0,-482185299.0,7653827372.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,93150202932.0,68655135672.0,124772918635.0,210136342654.0,176186901068.0,179746613834.0,117899322236.0,84772089483.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-32867272277.0,-31668352794.0,-34125722613.0,-49846077278.0,-34210058047.0,-46150837158.0,-9671895767.0,-8347909590.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,3376417198.0,-4431941269.0,-2685454126.0,-4691500187.0,-3451042473.0,2569674197.0,5327118749.0,5995671328.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-29490855079.0,-36100294063.0,-36811176739.0,-54537577465.0,-37661100520.0,-43581162961.0,-4344777018.0,-2352238262.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,63659347853.0,32554841609.0,87961741896.0,155598765189.0,138525800548.0,136165450873.0,113554545218.0,82419851221.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,13675754856.0,-361154862.0,9948297151.0,4013743930.0,2458242400.0,-5292059544.0,-3167880265.0,701546741.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,49983592997.0,32915996471.0,78013444745.0,151585021259.0,136067558148.0,141457510417.0,116722425483.0,81718304480.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,511.0,335.0,813.0,1580.0,1390.0,1774.0,1700.0,1190.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,511.0,335.0,813.0,1580.0,1390.0,1774.0,1700.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,-2133939722.0,-708963460.0,-962344398.0,-2418969203.0,-175783831.0,-142274673.0,-79354735.0,-230717503.0
