item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
DOANH THU HOẠT ĐỘNG,OPERATING SALES,operating_sales,107003193834.0,74751516084.0,80522643480.0,72407842830.0,84155407477.0,29945633116.0,25272724491.0,24868797482.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần về hoạt động kinh doanh,Net sales,net_sales,107003193834.0,74751516084.0,80522643480.0,72407842830.0,84155407477.0,29945633116.0,25272724491.0,24868797482.0
CHI PHÍ HOẠT ĐỘNG,OPERATING EXPENSE,operating_expense,-25667582766.0,-21498914505.0,-16162229913.0,-32618325703.0,-29220548963.0,-13347676473.0,-38816995559.0,-11846972445.0
LỢI NHUẬN GỘP,GROSS PROFIT,gross_profit,81335611068.0,53252601579.0,64360413567.0,39789517127.0,54934858514.0,16597956643.0,-13544271068.0,13021825037.0
CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,GENERAL AND ADMINISTRATIVE EXPENSES,general_and_administrative_expenses,-54300761326.0,-29497836776.0,-29838675633.0,-31176967469.0,-27281256620.0,-17116089425.0,-29441034655.0,-20180396027.0
KẾT QUẢ HOẠT ĐỘNG,OPERATING PROFIT/(LOSS),operating_profit_loss,17851635085.0,21539839436.0,33137567795.0,22455678471.0,38096477856.0,13018038894.0,-58336108055.0,2250263955.0
CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,BUSINESS INCOME TAX EXPENSES,business_income_tax_expenses,17852271449.0,21543203072.0,33144865979.0,22455678471.0,38100168765.0,9908786406.0,-58153389873.0,1724678755.0
Chi phí thuế thu nhập hiện hành,Business income tax - current,business_income_tax_current,-4790585762.0,-4424787258.0,-6131037917.0,-5210773702.0,-3129907524.0,-519506965.0,0.0,-1081142769.0
Chi phí thuế thu nhập hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
