item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,766174110037.0,611676440253.0,576765288859.0,485445677224.0,390744209834.0,412868877082.0,523353257835.0,622077690137.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-3020832512.0,-135980952.0,-478133054.0,-235420477.0,-374907142.0,-2115535300.0,-132455619.0,-313902106.0
Doanh thu thuần,Net sales,net_sales,763153277525.0,611540459301.0,576287155805.0,485210256747.0,390369302692.0,410753341782.0,523220802216.0,621763788031.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-614235835215.0,-463968739756.0,-437423714688.0,-395832434259.0,-347011749549.0,-361477108426.0,-411135972764.0,-526442045990.0
Lợi nhuận gộp,Gross Profit,gross_profit,148917442310.0,147571719545.0,138863441117.0,89377822488.0,43357553143.0,49276233356.0,112084829452.0,95321742041.0
Doanh thu hoạt động tài chính,Financial income,financial_income,14868562764.0,27677414340.0,24142958769.0,15728419840.0,15950532302.0,4826139475.0,4467536121.0,3388898733.0
Chi phí tài chính,Financial expenses,financial_expenses,-16785051542.0,-6261510071.0,-6293115650.0,-5632449863.0,-4556579884.0,-3110631532.0,-1965480951.0,-3123219282.0
Chi phí lãi vay,Interest expenses,interest_expenses,-14682164284.0,-5437218352.0,-5291623181.0,-3379499277.0,-4072064162.0,-408233315.0,-39938338.0,-1670632704.0
Chi phí bán hàng,Selling expenses,selling_expenses,-53083600696.0,-62073875028.0,-69946367925.0,-58567257183.0,-49101698758.0,-73795959140.0,-77469838259.0,-70530687512.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-43038157200.0,-48988223987.0,-41609396833.0,-47079040198.0,-33208276407.0,-37775627159.0,-39912298529.0,-25663267514.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,50879195636.0,57925524799.0,45157519478.0,-6172504916.0,-27558469604.0,-60579845000.0,-2795252166.0,-606533534.0
Thu nhập khác,Other incomes,other_incomes,14997386291.0,8927990108.0,11442227037.0,13909098966.0,4299774971.0,6879376666.0,15646414715.0,22102831391.0
Chi phí khác,Other expenses,other_expenses,-4422546069.0,-7988506018.0,-675474587.0,-11981719972.0,-2390355988.0,-8646732335.0,-1368864354.0,-3963503166.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,10574840222.0,939484090.0,10766752450.0,1927378994.0,1909418983.0,-1767355669.0,14277550361.0,18139328225.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,61454035858.0,58865008889.0,55924271928.0,-4245125922.0,-25649050621.0,-62347200669.0,11482298195.0,17532794691.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-12498675840.0,-20628655090.0,-3482618365.0,0.0,0.0,-49907041.0,0.0,-1200452972.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,994645333.0,2099742262.0,198188834.0,-971457824.0,-45813160.0,-55701059.0,76410937.0,195933422.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-11504030507.0,-18528912828.0,-3284429531.0,-971457824.0,-45813160.0,-105608100.0,76410937.0,-1004519550.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,49950005351.0,40336096061.0,52639842397.0,-5216583746.0,-25694863781.0,-62452808769.0,11558709132.0,16528275141.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,4725587.0,53865267.0,5458785.0,-55501509.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,49945279764.0,40282230794.0,52634383612.0,-5161082237.0,-25694863781.0,-62452808769.0,11558709132.0,16528275141.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,444.0,359.0,468.0,-48.0,-229.0,-555.0,103.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
