item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,6687125604053.0,2775773466955.0,5858772665527.0,1397476163499.0,4245981967388.0,2150962555356.0,3209906030157.0,2491178878521.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,-240297318000.0,-447210000000.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,6687125604053.0,2775773466955.0,5618475347527.0,950266163499.0,4245981967388.0,2150962555356.0,3209906030157.0,2491178878521.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-3497496465502.0,-1492307333029.0,-1923081056083.0,-684515319313.0,-1778965961226.0,-1461933537631.0,-1363156822246.0,-1022343984750.0
Lợi nhuận gộp,Gross Profit,gross_profit,3189629138551.0,1283466133926.0,3695394291444.0,265750844186.0,2467016006162.0,689029017725.0,1846749207911.0,1468834893771.0
Doanh thu hoạt động tài chính,Financial income,financial_income,678601010444.0,451291295434.0,426075898488.0,339652334340.0,169544625558.0,313705232896.0,79931901053.0,91568246480.0
Chi phí tài chính,Financial expenses,financial_expenses,-706102843758.0,-258842346281.0,-426206938934.0,-595404542981.0,-541392222505.0,-230242153241.0,-222620542221.0,-193894216853.0
Chi phí lãi vay,Interest expenses,interest_expenses,-680631369467.0,-268641265779.0,-379668497960.0,-522875219589.0,-480600549118.0,-195387067311.0,-195685878594.0,-200751707293.0
Chi phí bán hàng,Selling expenses,selling_expenses,-161571261060.0,-98035320545.0,-354412075024.0,-45914808918.0,-189915851874.0,-52216721860.0,-141910414455.0,-142014567928.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-591413497171.0,-459863902146.0,-458380732970.0,-464460343994.0,-428557565443.0,-270720195562.0,-171879898648.0,-164858434955.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,2601169269717.0,933928813747.0,2874382666152.0,1686446282442.0,1888363838470.0,452229963305.0,1390690785472.0,1073489475745.0
Thu nhập khác,Other incomes,other_incomes,332789946627.0,49621167844.0,22300987274.0,21329080350.0,5378406364.0,3475084225.0,8431503757.0,3372202651.0
Chi phí khác,Other expenses,other_expenses,-4616046940.0,-261023264069.0,-5523841955.0,-11190277098.0,-131977203231.0,-2532671188.0,-34947379751.0,-29634276464.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,328173899687.0,-211402096225.0,16777145319.0,10138803252.0,-126598796867.0,942413037.0,-26515875994.0,-26262073813.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,2929343169404.0,722526717522.0,2891159811471.0,1696585085694.0,1761765041603.0,453172376342.0,1364174909478.0,1047227401932.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-717848435775.0,-295380490601.0,-420014694484.0,-150202907959.0,-252330651691.0,-177342931117.0,-167120965198.0,-193422721494.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-3353778349.0,-4112797786.0,-226141704657.0,30146862792.0,-157737836082.0,43984520887.0,-156295080051.0,-44898206944.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-721202214124.0,-299493288387.0,-646156399141.0,-120056045167.0,-410068487773.0,-133358410230.0,-323416045249.0,-238320928438.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,2208140955280.0,423033429135.0,2245003412330.0,1576529040527.0,1351696553830.0,319813966112.0,1040758864229.0,808906473494.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,104515540817.0,41109312871.0,214304052011.0,50177960703.0,256813665660.0,95781131624.0,122396989276.0,62751418237.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,2103625414463.0,381924116264.0,2030699360319.0,1526351079824.0,1094882888170.0,224032834488.0,918361874953.0,746155055257.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2450.0,498.0,2646.0,1993.0,1665.0,477.0,1955.0,1588.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,2450.0,498.0,2646.0,1993.0,1665.0,477.0,1955.0,1588.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,192026722711.0,15912953359.0,-8087776852.0,2186822799809.0,411668846572.0,2674783347.0,420531832.0,13853555230.0
