item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,7750839406607.0,7118614609836.0,6205324513409.0,5163639671006.0,4361399276305.0,4572888176180.0,5369101248752.0,4522800493773.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,7750839406607.0,7118614609836.0,6205324513409.0,5163639671006.0,4361399276305.0,4572888176180.0,5369101248752.0,4522800493773.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-7492066642933.0,-6860688231766.0,-5946787487452.0,-4900779994688.0,-4114489843821.0,-4261840960760.0,-5130437631239.0,-4268830121229.0
Lợi nhuận gộp,Gross Profit,gross_profit,258772763674.0,257926378070.0,258537025957.0,262859676318.0,246909432484.0,311047215420.0,238663617513.0,253970372544.0
Doanh thu hoạt động tài chính,Financial income,financial_income,19500070622.0,21423097746.0,35604287988.0,35407691016.0,27396557966.0,21664031769.0,22769759876.0,26454975353.0
Chi phí tài chính,Financial expenses,financial_expenses,-53240803086.0,-61442481227.0,-77283035713.0,-66670554773.0,-58465437044.0,-61923028421.0,-52760239679.0,-45691916251.0
Chi phí lãi vay,Interest expenses,interest_expenses,-52185388760.0,-59769183440.0,-76155729510.0,-66112540513.0,-58228715538.0,-61256183126.0,-51904567914.0,-42611578596.0
Chi phí bán hàng,Selling expenses,selling_expenses,-76490832916.0,-71834277635.0,-67094674481.0,-71238957282.0,-69810764625.0,-131755291940.0,-81227501124.0,-90617096897.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-96284902499.0,-94047143956.0,-94066871002.0,-93470191620.0,-94005175180.0,-93228398731.0,-73586095936.0,-87101923549.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,52256295795.0,52025572998.0,55696732749.0,66887663659.0,52024613601.0,45804528097.0,53859540650.0,57014411200.0
Thu nhập khác,Other incomes,other_incomes,23637401111.0,25177136587.0,19457432436.0,9131199899.0,6092078190.0,31149781848.0,23087232566.0,34538937864.0
Chi phí khác,Other expenses,other_expenses,-4871595279.0,-5879147819.0,-4434380751.0,-2273344626.0,-2014925675.0,-12736445911.0,-5364492170.0,-22881263534.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,18765805832.0,19297988768.0,15023051685.0,6857855273.0,4077152515.0,18413335937.0,17722740396.0,11657674330.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,71022101627.0,71323561766.0,70719784434.0,73745518932.0,56101766116.0,64217864034.0,71582281046.0,68672085530.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-14310499096.0,-13565561182.0,-15902988067.0,-14732205902.0,-8068526157.0,-19075723541.0,-20499507585.0,-14803511379.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-14310499096.0,-13565561182.0,-15902988067.0,-14732205902.0,-8068526157.0,-19075723541.0,-20499507585.0,-14803511379.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,56711602531.0,57758000584.0,54816796367.0,59013313030.0,48033239959.0,45142140493.0,51082773461.0,53868574151.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,56711602531.0,57758000584.0,54816796367.0,59013313030.0,48033239959.0,45142140493.0,51082773461.0,53868574151.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,939.0,473.0,594.0,1002.0,836.0,727.0,812.0,1245.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,939.0,473.0,594.0,1002.0,836.0,727.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
