item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1555287684320.0,1438926718406.0,1315815469460.0,1343460401347.0,1106568127246.0,1308626066969.0,1062827684875.0,900017949547.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,1555287684320.0,1438926718406.0,1315815469460.0,1343460401347.0,1106568127246.0,1308626066969.0,1062827684875.0,900017949547.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1381538378197.0,-1271654908466.0,-1169987177759.0,-1196808073642.0,-1056061985100.0,-1230359542489.0,-981802085706.0,-814160852873.0
Lợi nhuận gộp,Gross Profit,gross_profit,173749306123.0,167271809940.0,145828291701.0,146652327705.0,50506142146.0,78266524480.0,81025599169.0,85857096674.0
Doanh thu hoạt động tài chính,Financial income,financial_income,9106541802.0,9732141600.0,50361937063.0,35419302790.0,47603967767.0,43448129350.0,385511839.0,220512108.0
Chi phí tài chính,Financial expenses,financial_expenses,-102441836676.0,-101295995665.0,-122922782183.0,-98887823914.0,-25912900410.0,-28346627661.0,-12524784525.0,-6397193603.0
Chi phí lãi vay,Interest expenses,interest_expenses,-99515378693.0,-94510171662.0,-122845127013.0,-98669246872.0,-25838145209.0,-28346627661.0,-12524784525.0,-6397193603.0
Chi phí bán hàng,Selling expenses,selling_expenses,-4541387998.0,-8800666740.0,-5851665848.0,-2570171827.0,-4026026326.0,-14905808589.0,-10942274822.0,-3758263039.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-34395943477.0,-33515124685.0,-35675255240.0,-42443187798.0,-25142521192.0,-25058634652.0,-30839232073.0,-15645854258.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,41476679774.0,33392164450.0,31740525493.0,38170446956.0,43028661985.0,53403582928.0,27104819588.0,60276297882.0
Thu nhập khác,Other incomes,other_incomes,92779410.0,20500.0,23941000.0,28477662.0,143967906.0,2466866357.0,20453126.0,117089091.0
Chi phí khác,Other expenses,other_expenses,-11583996077.0,-1766194144.0,-238026931.0,-5816176057.0,-12801179515.0,-22134507417.0,-1246006959.0,-2367922435.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-11491216667.0,-1766173644.0,-214085931.0,-5787698395.0,-12657211609.0,-19667641060.0,-1225553833.0,-2250833344.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,29985463107.0,31625990806.0,31526439562.0,32382748561.0,30371450376.0,33735941868.0,25879265755.0,58025464538.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-10918463053.0,-9886697016.0,-10388591443.0,-10552747270.0,-7817238299.0,-11824410137.0,-5816541146.0,-12961546652.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-10918463053.0,-9886697016.0,-10388591443.0,-10552747270.0,-7817238299.0,-11824410137.0,-5816541146.0,-12961546652.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,19067000054.0,21739293790.0,21137848119.0,21830001291.0,22554212077.0,21911531731.0,20062724609.0,45063917886.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,120613500.0,304584145.0,75192379.0,110887081.0,5613464.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,18946386554.0,21434709645.0,21062655740.0,21719114210.0,22548598613.0,21911531731.0,20062724609.0,45063917886.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,87.0,99.0,97.0,100.0,137.0,211.2,193.38,653.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,87.0,99.0,97.0,79.0,86.0,211.2,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
