time,open,high,low,close,volume
2021-03-24 07:00:00,9.5,9.5,9.35,9.5,1568200
2021-03-25 07:00:00,10.06,10.06,8.87,9.13,981400
2021-03-26 07:00:00,8.6,8.98,8.49,8.49,231300
2021-03-29 07:00:00,8.01,8.49,7.93,8.23,1741400
2021-03-30 07:00:00,8.23,8.79,8.19,8.79,761500
2021-03-31 07:00:00,9.39,9.39,9.35,9.39,320300
2021-04-01 07:00:00,9.88,10.03,9.43,10.03,947500
2021-04-02 07:00:00,10.48,10.55,9.58,9.73,498100
2021-04-05 07:00:00,9.65,9.8,9.43,9.43,523800
2021-04-06 07:00:00,9.43,10.06,9.43,10.06,425300
2021-04-07 07:00:00,10.36,10.62,9.95,10.1,798300
2021-04-08 07:00:00,10.1,10.62,9.8,9.88,792900
2021-04-09 07:00:00,9.84,10.55,9.84,10.55,1336500
2021-04-12 07:00:00,10.74,11.26,10.74,11.26,942700
2021-04-13 07:00:00,11.86,11.9,11.3,11.71,1149700
2021-04-14 07:00:00,11.6,11.86,11.6,11.63,997300
2021-04-15 07:00:00,11.67,12.12,11.52,11.9,770300
2021-04-16 07:00:00,12.35,12.35,11.9,12.35,370600
2021-04-19 07:00:00,12.64,12.64,11.97,12.12,509900
2021-04-20 07:00:00,11.97,12.94,11.93,12.57,771600
2021-04-22 07:00:00,12.87,13.32,11.97,11.97,730200
2021-04-23 07:00:00,11.9,12.79,11.9,12.79,878100
2021-04-26 07:00:00,13.17,13.36,12.35,12.57,858400
2021-04-27 07:00:00,12.57,13.09,12.42,12.57,282200
2021-04-28 07:00:00,12.23,12.87,12.23,12.64,375200
2021-04-29 07:00:00,12.64,12.72,12.53,12.53,213900
2021-05-04 07:00:00,12.12,12.53,12.05,12.35,386700
2021-05-05 07:00:00,12.27,13.21,12.16,13.21,610300
2021-05-06 07:00:00,13.8,14.07,13.09,13.92,945200
2021-05-07 07:00:00,14.03,14.07,13.17,13.62,800100
2021-05-10 07:00:00,13.17,13.92,13.02,13.47,320500
2021-05-11 07:00:00,13.47,13.65,13.39,13.62,184700
2021-05-12 07:00:00,13.32,14.07,13.32,13.54,533400
2021-05-13 07:00:00,13.47,14.48,13.24,14.48,1265900
2021-05-14 07:00:00,15.11,15.26,14.44,15.23,1472100
2021-05-17 07:00:00,15.56,15.56,14.48,14.81,887800
2021-05-18 07:00:00,14.44,15.04,14.44,14.67,738100
2021-05-19 07:00:00,14.48,15.56,14.48,15.53,774900
2021-05-20 07:00:00,15.53,16.31,15.0,16.09,972900
2021-05-21 07:00:00,16.01,16.01,15.56,15.71,470100
2021-05-24 07:00:00,15.41,15.71,15.15,15.53,522200
2021-05-25 07:00:00,15.6,15.64,15.08,15.45,404300
2021-05-26 07:00:00,15.34,15.45,15.0,15.15,476100
2021-05-27 07:00:00,15.34,15.56,14.1,14.59,2030100
2021-05-28 07:00:00,14.67,14.89,14.22,14.81,594000
2021-05-31 07:00:00,14.81,15.11,14.37,14.59,335800
2021-06-01 07:00:00,14.59,14.74,14.22,14.59,249500
2021-06-02 07:00:00,14.22,14.52,14.14,14.44,392100
2021-06-03 07:00:00,14.44,14.74,14.44,14.59,260700
2021-06-04 07:00:00,14.25,14.59,14.22,14.55,460400
2021-06-07 07:00:00,14.37,14.67,13.92,14.67,687900
2021-06-08 07:00:00,14.67,14.93,14.03,14.81,710200
2021-06-09 07:00:00,14.93,14.96,14.55,14.93,458500
