time,open,high,low,close,volume
2021-08-04 07:00:00,61.71,61.71,50.45,61.66,197900
2021-08-05 07:00:00,61.66,61.66,55.39,57.79,227117
2021-08-06 07:00:00,57.79,57.79,56.08,57.3,155200
2021-08-09 07:00:00,56.32,56.81,52.9,54.56,135600
2021-08-10 07:00:00,54.46,54.56,52.95,54.02,133906
2021-08-11 07:00:00,53.39,56.28,53.39,55.49,180500
2021-08-12 07:00:00,55.35,55.83,53.88,53.88,115900
2021-08-13 07:00:00,54.37,57.26,52.41,53.24,166700
2021-08-16 07:00:00,55.3,55.3,52.16,53.78,45200
2021-08-17 07:00:00,53.78,54.12,52.16,53.68,98502
2021-08-18 07:00:00,52.9,54.07,52.16,52.41,32000
2021-08-19 07:00:00,52.9,53.29,51.28,52.16,24700
2021-08-20 07:00:00,52.16,52.36,49.47,51.33,20600
2021-08-23 07:00:00,48.49,53.34,48.49,51.13,28302
2021-08-24 07:00:00,52.8,52.8,48.98,50.89,17200
2021-08-25 07:00:00,51.23,51.38,48.98,50.45,49600
2021-08-26 07:00:00,50.69,50.69,48.93,50.1,20500
2021-08-27 07:00:00,48.73,49.96,48.49,49.96,18900
2021-08-30 07:00:00,49.47,51.43,49.47,50.94,47500
2021-08-31 07:00:00,51.43,51.92,50.94,51.92,54600
2021-09-01 07:00:00,51.43,51.62,51.33,51.62,77200
2021-09-06 07:00:00,51.57,51.67,50.94,51.57,43801
2021-09-07 07:00:00,51.92,51.92,51.18,51.82,34900
2021-09-08 07:00:00,51.67,52.31,51.57,52.16,37500
2021-09-09 07:00:00,52.16,53.58,51.92,53.53,101300
2021-09-10 07:00:00,54.37,56.28,53.53,55.83,145500
2021-09-13 07:00:00,55.83,56.81,55.35,56.18,96300
2021-09-14 07:00:00,56.32,57.06,55.83,56.77,83200
2021-09-15 07:00:00,56.57,57.26,54.86,57.11,127100
2021-09-16 07:00:00,56.67,57.7,56.32,56.96,94900
2021-09-17 07:00:00,57.3,63.67,56.81,58.53,113700
2021-09-20 07:00:00,58.38,59.02,57.3,57.3,73800
2021-09-21 07:00:00,58.28,59.02,57.79,58.63,55100
2021-09-22 07:00:00,49.96,61.42,49.96,57.84,45900
2021-09-23 07:00:00,56.81,58.77,56.81,58.38,79300
2021-09-24 07:00:00,53.88,59.02,49.96,58.23,51206
2021-09-27 07:00:00,58.28,58.72,57.79,57.89,67700
2021-09-28 07:00:00,56.81,58.72,56.81,57.74,56600
2021-09-29 07:00:00,57.06,57.74,57.06,57.45,66300
