time,open,high,low,close,volume
2018-01-02 07:00:00,12.19,13.11,12.19,13.11,10200
2018-01-03 07:00:00,12.45,12.8,12.45,12.8,300
2018-01-04 07:00:00,13.11,13.11,13.11,13.11,1100
2018-01-05 07:00:00,12.98,13.11,12.98,13.11,1300
2018-01-08 07:00:00,13.11,13.11,13.02,13.02,5900
2018-01-09 07:00:00,12.89,13.11,12.71,12.8,3200
2018-01-11 07:00:00,12.8,12.8,12.63,12.63,1800
2018-01-12 07:00:00,12.67,12.67,12.67,12.67,200
2018-01-15 07:00:00,12.67,12.67,12.45,12.45,800
2018-01-16 07:00:00,12.63,12.63,12.63,12.63,200
2018-01-17 07:00:00,12.71,12.71,12.63,12.63,250
2018-01-18 07:00:00,12.63,12.63,12.63,12.63,100
2018-01-19 07:00:00,12.63,12.63,12.63,12.63,300
2018-01-22 07:00:00,12.71,12.71,12.71,12.71,100
2018-01-23 07:00:00,11.53,12.63,11.53,12.41,4000
2018-01-24 07:00:00,12.63,13.63,11.53,12.1,8900
2018-01-25 07:00:00,11.4,12.32,11.4,12.19,26700
2018-01-26 07:00:00,11.05,12.98,11.05,12.98,7800
2018-01-29 07:00:00,12.89,13.06,12.89,12.93,1200
2018-01-30 07:00:00,11.88,12.84,11.88,12.84,500
2018-01-31 07:00:00,11.88,13.94,11.88,13.94,5500
2018-02-01 07:00:00,12.89,13.67,12.89,13.06,400
2018-02-02 07:00:00,13.06,13.06,13.06,13.06,100
2018-02-05 07:00:00,13.06,13.06,13.06,13.06,100
2018-02-06 07:00:00,12.58,12.58,12.58,12.58,200
2018-02-07 07:00:00,13.81,13.81,13.41,13.41,200
2018-02-08 07:00:00,12.23,12.23,12.15,12.23,7200
2018-02-09 07:00:00,12.49,12.58,12.28,12.58,800
2018-02-12 07:00:00,12.49,12.49,12.49,12.49,200
2018-02-13 07:00:00,12.32,13.63,12.32,13.63,2200
2018-02-21 07:00:00,13.98,14.99,12.98,13.32,2200
2018-02-22 07:00:00,14.33,14.33,12.76,12.76,1500
2018-02-23 07:00:00,13.06,13.89,12.1,13.11,2600
2018-02-26 07:00:00,12.71,12.89,12.71,12.8,900
2018-02-27 07:00:00,12.71,13.81,12.71,13.81,1800
2018-02-28 07:00:00,12.93,13.98,12.71,13.94,18300
2018-03-01 07:00:00,12.89,13.5,12.89,13.5,300
2018-03-02 07:00:00,12.71,13.11,12.71,13.11,300
2018-03-05 07:00:00,12.76,13.06,12.76,13.06,300
2018-03-06 07:00:00,12.76,12.98,12.76,12.98,600
2018-03-07 07:00:00,12.76,13.02,12.76,13.02,300
2018-03-08 07:00:00,12.89,13.54,12.89,13.32,7500
2018-03-09 07:00:00,12.45,12.98,12.45,12.93,3000
2018-03-12 07:00:00,12.76,12.76,12.76,12.76,300
2018-03-13 07:00:00,12.67,12.67,12.58,12.58,1700
2018-03-14 07:00:00,12.28,12.45,11.36,11.36,36700
2018-03-15 07:00:00,10.92,10.92,10.22,10.22,30300
2018-03-16 07:00:00,9.22,10.92,9.22,9.22,29600
2018-03-19 07:00:00,10.0,10.14,8.39,10.14,1400
2018-03-20 07:00:00,9.74,11.14,9.74,11.14,1200
2018-03-21 07:00:00,11.1,12.01,10.7,12.01,5600
2018-03-22 07:00:00,11.18,12.63,11.18,12.63,2000
2018-03-23 07:00:00,12.63,12.63,12.63,12.63,100
2018-03-26 07:00:00,11.4,12.06,11.4,12.06,2900
2018-03-27 07:00:00,11.18,12.19,11.18,12.01,600
2018-03-28 07:00:00,11.4,12.01,11.4,11.93,1300
2018-03-29 07:00:00,11.14,12.19,11.14,11.97,2700
2018-03-30 07:00:00,11.01,12.23,11.01,12.23,6000
2018-04-02 07:00:00,11.36,11.58,11.23,11.58,800
2018-04-03 07:00:00,10.97,11.58,10.97,11.4,700
2018-04-04 07:00:00,11.36,11.45,11.36,11.36,400
2018-04-05 07:00:00,11.36,11.4,11.36,11.4,200
2018-04-06 07:00:00,11.62,12.01,11.4,11.75,4600
2018-04-09 07:00:00,11.66,12.23,11.62,12.19,6000
2018-04-10 07:00:00,11.71,12.23,11.71,12.19,700
2018-04-11 07:00:00,12.41,13.06,11.71,11.71,900
2018-04-12 07:00:00,12.32,12.32,12.32,12.32,500
2018-04-13 07:00:00,12.32,13.06,12.19,12.63,3400
2018-04-16 07:00:00,12.63,12.63,12.63,12.63,200
2018-04-17 07:00:00,11.84,12.58,11.75,12.54,5900
2018-04-18 07:00:00,11.84,12.1,11.53,12.1,3000
2018-04-19 07:00:00,12.93,12.93,11.58,12.23,1400
2018-04-20 07:00:00,11.71,12.1,11.36,12.1,7200
2018-04-23 07:00:00,11.49,12.19,11.32,11.32,5100
2018-04-24 07:00:00,11.05,11.88,11.05,11.4,109000
2018-04-26 07:00:00,11.71,12.54,11.71,12.23,29900
2018-04-27 07:00:00,12.45,12.54,11.05,11.88,17700
2018-05-02 07:00:00,11.23,11.32,10.92,10.92,7900
2018-05-03 07:00:00,11.84,11.84,10.62,10.92,500
2018-05-04 07:00:00,11.4,12.01,11.4,11.75,5600
2018-05-07 07:00:00,11.75,12.19,11.49,11.75,3600
2018-05-08 07:00:00,11.8,12.89,10.79,10.83,21600
2018-05-09 07:00:00,11.75,11.88,10.14,10.92,12100
2018-05-10 07:00:00,10.44,12.01,10.44,10.92,46000
2018-05-11 07:00:00,10.83,11.66,10.83,11.58,1800
2018-05-14 07:00:00,11.01,11.75,11.01,11.58,3000
2018-05-15 07:00:00,11.53,12.45,10.88,10.88,31800
2018-05-16 07:00:00,10.88,10.88,10.79,10.88,1200
2018-05-17 07:00:00,10.88,10.88,10.88,10.88,200
2018-05-18 07:00:00,10.92,10.92,10.88,10.88,1800
2018-05-21 07:00:00,11.53,11.8,10.18,10.75,15900
2018-05-22 07:00:00,10.18,10.44,10.18,10.44,200
2018-05-23 07:00:00,10.27,10.27,9.87,9.87,30800
2018-05-24 07:00:00,9.7,9.83,9.7,9.83,500
2018-05-25 07:00:00,8.87,9.31,8.87,9.31,3300
2018-05-28 07:00:00,8.78,8.91,8.78,8.87,600
2018-05-29 07:00:00,8.52,8.78,8.52,8.78,500
2018-05-30 07:00:00,8.56,8.56,8.56,8.56,180
2018-05-31 07:00:00,8.52,9.22,8.48,9.22,700
2018-06-01 07:00:00,8.65,9.17,8.3,8.43,1000
2018-06-04 07:00:00,8.34,8.34,8.34,8.34,100
2018-06-05 07:00:00,8.48,9.0,8.48,8.65,910
2018-06-06 07:00:00,8.56,8.56,8.56,8.56,100
2018-06-07 07:00:00,8.34,9.17,8.34,8.65,2200
2018-06-08 07:00:00,8.69,9.31,8.34,8.48,3940
2018-06-11 07:00:00,8.48,9.17,8.43,8.52,10500
2018-06-12 07:00:00,8.3,9.35,8.3,8.74,11000
2018-06-13 07:00:00,8.74,8.74,7.99,8.34,1100
2018-06-14 07:00:00,7.95,9.09,7.95,9.09,200
2018-06-15 07:00:00,8.34,8.34,8.21,8.34,1820
