time,open,high,low,close,volume
2018-01-04 07:00:00,35.11,35.11,35.11,35.11,12000
2018-01-05 07:00:00,37.52,37.52,37.52,37.52,8700
2018-01-08 07:00:00,40.12,40.12,40.12,40.12,150720
2018-01-09 07:00:00,42.92,42.92,42.92,42.92,223230
2018-01-10 07:00:00,45.91,45.91,45.91,45.91,173190
2018-01-11 07:00:00,44.22,45.91,42.72,42.72,203460
2018-01-12 07:00:00,42.92,44.87,42.27,42.92,234850
2018-01-15 07:00:00,42.92,43.24,41.55,41.81,63550
2018-01-16 07:00:00,41.03,41.68,40.58,41.68,126190
2018-01-17 07:00:00,42.4,43.57,42.27,42.4,106720
2018-01-18 07:00:00,42.27,42.27,40.19,42.07,118340
2018-01-19 07:00:00,42.07,42.46,40.97,42.2,159450
2018-01-22 07:00:00,42.2,43.24,42.2,43.05,295680
2018-01-25 07:00:00,43.57,43.57,42.27,43.24,278640
2018-01-26 07:00:00,43.37,43.44,42.92,43.18,163520
2018-01-29 07:00:00,40.97,43.11,40.84,42.79,269020
2018-01-30 07:00:00,41.62,42.79,41.29,42.33,354390
2018-01-31 07:00:00,43.57,43.57,42.72,42.85,116870
2018-02-01 07:00:00,43.24,44.74,42.92,44.74,471760
2018-02-02 07:00:00,45.52,45.52,44.74,45.32,322370
2018-02-05 07:00:00,45.06,45.06,44.35,44.61,193730
2018-02-06 07:00:00,42.27,43.44,41.49,41.81,280640
2018-02-07 07:00:00,43.11,43.24,42.33,43.24,252300
2018-02-08 07:00:00,43.24,43.89,42.59,43.57,186020
2018-02-09 07:00:00,42.27,42.79,41.62,42.66,175110
2018-02-12 07:00:00,43.24,45.45,43.18,43.63,135440
2018-02-13 07:00:00,44.87,44.87,43.76,44.15,122540
2018-02-21 07:00:00,44.54,46.82,44.54,46.3,179470
2018-02-22 07:00:00,46.82,46.82,45.52,46.36,161180
2018-02-23 07:00:00,46.82,46.82,46.49,46.82,172900
2018-02-26 07:00:00,46.82,47.86,46.17,46.82,145310
2018-02-27 07:00:00,46.95,46.95,46.23,46.56,159690
2018-02-28 07:00:00,46.56,46.56,46.3,46.56,198250
2018-03-01 07:00:00,46.82,46.95,46.56,46.82,422090
2018-03-02 07:00:00,46.69,50.07,46.56,49.94,377660
2018-03-05 07:00:00,50.72,52.02,50.72,51.37,186220
2018-03-06 07:00:00,51.37,51.37,50.27,51.18,123950
2018-03-07 07:00:00,51.18,53.32,50.59,50.98,166610
2018-03-08 07:00:00,51.37,52.67,50.98,52.67,187690
2018-03-09 07:00:00,53.0,55.47,53.0,55.21,219610
2018-03-12 07:00:00,55.73,55.92,54.1,54.1,125910
2018-03-13 07:00:00,53.97,54.49,52.67,53.91,155190
2018-03-14 07:00:00,54.43,54.75,53.91,54.3,138290
2018-03-15 07:00:00,54.62,54.62,50.53,50.53,321820
2018-03-16 07:00:00,50.53,53.32,50.4,53.32,228160
2018-03-19 07:00:00,53.91,53.91,52.22,52.93,124120
2018-03-20 07:00:00,53.26,53.58,52.09,53.32,152330
2018-03-21 07:00:00,52.22,53.65,49.75,49.75,245380
2018-03-22 07:00:00,51.37,51.37,48.51,50.07,173020
2018-03-23 07:00:00,47.47,50.07,47.47,49.94,116420
2018-03-26 07:00:00,49.94,50.53,49.88,50.46,128920
2018-03-27 07:00:00,51.7,53.32,51.37,53.32,154960
2018-03-28 07:00:00,53.65,53.65,51.37,52.48,143580
2018-03-29 07:00:00,52.67,52.87,51.37,52.02,118090
2018-03-30 07:00:00,52.22,52.28,50.72,52.02,112340
2018-04-02 07:00:00,52.02,52.02,51.44,51.89,139790
2018-04-03 07:00:00,52.02,53.26,52.02,52.35,185980
2018-04-04 07:00:00,53.13,53.13,52.02,52.61,175870
2018-04-05 07:00:00,53.26,53.26,52.02,52.61,146820
2018-04-06 07:00:00,52.93,53.0,52.61,52.93,160160
2018-04-09 07:00:00,53.26,53.32,52.02,52.54,135170
2018-04-10 07:00:00,52.67,52.67,52.02,52.09,115720
2018-04-11 07:00:00,52.48,52.48,50.4,50.66,228580
2018-04-12 07:00:00,50.66,50.66,50.07,50.33,138310
2018-04-13 07:00:00,49.62,51.37,49.62,50.92,353340
2018-04-16 07:00:00,51.5,51.7,51.05,51.37,104460
2018-04-17 07:00:00,51.96,52.35,51.89,52.02,257250
2018-04-18 07:00:00,52.35,52.93,52.09,52.8,225770
2018-04-19 07:00:00,53.0,54.88,52.8,53.32,238130
2018-04-20 07:00:00,54.3,54.3,53.52,53.65,106250
2018-04-23 07:00:00,53.97,54.3,52.02,53.32,164650
2018-04-24 07:00:00,53.32,53.65,52.67,53.65,149860
2018-04-26 07:00:00,54.3,54.43,53.0,53.26,122900
2018-04-27 07:00:00,53.0,53.32,52.35,53.32,140120
2018-05-02 07:00:00,53.97,53.97,52.35,53.0,101420
2018-05-03 07:00:00,53.32,53.32,52.09,53.0,103170
2018-05-04 07:00:00,53.32,53.78,52.67,52.93,83030
2018-05-07 07:00:00,52.93,53.0,50.72,51.7,85350
2018-05-08 07:00:00,51.37,51.37,49.1,49.1,118110
2018-05-09 07:00:00,48.77,48.77,47.14,47.79,140310
2018-05-10 07:00:00,46.88,47.73,46.17,46.17,111260
2018-05-11 07:00:00,46.17,46.17,44.22,45.52,72350
2018-05-14 07:00:00,45.52,46.49,45.39,46.17,75220
2018-05-15 07:00:00,45.52,46.3,45.52,45.58,90040
2018-05-16 07:00:00,45.06,45.52,44.87,44.93,91730
2018-05-17 07:00:00,45.52,45.71,45.26,45.32,43170
2018-05-18 07:00:00,45.52,45.58,45.26,45.52,53280
2018-05-21 07:00:00,44.54,45.65,44.54,45.19,65640
2018-05-22 07:00:00,45.19,45.19,43.89,43.89,70850
2018-05-23 07:00:00,43.57,43.57,42.92,43.5,57130
2018-05-24 07:00:00,42.59,43.24,42.59,42.92,60480
2018-05-25 07:00:00,42.59,42.59,41.81,42.4,84480
2018-05-28 07:00:00,41.62,41.75,40.97,40.97,93020
2018-05-29 07:00:00,40.97,41.03,38.37,38.37,171350
2018-05-30 07:00:00,38.56,41.03,38.56,41.03,62050
2018-05-31 07:00:00,41.03,43.18,41.03,42.14,52930
2018-06-01 07:00:00,40.19,45.06,40.19,45.06,91370
2018-06-04 07:00:00,45.45,45.45,44.22,45.19,80290
2018-06-05 07:00:00,44.54,45.06,44.35,44.67,140830
2018-06-06 07:00:00,44.87,44.87,43.89,44.54,80910
2018-06-07 07:00:00,44.87,45.45,44.22,44.61,68740
2018-06-08 07:00:00,44.61,44.61,43.5,43.7,96500
2018-06-11 07:00:00,44.35,44.35,42.92,43.37,73340
2018-06-12 07:00:00,42.98,43.24,42.33,42.92,81340
2018-06-13 07:00:00,44.22,44.22,42.66,43.5,71040
2018-06-14 07:00:00,43.76,44.02,42.92,43.5,116820
2018-06-15 07:00:00,43.89,44.09,43.24,43.57,51190
2018-06-18 07:00:00,44.91,44.91,41.56,43.57,59800
2018-06-19 07:00:00,43.57,43.57,40.89,41.09,57360
2018-06-20 07:00:00,41.56,42.9,41.22,42.56,60870
2018-06-21 07:00:00,43.03,43.23,40.89,42.83,90220
2018-06-22 07:00:00,42.9,42.9,41.56,42.76,57950
2018-06-25 07:00:00,42.9,42.9,42.03,42.36,53540
2018-06-26 07:00:00,42.9,42.9,41.62,42.23,62820
2018-06-27 07:00:00,42.56,42.56,42.23,42.36,63680
2018-06-28 07:00:00,42.56,42.56,41.83,42.16,58360
2018-06-29 07:00:00,42.56,42.56,41.76,42.16,60000
2018-07-02 07:00:00,42.36,42.36,41.42,41.89,71800
2018-07-03 07:00:00,41.89,41.89,40.89,41.56,92360
2018-07-04 07:00:00,41.56,41.96,40.95,41.83,68840
2018-07-05 07:00:00,41.42,41.89,41.42,41.83,59910
2018-07-06 07:00:00,41.69,41.83,41.42,41.83,68930
2018-07-09 07:00:00,41.83,42.56,41.56,42.16,68460
2018-07-10 07:00:00,42.23,42.5,42.16,42.23,60290
2018-07-11 07:00:00,41.76,42.23,41.42,41.69,54950
2018-07-12 07:00:00,42.5,42.5,39.55,40.89,126380
2018-07-13 07:00:00,40.89,42.23,38.21,41.02,55100
2018-07-16 07:00:00,41.42,41.56,41.02,41.02,51320
2018-07-17 07:00:00,41.02,41.22,40.89,41.09,55530
2018-07-18 07:00:00,41.16,41.89,41.02,41.22,51800
2018-07-19 07:00:00,41.49,41.49,40.55,40.75,54330
2018-07-20 07:00:00,41.42,41.42,40.55,40.75,64000
2018-07-23 07:00:00,40.89,41.42,40.62,41.02,50120
2018-07-24 07:00:00,40.82,41.22,40.82,41.22,51990
2018-07-25 07:00:00,41.22,41.76,41.22,41.76,61350
2018-07-26 07:00:00,41.89,42.36,41.89,42.16,57380
2018-07-27 07:00:00,42.23,42.36,41.89,42.23,70940
2018-07-30 07:00:00,42.23,42.23,41.69,42.23,54550
2018-07-31 07:00:00,41.89,42.16,41.62,42.03,53490
2018-08-01 07:00:00,41.76,42.16,41.49,42.16,70310
2018-08-02 07:00:00,41.89,42.36,41.83,42.03,52300
2018-08-03 07:00:00,42.23,42.23,41.56,42.03,51420
2018-08-06 07:00:00,41.36,42.23,41.22,42.09,80250
2018-08-07 07:00:00,42.23,44.91,42.23,44.84,255960
2018-08-08 07:00:00,44.84,45.38,43.3,43.57,109180
2018-08-09 07:00:00,43.57,44.24,43.37,43.57,102890
2018-08-10 07:00:00,43.43,43.57,42.23,43.1,102800
2018-08-13 07:00:00,43.17,43.43,41.96,42.09,88960
2018-08-14 07:00:00,42.09,42.9,41.76,42.83,80880
2018-08-15 07:00:00,43.1,43.1,41.89,42.5,86700
2018-08-16 07:00:00,43.23,43.23,41.89,42.36,69790
2018-08-17 07:00:00,42.9,42.9,42.03,42.43,74260
2018-08-20 07:00:00,42.83,42.83,42.43,42.5,71810
2018-08-21 07:00:00,42.83,42.83,41.89,42.56,69390
2018-08-22 07:00:00,42.23,42.63,41.56,42.56,96360
2018-08-23 07:00:00,42.23,42.29,41.16,41.36,61540
2018-08-24 07:00:00,41.36,41.56,41.22,41.56,56790
2018-08-27 07:00:00,41.56,41.89,41.36,41.69,58630
2018-08-28 07:00:00,42.03,42.09,41.36,41.89,71390
2018-08-29 07:00:00,42.16,42.16,41.36,41.76,62260
2018-08-30 07:00:00,41.83,42.23,41.62,42.03,61290
2018-08-31 07:00:00,42.09,42.09,41.49,41.89,59620
2018-09-04 07:00:00,42.23,42.23,41.22,41.22,54940
2018-09-05 07:00:00,41.22,41.83,41.22,41.69,50880
2018-09-06 07:00:00,41.89,41.89,41.56,41.69,50070
2018-09-07 07:00:00,41.76,41.83,41.22,41.69,56310
2018-09-10 07:00:00,41.83,41.83,41.09,41.83,51430
2018-09-11 07:00:00,41.76,41.83,41.49,41.76,52210
2018-09-12 07:00:00,41.83,41.83,41.62,41.83,59970
2018-09-13 07:00:00,41.83,41.83,41.22,41.36,55440
2018-09-14 07:00:00,41.89,41.89,41.16,41.16,59050
2018-09-17 07:00:00,41.16,41.29,40.69,41.02,51540
2018-09-18 07:00:00,41.02,41.49,40.69,41.09,55030
2018-09-19 07:00:00,40.75,41.56,40.55,41.16,52700
2018-09-20 07:00:00,41.16,41.83,40.75,41.76,60390
2018-09-21 07:00:00,41.76,41.96,41.76,41.89,51010
2018-09-24 07:00:00,41.89,42.09,41.89,42.03,56980
2018-09-25 07:00:00,42.16,42.16,41.96,42.16,55090
2018-09-26 07:00:00,42.23,42.29,41.83,42.16,55210
2018-09-27 07:00:00,42.23,42.43,42.09,42.36,69340
2018-09-28 07:00:00,42.9,43.97,42.76,43.57,139230
2018-10-01 07:00:00,44.57,45.04,43.9,44.24,120530
2018-10-02 07:00:00,44.24,44.84,44.24,44.64,130840
2018-10-03 07:00:00,45.04,45.18,44.84,45.18,111510
2018-10-04 07:00:00,45.51,45.58,44.57,44.57,130840
2018-10-05 07:00:00,44.91,44.91,44.37,44.57,108540
2018-10-08 07:00:00,44.77,44.77,43.9,43.9,120990
2018-10-09 07:00:00,43.9,43.97,43.57,43.57,100400
2018-10-10 07:00:00,43.7,44.64,43.57,44.64,133520
2018-10-11 07:00:00,44.24,44.24,43.43,44.24,92130
2018-10-12 07:00:00,43.7,44.57,43.43,44.57,104070
2018-10-15 07:00:00,44.57,45.38,44.51,45.31,108220
2018-10-16 07:00:00,45.44,46.12,45.44,46.12,121880
2018-10-17 07:00:00,46.12,46.85,46.12,46.79,115570
2018-10-18 07:00:00,46.79,46.85,46.45,46.72,91670
2018-10-19 07:00:00,46.45,46.58,45.71,46.58,106900
2018-10-22 07:00:00,46.72,47.52,46.25,47.25,123180
2018-10-23 07:00:00,47.32,47.32,45.24,45.85,87950
2018-10-24 07:00:00,45.91,46.18,45.85,46.18,104150
2018-10-25 07:00:00,44.24,45.58,44.04,45.58,110770
2018-10-26 07:00:00,45.78,45.98,45.24,45.51,90400
2018-10-29 07:00:00,45.51,45.51,44.24,44.24,113860
2018-10-30 07:00:00,44.24,44.71,43.23,43.9,131100
2018-10-31 07:00:00,43.9,44.24,43.57,44.04,98390
2018-11-01 07:00:00,44.04,44.51,43.57,43.97,92050
2018-11-02 07:00:00,43.97,44.17,43.64,44.1,97960
2018-11-05 07:00:00,44.1,44.64,44.1,44.44,108180
2018-11-06 07:00:00,44.77,45.04,43.57,43.57,118370
2018-11-07 07:00:00,43.57,44.24,43.43,43.57,165730
2018-11-08 07:00:00,43.57,43.9,43.43,43.84,149090
2018-11-09 07:00:00,43.84,44.1,43.64,43.97,102960
2018-11-12 07:00:00,43.97,44.1,43.64,44.1,94610
2018-11-13 07:00:00,44.1,44.17,43.5,43.57,113280
2018-11-14 07:00:00,43.7,43.97,43.43,43.57,86660
