time,open,high,low,close,volume
2020-03-18 07:00:00,15.91,15.91,15.91,15.91,100
2020-03-20 07:00:00,17.47,17.47,17.47,17.47,100
2020-03-23 07:00:00,19.21,19.21,19.21,19.21,100
2020-03-24 07:00:00,19.21,19.21,19.21,19.21,5
2020-03-26 07:00:00,19.94,19.94,19.94,19.94,100
2020-04-07 07:00:00,21.02,21.02,21.02,21.02,100
2020-04-08 07:00:00,21.02,21.02,21.02,21.02,100
2020-04-09 07:00:00,20.66,21.02,19.94,19.94,2800
2020-04-16 07:00:00,19.94,19.94,19.94,19.94,200
2020-04-20 07:00:00,19.94,20.3,19.94,19.94,1500
2020-04-23 07:00:00,19.94,19.94,19.94,19.94,500
2020-05-18 07:00:00,19.57,19.57,19.57,19.57,700
2020-05-28 07:00:00,19.21,19.21,19.21,19.21,2000
2020-06-10 07:00:00,19.21,19.21,19.21,19.21,100
2020-06-25 07:00:00,19.21,19.21,19.21,19.21,200
2020-06-29 07:00:00,19.21,19.21,19.21,19.21,2800
2020-07-01 07:00:00,18.85,18.85,18.85,18.85,700
2020-07-09 07:00:00,18.85,18.85,18.85,18.85,500
2020-07-17 07:00:00,18.63,18.63,18.63,18.63,1600
2020-07-23 07:00:00,17.57,18.85,17.57,18.85,200
2020-07-27 07:00:00,18.67,18.67,18.67,18.67,300
2020-08-04 07:00:00,17.02,18.3,16.8,18.3,1900
2020-08-05 07:00:00,18.12,18.3,16.47,18.3,1800
2020-08-06 07:00:00,17.2,17.2,16.47,16.47,900
2020-08-07 07:00:00,17.69,17.69,17.69,17.69,200
2020-08-10 07:00:00,18.96,18.96,18.96,18.96,100
2020-08-11 07:00:00,18.87,18.87,18.87,18.87,2500
2020-08-13 07:00:00,18.83,18.83,17.69,17.69,200
2020-08-17 07:00:00,18.11,18.11,18.11,18.11,100
2020-08-18 07:00:00,18.11,18.11,18.11,18.11,100
2020-08-20 07:00:00,18.32,18.53,18.11,18.53,500
2020-08-27 07:00:00,17.06,17.06,17.06,17.06,200
2020-08-31 07:00:00,16.39,16.85,16.39,16.85,200
2020-09-07 07:00:00,17.69,17.69,17.69,17.69,100
2020-09-08 07:00:00,16.01,16.85,16.01,16.85,400
2020-09-14 07:00:00,16.85,16.85,16.85,16.85,4200
2020-09-16 07:00:00,16.85,16.85,16.81,16.81,2100
2020-09-17 07:00:00,16.81,16.85,16.81,16.85,1200
2020-09-21 07:00:00,16.64,16.64,16.64,16.64,100
2020-09-23 07:00:00,16.64,16.64,16.01,16.22,2817
2020-09-24 07:00:00,16.22,16.43,16.22,16.43,301
2020-09-25 07:00:00,16.43,16.43,16.39,16.39,1429
2020-09-29 07:00:00,16.34,16.34,16.34,16.34,300
2020-10-05 07:00:00,15.16,15.25,15.16,15.16,2205
2020-10-06 07:00:00,15.16,15.16,15.16,15.16,1000
2020-10-07 07:00:00,15.16,15.16,15.16,15.16,10
2020-10-08 07:00:00,16.01,16.01,16.01,16.01,100
2020-10-09 07:00:00,16.01,16.01,16.01,16.01,1400
2020-10-12 07:00:00,16.01,16.01,16.01,16.01,15
2020-10-13 07:00:00,14.78,15.96,14.78,15.96,200
2020-10-15 07:00:00,15.96,15.96,15.96,15.96,325
2020-10-16 07:00:00,15.21,15.21,15.16,15.16,200
2020-10-19 07:00:00,15.21,16.05,15.16,16.05,4800
2020-10-20 07:00:00,16.01,16.01,15.8,15.8,825
2020-10-21 07:00:00,15.8,15.8,15.38,15.38,6600
2020-10-22 07:00:00,15.16,15.38,15.16,15.38,2200
2020-10-23 07:00:00,15.16,15.16,15.16,15.16,1200
2020-10-26 07:00:00,15.25,15.29,15.25,15.29,400
2020-10-27 07:00:00,15.33,15.5,15.33,15.5,2000
2020-10-28 07:00:00,15.96,15.96,15.96,15.96,100
2020-11-02 07:00:00,15.92,15.92,15.92,15.92,600
2020-11-03 07:00:00,15.92,15.92,15.92,15.92,25
2020-11-05 07:00:00,14.78,14.78,14.78,14.78,100
2020-11-09 07:00:00,15.75,15.75,15.75,15.75,100
2020-11-10 07:00:00,15.71,15.75,15.71,15.75,600
2020-11-11 07:00:00,15.71,15.8,15.71,15.8,200
2020-11-13 07:00:00,15.8,15.8,15.8,15.8,100
2020-11-16 07:00:00,15.21,15.59,15.21,15.59,1200
2020-11-17 07:00:00,15.54,15.59,15.54,15.59,300
2020-11-18 07:00:00,15.59,15.59,15.59,15.59,200
2020-11-19 07:00:00,15.59,15.59,15.59,15.59,1400
2020-11-24 07:00:00,15.59,15.59,15.59,15.59,225
2020-11-27 07:00:00,15.59,15.59,15.59,15.59,920
2020-11-30 07:00:00,15.59,15.59,15.5,15.5,600
2020-12-01 07:00:00,15.5,15.5,15.5,15.5,200
2020-12-03 07:00:00,15.96,15.96,15.96,15.96,800
2020-12-04 07:00:00,16.01,16.51,16.01,16.51,3200
2020-12-07 07:00:00,16.56,16.56,16.51,16.51,200
2020-12-09 07:00:00,16.51,17.52,16.51,17.52,1400
2020-12-11 07:00:00,17.48,17.48,17.4,17.4,300
2020-12-14 07:00:00,17.36,17.73,17.36,17.73,1400
2020-12-15 07:00:00,19.38,19.38,19.38,19.38,100
2020-12-16 07:00:00,18.96,19.63,18.96,19.59,400
2020-12-17 07:00:00,19.59,19.8,19.59,19.8,400
2020-12-18 07:00:00,19.8,19.8,19.59,19.59,605
2020-12-21 07:00:00,19.59,19.59,19.59,19.59,100
2020-12-22 07:00:00,19.55,19.55,19.55,19.55,200
2020-12-28 07:00:00,17.61,18.91,17.61,18.91,400
2020-12-29 07:00:00,18.79,18.79,18.74,18.79,5300
2020-12-30 07:00:00,19.44,19.44,18.31,18.31,300
2021-01-05 07:00:00,16.65,19.18,16.65,19.18,200
2021-01-07 07:00:00,18.74,18.74,18.66,18.66,2500
2021-01-11 07:00:00,18.31,18.31,16.83,18.31,5500
2021-01-12 07:00:00,17.44,17.44,17.44,17.44,200
2021-01-13 07:00:00,17.87,17.87,17.04,17.04,1100
2021-01-14 07:00:00,17.44,17.44,17.44,17.44,620
2021-01-15 07:00:00,17.83,17.87,17.65,17.65,1900
2021-01-18 07:00:00,17.65,17.7,17.65,17.65,5000
2021-01-19 07:00:00,17.65,17.65,17.65,17.65,900
2021-01-20 07:00:00,17.65,17.65,17.65,17.65,80
2021-01-21 07:00:00,16.56,17.83,15.95,17.83,5000
2021-01-22 07:00:00,17.87,18.74,17.87,18.74,1800
2021-01-26 07:00:00,17.22,17.22,17.0,17.0,400
2021-01-27 07:00:00,18.61,18.66,18.61,18.66,5100
2021-01-29 07:00:00,17.44,17.57,17.44,17.52,5600
2021-02-01 07:00:00,17.44,17.44,17.44,17.44,600
2021-02-02 07:00:00,16.35,16.35,16.35,16.35,500
2021-02-03 07:00:00,17.39,17.39,17.39,17.39,100
2021-02-05 07:00:00,17.22,17.22,17.22,17.22,400
2021-02-09 07:00:00,17.22,17.3,17.22,17.3,401
2021-02-18 07:00:00,17.52,17.52,17.52,17.52,3900
2021-02-19 07:00:00,18.26,18.26,18.26,18.26,200
2021-02-22 07:00:00,18.09,18.09,17.65,17.65,2600
2021-02-23 07:00:00,17.61,17.61,17.61,17.61,100
2021-02-24 07:00:00,17.57,17.57,17.48,17.48,3000
2021-02-25 07:00:00,17.48,17.48,17.35,17.35,5000
2021-02-26 07:00:00,17.26,17.26,17.22,17.22,5000
2021-03-01 07:00:00,17.26,17.26,17.0,17.26,4400
2021-03-02 07:00:00,17.44,17.44,17.44,17.44,100
2021-03-03 07:00:00,17.44,17.44,17.22,17.22,2100
2021-03-04 07:00:00,17.0,17.0,17.0,17.0,100
2021-03-05 07:00:00,17.0,17.0,17.0,17.0,79
2021-03-08 07:00:00,17.44,17.44,17.44,17.44,800
2021-03-09 07:00:00,17.44,17.44,17.22,17.44,3600
2021-03-10 07:00:00,17.44,17.44,17.39,17.39,2400
2021-03-11 07:00:00,17.44,17.83,17.44,17.83,7100
2021-03-12 07:00:00,17.83,17.83,17.78,17.83,700
2021-03-15 07:00:00,17.44,17.52,17.44,17.44,2400
2021-03-16 07:00:00,17.65,17.65,17.65,17.65,400
2021-03-17 07:00:00,17.44,17.78,17.44,17.78,450
2021-03-18 07:00:00,18.09,18.09,18.09,18.09,500
2021-03-22 07:00:00,18.09,18.09,18.09,18.09,205
2021-03-23 07:00:00,17.48,18.4,17.48,18.31,1300
2021-03-24 07:00:00,18.09,18.09,17.65,17.65,500
2021-03-26 07:00:00,17.65,17.65,17.65,17.65,200
2021-03-30 07:00:00,17.7,17.7,17.7,17.7,100
2021-03-31 07:00:00,17.74,17.74,17.74,17.74,200
2021-04-02 07:00:00,17.87,18.09,17.87,18.09,1500
2021-04-05 07:00:00,18.13,18.13,17.52,17.87,5400
2021-04-06 07:00:00,17.65,18.96,17.44,18.96,16500
2021-04-07 07:00:00,18.48,18.53,17.87,17.92,4400
2021-04-08 07:00:00,19.35,19.35,19.35,19.35,1200
2021-04-09 07:00:00,18.13,18.22,18.13,18.22,4800
2021-04-12 07:00:00,17.87,18.22,17.74,18.22,9600
2021-04-13 07:00:00,17.87,17.87,17.7,17.7,700
2021-04-14 07:00:00,18.09,18.09,18.09,18.09,100
2021-04-16 07:00:00,17.78,18.05,17.78,17.83,700
2021-04-20 07:00:00,18.22,18.22,17.87,17.92,4700
2021-04-22 07:00:00,17.87,17.87,17.78,17.78,5300
2021-04-23 07:00:00,17.74,17.74,17.7,17.74,1500
2021-04-26 07:00:00,17.87,18.26,17.87,18.26,1000
2021-04-27 07:00:00,17.74,18.22,16.52,18.22,3500
2021-04-28 07:00:00,18.18,18.18,18.18,18.18,2020
2021-04-29 07:00:00,18.18,18.18,17.87,17.87,2400
2021-05-04 07:00:00,17.22,17.22,17.22,17.22,400
2021-05-06 07:00:00,18.31,18.92,18.31,18.74,600
2021-05-11 07:00:00,18.48,18.48,17.78,17.87,3600
2021-05-12 07:00:00,17.87,17.87,17.87,17.87,100
2021-05-13 07:00:00,18.53,19.09,17.87,17.87,4000
2021-05-18 07:00:00,17.87,17.87,17.87,17.87,600
2021-05-19 07:00:00,18.31,18.31,18.31,18.31,100
2021-05-20 07:00:00,17.87,17.87,17.87,17.87,100
2021-05-21 07:00:00,18.31,18.31,17.96,17.96,7600
2021-05-24 07:00:00,17.96,17.96,17.92,17.92,500
2021-05-25 07:00:00,17.87,17.87,17.87,17.87,500
2021-05-26 07:00:00,17.87,17.87,17.87,17.87,400
2021-05-27 07:00:00,17.87,17.87,17.57,17.7,1300
2021-05-31 07:00:00,18.09,18.09,18.09,18.09,5000
