time,open,high,low,close,volume
2018-01-02 07:00:00,17.58,17.58,17.24,17.24,182570
2018-01-03 07:00:00,17.24,17.24,16.93,17.06,445620
2018-01-04 07:00:00,17.06,17.24,17.01,17.09,153380
2018-01-05 07:00:00,17.19,17.86,17.19,17.71,299510
2018-01-08 07:00:00,17.71,18.38,17.6,18.02,284520
2018-01-09 07:00:00,18.28,18.36,18.02,18.25,247820
2018-01-10 07:00:00,18.12,18.33,18.07,18.23,192790
2018-01-11 07:00:00,18.23,18.74,17.91,18.74,439110
2018-01-12 07:00:00,18.48,18.87,18.43,18.48,302360
2018-01-15 07:00:00,18.51,19.0,18.23,18.9,159170
2018-01-16 07:00:00,18.82,18.9,18.38,18.64,192470
2018-01-17 07:00:00,18.07,18.64,18.07,18.07,199400
2018-01-18 07:00:00,18.07,18.12,17.5,17.91,217440
2018-01-19 07:00:00,17.91,18.1,17.5,17.6,276800
2018-01-22 07:00:00,17.6,17.86,17.29,17.45,151180
2018-01-25 07:00:00,17.68,17.68,16.98,17.03,361490
2018-01-26 07:00:00,17.06,17.55,17.03,17.35,231630
2018-01-29 07:00:00,17.14,17.24,16.31,16.31,605370
2018-01-30 07:00:00,16.57,16.75,16.34,16.57,280640
2018-01-31 07:00:00,16.78,17.14,16.65,16.93,263870
2018-02-01 07:00:00,17.03,17.09,16.78,16.93,251780
2018-02-02 07:00:00,16.93,16.98,16.72,16.83,182880
2018-02-05 07:00:00,16.83,16.83,16.31,16.52,231250
2018-02-06 07:00:00,15.95,15.95,15.38,15.58,486810
2018-02-07 07:00:00,15.92,16.36,15.9,16.05,136960
2018-02-08 07:00:00,16.26,16.31,15.53,16.0,53360
2018-02-09 07:00:00,16.0,16.15,15.22,16.0,64520
2018-02-12 07:00:00,15.95,16.31,15.95,16.28,68970
2018-02-13 07:00:00,16.47,16.47,16.23,16.39,158730
2018-02-21 07:00:00,16.57,16.67,16.44,16.67,46950
2018-02-22 07:00:00,16.67,17.09,16.52,16.98,251220
2018-02-23 07:00:00,17.19,17.29,16.98,17.14,99920
2018-02-26 07:00:00,17.19,17.24,16.98,17.06,71230
2018-02-27 07:00:00,17.03,17.06,16.47,16.57,133820
2018-02-28 07:00:00,16.52,16.83,16.31,16.78,127950
2018-03-01 07:00:00,16.57,16.83,16.47,16.57,135060
2018-03-02 07:00:00,16.57,17.71,16.57,17.71,604270
2018-03-05 07:00:00,17.91,18.38,17.6,17.76,313970
2018-03-06 07:00:00,17.76,18.12,17.5,17.89,309120
2018-03-07 07:00:00,18.12,18.12,17.71,17.91,127640
2018-03-08 07:00:00,17.91,18.23,17.71,17.73,352640
2018-03-09 07:00:00,18.07,18.59,17.66,18.12,489120
2018-03-12 07:00:00,18.38,18.38,17.94,17.94,71420
2018-03-13 07:00:00,17.91,18.28,17.91,18.23,308300
2018-03-14 07:00:00,18.25,18.51,18.23,18.46,169580
2018-03-15 07:00:00,18.54,19.05,18.46,18.64,306090
2018-03-16 07:00:00,18.8,18.9,18.43,18.64,191520
2018-03-19 07:00:00,18.92,18.92,18.46,18.64,105060
2018-03-20 07:00:00,18.38,18.59,18.07,18.07,120830
2018-03-21 07:00:00,18.07,18.12,17.86,18.12,99990
2018-03-22 07:00:00,18.38,18.38,17.99,18.07,32180
2018-03-23 07:00:00,17.09,17.97,17.09,17.97,76530
2018-03-26 07:00:00,17.84,17.91,17.76,17.89,45450
2018-03-27 07:00:00,18.12,18.64,17.84,17.84,129000
2018-03-28 07:00:00,17.84,18.38,17.84,18.23,61390
2018-03-29 07:00:00,18.23,18.38,18.12,18.12,53270
2018-03-30 07:00:00,18.38,18.38,18.12,18.17,73250
2018-04-02 07:00:00,18.36,18.38,17.86,17.86,84890
2018-04-03 07:00:00,17.86,18.2,17.86,17.97,12070
2018-04-04 07:00:00,17.91,18.1,17.81,17.86,64450
2018-04-05 07:00:00,18.1,18.12,17.71,18.02,86270
2018-04-06 07:00:00,18.02,18.23,17.89,18.2,37120
2018-04-09 07:00:00,18.2,18.2,17.89,18.02,36180
2018-04-10 07:00:00,18.07,18.07,17.71,17.86,32800
2018-04-11 07:00:00,17.86,17.86,17.4,17.6,73450
2018-04-12 07:00:00,17.35,17.81,17.35,17.5,10980
2018-04-13 07:00:00,17.81,17.81,17.4,17.5,32080
2018-04-16 07:00:00,17.5,17.5,17.14,17.4,22190
2018-04-17 07:00:00,17.6,17.6,17.19,17.4,12680
2018-04-18 07:00:00,17.35,17.4,17.09,17.09,28790
2018-04-19 07:00:00,17.03,17.03,16.67,16.8,67420
2018-04-20 07:00:00,16.83,17.03,16.72,16.8,20150
2018-04-23 07:00:00,16.67,17.22,16.05,16.75,50610
2018-04-24 07:00:00,16.15,16.85,16.15,16.78,15230
2018-04-26 07:00:00,16.72,16.72,15.92,15.92,29950
2018-04-27 07:00:00,15.74,16.57,15.74,16.31,41830
2018-05-02 07:00:00,16.31,16.31,15.9,15.9,21890
2018-05-03 07:00:00,16.78,16.78,15.9,16.57,48190
2018-05-04 07:00:00,16.78,16.78,16.57,16.57,24300
