time,open,high,low,close,volume
2018-01-02 07:00:00,9.53,9.56,9.44,9.56,12840
2018-01-03 07:00:00,9.56,10.14,9.56,10.01,76780
2018-01-04 07:00:00,10.01,10.01,9.56,9.88,13960
2018-01-05 07:00:00,9.88,9.88,9.56,9.69,12040
2018-01-08 07:00:00,9.69,9.69,9.44,9.69,27870
2018-01-09 07:00:00,9.56,9.69,9.02,9.63,67760
2018-01-10 07:00:00,9.5,9.56,9.31,9.56,20580
2018-01-11 07:00:00,9.12,9.56,9.12,9.56,6510
2018-01-12 07:00:00,9.56,9.56,9.24,9.56,34760
2018-01-15 07:00:00,9.5,9.5,9.47,9.5,5100
2018-01-16 07:00:00,9.31,9.5,9.24,9.44,14230
2018-01-17 07:00:00,9.44,9.47,9.18,9.44,14600
2018-01-18 07:00:00,9.37,9.37,9.24,9.37,1040
2018-01-19 07:00:00,9.37,9.47,9.18,9.37,7760
2018-01-22 07:00:00,9.31,9.37,9.18,9.37,31750
2018-01-25 07:00:00,9.31,9.31,9.12,9.12,54690
2018-01-26 07:00:00,9.18,9.24,9.18,9.18,3710
2018-01-29 07:00:00,9.05,9.05,8.99,9.02,44600
2018-01-30 07:00:00,9.02,9.02,8.8,8.89,17960
2018-01-31 07:00:00,8.86,9.44,8.86,9.31,21110
2018-02-01 07:00:00,9.24,9.24,8.99,9.24,58570
2018-02-02 07:00:00,9.24,9.31,9.05,9.31,16500
2018-02-05 07:00:00,9.31,9.31,8.99,9.18,24760
2018-02-06 07:00:00,8.67,9.12,8.54,9.12,13950
2018-02-07 07:00:00,9.12,9.12,8.86,9.09,11420
2018-02-08 07:00:00,8.73,9.05,8.73,9.05,25010
2018-02-09 07:00:00,8.67,8.99,8.67,8.99,19670
2018-02-12 07:00:00,8.99,9.15,8.67,9.15,14840
2018-02-13 07:00:00,8.93,9.79,8.93,9.79,16130
2018-02-21 07:00:00,9.88,10.01,9.56,9.75,10110
2018-02-22 07:00:00,9.28,9.63,9.28,9.56,1310
2018-02-23 07:00:00,9.69,9.75,9.63,9.75,2900
2018-02-26 07:00:00,9.75,9.75,9.24,9.56,4430
2018-02-27 07:00:00,9.24,9.56,9.24,9.56,3730
2018-02-28 07:00:00,9.24,9.5,9.24,9.44,5640
2018-03-01 07:00:00,9.44,9.53,9.44,9.44,3410
2018-03-02 07:00:00,9.37,9.37,9.05,9.05,13490
2018-03-05 07:00:00,9.24,9.37,9.05,9.37,10880
2018-03-06 07:00:00,9.37,9.5,8.99,9.5,15320
2018-03-07 07:00:00,9.18,9.47,9.05,9.47,8950
2018-03-08 07:00:00,9.37,9.44,9.18,9.44,8410
2018-03-09 07:00:00,9.53,9.53,9.12,9.37,4670
2018-03-12 07:00:00,9.37,9.37,9.05,9.31,21530
2018-03-13 07:00:00,9.18,9.24,8.93,8.93,8630
2018-03-14 07:00:00,8.93,9.24,8.93,9.24,12420
2018-03-15 07:00:00,9.31,9.37,9.24,9.24,4530
2018-03-16 07:00:00,9.24,9.31,9.12,9.24,13680
2018-03-19 07:00:00,9.12,9.12,8.86,9.05,23290
2018-03-20 07:00:00,8.93,9.24,8.86,9.24,14550
2018-03-21 07:00:00,9.12,9.18,8.93,9.12,7880
2018-03-22 07:00:00,9.09,9.09,9.09,9.09,2800
2018-03-23 07:00:00,8.93,9.12,8.86,9.02,9560
2018-03-26 07:00:00,8.99,9.24,8.86,9.18,9060
2018-03-27 07:00:00,9.24,9.24,8.83,9.05,8930
2018-03-28 07:00:00,8.93,8.99,8.93,8.99,1920
2018-03-29 07:00:00,8.99,8.99,8.93,8.96,5020
2018-03-30 07:00:00,8.86,8.93,8.73,8.86,16240
2018-04-02 07:00:00,8.8,8.89,8.61,8.67,15260
2018-04-03 07:00:00,8.51,8.67,8.29,8.67,9760
2018-04-04 07:00:00,8.54,8.54,8.16,8.38,37560
2018-04-05 07:00:00,8.42,8.42,8.29,8.42,12010
2018-04-06 07:00:00,8.42,8.54,8.35,8.54,4010
2018-04-09 07:00:00,8.61,8.73,8.61,8.73,12590
2018-04-10 07:00:00,8.67,8.89,8.67,8.73,12310
2018-04-11 07:00:00,8.93,8.93,8.42,8.42,3560
2018-04-12 07:00:00,8.61,8.61,8.42,8.54,2290
2018-04-13 07:00:00,8.54,8.77,8.54,8.67,28110
2018-04-16 07:00:00,8.67,8.73,8.67,8.67,1890
2018-04-17 07:00:00,8.48,8.64,8.48,8.61,1500
2018-04-18 07:00:00,8.38,8.73,8.38,8.61,5350
2018-04-19 07:00:00,8.7,8.7,8.67,8.7,720
2018-04-20 07:00:00,8.7,8.73,8.7,8.7,1850
