time,open,high,low,close,volume
2020-10-12 07:00:00,8.21,8.21,8.21,8.21,168800
2020-10-13 07:00:00,9.03,9.03,9.03,9.03,128000
2020-10-14 07:00:00,9.91,9.91,8.84,8.84,202600
2020-10-15 07:00:00,8.36,8.36,8.05,8.21,130727
2020-10-16 07:00:00,8.18,8.21,7.67,7.83,99900
2020-10-19 07:00:00,7.83,7.86,7.51,7.51,90800
2020-10-20 07:00:00,7.51,7.51,7.29,7.45,145900
2020-10-21 07:00:00,7.45,7.61,7.42,7.54,132800
2020-10-22 07:00:00,7.54,7.64,7.48,7.54,97500
2020-10-23 07:00:00,7.54,7.67,7.51,7.64,129920
2020-10-26 07:00:00,7.64,7.73,7.64,7.73,99930
2020-10-27 07:00:00,7.73,7.83,7.64,7.8,123600
2020-10-28 07:00:00,7.73,7.77,7.58,7.58,119900
2020-10-29 07:00:00,7.58,7.58,7.39,7.45,99900
2020-10-30 07:00:00,7.42,7.48,7.35,7.45,89900
2020-11-02 07:00:00,7.48,7.54,7.39,7.42,98800
2020-11-03 07:00:00,7.42,7.51,7.26,7.48,145100
2020-11-04 07:00:00,7.45,7.89,7.29,7.89,204801
2020-11-05 07:00:00,7.95,8.33,7.86,8.3,249900
2020-11-06 07:00:00,8.33,8.81,8.33,8.74,270631
2020-11-09 07:00:00,8.84,8.84,8.62,8.71,210115
2020-11-10 07:00:00,8.84,9.15,8.71,9.15,190100
2020-11-11 07:00:00,9.25,9.25,9.03,9.06,161130
2020-11-12 07:00:00,9.12,9.15,8.96,9.06,204600
2020-11-13 07:00:00,9.12,9.38,9.03,9.34,228800
2020-11-16 07:00:00,9.38,9.66,9.31,9.6,252400
2020-11-17 07:00:00,9.72,9.91,9.6,9.88,199900
2020-11-18 07:00:00,9.94,10.07,9.85,9.97,207723
2020-11-19 07:00:00,9.97,10.01,9.88,9.88,168800
2020-11-20 07:00:00,9.91,9.94,9.82,9.91,235000
2020-11-23 07:00:00,9.94,9.97,9.79,9.82,222335
2020-11-24 07:00:00,9.79,9.88,9.69,9.72,166600
2020-11-25 07:00:00,9.66,9.79,9.66,9.75,143800
2020-11-26 07:00:00,9.66,9.79,9.56,9.6,119900
2020-11-27 07:00:00,9.6,9.91,9.5,9.88,266300
2020-11-30 07:00:00,9.91,10.04,9.88,10.01,240900
2020-12-01 07:00:00,10.01,10.16,9.91,10.16,211279
2020-12-02 07:00:00,10.16,10.23,10.16,10.23,184700
2020-12-03 07:00:00,10.23,10.42,9.94,10.42,228500
2020-12-04 07:00:00,10.42,10.48,10.35,10.35,231700
2020-12-07 07:00:00,10.35,10.57,10.29,10.54,258915
2020-12-08 07:00:00,10.54,10.57,10.45,10.45,90310
2020-12-09 07:00:00,10.45,10.54,10.39,10.51,100800
2020-12-10 07:00:00,10.51,10.54,10.45,10.51,107700
2020-12-11 07:00:00,10.51,11.41,10.51,10.74,333315
2020-12-14 07:00:00,10.74,10.77,10.7,10.74,66634
2020-12-15 07:00:00,10.74,10.8,10.7,10.7,69900
2020-12-16 07:00:00,10.67,10.74,10.64,10.74,51500
2020-12-17 07:00:00,10.74,10.8,10.7,10.77,79000
2020-12-18 07:00:00,10.77,10.96,10.77,10.96,107205
2020-12-21 07:00:00,10.96,11.02,10.83,11.02,132700
2020-12-22 07:00:00,11.02,11.06,10.77,10.77,200000
2020-12-23 07:00:00,10.77,10.86,10.77,10.83,107220
2020-12-24 07:00:00,10.8,10.83,10.74,10.77,104000
2020-12-25 07:00:00,10.77,10.86,10.77,10.86,59200
2020-12-28 07:00:00,10.86,10.86,10.8,10.83,31105
2020-12-29 07:00:00,10.83,10.9,10.83,10.83,51000
2020-12-30 07:00:00,10.83,10.86,10.74,10.8,58500
2020-12-31 07:00:00,10.8,10.93,10.8,10.9,103340
2021-01-04 07:00:00,10.96,11.06,10.9,11.06,68800
2021-01-05 07:00:00,11.06,11.31,11.06,11.28,123000
2021-01-06 07:00:00,11.18,11.47,11.15,11.34,245825
2021-01-07 07:00:00,11.34,11.38,11.22,11.25,223800
2021-01-08 07:00:00,11.28,11.47,11.25,11.41,124600
2021-01-11 07:00:00,11.41,11.5,11.38,11.44,118800
2021-01-12 07:00:00,11.44,11.44,11.18,11.25,103600
2021-01-13 07:00:00,11.22,11.28,10.9,10.96,92500
2021-01-14 07:00:00,10.96,11.02,10.7,10.74,63300
2021-01-15 07:00:00,10.74,10.8,10.67,10.74,52400
2021-01-18 07:00:00,10.74,10.77,10.48,10.48,54800
2021-01-19 07:00:00,10.42,10.42,9.45,9.61,49600
2021-01-20 07:00:00,8.88,8.88,8.75,8.75,116610
2021-01-21 07:00:00,8.33,8.49,8.17,8.17,74830
2021-01-22 07:00:00,8.49,8.52,8.11,8.33,96650
2021-01-25 07:00:00,8.33,8.33,7.76,7.76,50610
2021-01-26 07:00:00,7.69,8.11,7.21,8.11,66200
2021-01-27 07:00:00,7.76,8.01,7.69,7.72,39500
2021-01-28 07:00:00,7.72,7.72,6.95,6.95,46300
2021-01-29 07:00:00,6.73,7.56,6.28,7.37,253400
2021-02-01 07:00:00,7.37,7.4,7.05,7.34,149600
2021-02-02 07:00:00,7.21,7.43,6.86,7.24,99000
2021-02-03 07:00:00,7.18,7.95,7.15,7.95,207000
2021-02-04 07:00:00,8.14,8.72,8.14,8.72,136100
2021-02-05 07:00:00,8.81,9.58,8.81,9.58,287500
2021-02-08 07:00:00,9.77,9.93,8.97,9.39,158600
2021-02-09 07:00:00,9.39,10.32,9.13,10.32,177300
2021-02-17 07:00:00,10.32,10.9,10.09,10.45,104500
2021-02-18 07:00:00,10.54,10.64,10.03,10.38,232900
2021-02-19 07:00:00,10.38,10.42,10.19,10.38,154600
2021-02-22 07:00:00,10.19,10.38,10.16,10.22,232500
2021-02-23 07:00:00,10.22,11.22,9.77,11.22,490210
2021-02-24 07:00:00,11.28,12.34,11.28,12.34,276100
2021-02-25 07:00:00,12.66,12.91,12.11,12.34,640900
2021-02-26 07:00:00,12.18,12.27,11.47,12.02,294610
2021-03-01 07:00:00,11.54,12.15,11.54,12.02,326900
2021-03-02 07:00:00,11.63,12.79,11.54,12.75,358200
2021-03-03 07:00:00,12.82,13.3,12.56,13.27,172200
2021-03-04 07:00:00,13.33,13.4,12.5,12.82,179100
2021-03-05 07:00:00,12.4,13.62,12.34,13.46,349700
2021-03-08 07:00:00,13.46,14.68,13.46,14.04,199600
2021-03-09 07:00:00,13.72,14.68,13.17,13.78,413150
2021-03-10 07:00:00,13.78,14.1,13.17,13.62,319300
2021-03-11 07:00:00,13.78,13.81,13.24,13.46,248700
2021-03-12 07:00:00,13.3,14.74,12.88,14.58,576721
2021-03-15 07:00:00,14.55,15.03,14.16,14.9,207500
2021-03-16 07:00:00,14.93,15.16,14.45,14.74,190329
2021-03-17 07:00:00,14.74,14.84,13.62,13.78,944300
2021-03-18 07:00:00,13.81,14.71,13.24,14.26,297700
2021-03-19 07:00:00,14.58,14.68,13.91,14.42,207400
2021-03-22 07:00:00,14.42,14.58,13.72,13.75,231900
2021-03-23 07:00:00,13.72,14.42,13.14,13.72,194200
2021-03-24 07:00:00,13.72,13.94,13.27,13.62,174500
2021-03-25 07:00:00,13.3,13.78,13.27,13.46,104700
2021-03-26 07:00:00,13.62,13.75,12.21,12.53,198901
2021-03-29 07:00:00,12.21,12.66,12.21,12.34,105400
2021-03-30 07:00:00,12.34,13.46,11.63,13.08,284709
2021-03-31 07:00:00,13.14,13.78,13.14,13.62,100100
2021-04-01 07:00:00,13.62,13.94,13.46,13.94,104702
2021-04-02 07:00:00,13.97,14.65,13.91,13.91,226800
2021-04-05 07:00:00,14.29,14.39,13.62,14.1,133000
2021-04-06 07:00:00,14.39,14.39,13.62,13.65,118700
2021-04-07 07:00:00,13.65,13.65,13.27,13.3,89300
2021-04-08 07:00:00,13.46,13.46,12.98,12.98,101200
2021-04-09 07:00:00,12.98,13.14,12.69,12.82,120510
2021-04-12 07:00:00,12.82,13.24,12.5,13.04,118000
2021-04-13 07:00:00,13.04,13.27,12.5,12.5,130100
2021-04-14 07:00:00,12.21,12.88,12.21,12.56,86700
2021-04-15 07:00:00,12.56,13.01,12.24,12.63,75010
2021-04-16 07:00:00,12.82,12.82,12.31,12.63,126710
2021-04-19 07:00:00,12.95,13.08,12.43,12.69,89900
2021-04-20 07:00:00,12.43,13.46,12.24,13.46,321300
2021-04-22 07:00:00,13.46,13.94,13.4,13.62,157700
2021-04-23 07:00:00,13.94,13.94,13.11,13.78,120500
2021-04-26 07:00:00,13.75,14.26,12.85,12.85,265800
2021-04-27 07:00:00,12.75,13.11,11.86,12.69,201622
2021-04-28 07:00:00,13.14,13.4,12.53,12.79,107300
2021-04-29 07:00:00,12.79,13.24,12.79,13.04,55800
2021-05-04 07:00:00,12.75,13.59,12.66,12.95,172000
2021-05-05 07:00:00,12.82,13.08,12.75,12.82,68800
2021-05-06 07:00:00,12.82,13.08,12.72,12.72,65400
2021-05-07 07:00:00,12.66,12.91,12.5,12.5,125700
2021-05-10 07:00:00,12.66,13.01,12.18,12.75,224800
2021-05-11 07:00:00,12.79,14.0,12.75,14.0,310700
2021-05-12 07:00:00,14.1,15.29,13.65,15.0,365770
2021-05-13 07:00:00,15.0,15.7,14.74,14.74,140420
2021-05-14 07:00:00,14.74,15.45,14.45,15.45,272527
2021-05-17 07:00:00,15.54,15.7,15.06,15.22,69200
2021-05-18 07:00:00,15.06,15.32,14.9,15.16,82478
2021-05-19 07:00:00,15.16,15.86,15.13,15.45,286705
2021-05-20 07:00:00,15.13,16.54,14.77,16.34,421413
2021-05-21 07:00:00,16.34,17.31,16.28,16.82,106200
2021-05-24 07:00:00,16.82,17.05,16.34,16.6,225470
2021-05-25 07:00:00,16.34,16.6,16.06,16.34,223316
2021-05-26 07:00:00,16.34,16.98,16.25,16.92,205800
2021-05-27 07:00:00,16.92,17.31,16.25,17.27,244400
2021-05-28 07:00:00,17.27,17.47,16.98,17.43,112900
2021-05-31 07:00:00,17.43,17.63,16.92,17.63,102000
2021-06-01 07:00:00,17.79,17.79,16.92,17.47,118316
2021-06-02 07:00:00,17.4,17.56,16.98,17.56,75700
2021-06-03 07:00:00,17.79,17.79,17.18,17.72,205800
2021-06-04 07:00:00,17.66,18.27,17.18,18.11,142900
2021-06-07 07:00:00,18.11,18.11,16.86,17.88,288900
2021-06-08 07:00:00,17.82,18.07,16.98,18.01,193800
2021-06-09 07:00:00,18.01,18.01,17.31,17.91,192300
2021-06-10 07:00:00,17.88,17.88,17.31,17.63,92000
2021-06-11 07:00:00,17.47,17.85,17.15,17.79,220927
2021-06-14 07:00:00,17.79,18.11,17.31,18.04,254600
2021-06-15 07:00:00,17.95,18.07,17.59,17.91,51300
2021-06-16 07:00:00,17.88,17.91,17.53,17.85,83800
2021-06-17 07:00:00,17.82,17.91,17.47,17.91,193500
2021-06-18 07:00:00,17.63,18.56,17.63,18.56,282704
2021-06-21 07:00:00,18.56,19.23,18.27,18.91,161723
2021-06-22 07:00:00,18.91,19.23,18.59,18.84,73943
2021-06-23 07:00:00,18.84,19.2,18.46,19.2,101434
2021-06-24 07:00:00,19.2,19.2,18.81,19.04,52400
2021-06-25 07:00:00,19.04,19.23,18.59,18.91,61700
2021-06-28 07:00:00,18.88,19.2,18.59,19.07,91216
2021-06-29 07:00:00,19.04,19.07,18.59,18.91,91600
2021-06-30 07:00:00,18.88,18.91,18.59,18.84,111700
2021-07-01 07:00:00,18.68,19.07,18.56,19.0,157500
2021-07-02 07:00:00,18.84,19.23,18.59,19.2,246300
2021-07-05 07:00:00,19.2,19.39,18.68,19.04,200523
2021-07-06 07:00:00,19.04,19.04,18.68,19.04,82400
2021-07-07 07:00:00,18.88,18.88,18.23,18.78,195200
2021-07-08 07:00:00,18.81,18.84,18.4,18.78,128100
2021-07-09 07:00:00,18.75,18.78,18.4,18.75,144800
2021-07-12 07:00:00,18.52,18.78,17.59,18.11,76800
2021-07-13 07:00:00,18.07,18.27,17.59,18.11,130700
2021-07-14 07:00:00,18.2,18.43,17.59,18.17,127500
2021-07-15 07:00:00,18.17,18.27,17.79,18.17,108100
2021-07-16 07:00:00,18.17,18.2,17.63,18.04,150700
2021-07-19 07:00:00,17.82,17.82,17.31,17.72,137900
2021-07-20 07:00:00,17.63,17.69,17.15,17.63,136600
2021-07-21 07:00:00,17.63,17.79,17.31,17.34,173500
2021-07-22 07:00:00,17.34,17.59,16.66,17.47,584716
2021-07-23 07:00:00,17.47,17.53,17.31,17.47,87300
2021-07-26 07:00:00,16.98,17.47,16.98,17.43,166000
2021-07-27 07:00:00,17.43,17.47,17.11,17.37,224200
2021-07-28 07:00:00,17.37,17.47,17.08,17.37,104610
2021-07-29 07:00:00,17.37,17.43,17.11,17.43,199900
2021-07-30 07:00:00,17.43,17.56,17.31,17.53,139900
2021-08-02 07:00:00,17.53,17.69,17.31,17.53,153110
2021-08-03 07:00:00,17.53,17.56,17.31,17.43,168400
2021-08-04 07:00:00,17.4,18.11,16.66,17.82,575200
2021-08-05 07:00:00,17.63,18.27,17.63,18.01,151700
2021-08-06 07:00:00,18.11,18.14,17.75,17.95,115500
2021-08-09 07:00:00,17.91,18.14,17.43,18.14,275300
2021-08-10 07:00:00,18.14,18.27,17.75,17.82,133800
2021-08-11 07:00:00,17.5,18.91,17.31,18.88,451300
2021-08-12 07:00:00,19.16,19.23,18.91,19.07,129401
2021-08-13 07:00:00,19.07,20.93,18.75,19.87,337315
2021-08-16 07:00:00,20.19,20.83,19.81,19.87,276800
2021-08-17 07:00:00,20.03,20.16,19.48,20.13,295900
2021-08-18 07:00:00,20.13,20.35,19.68,19.9,121000
2021-08-19 07:00:00,20.03,20.19,19.55,19.87,127901
2021-08-20 07:00:00,19.87,20.57,19.23,20.48,577800
2021-08-23 07:00:00,20.51,20.83,20.38,20.38,128160
2021-08-24 07:00:00,20.51,20.83,20.03,20.77,159700
2021-08-25 07:00:00,20.77,20.83,20.29,20.67,139000
2021-08-26 07:00:00,20.7,22.08,20.45,21.41,228400
2021-08-27 07:00:00,21.63,21.76,21.15,21.15,214749
2021-08-30 07:00:00,21.34,21.34,20.99,20.99,107701
2021-08-31 07:00:00,20.93,20.99,20.67,20.73,67200
2021-09-01 07:00:00,20.67,20.96,20.57,20.83,158201
2021-09-06 07:00:00,20.83,22.43,20.67,21.95,714500
2021-09-07 07:00:00,22.11,22.11,21.76,22.11,104900
2021-09-08 07:00:00,22.11,22.43,21.73,22.05,135700
2021-09-09 07:00:00,22.11,22.27,21.63,21.98,131000
2021-09-10 07:00:00,21.98,23.39,21.47,22.5,599600
2021-09-13 07:00:00,22.56,23.04,21.86,22.05,247700
2021-09-14 07:00:00,21.89,22.4,21.47,21.79,213601
2021-09-15 07:00:00,21.66,21.82,21.54,21.63,128900
2021-09-16 07:00:00,21.47,21.79,21.47,21.47,95200
2021-09-17 07:00:00,21.63,21.76,21.44,21.5,111800
2021-09-20 07:00:00,21.5,21.5,20.64,20.64,289610
2021-09-21 07:00:00,20.51,20.51,19.77,20.19,315701
2021-09-22 07:00:00,19.87,20.29,19.87,20.22,85700
2021-09-23 07:00:00,20.03,20.41,19.93,19.93,161200
2021-09-24 07:00:00,19.93,19.97,19.42,19.71,181500
2021-09-27 07:00:00,19.71,20.64,19.55,20.35,314600
2021-09-28 07:00:00,20.35,20.41,19.55,20.19,59701
2021-09-29 07:00:00,19.87,20.51,19.55,20.35,164500
2021-09-30 07:00:00,20.57,21.15,20.19,20.89,162300
2021-10-01 07:00:00,20.89,21.47,20.61,21.44,161900
2021-10-04 07:00:00,21.47,21.76,21.15,21.57,135300
2021-10-05 07:00:00,21.7,21.79,21.15,21.44,182700
2021-10-06 07:00:00,21.15,21.76,21.09,21.76,344300
2021-10-07 07:00:00,23.92,23.92,23.92,23.92,96100
2021-10-08 07:00:00,26.27,26.27,25.65,26.09,313150
2021-10-11 07:00:00,26.09,26.15,25.35,25.9,134950
2021-10-12 07:00:00,25.9,26.33,25.53,26.03,103500
2021-10-13 07:00:00,26.03,28.31,25.72,28.0,255900
2021-10-14 07:00:00,28.31,30.29,27.45,28.37,272500
2021-10-15 07:00:00,28.44,28.75,27.76,28.0,122400
2021-10-18 07:00:00,28.0,28.25,27.14,27.76,264400
2021-10-19 07:00:00,27.82,28.0,27.14,27.63,97840
2021-10-20 07:00:00,27.63,28.75,26.58,28.5,521000
2021-10-21 07:00:00,28.5,28.75,27.51,28.07,171900
2021-10-22 07:00:00,27.82,28.07,27.14,27.51,168900
2021-10-25 07:00:00,27.51,27.69,26.71,26.71,304600
2021-10-26 07:00:00,26.77,26.89,25.96,26.4,129800
2021-10-27 07:00:00,25.96,27.01,25.9,26.58,150210
2021-10-28 07:00:00,26.89,27.01,26.27,26.27,116300
2021-10-29 07:00:00,26.03,26.95,25.96,26.33,242600
2021-11-01 07:00:00,26.27,26.89,25.96,26.4,146725
2021-11-02 07:00:00,26.4,26.89,26.33,26.46,120601
2021-11-03 07:00:00,26.46,26.46,25.96,26.03,225800
2021-11-04 07:00:00,25.96,27.39,24.73,26.58,468400
2021-11-05 07:00:00,26.58,27.2,26.58,26.77,99830
2021-11-08 07:00:00,26.77,29.43,26.71,29.24,334856
2021-11-09 07:00:00,28.99,29.67,28.44,29.18,192120
2021-11-10 07:00:00,29.18,29.18,28.68,29.05,114429
2021-11-11 07:00:00,29.05,30.35,28.37,29.67,481930
2021-11-12 07:00:00,29.67,29.86,29.05,29.61,181000
2021-11-15 07:00:00,29.73,29.8,28.99,29.12,124000
2021-11-16 07:00:00,29.12,29.36,28.37,28.75,198600
2021-11-17 07:00:00,28.68,29.3,28.31,28.44,116700
2021-11-18 07:00:00,28.44,28.44,27.82,27.82,161885
2021-11-19 07:00:00,27.51,27.82,26.83,26.95,273213
2021-11-22 07:00:00,26.89,27.32,25.35,26.95,376488
2021-11-23 07:00:00,27.01,28.44,26.27,28.44,242612
2021-11-24 07:00:00,28.5,28.5,27.82,28.25,153843
2021-11-25 07:00:00,28.25,28.25,27.76,28.19,184188
2021-11-26 07:00:00,28.37,29.36,27.82,29.36,392100
2021-11-29 07:00:00,29.05,29.18,27.82,28.99,150658
2021-11-30 07:00:00,28.93,28.99,28.0,28.44,122600
2021-12-01 07:00:00,28.44,28.99,27.82,28.56,267285
2021-12-02 07:00:00,28.56,28.62,27.82,28.31,208850
2021-12-03 07:00:00,28.31,28.62,27.51,28.07,219763
2021-12-06 07:00:00,27.51,27.82,26.89,27.57,186270
2021-12-07 07:00:00,27.57,28.07,26.83,27.57,146350
2021-12-08 07:00:00,27.39,28.44,26.89,28.13,342401
2021-12-09 07:00:00,27.88,28.31,27.51,28.0,165900
2021-12-10 07:00:00,28.25,28.25,27.57,27.94,105440
2021-12-13 07:00:00,27.94,28.07,27.14,27.63,226400
2021-12-14 07:00:00,27.57,27.76,26.89,27.76,257920
2021-12-15 07:00:00,27.82,28.44,27.2,27.69,203859
2021-12-16 07:00:00,27.69,27.76,27.14,27.76,229250
2021-12-17 07:00:00,27.26,27.76,26.95,26.95,188720
2021-12-20 07:00:00,27.14,27.14,26.52,26.83,137950
2021-12-21 07:00:00,26.83,27.08,26.21,26.58,200873
2021-12-22 07:00:00,26.83,26.89,26.09,26.77,173654
2021-12-23 07:00:00,26.58,26.89,25.35,26.52,200884
2021-12-24 07:00:00,26.52,26.52,25.72,26.52,90590
2021-12-27 07:00:00,26.52,26.58,25.65,26.27,136110
2021-12-28 07:00:00,26.27,26.46,25.28,25.9,160005
2021-12-29 07:00:00,25.9,26.33,24.6,24.6,439258
2021-12-30 07:00:00,24.85,25.04,23.55,24.85,386520
2021-12-31 07:00:00,24.85,25.35,24.05,25.35,84329
2022-01-04 07:00:00,25.35,25.35,24.42,25.04,78610
2022-01-05 07:00:00,24.85,24.97,23.55,24.67,325550
2022-01-06 07:00:00,24.73,24.97,23.8,24.6,212100
2022-01-07 07:00:00,24.6,24.85,23.74,24.48,315654
2022-01-10 07:00:00,24.42,24.67,23.74,24.11,90600
2022-01-11 07:00:00,23.68,24.11,22.87,23.49,215530
2022-01-12 07:00:00,23.18,23.74,22.19,23.74,785905
2022-01-13 07:00:00,23.74,23.92,22.81,23.8,551700
2022-01-14 07:00:00,23.74,23.86,22.93,23.68,361412
2022-01-17 07:00:00,23.61,25.35,23.06,25.35,928815
2022-01-18 07:00:00,25.41,25.72,24.11,25.35,533005
2022-01-19 07:00:00,25.22,25.96,24.11,25.96,641540
2022-01-20 07:00:00,25.96,26.09,24.97,25.65,274609
2022-01-21 07:00:00,25.65,25.96,25.04,25.96,332120
2022-01-24 07:00:00,25.84,26.09,24.73,25.04,225664
2022-01-25 07:00:00,25.16,25.28,24.36,25.22,386350
2022-01-26 07:00:00,25.22,25.65,24.79,25.35,245420
2022-01-27 07:00:00,25.47,26.52,24.73,26.46,923014
2022-01-28 07:00:00,26.33,26.58,25.59,26.27,332102
2022-02-07 07:00:00,26.27,26.46,25.59,25.96,115800
2022-02-08 07:00:00,25.96,25.96,24.91,25.28,231801
2022-02-09 07:00:00,25.04,25.53,24.42,25.28,734052
2022-02-10 07:00:00,25.28,25.65,24.73,25.65,498760
2022-02-11 07:00:00,25.65,25.9,25.04,25.9,245840
2022-02-14 07:00:00,25.53,25.59,24.73,25.47,463060
2022-02-15 07:00:00,25.47,25.53,24.73,25.47,355369
2022-02-16 07:00:00,25.47,26.64,25.04,26.64,953955
2022-02-17 07:00:00,26.64,26.77,25.96,26.71,415850
2022-02-18 07:00:00,26.46,26.64,25.96,26.58,209629
2022-02-21 07:00:00,26.58,26.58,26.09,26.4,239300
2022-02-22 07:00:00,26.09,26.27,25.59,26.15,332090
2022-02-23 07:00:00,25.96,26.64,25.65,26.46,1162922
2022-02-24 07:00:00,26.46,26.46,25.72,26.27,297560
2022-02-25 07:00:00,26.27,26.58,25.96,26.4,152480
2022-02-28 07:00:00,26.52,26.52,25.96,26.33,247300
2022-03-01 07:00:00,26.03,26.58,25.9,26.27,141900
2022-03-02 07:00:00,26.33,26.33,25.9,26.09,237450
2022-03-03 07:00:00,26.09,27.82,25.9,27.69,1466322
2022-03-04 07:00:00,27.69,27.76,27.08,27.39,210050
2022-03-07 07:00:00,27.39,27.39,26.71,27.08,284400
2022-03-08 07:00:00,26.95,27.2,26.27,27.14,570288
2022-03-09 07:00:00,27.14,27.51,26.83,27.32,512430
2022-03-10 07:00:00,27.2,27.76,27.08,27.51,425308
2022-03-11 07:00:00,27.51,27.76,27.14,27.32,257348
2022-03-14 07:00:00,27.32,27.45,26.83,27.2,240327
2022-03-15 07:00:00,27.14,27.2,26.89,27.14,102326
2022-03-16 07:00:00,27.14,27.2,26.83,27.14,197800
2022-03-17 07:00:00,27.2,27.2,26.89,27.14,156555
2022-03-18 07:00:00,27.14,28.44,26.83,28.44,2197506
2022-03-21 07:00:00,28.44,28.81,28.13,28.5,315903
2022-03-22 07:00:00,28.44,28.75,28.13,28.44,193805
2022-03-23 07:00:00,28.31,28.31,27.94,28.25,308093
2022-03-24 07:00:00,28.25,28.31,27.82,28.25,341200
2022-03-25 07:00:00,28.25,28.75,27.94,28.5,505204
2022-03-28 07:00:00,28.44,28.44,27.82,28.31,270250
2022-03-29 07:00:00,28.25,28.44,27.94,28.44,278115
2022-03-30 07:00:00,28.25,28.31,27.94,28.13,248700
2022-03-31 07:00:00,28.13,28.37,27.82,28.37,366869
2022-04-01 07:00:00,28.31,29.61,27.88,28.93,1276794
2022-04-04 07:00:00,28.93,28.93,28.19,28.5,403722
2022-04-05 07:00:00,28.5,28.62,28.07,28.56,614278
2022-04-06 07:00:00,28.56,28.56,28.13,28.5,243504
2022-04-07 07:00:00,28.44,28.56,28.25,28.44,178638
2022-04-08 07:00:00,28.44,28.44,28.07,28.19,232882
2022-04-12 07:00:00,28.13,28.19,27.26,27.94,589830
2022-04-13 07:00:00,27.94,27.94,27.08,27.76,279501
2022-04-14 07:00:00,27.76,28.37,27.2,28.13,597000
2022-04-15 07:00:00,28.13,28.44,27.76,28.31,323650
2022-04-18 07:00:00,28.31,28.31,27.69,27.94,161100
2022-04-19 07:00:00,27.94,27.94,27.2,27.76,1095700
2022-04-20 07:00:00,27.63,28.0,26.83,28.0,846050
2022-04-21 07:00:00,27.82,27.82,27.08,27.76,171295
2022-04-22 07:00:00,27.63,27.76,27.01,27.57,323400
2022-04-25 07:00:00,27.51,27.51,25.84,26.58,313250
2022-04-26 07:00:00,26.09,26.58,24.85,26.58,579150
2022-04-27 07:00:00,26.46,27.14,25.59,26.58,644300
2022-04-28 07:00:00,26.58,26.83,25.9,26.4,280800
2022-04-29 07:00:00,26.4,27.08,25.65,25.65,324103
2022-05-04 07:00:00,25.65,25.96,25.41,25.96,221000
2022-05-05 07:00:00,25.9,25.9,25.35,25.72,156005
2022-05-06 07:00:00,25.41,25.59,24.85,25.59,494100
2022-05-09 07:00:00,25.47,25.47,23.06,23.06,244200
2022-05-10 07:00:00,23.06,23.06,20.77,21.88,642450
2022-05-11 07:00:00,21.51,21.82,20.96,21.45,239951
2022-05-12 07:00:00,21.27,23.18,20.77,21.39,931303
2022-05-13 07:00:00,21.39,21.39,19.78,19.78,225849
2022-05-16 07:00:00,19.78,21.02,18.05,19.78,326700
2022-05-17 07:00:00,20.71,20.71,18.55,19.84,251900
2022-05-18 07:00:00,20.03,20.96,19.66,20.52,265600
2022-05-19 07:00:00,20.4,20.71,19.78,20.59,182300
2022-05-20 07:00:00,20.65,21.33,20.09,21.33,456819
2022-05-23 07:00:00,21.27,21.39,20.96,21.2,267000
2022-05-24 07:00:00,21.14,21.64,20.83,21.64,191000
2022-05-25 07:00:00,21.57,21.64,21.14,21.64,266900
2022-05-26 07:00:00,21.51,21.76,21.14,21.51,213850
2022-05-27 07:00:00,21.51,22.32,21.14,21.57,499700
2022-05-30 07:00:00,21.57,21.76,21.27,21.76,297315
2022-05-31 07:00:00,21.64,21.7,21.27,21.64,392100
2022-06-01 07:00:00,21.64,21.64,21.2,21.27,220400
2022-06-02 07:00:00,21.27,21.39,20.83,21.02,95600
2022-06-03 07:00:00,21.02,21.51,19.78,21.51,1502800
2022-06-06 07:00:00,21.45,21.82,21.39,21.64,185550
2022-06-07 07:00:00,21.45,21.76,21.14,21.39,83600
2022-06-08 07:00:00,21.2,21.33,20.4,20.4,844700
2022-06-09 07:00:00,20.4,21.64,19.72,21.64,380715
2022-06-10 07:00:00,21.45,21.45,20.65,21.02,311101
2022-06-13 07:00:00,19.78,20.71,18.92,18.92,191834
2022-06-14 07:00:00,17.06,19.04,17.06,17.06,396246
2022-06-15 07:00:00,17.06,18.55,15.39,16.94,779984
2022-06-16 07:00:00,16.94,16.94,15.95,16.01,118652
2022-06-17 07:00:00,15.27,15.27,14.47,14.47,31729
2022-06-20 07:00:00,13.04,13.04,13.04,13.04,29472
2022-06-21 07:00:00,11.75,11.75,11.75,11.75,6850
2022-06-22 07:00:00,10.57,11.13,10.57,10.82,884865
2022-06-23 07:00:00,10.88,11.62,10.45,11.62,271650
2022-06-24 07:00:00,11.44,12.3,11.44,12.3,188900
