time,open,high,low,close,volume
2018-01-03 07:00:00,11.54,11.54,11.54,11.54,100
2018-01-08 07:00:00,11.6,11.6,11.6,11.6,1000
2018-01-09 07:00:00,11.54,11.54,11.54,11.54,2000
2018-01-10 07:00:00,11.47,11.47,11.47,11.47,1000
2018-01-12 07:00:00,11.47,11.47,11.47,11.47,200
2018-01-15 07:00:00,11.47,11.47,11.47,11.47,100
2018-01-17 07:00:00,11.87,11.87,11.87,11.87,180
2018-01-22 07:00:00,11.47,11.81,11.47,11.81,200
2018-01-23 07:00:00,11.54,11.54,11.54,11.54,10000
2018-01-24 07:00:00,11.54,11.54,11.54,11.54,70
2018-01-25 07:00:00,11.47,11.47,11.47,11.47,200
2018-01-30 07:00:00,11.27,11.27,11.27,11.27,1500
2018-02-01 07:00:00,11.27,11.27,11.27,11.27,800
2018-02-06 07:00:00,11.27,11.27,11.27,11.27,900
2018-02-08 07:00:00,10.8,11.81,10.8,11.81,400
2018-02-09 07:00:00,12.08,12.14,12.08,12.14,900
2018-02-12 07:00:00,12.14,12.14,12.14,12.14,100
2018-02-22 07:00:00,12.14,12.14,12.14,12.14,600
2018-02-28 07:00:00,12.14,12.14,12.14,12.14,10
2018-03-05 07:00:00,11.47,11.47,11.47,11.47,500
2018-03-06 07:00:00,11.54,11.54,11.4,11.4,1700
2018-03-07 07:00:00,11.4,11.4,11.4,11.4,40
2018-03-13 07:00:00,11.47,11.47,11.47,11.47,3300
2018-03-14 07:00:00,11.47,11.47,11.47,11.47,3500
2018-03-20 07:00:00,12.48,12.48,12.14,12.14,5100
2018-03-21 07:00:00,12.14,13.16,12.14,13.16,6200
2018-03-22 07:00:00,13.16,13.16,12.82,12.82,500
2018-04-03 07:00:00,12.82,12.82,12.82,12.82,10
2018-04-12 07:00:00,13.16,13.16,13.16,13.16,2000
2018-04-17 07:00:00,13.16,13.16,13.16,13.16,400
2018-05-10 07:00:00,13.16,13.16,13.16,13.16,20
2018-06-13 07:00:00,13.16,13.16,13.16,13.16,70
2018-06-20 07:00:00,11.87,11.87,11.87,11.87,1210
2018-06-26 07:00:00,12.82,12.82,12.82,12.82,100
2018-06-28 07:00:00,13.49,13.49,13.49,13.49,100
2018-06-29 07:00:00,14.17,14.17,14.17,14.17,100
2018-07-19 07:00:00,14.17,14.17,14.17,14.17,50
2018-07-26 07:00:00,14.17,14.17,14.17,14.17,25
2018-08-03 07:00:00,12.75,12.75,12.75,12.75,300
2018-08-22 07:00:00,11.81,11.81,11.81,11.81,1600
2018-08-23 07:00:00,11.81,11.81,11.81,11.81,1000
2018-08-28 07:00:00,12.62,12.62,12.62,12.62,100
2018-08-30 07:00:00,12.55,12.55,12.41,12.41,1100
2018-08-31 07:00:00,12.35,12.35,12.35,12.35,100
2018-09-04 07:00:00,12.14,12.14,12.14,12.14,100
2018-09-05 07:00:00,12.14,12.14,12.14,12.14,50
2018-09-11 07:00:00,11.78,11.78,11.78,11.78,100
2018-09-27 07:00:00,11.78,11.78,11.78,11.78,2000
2018-10-04 07:00:00,11.78,11.78,11.78,11.78,25
2018-10-11 07:00:00,11.41,11.41,11.41,11.41,10000
2018-10-12 07:00:00,11.04,11.04,11.04,11.04,500
2018-10-15 07:00:00,11.04,11.04,11.04,11.04,100
2018-10-16 07:00:00,12.07,12.07,12.07,12.07,100
2018-10-22 07:00:00,11.04,11.04,11.04,11.04,500
2018-10-24 07:00:00,10.01,10.01,10.01,10.01,529
2018-10-29 07:00:00,9.57,9.57,9.2,9.2,20000
2018-10-31 07:00:00,9.2,9.2,9.2,9.2,50
2018-11-01 07:00:00,9.57,9.57,9.57,9.57,5000
2018-11-02 07:00:00,9.57,9.57,9.57,9.57,10000
2018-11-05 07:00:00,9.57,9.57,9.57,9.57,9010
2018-11-07 07:00:00,9.57,9.57,9.57,9.57,100
2018-11-08 07:00:00,9.57,9.57,9.57,9.57,10000
2018-11-14 07:00:00,8.83,8.83,8.69,8.69,6700
2018-11-16 07:00:00,9.49,9.49,9.49,9.49,7000
2018-11-26 07:00:00,10.38,10.38,10.38,10.38,1000
2018-11-28 07:00:00,10.38,10.38,10.3,10.3,400
2018-11-29 07:00:00,10.89,10.89,10.89,10.89,1000
2018-12-06 07:00:00,10.89,10.89,10.89,10.89,10
2018-12-12 07:00:00,11.92,11.92,11.92,11.92,100
2018-12-18 07:00:00,11.04,11.41,11.04,11.41,9900
2018-12-19 07:00:00,12.51,12.51,12.51,12.51,100
2019-01-16 07:00:00,11.26,11.26,11.26,11.26,2000
2019-01-17 07:00:00,12.37,12.37,12.37,12.37,110
2019-01-21 07:00:00,11.19,11.19,11.19,11.19,2000
2019-01-29 07:00:00,11.19,11.19,11.19,11.19,2000
2019-02-20 07:00:00,12.29,12.29,12.29,12.29,100
2019-02-22 07:00:00,12.51,12.51,12.51,12.51,1000
2019-03-04 07:00:00,11.41,11.41,11.41,11.41,15100
2019-03-07 07:00:00,11.41,11.41,11.41,11.41,2000
2019-03-12 07:00:00,12.51,12.51,12.51,12.51,1500
2019-03-14 07:00:00,11.26,11.26,11.26,11.26,1000
2019-03-15 07:00:00,11.26,11.26,11.26,11.26,40
2019-03-18 07:00:00,11.26,11.26,10.67,10.67,1100
2019-03-19 07:00:00,10.67,10.67,10.67,10.67,500
2019-03-20 07:00:00,10.67,10.67,10.67,10.67,1000
2019-03-26 07:00:00,10.08,10.08,10.08,10.08,1600
2019-03-27 07:00:00,10.67,10.67,10.67,10.67,100
2019-03-28 07:00:00,11.7,11.7,11.7,11.7,100
2019-04-11 07:00:00,10.67,10.67,10.67,10.67,5800
2019-04-24 07:00:00,10.67,10.67,10.67,10.67,500
2019-05-20 07:00:00,9.86,9.86,9.86,9.86,200
2019-05-22 07:00:00,10.3,10.3,10.3,10.3,1800
2019-05-23 07:00:00,9.27,9.27,9.27,9.27,300
2019-05-24 07:00:00,10.16,10.16,10.16,10.16,100
2019-05-27 07:00:00,11.11,11.11,11.11,11.11,100
2019-05-28 07:00:00,12.22,12.22,12.22,12.22,100
2019-06-10 07:00:00,13.31,13.31,13.31,13.31,3400
2019-07-15 07:00:00,11.98,12.53,11.98,12.53,7000
2019-07-22 07:00:00,12.53,12.53,12.53,12.53,500
2019-07-26 07:00:00,11.75,11.75,11.75,11.75,500
2019-09-10 07:00:00,11.75,11.75,11.75,11.75,5000
2019-09-11 07:00:00,11.75,11.75,11.75,11.75,200
2019-09-25 07:00:00,11.75,11.75,11.75,11.75,100
2019-10-03 07:00:00,12.92,12.92,12.92,12.92,100
2019-10-09 07:00:00,11.67,11.67,11.67,11.67,100
2019-11-29 07:00:00,10.81,10.81,10.81,10.81,5200
2019-12-17 07:00:00,9.79,9.79,9.79,9.79,100
2019-12-18 07:00:00,8.85,8.85,8.85,8.85,100
2019-12-19 07:00:00,7.99,7.99,7.99,7.99,2200
2019-12-26 07:00:00,7.99,7.99,7.99,7.99,60
2020-01-03 07:00:00,7.36,8.77,7.36,8.77,540
2020-01-08 07:00:00,8.77,8.77,8.77,8.77,50
2020-02-05 07:00:00,7.91,7.91,7.91,7.91,3210
2020-02-11 07:00:00,7.6,7.6,7.6,7.6,290
2020-02-12 07:00:00,7.6,7.68,7.36,7.36,1410
2020-02-13 07:00:00,8.07,8.07,8.07,8.07,1100
2020-02-17 07:00:00,8.77,8.77,8.77,8.77,100
2020-02-18 07:00:00,9.4,9.4,9.4,9.4,1500
2020-02-19 07:00:00,9.4,9.4,9.4,9.4,200
2020-02-20 07:00:00,9.4,10.18,9.4,10.18,430
2020-04-07 07:00:00,10.18,10.18,10.18,10.18,10
2020-04-27 07:00:00,9.79,9.79,9.4,9.4,300
2020-05-05 07:00:00,9.4,9.4,9.4,9.4,70
