time,open,high,low,close,volume
2018-01-02 07:00:00,10.04,10.04,10.04,10.04,100
2018-01-05 07:00:00,10.04,10.04,10.04,10.04,100
2018-01-08 07:00:00,11.03,11.03,11.03,11.03,100
2018-01-09 07:00:00,9.98,10.24,9.98,10.24,200
2018-01-10 07:00:00,10.83,11.22,10.83,11.22,700
2018-01-11 07:00:00,10.11,11.22,10.11,11.22,600
2018-01-12 07:00:00,10.11,11.22,10.11,10.5,10200
2018-01-16 07:00:00,10.5,10.5,10.5,10.5,200
2018-01-22 07:00:00,9.52,9.52,9.52,9.52,100
2018-01-23 07:00:00,10.37,10.37,10.37,10.37,200
2018-01-30 07:00:00,9.39,11.36,9.39,11.36,1200
2018-01-31 07:00:00,10.24,12.47,10.24,12.47,200
2018-02-01 07:00:00,11.22,13.72,11.22,11.22,10900
2018-02-02 07:00:00,11.22,11.22,11.22,11.22,1100
2018-02-05 07:00:00,11.22,11.22,11.22,11.22,300
2018-02-06 07:00:00,11.49,11.49,10.11,10.11,20400
2018-02-07 07:00:00,10.5,10.5,10.5,10.5,10000
2018-02-08 07:00:00,10.83,10.83,10.83,10.83,100
2018-02-09 07:00:00,10.83,10.83,9.85,9.85,1100
2018-02-21 07:00:00,9.91,9.91,9.85,9.85,300
2018-02-26 07:00:00,10.5,10.5,10.5,10.5,300
2018-02-27 07:00:00,11.49,11.55,11.49,11.55,10500
2018-02-28 07:00:00,11.55,11.55,11.55,11.55,1000
2018-03-01 07:00:00,10.44,10.44,10.44,10.44,100
2018-03-14 07:00:00,10.44,10.44,10.44,10.44,31
2018-03-16 07:00:00,10.44,10.44,10.44,10.44,5
2018-03-19 07:00:00,10.44,10.44,10.44,10.44,30
2018-03-26 07:00:00,11.16,11.16,11.16,11.16,100
2018-03-28 07:00:00,10.04,10.04,10.04,10.04,100
2018-04-02 07:00:00,10.04,10.04,10.04,10.04,7900
2018-04-03 07:00:00,10.04,10.04,10.04,10.04,14000
2018-04-10 07:00:00,9.85,9.85,9.85,9.85,4000
2018-04-11 07:00:00,9.85,9.85,9.85,9.85,1
2018-04-13 07:00:00,9.85,9.85,9.85,9.85,10000
2018-04-16 07:00:00,10.63,10.7,9.85,10.7,10000
2018-04-18 07:00:00,9.85,9.85,9.85,9.85,100
2018-04-19 07:00:00,10.83,10.83,10.76,10.83,2200
2018-04-20 07:00:00,9.85,9.85,9.85,9.85,100
2018-04-23 07:00:00,9.52,10.83,9.52,10.83,800
2018-04-24 07:00:00,9.85,10.83,9.85,10.83,400
2018-04-26 07:00:00,9.85,9.85,9.85,9.85,100
2018-05-07 07:00:00,9.85,9.85,9.85,9.85,1
2018-06-05 07:00:00,10.81,10.81,10.81,10.81,500
2018-06-06 07:00:00,9.78,9.78,9.78,9.78,100
2018-06-27 07:00:00,8.81,8.81,8.81,8.81,100
2018-07-02 07:00:00,8.81,8.81,8.81,8.81,2
2018-07-06 07:00:00,9.64,9.64,9.64,9.64,100
2018-07-09 07:00:00,9.3,9.3,9.3,9.3,100
2018-07-12 07:00:00,8.95,8.95,8.95,8.95,1000
2018-07-20 07:00:00,9.09,9.09,9.09,9.09,13500
2018-07-30 07:00:00,9.3,9.3,9.3,9.3,2000
2018-08-02 07:00:00,10.12,10.12,9.98,10.12,1900
2018-08-03 07:00:00,9.3,9.3,9.3,9.3,106
2018-08-09 07:00:00,9.64,10.19,9.64,10.19,3100
2018-08-10 07:00:00,9.71,11.15,9.71,11.15,206
2018-08-13 07:00:00,10.12,12.05,10.12,12.05,200
2018-08-14 07:00:00,10.88,10.88,10.88,10.88,3200
2018-08-15 07:00:00,9.91,9.91,9.91,9.91,100
2018-08-16 07:00:00,9.09,9.09,9.09,9.09,100
2018-08-20 07:00:00,9.85,9.98,9.85,9.98,2800
2018-08-21 07:00:00,10.95,10.95,10.95,10.95,100
2018-08-22 07:00:00,9.98,11.84,9.98,11.84,200
2018-08-23 07:00:00,10.67,10.67,10.67,10.67,4200
2018-08-24 07:00:00,9.71,9.71,9.71,9.71,100
2018-08-28 07:00:00,9.36,9.36,9.36,9.36,100
2018-08-29 07:00:00,10.05,10.05,10.05,10.05,2500
2018-08-30 07:00:00,10.19,10.19,10.19,10.19,900
2018-09-10 07:00:00,10.33,10.33,10.33,10.33,100
2018-09-12 07:00:00,9.71,9.71,9.71,9.71,100
2018-09-13 07:00:00,9.64,9.64,9.64,9.64,100
2018-09-20 07:00:00,10.53,10.53,10.53,10.53,300
2018-09-24 07:00:00,9.5,9.5,9.5,9.5,100
2018-09-28 07:00:00,10.4,10.4,10.4,10.4,200
2018-10-05 07:00:00,9.71,9.71,9.36,9.36,10000
2018-10-08 07:00:00,10.19,10.19,10.19,10.19,100
2018-10-11 07:00:00,10.33,10.33,10.33,10.33,1000
2018-11-02 07:00:00,9.3,9.3,9.3,9.3,300
2018-11-06 07:00:00,8.4,8.4,8.4,8.4,100
2018-11-07 07:00:00,9.23,9.23,9.23,9.23,100
2018-11-08 07:00:00,8.33,8.33,8.33,8.33,100
2018-11-12 07:00:00,9.16,9.16,9.16,9.16,100
2018-11-13 07:00:00,8.26,8.26,8.26,8.26,100
2018-11-14 07:00:00,9.09,9.09,9.09,9.09,113
2018-11-15 07:00:00,8.26,8.26,8.26,8.26,100
2018-11-16 07:00:00,9.09,9.09,9.09,9.09,200
2018-11-19 07:00:00,8.26,8.26,8.26,8.26,100
2018-11-20 07:00:00,9.09,9.09,9.09,9.09,100
2018-11-21 07:00:00,8.19,9.98,8.19,9.98,200
2018-11-22 07:00:00,9.02,9.02,9.02,9.02,100
2018-11-23 07:00:00,9.91,9.91,9.91,9.91,100
2018-11-27 07:00:00,9.09,9.91,9.09,9.91,200
2018-11-28 07:00:00,9.09,9.09,9.09,9.09,100
2018-11-30 07:00:00,9.98,9.98,9.98,9.98,100
2018-12-03 07:00:00,9.02,9.02,9.02,9.02,100
2018-12-04 07:00:00,9.91,9.91,9.91,9.91,100
2018-12-05 07:00:00,9.02,9.02,9.02,9.02,100
2018-12-06 07:00:00,9.91,9.91,9.91,9.91,200
2018-12-10 07:00:00,9.23,9.85,9.23,9.85,200
2018-12-12 07:00:00,9.23,9.23,9.23,9.23,100
2018-12-13 07:00:00,9.91,10.12,9.91,10.12,200
2018-12-14 07:00:00,9.3,9.3,9.3,9.3,100
2018-12-17 07:00:00,10.19,10.19,10.19,10.19,200
2018-12-18 07:00:00,9.36,9.36,9.36,9.36,100
2018-12-20 07:00:00,10.12,10.26,10.12,10.26,200
2018-12-21 07:00:00,9.3,10.05,9.3,10.05,200
2018-12-24 07:00:00,9.09,9.09,9.09,9.09,100
2018-12-26 07:00:00,9.98,9.98,9.98,9.98,100
2018-12-27 07:00:00,10.95,10.95,10.95,10.95,3400
2018-12-28 07:00:00,9.98,9.98,9.98,9.98,100
2019-01-02 07:00:00,9.02,9.02,9.02,9.02,100
2019-01-08 07:00:00,9.64,9.64,9.64,9.64,100
2019-01-09 07:00:00,10.19,10.19,10.19,10.19,100
2019-01-10 07:00:00,11.15,11.15,11.15,11.15,1800
