time,open,high,low,close,volume
2018-01-03 07:00:00,22.4,22.4,22.4,22.4,1100
2018-01-04 07:00:00,22.4,22.4,22.4,22.4,2100
2018-01-05 07:00:00,20.28,20.28,20.28,20.28,120
2018-01-08 07:00:00,22.25,22.25,22.25,22.25,650
2018-01-09 07:00:00,22.25,22.25,22.25,22.25,80
2018-01-11 07:00:00,22.25,22.25,22.25,22.25,20
2018-01-15 07:00:00,22.01,22.01,22.01,22.01,810
2018-01-17 07:00:00,22.01,22.01,22.01,22.01,2250
2018-01-18 07:00:00,22.4,22.4,22.4,22.4,500
2018-01-22 07:00:00,22.4,22.4,22.4,22.4,300
2018-02-08 07:00:00,22.4,22.4,22.4,22.4,2500
2018-02-13 07:00:00,22.4,22.4,22.4,22.4,80
2018-02-27 07:00:00,22.4,22.4,22.4,22.4,100
2018-03-01 07:00:00,20.44,20.44,20.44,20.44,300
2018-03-06 07:00:00,20.44,20.44,20.44,20.44,20
2018-03-07 07:00:00,20.44,20.44,20.44,20.44,60
2018-03-08 07:00:00,20.44,20.44,20.44,20.44,10
2018-03-13 07:00:00,21.93,22.01,21.93,22.01,2010
2018-03-19 07:00:00,22.01,22.01,22.01,22.01,5
2018-03-20 07:00:00,22.01,22.01,22.01,22.01,2120
2018-03-22 07:00:00,22.01,22.01,22.01,22.01,80
2018-03-23 07:00:00,22.01,22.01,22.01,22.01,30000
2018-03-26 07:00:00,22.01,22.01,22.01,22.01,45
2018-03-27 07:00:00,22.01,22.01,22.01,22.01,210
2018-04-06 07:00:00,22.01,22.01,22.01,22.01,110
2018-04-12 07:00:00,22.01,22.01,22.01,22.01,50
2018-04-17 07:00:00,22.01,22.01,22.01,22.01,100
2018-04-18 07:00:00,19.89,19.89,19.89,19.89,240
2018-04-23 07:00:00,21.85,21.85,21.85,21.85,1300
2018-05-02 07:00:00,19.73,19.73,19.73,19.73,100
2018-05-04 07:00:00,21.7,21.7,21.7,21.7,1130
2018-05-15 07:00:00,19.65,19.65,19.57,19.57,1200
2018-05-18 07:00:00,21.15,21.38,21.15,21.38,1300
2018-05-25 07:00:00,23.5,23.5,23.5,23.5,100
2018-05-28 07:00:00,23.5,23.5,23.5,23.5,30
2018-05-30 07:00:00,23.5,23.5,23.5,23.5,200
2018-07-26 07:00:00,21.22,21.22,21.22,21.22,100
2018-07-27 07:00:00,21.22,21.22,21.22,21.22,70
2018-08-06 07:00:00,21.22,21.22,21.22,21.22,10
2018-08-31 07:00:00,19.26,19.26,19.26,19.26,360
2018-09-04 07:00:00,17.63,17.63,17.38,17.38,760
2018-09-05 07:00:00,18.77,18.77,18.77,18.77,230
2018-09-10 07:00:00,20.4,20.4,20.4,20.4,160
2018-09-14 07:00:00,20.4,20.4,20.4,20.4,60
2018-09-19 07:00:00,20.4,20.4,20.4,20.4,1
2018-09-20 07:00:00,18.36,18.85,18.36,18.85,301
2018-09-24 07:00:00,18.85,18.85,18.85,18.85,200
2018-09-27 07:00:00,20.32,20.32,18.04,20.24,300
2018-09-28 07:00:00,21.71,21.71,21.71,21.71,100
2018-10-01 07:00:00,23.58,23.58,23.58,23.58,143
2018-10-03 07:00:00,21.3,21.3,21.3,21.3,100
2018-10-04 07:00:00,23.42,23.42,23.42,23.42,100
2018-10-05 07:00:00,21.14,21.14,21.14,21.14,100
2018-10-08 07:00:00,19.34,23.09,19.34,23.09,2700
2018-10-17 07:00:00,20.81,20.81,20.81,20.81,100
2018-10-18 07:00:00,20.32,20.32,18.77,18.77,200
2018-10-22 07:00:00,18.93,19.18,18.93,19.18,200
2018-10-23 07:00:00,19.01,19.01,18.77,18.77,3200
2018-10-24 07:00:00,18.77,18.77,18.77,18.77,500
2018-10-25 07:00:00,18.77,18.77,18.77,18.77,1100
2018-10-26 07:00:00,20.4,20.4,20.4,20.4,600
2018-10-29 07:00:00,18.93,20.4,18.93,20.4,600
2018-10-30 07:00:00,20.4,20.4,20.4,20.4,80
2018-11-02 07:00:00,20.4,20.4,20.4,20.4,600
2018-11-05 07:00:00,20.4,20.4,20.4,20.4,100
2018-11-08 07:00:00,19.01,19.01,19.01,19.01,100
2018-11-09 07:00:00,20.4,20.4,20.4,20.4,200
2018-11-22 07:00:00,20.4,20.4,20.4,20.4,50
2018-11-28 07:00:00,20.4,20.4,20.4,20.4,10
2018-12-04 07:00:00,20.4,20.4,20.4,20.4,80
2018-12-07 07:00:00,22.44,22.44,22.44,22.44,100
2018-12-10 07:00:00,20.48,20.48,20.48,20.48,100
2018-12-13 07:00:00,20.48,20.48,20.48,20.48,10
2018-12-19 07:00:00,18.44,18.44,18.44,18.44,100
2018-12-24 07:00:00,16.89,16.89,16.89,16.89,150
2018-12-25 07:00:00,18.44,18.44,18.44,18.44,100
2018-12-27 07:00:00,18.44,18.44,18.44,18.44,100
2019-01-03 07:00:00,16.89,16.89,16.89,16.89,100
2019-01-04 07:00:00,16.89,18.44,16.89,18.44,300
2019-01-07 07:00:00,20.24,20.24,20.24,20.24,100
2019-01-09 07:00:00,22.2,22.2,22.2,22.2,100
2019-01-10 07:00:00,24.4,24.4,24.4,24.4,100
2019-01-11 07:00:00,26.77,26.77,22.03,22.03,300
2019-01-15 07:00:00,24.16,24.16,24.16,24.16,100
2019-01-17 07:00:00,26.52,26.52,26.52,26.52,100
2019-01-23 07:00:00,28.48,28.48,28.48,28.48,100
2019-02-20 07:00:00,31.26,31.26,31.26,31.26,110
2019-03-20 07:00:00,34.27,34.27,34.27,34.27,120
2019-05-03 07:00:00,37.7,37.7,37.7,37.7,100
2019-05-22 07:00:00,33.95,33.95,33.95,33.95,200
2019-07-18 07:00:00,30.56,30.56,30.56,30.56,100
2019-07-22 07:00:00,30.56,30.56,30.56,30.56,10
2019-08-02 07:00:00,27.51,27.51,27.51,27.51,100
2019-08-12 07:00:00,27.51,27.51,27.51,27.51,10
2019-09-10 07:00:00,24.78,24.78,24.78,24.78,100
2019-10-07 07:00:00,24.78,24.78,24.78,24.78,20
2019-10-15 07:00:00,22.3,22.3,22.3,22.3,12300
2019-10-24 07:00:00,22.3,22.3,22.3,22.3,100
2019-10-30 07:00:00,20.07,20.07,20.07,20.07,100
2019-11-04 07:00:00,20.07,20.07,18.09,18.09,200
2019-11-08 07:00:00,19.0,19.0,16.77,16.77,2000
2019-11-11 07:00:00,18.17,18.17,18.17,18.17,2000
2019-11-14 07:00:00,16.52,16.52,16.52,16.52,150
2019-11-15 07:00:00,16.77,16.93,16.69,16.85,700
2019-11-18 07:00:00,16.85,16.85,16.85,16.85,400
2019-11-19 07:00:00,16.85,16.85,16.85,16.85,100
2019-11-20 07:00:00,18.42,18.42,18.42,18.42,100
2019-11-21 07:00:00,19.74,19.74,19.74,19.74,100
2019-11-25 07:00:00,21.39,21.39,21.39,21.39,100
2019-11-26 07:00:00,23.05,23.05,23.05,23.05,100
2019-11-27 07:00:00,24.7,24.7,24.7,24.7,100
2019-12-05 07:00:00,22.3,22.3,22.3,22.3,1100
2019-12-10 07:00:00,22.3,22.3,22.3,22.3,30
2019-12-27 07:00:00,20.07,20.07,20.07,20.07,110
2019-12-31 07:00:00,18.09,18.09,18.09,18.09,400
2020-01-02 07:00:00,16.52,19.74,16.52,19.74,500
2020-01-07 07:00:00,21.56,21.56,21.56,21.56,100
2020-01-08 07:00:00,23.62,23.62,23.62,23.62,100
2020-01-15 07:00:00,23.62,23.62,23.62,23.62,10
2020-01-17 07:00:00,23.62,23.62,23.62,23.62,10
2020-01-20 07:00:00,23.62,23.62,23.62,23.62,100
2020-01-31 07:00:00,21.31,21.31,21.31,21.31,200
2020-02-03 07:00:00,19.25,19.25,19.25,19.25,699
2020-02-04 07:00:00,19.25,19.25,19.25,19.25,11
2020-02-06 07:00:00,17.43,17.43,17.43,17.43,200
2020-02-11 07:00:00,16.27,16.27,16.27,16.27,100
2020-02-12 07:00:00,15.03,15.03,15.03,15.03,100
2020-02-13 07:00:00,16.52,16.52,16.52,16.52,3500
2020-02-14 07:00:00,18.17,18.17,18.17,18.17,100
2020-02-17 07:00:00,19.99,19.99,19.99,19.99,200
2020-02-18 07:00:00,19.74,21.89,19.74,21.89,300
2020-02-19 07:00:00,19.74,19.74,19.74,19.74,400
2020-02-20 07:00:00,21.48,21.48,21.48,21.48,100
2020-02-21 07:00:00,19.33,23.05,19.33,23.05,800
2020-02-24 07:00:00,20.82,20.82,20.82,20.82,300
2020-02-25 07:00:00,22.71,22.71,22.71,22.71,103
2020-02-26 07:00:00,22.71,22.71,22.71,22.71,90
2020-02-27 07:00:00,22.71,22.71,22.71,22.71,10
2020-02-28 07:00:00,22.71,22.71,22.71,22.71,10
2020-03-02 07:00:00,20.48,20.48,20.48,20.48,2000
2020-03-03 07:00:00,18.5,18.5,18.5,18.5,100
2020-03-04 07:00:00,18.5,18.5,18.5,18.5,7
2020-03-06 07:00:00,16.93,16.93,16.93,16.93,100
2020-03-09 07:00:00,17.02,17.02,17.02,17.02,900
2020-03-12 07:00:00,18.58,18.58,18.58,18.58,100
2020-03-13 07:00:00,19.16,19.16,19.16,19.16,200
2020-03-16 07:00:00,20.98,20.98,20.98,20.98,100
2020-03-17 07:00:00,18.92,18.92,18.92,18.92,300
2020-03-18 07:00:00,18.92,18.92,17.1,17.18,1020
2020-03-20 07:00:00,15.61,15.61,15.61,15.61,100
2020-03-24 07:00:00,14.95,14.95,14.95,14.95,100
2020-03-26 07:00:00,16.44,16.44,16.44,16.44,100
2020-03-27 07:00:00,18.01,18.01,18.01,18.01,100
2020-03-30 07:00:00,19.66,19.66,19.66,19.66,100
2020-03-31 07:00:00,19.66,19.66,19.66,19.66,500
2020-04-01 07:00:00,21.56,21.56,21.56,21.56,100
2020-04-03 07:00:00,19.41,21.64,19.41,21.64,727
2020-04-08 07:00:00,19.49,19.49,19.49,19.49,100
2020-04-09 07:00:00,17.59,17.59,17.59,17.59,527
2020-04-15 07:00:00,16.02,16.02,16.02,16.02,100
