time,open,high,low,close,volume
2022-07-13 07:00:00,7.89,7.89,7.89,7.89,100
2022-07-14 07:00:00,9.07,9.07,9.07,9.07,100
2022-07-15 07:00:00,10.4,10.4,10.4,10.4,16700
2022-07-18 07:00:00,11.94,11.94,11.94,11.94,100
2022-07-19 07:00:00,13.68,13.68,11.89,11.89,12100
2022-07-20 07:00:00,11.89,15.37,11.37,13.88,6700
2022-07-21 07:00:00,12.35,12.45,12.3,12.35,10800
2022-07-22 07:00:00,12.35,12.4,11.94,12.4,6000
2022-07-25 07:00:00,11.58,12.24,11.53,12.24,3900
2022-07-26 07:00:00,13.37,13.83,13.17,13.73,15200
2022-07-27 07:00:00,13.47,14.24,13.47,14.09,2700
2022-07-28 07:00:00,13.73,13.99,13.37,13.99,1800
2022-07-29 07:00:00,13.99,13.99,12.55,13.88,19800
2022-08-01 07:00:00,13.63,13.63,13.42,13.63,14200
2022-08-02 07:00:00,13.52,15.37,13.52,15.37,19800
2022-08-03 07:00:00,15.37,15.63,15.06,15.32,14500
2022-08-04 07:00:00,15.32,15.83,15.32,15.78,15200
2022-08-05 07:00:00,15.47,15.88,15.47,15.88,5600
2022-08-08 07:00:00,15.63,15.88,15.63,15.63,5700
2022-08-09 07:00:00,15.63,15.68,15.52,15.63,1600
2022-08-10 07:00:00,15.57,17.88,15.57,17.88,17600
2022-08-11 07:00:00,16.91,17.83,16.8,17.37,9600
2022-08-12 07:00:00,16.91,17.42,16.75,16.75,9200
2022-08-15 07:00:00,16.75,17.62,16.14,17.62,17400
2022-08-16 07:00:00,16.65,17.06,16.29,16.34,8300
2022-08-17 07:00:00,16.39,16.65,16.29,16.65,5000
2022-08-18 07:00:00,16.14,16.14,15.63,15.63,3500
2022-08-19 07:00:00,15.73,16.75,15.63,16.75,8300
2022-08-22 07:00:00,15.88,17.06,15.68,16.6,14600
2022-08-23 07:00:00,16.14,16.85,16.14,16.75,5900
2022-08-24 07:00:00,16.34,17.73,16.34,17.73,13100
2022-08-25 07:00:00,16.85,18.08,16.85,18.08,12100
2022-08-26 07:00:00,17.42,18.19,17.42,17.88,7800
2022-08-29 07:00:00,17.67,18.14,16.55,18.14,12000
2022-08-30 07:00:00,17.16,17.88,16.55,17.88,11300
2022-08-31 07:00:00,17.06,18.14,16.85,16.85,15500
2022-09-05 07:00:00,17.32,17.57,16.34,16.6,10700
2022-09-06 07:00:00,16.65,17.01,16.39,16.39,5300
2022-09-07 07:00:00,16.6,16.65,15.37,15.37,7200
2022-09-08 07:00:00,15.63,15.98,15.57,15.68,3800
2022-09-09 07:00:00,15.63,16.34,15.63,16.19,7000
2022-09-12 07:00:00,15.88,16.5,15.88,16.5,5400
2022-09-13 07:00:00,16.04,16.14,15.57,15.98,7300
2022-09-14 07:00:00,15.52,15.68,15.42,15.52,3400
2022-09-15 07:00:00,15.27,15.63,15.22,15.37,6800
2022-09-16 07:00:00,15.22,15.47,15.01,15.32,6200
2022-09-19 07:00:00,15.01,15.01,14.65,14.81,4500
2022-09-20 07:00:00,14.6,15.27,14.6,15.27,8200
2022-09-21 07:00:00,14.55,15.37,14.45,15.22,7800
2022-09-22 07:00:00,14.75,16.19,14.75,16.14,13200
2022-09-23 07:00:00,15.32,17.47,15.32,17.47,19400
2022-09-26 07:00:00,16.5,16.96,16.14,16.14,6700
2022-09-27 07:00:00,16.39,16.39,16.19,16.19,1100
2022-09-28 07:00:00,16.14,16.19,15.93,16.19,2100
2022-09-29 07:00:00,15.98,16.39,15.98,16.09,4100
2022-09-30 07:00:00,16.09,16.6,15.78,16.6,6200
2022-10-03 07:00:00,16.04,16.04,15.57,15.57,2500
2022-10-04 07:00:00,15.68,16.39,15.68,16.19,5900
2022-10-05 07:00:00,15.78,16.75,15.78,16.75,7200
2022-10-06 07:00:00,16.04,16.55,16.04,16.39,4800
2022-10-07 07:00:00,16.19,16.19,15.52,15.52,2800
2022-10-10 07:00:00,15.68,15.88,15.37,15.88,4300
2022-10-11 07:00:00,15.52,15.78,15.52,15.52,3400
2022-10-12 07:00:00,15.57,16.04,15.47,16.04,4500
2022-10-13 07:00:00,15.63,15.98,15.47,15.98,4500
2022-10-14 07:00:00,15.68,16.24,15.68,16.24,4600
2022-10-17 07:00:00,15.88,15.88,15.37,15.37,2500
2022-10-18 07:00:00,15.63,16.14,15.63,15.93,5300
2022-10-19 07:00:00,15.83,16.14,15.83,15.88,3200
2022-10-20 07:00:00,15.78,16.09,15.63,16.09,3800
2022-10-21 07:00:00,15.73,15.73,15.22,15.22,2700
2022-10-24 07:00:00,15.37,15.52,15.27,15.27,2700
2022-10-25 07:00:00,15.32,15.57,15.06,15.57,4300
2022-10-26 07:00:00,15.27,15.27,14.91,15.16,3000
2022-10-27 07:00:00,14.96,15.57,14.96,15.52,4800
2022-10-28 07:00:00,15.16,15.78,15.16,15.73,5000
2022-10-31 07:00:00,15.37,15.47,15.06,15.37,4500
2022-11-01 07:00:00,15.16,15.68,15.16,15.57,4300
2022-11-02 07:00:00,15.32,15.42,15.06,15.42,3500
2022-11-03 07:00:00,15.11,15.11,14.86,15.01,2200
2022-11-04 07:00:00,14.91,14.91,14.6,14.81,3600
2022-11-07 07:00:00,14.7,14.7,14.34,14.7,3800
2022-11-08 07:00:00,14.5,14.81,14.34,14.81,3700
2022-11-09 07:00:00,14.5,14.96,14.5,14.65,4700
2022-11-10 07:00:00,14.65,14.81,14.45,14.45,3200
2022-11-11 07:00:00,14.6,15.06,14.6,15.06,3900
2022-11-14 07:00:00,14.75,14.75,14.34,14.6,2800
2022-11-15 07:00:00,14.5,14.5,14.09,14.19,3000
2022-11-16 07:00:00,14.24,14.75,14.14,14.75,4600
2022-11-17 07:00:00,14.34,15.01,14.34,15.01,4600
2022-11-18 07:00:00,14.6,15.11,14.6,14.96,5200
2022-11-21 07:00:00,14.81,15.22,14.81,15.06,4500
2022-11-22 07:00:00,14.91,15.22,14.75,15.22,5200
2022-11-23 07:00:00,14.91,15.32,14.91,15.22,4200
2022-11-24 07:00:00,15.01,15.11,14.86,14.91,4100
2022-11-25 07:00:00,14.86,15.11,14.86,15.11,2300
