time,open,high,low,close,volume
2024-07-30 07:00:00,18.0,18.0,17.15,17.15,2000
2024-08-06 07:00:00,17.72,17.72,17.62,17.62,1000
2024-12-05 07:00:00,17.62,17.62,17.62,17.62,200
2024-12-25 07:00:00,17.62,17.62,17.62,17.62,1800
2025-04-21 07:00:00,18.49,21.14,18.49,21.14,247300
2025-04-22 07:00:00,21.47,22.58,21.47,22.58,225400
2025-04-23 07:00:00,22.73,24.12,22.73,24.12,268100
2025-04-24 07:00:00,24.36,25.81,22.44,22.44,383000
2025-04-25 07:00:00,20.9,22.63,20.9,20.9,178400
2025-04-28 07:00:00,20.8,20.9,19.45,20.9,217900
2025-04-29 07:00:00,20.8,20.8,19.45,20.51,110300
2025-05-05 07:00:00,20.51,20.85,19.11,19.45,186900
2025-05-06 07:00:00,19.45,19.45,18.1,18.58,226200
2025-05-07 07:00:00,18.58,18.58,17.28,18.1,197000
2025-05-08 07:00:00,17.82,18.58,16.85,18.58,287500
2025-05-09 07:00:00,18.54,19.26,17.28,18.68,362100
2025-05-12 07:00:00,17.86,18.58,17.38,17.82,311700
2025-05-13 07:00:00,17.62,17.62,16.61,16.85,734200
2025-05-14 07:00:00,16.66,16.66,15.7,15.84,238900
2025-05-15 07:00:00,15.41,15.7,14.73,14.73,353700
2025-05-16 07:00:00,14.4,14.4,13.77,13.92,198500
2025-05-19 07:00:00,13.96,14.73,13.96,14.68,93600
2025-05-20 07:00:00,14.73,14.78,14.35,14.68,119300
2025-05-21 07:00:00,13.92,14.44,13.92,14.2,97000
2025-05-22 07:00:00,13.67,14.3,13.67,14.06,70900
2025-05-23 07:00:00,13.77,14.16,13.77,14.06,115800
2025-05-26 07:00:00,14.11,14.54,14.06,14.54,984500
2025-05-27 07:00:00,14.16,14.73,14.16,14.35,339800
2025-05-28 07:00:00,14.2,14.44,14.16,14.2,61900
2025-05-29 07:00:00,14.25,14.44,14.11,14.2,38600
2025-05-30 07:00:00,14.16,14.16,13.92,13.92,58200
2025-06-02 07:00:00,14.16,14.16,13.82,13.92,114800
2025-06-03 07:00:00,14.01,14.01,13.92,14.01,23100
2025-06-04 07:00:00,13.87,14.06,13.87,14.01,56700
2025-06-05 07:00:00,13.82,14.25,13.82,14.01,75100
2025-06-06 07:00:00,13.92,13.92,13.63,13.63,64900
2025-06-09 07:00:00,13.67,14.54,13.58,14.54,269200
2025-06-10 07:00:00,14.59,15.55,14.59,15.55,577000
2025-06-11 07:00:00,15.7,16.61,15.7,16.42,451900
2025-06-12 07:00:00,16.42,16.42,15.31,15.31,375200
2025-06-13 07:00:00,14.54,15.89,14.25,15.7,418500
2025-06-16 07:00:00,15.7,16.66,15.5,16.13,251900
2025-06-17 07:00:00,16.13,16.37,15.5,15.98,303600
2025-06-18 07:00:00,15.98,15.98,15.31,15.6,129200
2025-06-19 07:00:00,15.6,15.79,15.26,15.79,211000
2025-06-20 07:00:00,15.79,16.18,14.88,16.18,201600
2025-06-23 07:00:00,16.08,16.85,15.5,16.27,366400
2025-06-24 07:00:00,16.27,16.76,16.03,16.37,182100
2025-06-25 07:00:00,16.37,16.85,15.98,16.85,186900
2025-06-26 07:00:00,16.85,16.85,15.98,16.66,72300
2025-06-27 07:00:00,16.56,16.56,16.23,16.27,103300
2025-06-30 07:00:00,15.98,16.37,15.98,16.08,16100
2025-07-01 07:00:00,16.08,16.08,15.89,15.89,44100
2025-07-02 07:00:00,15.89,15.98,15.79,15.98,11600
2025-07-03 07:00:00,16.27,16.27,15.79,15.98,10800
2025-07-04 07:00:00,16.18,16.18,15.74,15.79,16300
2025-07-07 07:00:00,15.79,16.37,15.7,15.79,51500
2025-07-08 07:00:00,15.79,16.42,15.5,16.42,43200
2025-07-09 07:00:00,16.37,16.37,15.89,15.89,6800
2025-07-10 07:00:00,16.37,16.37,15.79,16.23,11300
2025-07-11 07:00:00,16.13,16.13,15.84,15.89,14600
2025-07-14 07:00:00,15.89,15.89,14.78,15.6,24700
2025-07-15 07:00:00,15.7,15.94,15.5,15.5,8100
2025-07-16 07:00:00,15.7,15.7,15.41,15.65,19900
2025-07-17 07:00:00,15.79,15.79,15.55,15.55,16100
2025-07-18 07:00:00,15.6,15.6,15.02,15.46,37300
2025-07-21 07:00:00,15.7,15.74,15.31,15.5,20900
2025-07-22 07:00:00,15.98,15.98,15.31,15.7,25000
2025-07-23 07:00:00,15.31,15.79,15.31,15.7,13900
2025-07-24 07:00:00,15.41,16.13,15.41,15.41,8500
2025-07-25 07:00:00,15.31,15.55,15.22,15.55,19800
2025-07-28 07:00:00,15.22,15.5,15.22,15.22,11800
2025-07-29 07:00:00,15.22,15.31,14.73,14.73,13100
2025-07-30 07:00:00,14.73,14.83,14.73,14.73,5600
2025-07-31 07:00:00,14.54,15.36,14.54,15.36,2300
2025-08-01 07:00:00,15.36,15.41,15.22,15.36,23900
2025-08-04 07:00:00,15.36,15.36,15.36,15.36,4100
2025-08-05 07:00:00,14.93,16.42,14.93,15.89,77400
2025-08-06 07:00:00,15.89,15.89,15.5,15.79,6900
2025-08-07 07:00:00,16.27,16.27,15.7,16.13,6000
2025-08-08 07:00:00,16.08,16.08,15.79,15.79,6500
2025-08-11 07:00:00,15.79,15.79,15.6,15.6,5700
2025-08-12 07:00:00,15.6,15.6,15.46,15.6,2400
2025-08-13 07:00:00,15.6,15.79,15.41,15.55,10600
2025-08-14 07:00:00,15.55,15.74,15.31,15.7,7000
2025-08-15 07:00:00,15.7,15.7,15.5,15.6,1500
2025-08-18 07:00:00,15.79,15.79,15.46,15.46,1600
2025-08-19 07:00:00,15.55,15.55,15.41,15.41,2300
2025-08-20 07:00:00,15.65,15.65,15.31,15.41,4000
2025-08-21 07:00:00,15.6,15.6,15.22,15.26,14000
2025-08-22 07:00:00,15.31,15.41,14.93,15.26,4200
2025-08-25 07:00:00,15.89,15.89,15.12,15.22,6200
2025-08-26 07:00:00,15.5,15.5,15.02,15.41,9800
2025-08-27 07:00:00,15.5,15.5,15.12,15.12,11200
2025-08-28 07:00:00,15.46,15.46,15.41,15.41,200
2025-08-29 07:00:00,15.41,15.41,15.12,15.41,12100
2025-09-03 07:00:00,15.41,16.47,15.41,16.47,366000
2025-09-04 07:00:00,16.56,17.57,16.56,17.57,393000
2025-09-05 07:00:00,17.62,18.78,16.47,17.57,373700
2025-09-08 07:00:00,17.43,17.43,16.37,16.37,108600
2025-09-09 07:00:00,15.5,15.79,15.26,15.26,72700
2025-09-10 07:00:00,14.44,16.27,14.3,14.93,252000
2025-09-11 07:00:00,14.93,15.5,14.73,14.93,76500
2025-09-12 07:00:00,14.93,15.84,14.83,14.97,196300
2025-09-15 07:00:00,15.02,15.02,14.83,14.88,20200
2025-09-16 07:00:00,14.88,14.93,14.78,14.93,20900
2025-09-17 07:00:00,14.93,14.97,14.93,14.93,10500
2025-09-18 07:00:00,14.93,15.12,14.83,14.97,900
2025-09-19 07:00:00,14.97,15.02,14.83,15.02,16700
2025-09-22 07:00:00,14.97,14.97,14.54,14.54,18000
2025-09-23 07:00:00,14.59,14.88,14.54,14.88,13000
2025-09-24 07:00:00,14.88,14.93,14.83,14.93,4700
2025-09-25 07:00:00,14.83,15.41,14.83,14.83,10500
2025-09-26 07:00:00,15.17,15.17,14.83,14.93,2300
2025-09-29 07:00:00,14.93,14.93,14.83,14.83,3500
2025-09-30 07:00:00,14.54,14.93,14.44,14.44,11600
2025-10-01 07:00:00,14.83,14.83,14.54,14.68,3200
2025-10-02 07:00:00,14.68,14.68,14.44,14.68,5900
2025-10-03 07:00:00,14.68,14.93,14.68,14.93,400
2025-10-06 07:00:00,14.83,14.83,14.73,14.83,2900
2025-10-07 07:00:00,14.83,14.83,14.49,14.73,5900
2025-10-08 07:00:00,14.68,15.12,14.54,15.12,8500
2025-10-09 07:00:00,14.54,14.83,14.54,14.73,132600
2025-10-10 07:00:00,14.73,15.02,14.73,15.02,74100
2025-10-13 07:00:00,15.02,15.41,14.97,15.41,23600
2025-10-14 07:00:00,15.89,16.47,15.31,16.08,229100
2025-10-15 07:00:00,16.08,16.08,15.12,15.22,18200
2025-10-16 07:00:00,15.22,15.22,14.2,15.22,40400
2025-10-17 07:00:00,15.22,15.6,14.73,15.6,3200
2025-10-20 07:00:00,15.6,15.6,14.54,14.54,8600
2025-10-21 07:00:00,14.54,15.41,14.16,15.22,9300
2025-10-22 07:00:00,15.46,15.46,14.73,14.83,4600
2025-10-23 07:00:00,15.22,15.22,14.73,14.73,1500
2025-10-24 07:00:00,14.73,15.02,14.73,15.02,400
2025-10-27 07:00:00,14.93,15.22,14.54,15.22,9000
2025-10-28 07:00:00,15.22,15.98,15.12,15.12,4300
2025-10-29 07:00:00,15.12,15.36,14.93,15.36,3600
2025-10-30 07:00:00,15.22,15.22,14.83,14.83,4100
2025-11-03 07:00:00,14.83,15.79,14.64,14.64,14000
2025-11-04 07:00:00,14.73,15.31,14.73,15.31,800
2025-11-05 07:00:00,15.31,15.31,15.22,15.22,600
2025-11-06 07:00:00,15.22,15.22,14.93,14.93,1400
2025-11-07 07:00:00,14.93,14.93,14.93,14.93,2200
2025-11-10 07:00:00,14.44,15.94,14.44,15.89,169500
2025-11-11 07:00:00,15.98,17.0,15.79,16.95,200300
2025-11-12 07:00:00,16.85,17.82,16.85,17.72,196700
2025-11-13 07:00:00,17.72,17.72,17.14,17.14,6100
