time,open,high,low,close,volume
2018-01-02 07:00:00,7.36,7.36,7.36,7.36,100
2018-01-03 07:00:00,7.41,7.41,6.94,7.41,1020
2018-01-04 07:00:00,7.41,7.41,7.38,7.41,40
2018-01-05 07:00:00,7.68,7.68,7.41,7.68,110
2018-01-09 07:00:00,7.24,7.24,7.24,7.24,3570
2018-01-10 07:00:00,7.43,7.43,7.43,7.43,10
2018-01-11 07:00:00,7.43,7.43,7.43,7.43,10
2018-01-15 07:00:00,7.63,7.63,7.63,7.63,10
2018-01-16 07:00:00,7.83,7.83,7.83,7.83,10
2018-01-29 07:00:00,7.33,7.43,7.33,7.43,2810
2018-01-30 07:00:00,7.43,7.43,7.43,7.43,1400
2018-02-01 07:00:00,7.43,7.43,7.43,7.43,1200
2018-02-02 07:00:00,7.88,7.88,7.88,7.88,100
2018-02-07 07:00:00,7.33,7.43,7.33,7.43,1400
2018-02-22 07:00:00,7.33,7.33,7.33,7.33,1800
2018-02-23 07:00:00,7.33,7.33,7.33,7.33,150
2018-02-26 07:00:00,7.48,7.48,7.04,7.24,8030
2018-02-27 07:00:00,6.94,7.24,6.94,6.94,400
2018-02-28 07:00:00,7.18,7.18,7.18,7.18,120
2018-03-01 07:00:00,7.63,7.68,7.63,7.63,3220
2018-03-05 07:00:00,7.63,7.63,7.43,7.43,30
2018-03-06 07:00:00,7.53,7.53,7.53,7.53,430
2018-03-09 07:00:00,7.24,7.24,7.24,7.24,10
2018-03-12 07:00:00,7.24,7.43,7.18,7.43,4150
2018-03-13 07:00:00,7.43,7.43,6.99,7.18,1940
2018-03-14 07:00:00,7.18,7.18,6.94,7.16,1140
2018-03-15 07:00:00,7.16,7.63,6.94,7.53,1760
2018-03-16 07:00:00,7.04,7.43,7.04,7.43,510
2018-03-20 07:00:00,7.3,7.64,7.3,7.3,70
2018-03-21 07:00:00,7.54,7.54,7.28,7.28,1260
2018-03-22 07:00:00,7.28,7.28,7.28,7.28,70
2018-03-26 07:00:00,7.54,7.54,7.54,7.54,10
2018-03-28 07:00:00,7.9,7.9,7.9,7.9,10
2018-04-03 07:00:00,7.8,7.8,7.8,7.8,10
2018-04-06 07:00:00,7.8,7.8,7.28,7.28,5050
2018-04-09 07:00:00,7.28,7.74,7.28,7.54,350
2018-04-11 07:00:00,7.54,7.8,7.54,7.59,1820
2018-04-16 07:00:00,7.28,7.28,7.28,7.28,100
2018-04-17 07:00:00,7.77,7.77,7.77,7.77,30
2018-04-18 07:00:00,7.28,7.28,7.28,7.28,600
2018-04-19 07:00:00,7.28,7.28,7.28,7.28,1520
2018-04-23 07:00:00,7.28,7.33,7.28,7.28,5500
2018-04-24 07:00:00,7.28,7.28,7.28,7.28,60
2018-05-02 07:00:00,7.28,7.28,7.28,7.28,110
2018-05-03 07:00:00,7.12,7.12,7.12,7.12,20
2018-05-04 07:00:00,7.12,7.59,7.12,7.59,100
2018-05-09 07:00:00,7.28,7.28,7.28,7.28,30
2018-05-10 07:00:00,7.22,7.22,7.22,7.22,10
2018-05-11 07:00:00,7.22,7.25,7.22,7.25,20
2018-05-14 07:00:00,6.84,7.54,6.78,7.48,8090
2018-05-16 07:00:00,7.59,7.59,7.59,7.59,10
2018-05-17 07:00:00,7.07,7.12,7.07,7.12,950
2018-05-18 07:00:00,7.02,7.02,6.78,6.78,510
2018-05-21 07:00:00,7.25,7.25,6.91,6.91,110
2018-05-22 07:00:00,6.86,6.86,6.86,6.86,110
2018-05-24 07:00:00,6.89,6.89,6.89,6.89,110
2018-05-25 07:00:00,7.25,7.25,6.89,6.89,40
2018-05-28 07:00:00,6.76,6.76,6.76,6.76,150
2018-05-29 07:00:00,6.7,7.2,6.29,7.2,200
2018-05-30 07:00:00,7.28,7.28,7.28,7.28,70
2018-05-31 07:00:00,7.28,7.28,7.28,7.28,10
2018-06-01 07:00:00,7.02,7.02,7.02,7.02,20
2018-06-04 07:00:00,7.28,7.38,7.28,7.33,40
2018-06-05 07:00:00,7.02,7.02,7.02,7.02,80
2018-06-07 07:00:00,7.48,7.48,7.48,7.48,10
2018-06-08 07:00:00,6.96,7.28,6.96,7.28,410
2018-06-11 07:00:00,7.77,7.77,7.77,7.77,520
2018-06-19 07:00:00,7.77,7.77,7.74,7.74,70
2018-06-20 07:00:00,7.74,7.74,7.74,7.74,350
2018-06-22 07:00:00,7.22,7.22,7.22,7.22,390
2018-06-26 07:00:00,7.72,7.72,7.72,7.72,10
2018-06-27 07:00:00,7.28,7.28,7.28,7.28,380
2018-06-28 07:00:00,7.28,7.28,7.28,7.28,10
2018-06-29 07:00:00,6.81,7.28,6.81,7.28,20
2018-07-02 07:00:00,7.77,7.77,6.91,6.91,20
2018-07-03 07:00:00,7.38,7.38,6.99,6.99,120
2018-07-04 07:00:00,7.28,7.28,7.28,7.28,10
2018-07-05 07:00:00,7.72,7.72,7.28,7.28,310
2018-07-06 07:00:00,7.72,7.74,7.72,7.74,60
2018-07-17 07:00:00,7.22,7.22,7.22,7.22,220
2018-07-18 07:00:00,6.76,6.76,6.76,6.76,50
2018-07-19 07:00:00,7.22,7.22,7.22,7.22,150
2018-07-23 07:00:00,7.69,7.69,7.69,7.69,10
2018-07-27 07:00:00,7.64,7.64,7.64,7.64,10
2018-07-30 07:00:00,7.28,7.28,7.28,7.28,10
2018-07-31 07:00:00,7.72,7.72,7.72,7.72,30
2018-08-03 07:00:00,7.8,7.8,7.8,7.8,10
2018-08-17 07:00:00,8.07,8.07,8.07,8.07,10
2018-08-21 07:00:00,7.58,7.58,7.53,7.53,80
2018-08-22 07:00:00,7.31,7.31,7.09,7.09,2500
2018-08-23 07:00:00,7.09,7.15,7.09,7.15,1800
2018-08-24 07:00:00,7.26,7.26,7.26,7.26,30
2018-08-27 07:00:00,7.47,7.47,7.47,7.47,10
2018-08-28 07:00:00,6.96,7.36,6.96,7.36,25020
2018-08-29 07:00:00,6.96,7.28,6.96,7.28,9600
2018-08-31 07:00:00,7.15,7.15,7.01,7.01,4800
2018-09-05 07:00:00,7.28,7.28,6.61,6.61,3210
