time,open,high,low,close,volume
2018-06-04 07:00:00,18.39,18.39,18.39,18.39,100
2018-07-18 07:00:00,25.7,25.7,25.7,25.7,100
2018-11-21 07:00:00,15.44,15.44,15.44,15.44,100
2018-11-22 07:00:00,13.15,13.15,13.15,13.15,800
2019-01-21 07:00:00,11.82,11.82,11.82,11.82,900
2019-07-22 07:00:00,12.12,12.12,11.82,11.82,10100
2019-07-25 07:00:00,13.71,13.71,13.71,13.71,100
2019-07-26 07:00:00,15.76,15.76,15.76,15.76,100
2019-07-29 07:00:00,13.41,18.11,13.41,16.29,300
2019-07-30 07:00:00,13.86,16.14,13.86,16.14,200
2019-07-31 07:00:00,15.91,15.91,15.91,15.91,100
2019-08-01 07:00:00,16.29,16.29,16.29,16.29,100
2019-08-28 07:00:00,13.86,13.86,13.86,13.86,100
2019-08-30 07:00:00,15.91,15.91,15.91,15.91,100
2019-09-11 07:00:00,18.18,18.18,18.18,18.18,100
2019-09-12 07:00:00,18.18,18.18,18.18,18.18,400
2019-09-13 07:00:00,20.45,20.45,20.45,20.45,100
2019-09-16 07:00:00,22.73,22.73,22.73,22.73,300
2019-09-17 07:00:00,25.76,25.76,25.76,25.76,100
2019-09-23 07:00:00,28.03,28.03,28.03,28.03,100
2019-09-24 07:00:00,23.86,23.86,23.86,23.86,200
2019-10-03 07:00:00,26.51,26.51,26.51,26.51,100
2019-10-08 07:00:00,30.3,30.3,30.3,30.3,100
2019-10-17 07:00:00,26.51,26.51,26.51,26.51,400
2019-10-25 07:00:00,22.58,22.58,22.58,22.58,100
2019-12-03 07:00:00,13.56,13.56,13.56,13.56,1100
2019-12-04 07:00:00,12.12,12.12,12.12,12.12,400
2019-12-05 07:00:00,11.74,11.74,11.74,11.74,500
2019-12-09 07:00:00,11.36,11.36,11.36,11.36,500
2019-12-10 07:00:00,11.14,11.14,11.14,11.14,500
2019-12-11 07:00:00,12.8,12.8,12.8,12.8,100
2019-12-12 07:00:00,14.7,14.7,14.7,14.7,100
2019-12-17 07:00:00,16.67,16.67,16.67,16.67,100
2019-12-23 07:00:00,18.94,18.94,14.17,14.17,200
2019-12-27 07:00:00,18.94,18.94,18.94,18.94,100
2020-01-15 07:00:00,16.14,16.14,16.14,16.14,100
2020-01-16 07:00:00,16.14,16.14,16.14,16.14,500
2020-01-30 07:00:00,13.79,13.79,13.79,13.79,100
2020-01-31 07:00:00,11.74,11.74,11.74,11.74,1200
2020-02-03 07:00:00,10.61,10.68,10.08,10.23,3400
2020-02-05 07:00:00,9.85,9.85,9.85,9.85,500
2020-02-06 07:00:00,9.85,9.85,9.7,9.85,900
2020-02-12 07:00:00,9.85,9.85,9.85,9.85,200
2020-02-13 07:00:00,10.23,10.23,10.23,10.23,100
2020-02-18 07:00:00,10.23,10.23,10.23,9.85,1100
2020-03-02 07:00:00,9.24,9.24,9.24,9.24,1000
2020-03-03 07:00:00,9.24,9.24,9.09,9.09,2600
2020-03-25 07:00:00,10.45,10.45,10.45,10.45,100
2020-04-15 07:00:00,11.97,11.97,11.74,11.74,700
2020-04-16 07:00:00,12.12,12.12,12.12,12.12,2000
2020-04-17 07:00:00,11.36,11.89,11.36,11.89,500
