time,open,high,low,close,volume
2018-01-02 07:00:00,3.61,3.61,3.61,3.61,350
2018-01-03 07:00:00,3.5,3.6,3.48,3.6,15810
2018-01-04 07:00:00,3.59,3.63,3.59,3.63,1740
2018-01-05 07:00:00,3.61,3.61,3.61,3.61,400
2018-01-08 07:00:00,3.54,3.65,3.54,3.65,160
2018-01-09 07:00:00,3.54,3.61,3.54,3.61,370
2018-01-10 07:00:00,3.61,3.67,3.61,3.67,6110
2018-01-11 07:00:00,3.59,3.69,3.59,3.69,610
2018-01-12 07:00:00,3.62,3.67,3.62,3.62,1110
2018-01-15 07:00:00,3.61,3.61,3.61,3.61,110
2018-01-16 07:00:00,3.59,3.65,3.59,3.65,200
2018-01-17 07:00:00,3.63,3.63,3.61,3.63,2050
2018-01-18 07:00:00,3.63,3.63,3.63,3.63,50
2018-01-19 07:00:00,3.5,3.66,3.5,3.66,120
2018-01-22 07:00:00,3.63,3.63,3.63,3.63,1000
2018-01-25 07:00:00,3.69,3.71,3.61,3.63,2560
2018-01-26 07:00:00,3.56,3.68,3.56,3.68,3500
2018-01-29 07:00:00,3.56,3.56,3.56,3.56,900
2018-01-30 07:00:00,3.61,3.68,3.61,3.68,210
2018-01-31 07:00:00,3.66,3.66,3.66,3.66,200
2018-02-01 07:00:00,3.56,3.66,3.56,3.61,2350
2018-02-02 07:00:00,3.56,3.61,3.56,3.61,460
2018-02-05 07:00:00,3.65,3.65,3.56,3.65,5340
2018-02-06 07:00:00,3.65,3.65,3.52,3.65,9520
2018-02-07 07:00:00,3.63,3.66,3.61,3.66,2650
2018-02-08 07:00:00,3.71,3.71,3.61,3.61,1320
2018-02-09 07:00:00,3.36,3.67,3.36,3.67,100
2018-02-12 07:00:00,3.61,3.65,3.61,3.65,34250
2018-02-13 07:00:00,3.73,3.73,3.73,3.73,50
2018-02-21 07:00:00,3.61,3.71,3.61,3.71,750
2018-02-23 07:00:00,3.65,3.71,3.65,3.71,60
2018-02-26 07:00:00,3.65,3.71,3.65,3.71,130
2018-02-27 07:00:00,3.63,3.69,3.63,3.69,5280
2018-02-28 07:00:00,3.67,3.67,3.61,3.63,4120
2018-03-01 07:00:00,3.61,3.66,3.61,3.66,1170
2018-03-02 07:00:00,3.66,3.66,3.66,3.66,20
2018-03-05 07:00:00,3.69,3.73,3.69,3.73,1490
2018-03-06 07:00:00,3.69,3.69,3.69,3.69,10
