time,open,high,low,close,volume
2018-01-02 07:00:00,15.05,15.05,13.8,13.8,400
2018-01-03 07:00:00,14.99,14.99,13.34,13.34,800
2018-01-04 07:00:00,14.66,14.66,12.49,14.46,13600
2018-01-05 07:00:00,15.12,15.12,13.15,14.59,800
2018-01-09 07:00:00,14.13,14.4,14.13,14.4,300
2018-01-10 07:00:00,13.15,14.13,13.15,14.13,1800
2018-01-15 07:00:00,12.82,14.07,12.82,14.07,3800
2018-01-17 07:00:00,12.69,13.08,12.69,13.08,400
2018-01-19 07:00:00,13.8,13.8,11.96,12.69,2800
2018-01-22 07:00:00,13.15,13.15,11.83,12.82,2200
2018-01-24 07:00:00,12.16,13.15,12.16,13.15,5200
2018-01-25 07:00:00,12.16,12.82,11.96,11.96,3900
2018-01-26 07:00:00,12.49,12.49,12.49,12.49,100
2018-01-29 07:00:00,12.1,12.1,12.1,12.1,1100
2018-01-30 07:00:00,11.83,11.83,11.83,11.83,2600
2018-01-31 07:00:00,11.5,12.82,11.17,12.82,16600
2018-02-01 07:00:00,11.96,12.49,11.96,12.49,600
2018-02-02 07:00:00,11.83,11.83,11.83,11.83,4100
2018-02-05 07:00:00,10.91,12.75,10.71,10.71,2900
2018-02-06 07:00:00,11.5,11.5,10.65,11.44,30700
2018-02-07 07:00:00,12.42,12.42,11.5,11.5,200
2018-02-08 07:00:00,12.42,12.42,11.77,11.77,600
2018-02-09 07:00:00,10.65,11.64,10.65,11.31,4500
2018-02-12 07:00:00,11.7,12.1,10.65,11.24,2000
2018-02-13 07:00:00,11.17,11.5,11.17,11.31,2400
2018-02-21 07:00:00,11.77,11.77,11.5,11.5,1900
2018-02-22 07:00:00,11.7,11.96,11.7,11.77,6400
2018-02-23 07:00:00,11.77,11.77,11.77,11.77,2000
2018-02-26 07:00:00,11.17,11.9,11.17,11.83,6200
2018-02-27 07:00:00,11.83,12.49,11.17,11.17,16700
2018-02-28 07:00:00,11.83,11.83,11.37,11.5,900
2018-03-01 07:00:00,11.83,11.83,11.5,11.5,300
2018-03-02 07:00:00,11.11,11.77,10.71,11.77,4200
2018-03-05 07:00:00,11.83,11.83,11.83,11.83,100
2018-03-06 07:00:00,11.83,11.83,11.83,11.83,100
2018-03-07 07:00:00,11.04,11.83,10.91,11.7,600
2018-03-08 07:00:00,10.98,11.7,10.91,11.5,1700
2018-03-09 07:00:00,11.7,11.77,11.7,11.77,300
2018-03-12 07:00:00,11.64,11.64,11.64,11.64,200
2018-03-13 07:00:00,11.57,11.57,11.57,11.57,500
2018-03-14 07:00:00,11.44,11.83,11.44,11.77,6700
2018-03-15 07:00:00,11.83,12.49,10.98,10.98,300
2018-03-16 07:00:00,11.83,11.83,11.7,11.7,200
2018-03-19 07:00:00,11.7,12.49,11.7,12.42,2000
2018-03-20 07:00:00,11.5,12.42,11.5,12.42,1300
2018-03-26 07:00:00,11.24,12.42,11.24,12.42,200
2018-03-28 07:00:00,11.37,11.37,11.37,11.37,100
2018-03-29 07:00:00,11.77,11.77,11.77,11.77,400
2018-03-30 07:00:00,11.77,12.82,11.77,12.82,3000
2018-04-02 07:00:00,13.15,13.15,13.15,13.15,100
2018-04-05 07:00:00,13.02,13.8,11.83,12.82,1400
2018-04-06 07:00:00,11.64,12.82,11.64,12.82,300
2018-04-09 07:00:00,12.49,12.49,12.49,12.49,100
2018-04-10 07:00:00,11.83,11.83,11.83,11.83,100
2018-04-11 07:00:00,12.16,12.16,12.16,12.16,900
2018-04-13 07:00:00,11.31,11.31,11.31,11.31,100
2018-04-16 07:00:00,11.77,11.77,11.77,11.77,100
2018-04-18 07:00:00,11.17,11.77,11.17,11.77,600
2018-04-19 07:00:00,10.71,11.37,10.71,11.37,300
2018-04-20 07:00:00,11.37,11.37,11.37,11.37,100
2018-04-23 07:00:00,11.17,11.77,11.17,11.77,400
2018-04-27 07:00:00,11.57,12.56,11.57,12.42,9400
2018-05-04 07:00:00,11.31,11.7,11.31,11.7,1900
2018-05-15 07:00:00,11.17,11.7,11.17,11.7,1100
2018-05-18 07:00:00,10.65,11.44,10.65,11.44,1200
2018-05-21 07:00:00,12.12,12.12,11.98,11.98,300
2018-05-25 07:00:00,11.23,11.23,11.17,11.17,900
2018-05-28 07:00:00,11.23,12.12,11.17,11.51,1000
2018-05-30 07:00:00,10.89,11.23,10.89,11.23,300
2018-05-31 07:00:00,11.57,11.57,11.23,11.23,1500
2018-06-01 07:00:00,11.3,11.57,11.3,11.44,700
2018-06-04 07:00:00,11.23,11.23,11.23,11.23,300
2018-06-06 07:00:00,10.96,10.96,10.96,10.96,100
2018-06-07 07:00:00,10.96,10.96,10.96,10.96,200
2018-06-08 07:00:00,11.1,11.1,11.1,11.1,100
2018-06-11 07:00:00,11.1,11.1,11.1,11.1,100
2018-06-12 07:00:00,11.91,11.91,10.89,11.17,500
2018-06-13 07:00:00,11.17,11.17,11.17,11.17,500
2018-06-14 07:00:00,10.55,11.23,10.14,10.21,17550
2018-06-15 07:00:00,10.08,11.17,9.33,10.96,9750
2018-06-18 07:00:00,10.55,10.55,10.55,10.55,300
2018-06-19 07:00:00,10.21,10.35,9.87,10.35,1400
2018-06-20 07:00:00,10.14,10.35,10.14,10.35,4950
2018-06-21 07:00:00,11.23,11.23,10.42,10.42,400
2018-06-22 07:00:00,9.67,10.35,9.67,10.35,2200
2018-06-25 07:00:00,10.96,10.96,10.35,10.76,800
2018-06-26 07:00:00,10.76,10.76,10.21,10.76,2700
2018-06-28 07:00:00,9.94,10.55,9.94,10.55,1400
2018-06-29 07:00:00,11.17,11.17,10.21,10.55,3400
2018-07-02 07:00:00,10.01,10.42,9.6,10.42,1100
2018-07-03 07:00:00,9.8,10.28,9.53,10.08,4750
2018-07-04 07:00:00,9.53,10.01,9.53,10.01,1750
2018-07-05 07:00:00,9.94,9.94,9.94,9.94,300
2018-07-09 07:00:00,9.8,9.94,9.6,9.87,5700
2018-07-10 07:00:00,9.87,9.87,9.8,9.8,1600
2018-07-11 07:00:00,9.87,9.87,9.8,9.8,6200
2018-07-12 07:00:00,9.6,9.8,9.6,9.8,600
2018-07-13 07:00:00,9.74,9.87,9.74,9.87,5700
2018-07-17 07:00:00,10.14,10.14,9.53,9.87,300
2018-07-18 07:00:00,10.08,10.76,10.08,10.76,200
2018-07-20 07:00:00,10.21,10.55,9.87,10.55,1600
2018-07-23 07:00:00,10.48,10.48,10.21,10.21,300
2018-07-24 07:00:00,9.67,10.21,9.67,10.21,300
2018-07-25 07:00:00,10.14,10.14,10.14,10.14,100
2018-07-26 07:00:00,10.08,10.08,10.08,10.08,500
2018-07-27 07:00:00,10.21,10.21,10.08,10.21,6400
2018-07-30 07:00:00,9.74,11.17,9.74,11.1,12550
2018-07-31 07:00:00,11.57,11.57,11.57,11.57,100
2018-08-01 07:00:00,10.55,10.89,10.55,10.89,600
2018-08-02 07:00:00,11.23,11.23,11.23,11.23,100
2018-08-03 07:00:00,10.89,10.89,10.89,10.89,500
2018-08-07 07:00:00,9.87,10.62,9.87,10.62,300
2018-08-08 07:00:00,10.62,11.57,10.62,10.62,1000
2018-08-10 07:00:00,10.89,10.89,10.89,10.89,100
2018-08-13 07:00:00,10.89,10.89,10.89,10.89,100
2018-08-16 07:00:00,11.23,11.23,9.87,10.55,28400
2018-08-20 07:00:00,9.87,10.89,9.87,10.21,4550
2018-08-21 07:00:00,10.48,10.48,10.48,10.48,100
2018-08-22 07:00:00,9.87,10.21,9.87,10.21,500
2018-08-23 07:00:00,9.87,10.14,9.87,10.14,1800
2018-08-24 07:00:00,10.28,10.28,10.28,10.28,150
2018-08-27 07:00:00,9.87,10.76,9.87,10.76,7250
2018-08-29 07:00:00,10.55,10.89,10.55,10.89,6500
2018-08-30 07:00:00,11.24,11.24,11.24,11.24,150
2018-09-04 07:00:00,10.4,10.89,10.4,10.89,550
2018-09-06 07:00:00,11.24,11.24,11.24,11.24,100
2018-09-07 07:00:00,11.24,11.24,11.24,11.24,4
2018-09-11 07:00:00,10.47,10.47,10.47,10.47,300
2018-09-12 07:00:00,10.47,10.75,10.47,10.47,5800
2018-09-13 07:00:00,10.47,10.54,10.47,10.54,700
2018-09-14 07:00:00,10.54,10.54,10.54,10.54,600
2018-09-17 07:00:00,10.54,10.68,10.54,10.68,1000
2018-09-18 07:00:00,11.17,11.17,11.17,11.17,100
2018-09-19 07:00:00,11.17,11.17,11.17,11.17,55
2018-09-20 07:00:00,10.61,11.1,10.61,11.1,2800
2018-09-21 07:00:00,11.17,11.24,11.17,11.24,500
2018-09-24 07:00:00,10.54,11.1,10.54,11.1,9000
2018-09-25 07:00:00,10.89,11.1,10.4,11.1,36101
2018-09-26 07:00:00,11.24,11.6,10.47,11.6,35550
2018-09-27 07:00:00,10.68,10.68,10.68,10.68,719
2018-09-28 07:00:00,10.54,11.24,10.54,11.17,1100
2018-10-02 07:00:00,10.61,11.1,10.61,11.1,321
2018-10-03 07:00:00,10.82,11.24,10.82,11.24,1900
2018-10-04 07:00:00,10.68,11.03,10.61,11.03,800
2018-10-05 07:00:00,11.95,11.95,11.95,11.95,100
2018-10-09 07:00:00,11.95,11.95,11.95,11.95,30
2018-10-10 07:00:00,10.82,11.24,10.82,11.24,200
2018-10-11 07:00:00,10.61,11.24,10.61,11.17,761
2018-10-15 07:00:00,11.24,11.24,11.24,11.24,100
2018-10-16 07:00:00,11.6,11.6,11.1,11.53,7300
2018-10-17 07:00:00,11.53,11.53,11.53,11.53,51
2018-10-19 07:00:00,11.95,11.95,10.54,11.53,2400
2018-10-22 07:00:00,10.61,11.46,10.61,11.39,600
2018-10-23 07:00:00,11.24,11.24,10.61,11.17,22100
2018-10-24 07:00:00,10.82,11.17,10.68,11.17,12600
2018-10-25 07:00:00,10.82,10.82,10.82,10.82,5200
2018-10-26 07:00:00,10.75,11.6,10.54,11.17,25971
2018-10-29 07:00:00,11.53,11.53,11.53,11.53,100
2018-10-30 07:00:00,11.53,11.53,11.53,11.53,50
2018-10-31 07:00:00,11.24,11.95,11.24,11.95,19800
2018-11-02 07:00:00,10.82,11.1,10.75,11.1,300
2018-11-05 07:00:00,10.33,11.24,10.33,11.24,250
2018-11-06 07:00:00,11.24,11.24,11.24,11.24,100
2018-11-07 07:00:00,11.17,11.17,11.17,11.17,100
2018-11-08 07:00:00,11.6,11.6,11.6,11.6,138
2018-11-09 07:00:00,11.81,11.81,11.81,11.81,100
2018-11-14 07:00:00,12.09,12.09,11.81,11.81,200
2018-11-19 07:00:00,11.95,11.95,11.95,11.95,100
2018-11-27 07:00:00,10.75,11.6,10.75,11.17,13100
2018-11-28 07:00:00,11.53,11.53,10.82,11.53,2100
2018-11-29 07:00:00,11.74,12.37,11.1,11.95,10200
2018-11-30 07:00:00,11.53,11.95,11.53,11.95,2000
2018-12-03 07:00:00,11.03,11.88,11.03,11.88,500
2018-12-04 07:00:00,11.03,11.6,10.96,11.6,3100
2018-12-05 07:00:00,10.96,11.6,10.96,11.6,8900
2018-12-07 07:00:00,10.75,11.24,10.75,11.24,200
2018-12-10 07:00:00,11.46,11.46,10.54,11.17,1300
2018-12-11 07:00:00,10.33,10.96,10.33,10.96,200
2018-12-12 07:00:00,10.47,11.17,10.47,11.17,1400
2018-12-13 07:00:00,11.17,11.17,11.17,11.17,50
2018-12-17 07:00:00,11.81,11.81,11.81,11.81,100
2018-12-19 07:00:00,11.03,11.03,11.03,11.03,200
2018-12-20 07:00:00,11.53,11.53,10.26,11.17,1300
2018-12-21 07:00:00,11.24,11.24,11.17,11.17,200
2018-12-24 07:00:00,10.26,11.17,10.19,11.17,2600
2018-12-25 07:00:00,10.82,10.82,10.82,10.82,200
2018-12-26 07:00:00,11.1,11.1,10.4,10.75,2950
2018-12-27 07:00:00,11.25,11.25,11.25,11.25,100
2019-01-02 07:00:00,11.18,11.18,11.18,11.18,500
2019-01-03 07:00:00,10.4,11.11,10.4,10.9,300
2019-01-04 07:00:00,11.18,11.18,11.18,11.18,200
2019-01-09 07:00:00,10.47,11.18,10.4,11.11,6900
2019-01-14 07:00:00,10.97,11.11,10.97,11.11,10800
2019-01-15 07:00:00,11.11,11.11,11.11,11.11,700
2019-01-17 07:00:00,10.47,11.11,10.47,11.11,1750
2019-01-18 07:00:00,10.54,10.97,10.54,10.97,300
2019-01-21 07:00:00,11.04,11.04,11.04,11.04,2500
2019-01-22 07:00:00,11.04,11.96,10.97,11.68,2700
2019-01-23 07:00:00,10.75,11.32,10.75,11.32,300
2019-01-25 07:00:00,11.96,12.03,10.97,12.03,1151
2019-01-31 07:00:00,11.04,11.04,11.04,11.04,150
2019-02-01 07:00:00,12.11,12.11,11.39,12.03,700
2019-02-13 07:00:00,12.46,12.46,12.46,12.46,300
2019-02-14 07:00:00,12.46,12.46,12.46,12.46,100
2019-02-15 07:00:00,12.46,12.46,12.46,12.46,20
2019-02-18 07:00:00,12.46,12.46,12.46,12.46,200
2019-02-20 07:00:00,11.75,12.11,11.75,11.75,6900
2019-02-21 07:00:00,11.75,11.75,11.75,11.75,3500
2019-02-22 07:00:00,11.75,11.75,11.75,11.75,300
2019-02-26 07:00:00,11.39,11.39,11.39,11.39,3400
2019-02-27 07:00:00,11.39,11.96,11.39,11.96,3100
2019-03-01 07:00:00,11.68,11.68,11.68,11.68,1000
2019-03-04 07:00:00,12.11,12.11,11.75,11.75,2400
2019-03-05 07:00:00,12.39,12.39,11.82,11.82,2100
2019-03-07 07:00:00,11.75,11.89,11.75,11.75,2750
2019-03-08 07:00:00,10.97,11.96,10.97,11.96,1100
2019-03-12 07:00:00,11.61,11.61,11.61,11.61,3000
2019-03-13 07:00:00,10.82,11.75,10.82,11.75,30000
2019-03-14 07:00:00,11.75,11.75,11.46,11.75,21700
2019-03-15 07:00:00,11.75,11.75,11.75,11.75,1600
2019-03-18 07:00:00,11.68,11.68,11.68,11.68,9670
2019-03-19 07:00:00,11.68,12.75,11.54,12.11,7800
2019-03-20 07:00:00,12.11,12.46,12.11,12.11,10000
2019-03-21 07:00:00,12.11,12.96,12.11,12.96,82740
2019-03-22 07:00:00,12.82,13.1,12.82,12.96,11100
2019-03-25 07:00:00,12.39,12.96,12.32,12.96,1100
2019-03-26 07:00:00,13.53,13.53,11.75,12.75,530
2019-03-27 07:00:00,13.1,13.53,12.68,13.17,3440
2019-03-28 07:00:00,12.25,13.1,12.25,13.1,1100
2019-03-29 07:00:00,13.17,13.17,12.39,13.03,1200
2019-04-01 07:00:00,12.82,12.82,12.82,12.82,960
2019-04-02 07:00:00,13.03,13.89,13.03,13.32,700
2019-04-03 07:00:00,12.25,13.32,12.25,13.17,3500
2019-04-04 07:00:00,13.17,13.17,13.17,13.17,30
2019-04-05 07:00:00,13.17,13.17,13.17,13.17,100
2019-04-09 07:00:00,13.1,13.46,13.1,13.46,400
2019-04-10 07:00:00,13.32,13.32,12.96,12.96,1200
2019-04-12 07:00:00,12.82,13.89,12.82,13.74,5500
2019-04-16 07:00:00,13.53,13.53,12.96,13.53,2300
2019-04-19 07:00:00,14.1,14.1,14.1,14.1,100
2019-04-22 07:00:00,13.89,13.89,13.81,13.81,300
2019-04-23 07:00:00,13.53,14.6,13.53,14.6,2185
2019-04-24 07:00:00,14.24,15.31,13.17,14.6,6600
2019-04-25 07:00:00,14.53,14.53,13.96,13.96,3400
2019-04-26 07:00:00,14.6,14.6,14.46,14.46,200
2019-05-02 07:00:00,14.24,14.31,13.03,14.1,10100
2019-05-03 07:00:00,12.82,12.82,12.82,12.82,2010
2019-05-06 07:00:00,13.53,13.53,12.75,12.82,14700
2019-05-07 07:00:00,13.17,13.17,12.6,12.75,17900
2019-05-08 07:00:00,12.82,12.82,12.82,12.82,5700
2019-05-09 07:00:00,12.46,12.75,12.11,12.75,2000
2019-05-14 07:00:00,12.68,12.75,12.46,12.75,14100
2019-05-15 07:00:00,12.75,12.75,12.75,12.75,800
2019-05-16 07:00:00,12.75,12.75,12.75,12.75,10
