time,open,high,low,close,volume
2018-01-02 07:00:00,10.58,10.58,10.41,10.41,776560
2018-01-03 07:00:00,10.41,11.13,10.41,11.11,139770
2018-01-04 07:00:00,11.32,11.32,10.79,10.83,92050
2018-01-05 07:00:00,10.62,10.77,10.62,10.66,172260
2018-01-08 07:00:00,10.92,11.0,10.87,11.0,141150
2018-01-09 07:00:00,11.0,11.06,11.0,11.04,183940
2018-01-10 07:00:00,11.17,11.3,11.13,11.19,90710
2018-01-11 07:00:00,11.13,11.68,11.09,11.62,130220
2018-01-12 07:00:00,11.42,11.68,11.42,11.42,42180
2018-01-15 07:00:00,11.21,11.47,11.21,11.42,84100
2018-01-16 07:00:00,11.34,11.38,11.26,11.34,35550
2018-01-17 07:00:00,11.34,11.4,11.3,11.34,49710
2018-01-18 07:00:00,11.21,11.38,11.21,11.34,183780
2018-01-19 07:00:00,11.38,11.51,11.34,11.42,141610
2018-01-22 07:00:00,11.42,11.62,11.42,11.55,56140
2018-01-25 07:00:00,11.78,11.78,11.34,11.38,63230
2018-01-26 07:00:00,11.21,11.3,11.21,11.21,63160
2018-01-29 07:00:00,11.65,11.65,11.48,11.48,54370
2018-01-30 07:00:00,11.43,11.43,11.12,11.37,39000
2018-01-31 07:00:00,11.21,11.41,11.21,11.21,10510
2018-02-01 07:00:00,11.21,11.21,11.08,11.12,19390
2018-02-02 07:00:00,11.08,11.08,10.77,10.9,132830
2018-02-05 07:00:00,10.9,10.9,10.6,10.6,107070
2018-02-06 07:00:00,10.46,10.55,10.38,10.4,80480
2018-02-07 07:00:00,11.12,11.12,10.99,10.99,18300
2018-02-08 07:00:00,11.04,11.3,10.99,11.26,31930
2018-02-09 07:00:00,11.74,11.74,11.26,11.3,67780
2018-02-12 07:00:00,11.48,11.48,11.34,11.43,80520
2018-02-13 07:00:00,11.45,11.52,11.45,11.5,86330
2018-02-21 07:00:00,11.43,11.56,11.43,11.56,4400
2018-02-22 07:00:00,11.43,11.56,11.39,11.43,73130
2018-02-23 07:00:00,11.56,11.56,11.3,11.43,11880
2018-02-26 07:00:00,11.39,11.48,11.32,11.32,52580
2018-02-27 07:00:00,11.32,11.48,11.26,11.32,156420
2018-02-28 07:00:00,11.43,11.43,11.32,11.32,54270
2018-03-01 07:00:00,11.3,11.43,11.26,11.43,14500
2018-03-02 07:00:00,11.34,11.39,11.3,11.3,9970
2018-03-05 07:00:00,11.19,11.3,11.19,11.21,17700
2018-03-06 07:00:00,11.08,11.17,11.08,11.12,77840
2018-03-07 07:00:00,11.41,11.43,11.17,11.17,9810
2018-03-08 07:00:00,11.19,11.19,11.12,11.12,13730
2018-03-09 07:00:00,11.12,11.17,11.12,11.17,19450
2018-03-12 07:00:00,11.17,11.17,11.06,11.12,8510
2018-03-13 07:00:00,11.12,11.12,10.99,11.04,42220
2018-03-14 07:00:00,11.04,11.26,11.04,11.08,7980
2018-03-15 07:00:00,11.12,11.12,10.99,10.99,38120
2018-03-16 07:00:00,10.8,10.95,10.55,10.82,105740
2018-03-19 07:00:00,10.82,10.99,10.82,10.99,106280
2018-03-20 07:00:00,10.86,10.9,10.86,10.9,2340
2018-03-21 07:00:00,10.95,10.95,10.86,10.9,105970
2018-03-22 07:00:00,10.86,10.9,10.86,10.9,23820
2018-03-23 07:00:00,10.88,10.9,10.88,10.88,20940
2018-03-26 07:00:00,10.88,10.9,10.86,10.9,101610
2018-03-27 07:00:00,10.9,10.9,10.86,10.86,32310
2018-03-28 07:00:00,10.86,10.86,10.77,10.77,2120
2018-03-29 07:00:00,10.68,10.73,10.64,10.73,6800
2018-03-30 07:00:00,10.68,10.82,10.64,10.64,63350
2018-04-02 07:00:00,10.64,10.71,10.64,10.66,35680
2018-04-03 07:00:00,10.58,10.58,10.33,10.58,16270
2018-04-04 07:00:00,10.68,10.68,10.6,10.68,22820
2018-04-05 07:00:00,10.68,10.84,10.68,10.84,21560
2018-04-06 07:00:00,10.84,10.93,10.84,10.88,29160
2018-04-09 07:00:00,10.95,10.95,10.64,10.82,66300
2018-04-10 07:00:00,10.82,10.82,10.77,10.82,38180
2018-04-11 07:00:00,10.77,10.8,10.73,10.73,49190
2018-04-12 07:00:00,10.75,10.75,10.71,10.73,82680
2018-04-13 07:00:00,10.73,10.73,10.55,10.68,9660
2018-04-16 07:00:00,10.73,10.77,10.68,10.71,39040
2018-04-17 07:00:00,10.73,10.75,10.71,10.73,19700
2018-04-18 07:00:00,10.77,10.77,10.73,10.73,45400
