time,open,high,low,close,volume
2018-01-02 07:00:00,12.85,12.85,12.85,12.85,150
2018-01-04 07:00:00,13.74,13.74,13.74,13.74,1420
2018-01-05 07:00:00,13.74,13.74,13.74,13.74,30
2018-01-08 07:00:00,12.89,12.89,12.89,12.89,10
2018-01-11 07:00:00,12.39,13.1,12.39,13.1,300
2018-01-12 07:00:00,13.88,13.88,12.25,13.88,20
2018-01-15 07:00:00,12.96,12.96,12.96,12.96,10
2018-01-19 07:00:00,12.25,13.1,12.25,13.1,150
2018-01-25 07:00:00,12.21,13.45,12.21,13.45,1730
2018-01-29 07:00:00,12.71,12.71,12.71,12.71,10
2018-01-30 07:00:00,11.82,12.74,11.82,12.74,20
2018-01-31 07:00:00,13.1,13.1,12.32,12.32,9270
2018-02-01 07:00:00,12.32,13.17,12.32,12.43,2780
2018-02-02 07:00:00,12.53,12.53,12.46,12.46,120
2018-02-05 07:00:00,12.46,12.46,12.46,12.46,10
2018-02-09 07:00:00,12.46,12.46,12.46,12.46,20
2018-02-12 07:00:00,13.24,13.24,12.5,12.5,30
2018-02-21 07:00:00,13.35,13.35,13.35,13.35,10
2018-02-22 07:00:00,14.23,14.23,14.23,14.23,10
2018-02-23 07:00:00,13.45,13.45,13.24,13.24,4040
2018-02-26 07:00:00,13.45,14.16,13.45,13.45,3980
2018-02-28 07:00:00,12.96,13.95,12.96,13.95,40
2018-03-01 07:00:00,13.45,13.81,13.45,13.81,2210
2018-03-05 07:00:00,14.76,14.76,13.81,13.81,90
2018-03-06 07:00:00,13.81,13.81,13.81,13.81,10
2018-03-07 07:00:00,13.95,14.37,13.81,13.81,1300
2018-03-08 07:00:00,13.81,14.3,13.77,13.88,280
2018-03-09 07:00:00,13.17,13.81,13.17,13.81,50
2018-03-12 07:00:00,13.1,13.45,13.1,13.45,5550
2018-03-13 07:00:00,13.45,13.56,13.45,13.45,110
2018-03-15 07:00:00,13.45,13.45,13.45,13.45,40
2018-03-16 07:00:00,13.52,14.02,13.52,13.88,200
2018-03-23 07:00:00,13.52,13.52,13.45,13.45,2010
2018-03-26 07:00:00,13.49,13.52,13.45,13.45,1300
2018-03-27 07:00:00,12.67,13.59,12.67,13.59,20
2018-03-29 07:00:00,13.1,13.1,13.1,13.1,10
2018-04-02 07:00:00,12.25,13.45,12.25,13.45,1020
2018-04-03 07:00:00,12.74,13.45,12.74,13.45,1510
2018-04-04 07:00:00,13.45,13.45,13.45,13.45,1250
2018-04-05 07:00:00,12.81,12.81,12.81,12.81,10
2018-04-06 07:00:00,13.66,13.66,13.66,13.66,10
2018-04-09 07:00:00,12.89,12.89,12.89,12.89,10
2018-04-11 07:00:00,13.45,13.45,13.45,13.45,10
2018-04-12 07:00:00,12.74,12.74,12.74,12.74,10
2018-04-17 07:00:00,12.04,12.04,12.04,12.04,10
