time,open,high,low,close,volume
2018-01-02 07:00:00,2.52,2.64,2.52,2.64,170
2018-01-03 07:00:00,2.64,2.64,2.51,2.63,4380
2018-01-04 07:00:00,2.51,2.81,2.51,2.69,11400
2018-01-05 07:00:00,2.57,2.83,2.57,2.82,6010
2018-01-08 07:00:00,2.67,2.67,2.67,2.67,2370
2018-01-09 07:00:00,2.51,2.78,2.51,2.75,33660
2018-01-10 07:00:00,2.75,2.92,2.75,2.92,28600
2018-01-11 07:00:00,2.92,2.98,2.72,2.98,260
2018-01-12 07:00:00,2.9,2.91,2.78,2.9,8150
2018-01-15 07:00:00,2.88,2.88,2.72,2.72,390
2018-01-16 07:00:00,2.69,2.79,2.54,2.79,5390
2018-01-17 07:00:00,2.82,2.86,2.75,2.82,10120
2018-01-18 07:00:00,2.91,2.91,2.91,2.91,10
2018-01-19 07:00:00,2.7,2.7,2.7,2.7,100
2018-01-22 07:00:00,2.86,2.86,2.86,2.86,1050
2018-01-25 07:00:00,2.8,2.85,2.8,2.8,2410
2018-01-26 07:00:00,2.8,2.8,2.8,2.8,110
2018-01-29 07:00:00,2.8,2.8,2.8,2.8,400
2018-01-30 07:00:00,2.66,2.75,2.63,2.75,880
2018-01-31 07:00:00,2.57,2.75,2.57,2.75,2560
2018-02-02 07:00:00,2.75,2.75,2.57,2.75,2280
2018-02-06 07:00:00,2.56,2.75,2.55,2.75,5930
2018-02-07 07:00:00,2.74,2.92,2.55,2.92,650
2018-02-09 07:00:00,2.8,2.8,2.8,2.8,2000
2018-02-12 07:00:00,2.83,2.83,2.61,2.61,200
2018-02-13 07:00:00,2.61,2.7,2.45,2.52,4220
2018-02-21 07:00:00,2.63,2.63,2.63,2.63,2100
2018-02-22 07:00:00,2.63,2.79,2.63,2.79,110
2018-02-23 07:00:00,2.75,2.75,2.61,2.61,510
2018-02-27 07:00:00,2.58,2.77,2.58,2.77,1800
2018-02-28 07:00:00,2.77,2.77,2.63,2.63,110
2018-03-01 07:00:00,2.63,2.63,2.63,2.63,3290
2018-03-02 07:00:00,2.75,2.75,2.66,2.66,90
2018-03-05 07:00:00,2.51,2.7,2.51,2.7,8130
2018-03-06 07:00:00,2.75,2.8,2.75,2.8,1170
2018-03-07 07:00:00,2.77,2.79,2.63,2.79,18540
2018-03-08 07:00:00,2.86,2.98,2.8,2.98,16480
2018-03-09 07:00:00,2.98,3.1,2.98,2.98,10580
2018-03-12 07:00:00,2.98,3.04,2.88,2.95,23910
2018-03-13 07:00:00,2.98,2.98,2.98,2.98,1300
2018-03-14 07:00:00,2.98,2.98,2.8,2.8,270
2018-03-15 07:00:00,2.8,2.98,2.8,2.98,21020
2018-03-16 07:00:00,2.98,2.98,2.78,2.98,8690
2018-03-19 07:00:00,3.16,3.16,3.04,3.1,150
2018-03-20 07:00:00,2.89,3.04,2.89,3.04,620
2018-03-21 07:00:00,3.04,3.04,3.03,3.04,6900
2018-03-22 07:00:00,3.04,3.04,2.84,2.84,1790
2018-03-26 07:00:00,2.98,2.98,2.7,2.98,1230
2018-03-27 07:00:00,2.98,3.0,2.98,3.0,21040
2018-03-28 07:00:00,2.98,3.01,2.81,3.01,2020
2018-03-29 07:00:00,2.83,2.83,2.8,2.8,10200
2018-03-30 07:00:00,2.62,2.69,2.61,2.69,5010
2018-04-02 07:00:00,2.69,2.87,2.69,2.87,8670
2018-04-03 07:00:00,2.92,2.92,2.87,2.87,6520
2018-04-04 07:00:00,2.83,2.92,2.83,2.87,6020
