time,open,high,low,close,volume
2018-01-02 07:00:00,15.2,15.2,14.41,14.52,49780
2018-01-03 07:00:00,14.45,14.87,14.41,14.87,70730
2018-01-04 07:00:00,14.87,14.87,14.41,14.41,68600
2018-01-05 07:00:00,14.54,14.54,14.27,14.36,34830
2018-01-08 07:00:00,14.41,14.41,13.94,14.03,87360
2018-01-09 07:00:00,13.99,14.64,13.99,14.54,53720
2018-01-10 07:00:00,14.5,14.78,14.41,14.45,67870
2018-01-11 07:00:00,14.45,14.45,14.27,14.36,59960
2018-01-12 07:00:00,14.31,14.59,14.27,14.31,41650
2018-01-15 07:00:00,14.17,14.5,14.15,14.17,73370
2018-01-16 07:00:00,14.17,14.27,14.13,14.27,52270
2018-01-17 07:00:00,14.1,14.17,14.08,14.1,78520
2018-01-18 07:00:00,13.94,14.08,13.71,13.78,63330
2018-01-19 07:00:00,14.29,14.29,13.94,14.03,15400
2018-01-22 07:00:00,14.03,14.64,13.75,14.41,78760
2018-01-25 07:00:00,14.41,15.4,14.41,15.29,359490
2018-01-26 07:00:00,15.29,15.29,14.87,14.96,81990
2018-01-29 07:00:00,14.96,14.96,14.66,14.92,113240
2018-01-30 07:00:00,14.82,14.82,14.41,14.5,118610
2018-01-31 07:00:00,14.5,15.06,14.5,14.5,69950
2018-02-01 07:00:00,14.5,14.5,14.22,14.27,18860
2018-02-02 07:00:00,14.27,14.41,14.03,14.27,17230
2018-02-05 07:00:00,14.27,14.27,13.52,13.52,47270
2018-02-06 07:00:00,13.48,14.03,12.59,14.03,75120
2018-02-07 07:00:00,14.03,14.36,13.38,13.94,10280
2018-02-08 07:00:00,13.94,14.13,13.29,13.43,45660
2018-02-09 07:00:00,13.34,13.66,13.24,13.48,25320
2018-02-12 07:00:00,14.17,14.38,13.48,13.48,20810
2018-02-13 07:00:00,14.17,14.17,13.48,14.13,11970
2018-02-21 07:00:00,14.13,14.87,14.13,14.17,4120
2018-02-22 07:00:00,14.17,14.17,13.5,13.94,38690
2018-02-23 07:00:00,13.94,14.15,13.71,14.01,29850
2018-02-26 07:00:00,13.75,14.08,13.75,13.75,34810
2018-02-27 07:00:00,14.03,14.13,13.8,14.13,33210
2018-02-28 07:00:00,14.41,14.41,13.85,13.85,26860
2018-03-01 07:00:00,13.85,13.94,13.71,13.94,40420
2018-03-02 07:00:00,13.94,14.15,13.66,13.94,13650
2018-03-05 07:00:00,13.85,14.08,13.85,14.03,48730
2018-03-06 07:00:00,14.1,14.13,13.89,14.13,63630
2018-03-07 07:00:00,14.13,14.31,14.13,14.31,66340
2018-03-08 07:00:00,14.31,14.34,14.13,14.29,15590
2018-03-09 07:00:00,14.29,14.34,13.29,14.31,63350
2018-03-12 07:00:00,14.17,14.41,13.31,14.31,70880
2018-03-13 07:00:00,14.31,14.31,14.31,14.31,13260
2018-03-14 07:00:00,14.27,14.27,13.99,13.99,37460
2018-03-15 07:00:00,14.03,14.87,13.1,13.8,32890
2018-03-16 07:00:00,13.94,13.94,13.71,13.85,24370
2018-03-19 07:00:00,14.01,14.01,13.85,13.85,21530
2018-03-20 07:00:00,13.85,13.85,13.52,13.85,14270
2018-03-21 07:00:00,13.85,13.94,13.75,13.94,11620
2018-03-22 07:00:00,13.94,14.17,13.85,13.89,23640
2018-03-23 07:00:00,14.53,14.53,13.75,13.94,71980
2018-03-26 07:00:00,14.48,14.48,13.99,13.99,15920
2018-03-27 07:00:00,14.04,14.09,14.04,14.09,20640
2018-03-28 07:00:00,14.09,14.19,13.94,13.94,16610
