time,open,high,low,close,volume
2018-09-05 07:00:00,8.02,8.02,7.43,7.85,697470
2018-09-06 07:00:00,7.53,7.85,7.53,7.85,332460
2018-09-07 07:00:00,7.85,7.93,7.77,7.88,276640
2018-09-10 07:00:00,7.7,7.88,7.68,7.77,127280
2018-09-11 07:00:00,7.72,7.82,7.65,7.82,252160
2018-09-12 07:00:00,7.82,7.82,7.67,7.68,28030
2018-09-13 07:00:00,7.65,7.65,7.18,7.38,136940
2018-09-14 07:00:00,7.37,7.38,7.1,7.13,494030
2018-09-17 07:00:00,7.16,7.18,6.87,7.03,155060
2018-09-18 07:00:00,7.03,7.23,6.93,7.23,236840
2018-09-19 07:00:00,7.2,7.61,7.2,7.58,369050
2018-09-20 07:00:00,7.58,7.73,7.58,7.61,74690
2018-09-21 07:00:00,7.53,7.55,7.46,7.55,120710
2018-09-24 07:00:00,7.26,7.51,7.16,7.21,168300
2018-09-25 07:00:00,7.5,7.5,7.18,7.21,41650
2018-09-26 07:00:00,7.21,7.33,7.18,7.2,27170
2018-09-27 07:00:00,7.14,7.18,7.01,7.03,112200
2018-09-28 07:00:00,7.18,7.18,7.06,7.18,18270
2018-10-01 07:00:00,7.18,7.26,7.1,7.18,59710
2018-10-02 07:00:00,7.11,7.18,7.01,7.1,93500
2018-10-03 07:00:00,7.06,7.1,7.01,7.08,110520
2018-10-04 07:00:00,7.1,7.1,7.01,7.01,98740
2018-10-05 07:00:00,7.01,7.1,6.98,7.1,138020
2018-10-08 07:00:00,7.13,7.13,7.03,7.1,138950
2018-10-09 07:00:00,7.06,7.18,7.06,7.16,228760
2018-10-10 07:00:00,7.15,7.2,7.15,7.18,188300
2018-10-11 07:00:00,7.11,7.16,7.01,7.11,297170
2018-10-12 07:00:00,7.06,7.16,7.06,7.15,179930
2018-10-15 07:00:00,7.13,7.2,7.08,7.2,286890
2018-10-16 07:00:00,7.16,7.21,7.15,7.21,277350
2018-10-17 07:00:00,7.21,7.26,7.16,7.2,258900
2018-10-18 07:00:00,7.16,7.2,7.15,7.2,179440
2018-10-19 07:00:00,7.18,7.25,7.16,7.2,231390
2018-10-22 07:00:00,7.2,7.21,7.16,7.16,171130
2018-10-23 07:00:00,7.16,7.16,7.11,7.15,163030
2018-10-24 07:00:00,7.15,7.15,7.1,7.11,125540
2018-10-25 07:00:00,7.05,7.08,7.0,7.03,82440
2018-10-26 07:00:00,7.03,7.1,7.01,7.06,111330
2018-10-29 07:00:00,7.06,7.1,6.98,7.01,90900
2018-10-30 07:00:00,7.01,7.01,6.88,6.88,125980
2018-10-31 07:00:00,6.88,7.01,6.88,6.95,137470
2018-11-01 07:00:00,6.91,7.01,6.91,6.98,151580
2018-11-02 07:00:00,6.95,7.05,6.95,7.05,212830
2018-11-05 07:00:00,7.01,7.06,6.98,6.98,117540
2018-11-06 07:00:00,6.98,7.01,6.95,6.96,85080
2018-11-07 07:00:00,6.95,7.0,6.91,6.96,109090
2018-11-08 07:00:00,7.0,7.01,6.91,6.95,109670
2018-11-09 07:00:00,6.93,6.95,6.88,6.93,98180
2018-11-12 07:00:00,6.91,6.91,6.86,6.91,89420
2018-11-13 07:00:00,6.9,6.91,6.88,6.9,80910
2018-11-14 07:00:00,6.9,6.93,6.88,6.93,74130
2018-11-15 07:00:00,6.93,6.93,6.88,6.91,69490
2018-11-16 07:00:00,6.91,6.91,6.88,6.91,68840
2018-11-19 07:00:00,6.93,6.98,6.88,6.98,165310
2018-11-20 07:00:00,6.98,7.01,6.95,7.0,141130
2018-11-21 07:00:00,6.96,7.0,6.96,6.98,103010
2018-11-22 07:00:00,6.98,7.06,6.98,7.05,217170
2018-11-23 07:00:00,7.03,7.05,6.98,7.01,117110
2018-11-26 07:00:00,7.01,7.05,7.0,7.01,101680
2018-11-27 07:00:00,7.01,7.03,7.0,7.01,111350
2018-11-28 07:00:00,7.01,7.13,6.98,7.1,269970
2018-11-29 07:00:00,7.1,7.16,7.1,7.15,211180
2018-11-30 07:00:00,7.13,7.26,7.06,7.26,275120
2018-12-03 07:00:00,7.25,7.33,7.18,7.26,275030
2018-12-04 07:00:00,7.26,7.26,7.15,7.15,172160
2018-12-05 07:00:00,7.13,7.16,7.11,7.15,141860
2018-12-06 07:00:00,7.15,7.15,7.1,7.13,122310
2018-12-07 07:00:00,7.13,7.2,7.13,7.2,116490
2018-12-10 07:00:00,7.18,7.21,7.15,7.2,136820
2018-12-11 07:00:00,7.2,7.23,7.15,7.2,92030
2018-12-12 07:00:00,7.21,7.3,7.2,7.28,208200
2018-12-13 07:00:00,7.3,7.36,7.3,7.34,229510
2018-12-14 07:00:00,7.33,7.35,7.3,7.31,154300
2018-12-17 07:00:00,7.31,7.31,7.23,7.23,151560
2018-12-18 07:00:00,7.2,7.26,7.15,7.21,122520
2018-12-19 07:00:00,7.21,7.26,7.16,7.23,173280
2018-12-20 07:00:00,7.21,7.3,7.21,7.25,189070
2018-12-21 07:00:00,7.23,7.26,7.21,7.26,147080
