time,open,high,low,close,volume
2025-10-10 07:00:00,31.1,31.1,31.1,31.1,92800
2025-10-13 07:00:00,33.24,33.24,33.24,33.24,39600
2025-10-14 07:00:00,35.53,35.53,35.53,35.53,77900
2025-10-15 07:00:00,37.97,37.97,37.97,37.97,12500
2025-10-16 07:00:00,40.62,40.62,40.57,40.57,115600
2025-10-17 07:00:00,38.87,40.86,38.47,40.76,73400
2025-10-20 07:00:00,40.86,40.86,37.92,37.92,12000
2025-10-21 07:00:00,35.28,35.53,35.28,35.28,12100
2025-10-22 07:00:00,32.89,35.23,32.89,33.59,62800
2025-10-23 07:00:00,32.14,35.18,31.7,35.18,33100
2025-10-24 07:00:00,35.18,36.88,35.18,35.38,22100
2025-10-27 07:00:00,36.83,36.83,32.99,33.24,9400
2025-10-28 07:00:00,31.0,34.88,31.0,34.54,5300
2025-10-29 07:00:00,34.64,35.58,34.64,35.58,4600
2025-10-30 07:00:00,35.28,35.28,33.24,34.88,6500
2025-10-31 07:00:00,35.38,35.38,32.44,32.44,5100
2025-11-03 07:00:00,33.44,33.44,30.65,33.34,900
2025-11-04 07:00:00,33.34,33.34,31.2,33.09,11900
2025-11-05 07:00:00,33.19,33.19,31.35,33.19,3700
2025-11-06 07:00:00,31.89,33.39,31.89,33.39,2700
2025-11-07 07:00:00,31.7,32.84,31.6,32.84,400
2025-11-10 07:00:00,31.1,32.69,30.9,32.64,1200
2025-11-11 07:00:00,30.7,32.69,30.4,32.64,46300
2025-11-12 07:00:00,30.9,32.69,30.8,32.69,1300
2025-11-13 07:00:00,30.9,32.49,30.9,32.39,700
2025-11-14 07:00:00,30.75,32.39,30.75,32.39,4000
2025-11-17 07:00:00,31.1,31.89,31.1,31.89,5600
2025-11-18 07:00:00,32.29,32.29,30.4,31.7,7700
2025-11-19 07:00:00,30.8,31.64,29.9,31.64,5900
2025-11-20 07:00:00,31.6,31.6,29.5,30.9,8200
2025-11-21 07:00:00,30.8,30.8,30.6,30.6,700
2025-11-24 07:00:00,29.5,30.8,29.4,30.6,1800
2025-11-25 07:00:00,30.6,30.65,30.55,30.55,4200
2025-11-26 07:00:00,31.7,31.7,29.05,30.65,1600
2025-11-27 07:00:00,30.4,30.5,30.4,30.5,300
2025-11-28 07:00:00,28.9,30.3,28.9,29.9,2800
2025-12-01 07:00:00,28.9,30.45,28.9,30.05,11800
2025-12-02 07:00:00,28.16,30.3,28.16,30.3,200
2025-12-03 07:00:00,30.3,30.3,28.41,30.2,6200
2025-12-04 07:00:00,30.2,30.2,30.2,30.2,1900
2025-12-05 07:00:00,32.15,32.15,29.05,30.3,2400
2025-12-09 07:00:00,30.3,30.3,30.3,30.3,100
2025-12-12 07:00:00,28.3,30.3,28.2,29.0,1700
2025-12-15 07:00:00,30.9,30.9,27.3,29.95,1400
2025-12-16 07:00:00,28.5,29.95,28.5,29.95,2100
2025-12-17 07:00:00,28.15,30.0,28.15,30.0,4300
