time,open,high,low,close,volume
2018-01-02 07:00:00,13.12,13.67,13.12,13.54,288110
2018-01-03 07:00:00,13.54,13.71,13.37,13.37,157110
2018-01-04 07:00:00,13.42,13.83,13.37,13.83,728780
2018-01-05 07:00:00,14.04,14.17,13.79,14.04,691990
2018-01-08 07:00:00,14.13,14.63,14.13,14.63,1162280
2018-01-09 07:00:00,14.63,14.96,14.46,14.88,590800
2018-01-10 07:00:00,14.8,14.8,14.21,14.21,823830
2018-01-11 07:00:00,14.13,14.38,13.92,14.38,718670
2018-01-12 07:00:00,14.04,14.54,14.04,14.04,313940
2018-01-15 07:00:00,13.96,15.0,13.96,14.92,1076380
2018-01-16 07:00:00,14.92,15.0,14.63,14.8,825910
2018-01-17 07:00:00,14.8,15.26,14.59,14.8,918490
2018-01-18 07:00:00,14.63,14.96,14.42,14.96,994150
2018-01-19 07:00:00,14.88,15.05,14.54,14.88,349280
2018-01-22 07:00:00,14.63,14.88,14.21,14.38,292470
2018-01-25 07:00:00,13.88,14.04,13.37,13.37,1993700
2018-01-26 07:00:00,12.83,13.63,12.83,13.29,609850
2018-01-29 07:00:00,13.17,13.46,13.04,13.04,219490
2018-01-30 07:00:00,12.96,13.04,12.66,12.87,441780
2018-01-31 07:00:00,12.71,12.96,12.54,12.71,398810
2018-02-01 07:00:00,12.66,12.75,12.41,12.41,269450
2018-02-02 07:00:00,12.41,12.71,12.12,12.33,233800
2018-02-05 07:00:00,12.33,12.33,11.49,11.54,632190
2018-02-06 07:00:00,10.78,11.54,10.74,11.28,769920
2018-02-07 07:00:00,11.28,12.0,11.28,11.95,200550
2018-02-08 07:00:00,12.0,12.12,11.7,11.95,159010
2018-02-09 07:00:00,11.58,12.04,11.37,12.04,396440
2018-02-12 07:00:00,11.95,12.37,11.95,12.37,120450
2018-02-13 07:00:00,12.62,12.62,12.37,12.37,53980
2018-02-21 07:00:00,12.29,12.54,12.29,12.37,115870
2018-02-22 07:00:00,12.37,12.37,11.95,12.0,223730
2018-02-23 07:00:00,11.91,12.41,11.91,12.41,107810
2018-02-26 07:00:00,12.33,12.62,12.08,12.25,185430
2018-02-27 07:00:00,12.2,12.45,11.87,12.04,438240
2018-02-28 07:00:00,12.04,12.12,11.79,12.04,150670
2018-03-01 07:00:00,11.87,11.95,11.7,11.91,209300
2018-03-02 07:00:00,11.91,12.04,11.7,11.87,140020
2018-03-05 07:00:00,12.08,12.08,11.87,11.91,89190
2018-03-06 07:00:00,11.95,11.95,11.87,11.91,96980
2018-03-07 07:00:00,11.95,12.54,11.91,12.2,179220
2018-03-08 07:00:00,12.2,12.45,12.2,12.37,57640
2018-03-09 07:00:00,12.29,12.96,12.29,12.79,387490
2018-03-12 07:00:00,12.79,12.91,12.54,12.54,163430
2018-03-13 07:00:00,12.54,12.79,12.29,12.37,119880
2018-03-14 07:00:00,12.29,12.45,12.2,12.37,64280
2018-03-15 07:00:00,12.37,12.62,12.29,12.29,96720
2018-03-16 07:00:00,12.29,12.62,12.2,12.5,245060
2018-03-19 07:00:00,12.37,12.54,12.37,12.5,73930
2018-03-20 07:00:00,12.54,12.54,12.25,12.29,285670
2018-03-21 07:00:00,12.2,12.37,12.12,12.29,158820
2018-03-22 07:00:00,12.29,12.29,12.04,12.08,645770
2018-03-23 07:00:00,11.91,12.5,11.91,12.2,178740
2018-03-26 07:00:00,12.2,12.75,12.2,12.37,403110
2018-03-27 07:00:00,12.54,12.54,12.16,12.2,326090
2018-03-28 07:00:00,12.2,12.45,12.2,12.2,58160
2018-03-29 07:00:00,12.37,12.37,12.08,12.12,107790
2018-03-30 07:00:00,12.12,12.29,11.95,11.95,141000
2018-04-02 07:00:00,11.95,12.29,11.95,12.0,203120
2018-04-03 07:00:00,11.95,12.2,11.91,12.12,161670
2018-04-04 07:00:00,12.2,12.54,12.12,12.37,307630
2018-04-05 07:00:00,12.54,12.54,12.2,12.2,76610
2018-04-06 07:00:00,12.45,12.45,12.25,12.25,131370
2018-04-09 07:00:00,12.29,12.54,12.2,12.2,175330
2018-04-10 07:00:00,12.2,12.37,11.95,12.2,179980
2018-04-11 07:00:00,12.2,12.33,11.83,11.83,282810
2018-04-12 07:00:00,11.95,12.2,11.95,11.95,224390
2018-04-13 07:00:00,11.87,12.25,11.87,12.04,131410
2018-04-16 07:00:00,12.12,12.12,11.83,11.95,86390
2018-04-17 07:00:00,12.29,12.29,11.91,11.95,67090
2018-04-18 07:00:00,11.91,12.04,11.91,11.95,64960
2018-04-19 07:00:00,12.08,12.08,11.74,11.74,115530
2018-04-20 07:00:00,11.62,11.79,11.49,11.54,200440
2018-04-23 07:00:00,11.54,11.79,11.37,11.37,148680
2018-04-24 07:00:00,11.37,11.54,11.28,11.37,216040
2018-04-26 07:00:00,11.28,11.37,10.95,11.12,225190
2018-04-27 07:00:00,11.08,11.16,11.08,11.16,73910
2018-05-02 07:00:00,11.2,11.2,10.91,10.95,104950
2018-05-03 07:00:00,10.95,10.95,10.7,10.87,119090
2018-05-04 07:00:00,10.7,11.12,10.62,10.62,151560
2018-05-07 07:00:00,10.78,10.87,10.53,10.87,166720
2018-05-08 07:00:00,10.87,10.95,10.74,10.82,56060
2018-05-09 07:00:00,10.82,10.82,10.45,10.45,184410
2018-05-10 07:00:00,10.45,10.78,10.45,10.57,19900
2018-05-11 07:00:00,10.57,10.7,10.57,10.62,33080
2018-05-14 07:00:00,10.53,10.91,10.49,10.91,77790
2018-05-15 07:00:00,10.87,10.95,10.82,10.87,84590
2018-05-16 07:00:00,10.99,10.99,10.82,10.95,64540
2018-05-17 07:00:00,10.62,10.99,10.62,10.99,96270
2018-05-18 07:00:00,10.95,11.08,10.95,10.99,209510
2018-05-21 07:00:00,10.95,11.41,10.95,11.33,120210
2018-05-22 07:00:00,11.28,11.62,11.2,11.37,288910
2018-05-23 07:00:00,11.62,12.16,11.28,12.16,394090
2018-05-24 07:00:00,12.16,12.62,12.12,12.45,645970
2018-05-25 07:00:00,12.12,12.71,12.12,12.37,617560
2018-05-28 07:00:00,12.37,12.37,12.0,12.0,209940
2018-05-29 07:00:00,12.0,12.54,12.0,12.2,284220
2018-05-30 07:00:00,12.2,12.71,12.2,12.5,260850
2018-05-31 07:00:00,12.75,12.75,12.54,12.54,222090
2018-06-01 07:00:00,12.5,12.58,12.37,12.37,351920
2018-06-04 07:00:00,12.54,12.54,12.37,12.37,168430
2018-06-05 07:00:00,12.41,12.58,12.41,12.54,221030
2018-06-06 07:00:00,12.54,12.54,12.25,12.25,198550
2018-06-07 07:00:00,12.29,13.08,12.29,13.08,770870
2018-06-08 07:00:00,13.29,13.29,12.75,12.83,80450
2018-06-11 07:00:00,12.54,12.83,12.54,12.83,69070
2018-06-12 07:00:00,12.83,12.83,12.29,12.37,159390
2018-06-13 07:00:00,12.54,13.21,12.33,12.62,126720
2018-06-14 07:00:00,12.45,12.71,12.41,12.5,36950
2018-06-15 07:00:00,12.41,12.58,12.41,12.5,49400
2018-06-18 07:00:00,12.41,12.45,12.12,12.16,156690
2018-06-19 07:00:00,12.16,12.16,11.7,11.7,116210
2018-06-20 07:00:00,11.79,12.29,11.7,12.08,71780
2018-06-21 07:00:00,12.21,12.42,12.21,12.21,100230
2018-06-22 07:00:00,12.04,12.38,12.04,12.29,76220
2018-06-25 07:00:00,12.29,12.29,12.04,12.21,83570
2018-06-26 07:00:00,12.21,12.55,12.04,12.55,208970
2018-06-27 07:00:00,12.72,12.72,12.51,12.55,69190
2018-06-28 07:00:00,12.55,12.59,12.21,12.21,23620
2018-06-29 07:00:00,12.29,12.38,11.82,11.95,86590
2018-07-02 07:00:00,11.95,11.99,11.69,11.99,60010
2018-07-03 07:00:00,12.34,12.42,11.69,11.86,22090
2018-07-04 07:00:00,12.12,12.12,11.69,11.73,16130
2018-07-05 07:00:00,11.73,11.78,10.96,10.96,59290
2018-07-06 07:00:00,11.43,11.65,10.96,11.52,83740
2018-07-09 07:00:00,12.04,12.04,11.35,11.35,12520
2018-07-10 07:00:00,11.69,11.69,11.18,11.18,27410
2018-07-11 07:00:00,11.18,11.18,10.96,11.09,26890
2018-07-12 07:00:00,11.09,11.26,11.0,11.0,43060
2018-07-13 07:00:00,11.18,11.73,10.92,11.18,458540
2018-07-16 07:00:00,11.31,11.35,11.09,11.26,61500
2018-07-17 07:00:00,11.43,11.43,11.26,11.31,41190
2018-07-18 07:00:00,11.31,11.52,11.26,11.48,205340
2018-07-19 07:00:00,11.52,11.65,11.39,11.48,175640
2018-07-20 07:00:00,11.48,11.65,11.35,11.61,183730
2018-07-23 07:00:00,11.48,11.61,11.26,11.39,137340
2018-07-24 07:00:00,11.35,11.61,11.35,11.43,74730
2018-07-25 07:00:00,11.73,11.73,11.39,11.61,15930
2018-07-26 07:00:00,11.43,11.61,11.35,11.43,59020
2018-07-27 07:00:00,11.43,11.69,11.43,11.61,25460
2018-07-30 07:00:00,11.69,11.78,11.61,11.78,70620
2018-07-31 07:00:00,11.78,11.82,11.61,11.69,94950
2018-08-01 07:00:00,11.69,11.86,11.61,11.69,103080
2018-08-02 07:00:00,11.69,11.78,11.61,11.69,55980
2018-08-03 07:00:00,11.69,11.78,11.61,11.78,83790
2018-08-06 07:00:00,11.78,12.04,11.78,11.95,40870
2018-08-07 07:00:00,11.95,11.95,11.18,11.95,85580
2018-08-08 07:00:00,11.73,11.99,11.69,11.99,11430
2018-08-09 07:00:00,11.82,12.04,11.69,11.86,51370
2018-08-10 07:00:00,12.04,12.04,11.86,11.86,420
2018-08-13 07:00:00,11.95,11.95,11.78,11.78,28140
2018-08-14 07:00:00,11.78,11.86,11.52,11.78,64180
2018-08-15 07:00:00,11.95,11.95,11.78,11.91,7240
2018-08-16 07:00:00,11.86,11.99,11.86,11.99,35110
2018-08-17 07:00:00,11.86,11.95,11.78,11.91,41920
2018-08-20 07:00:00,11.78,12.04,11.78,11.86,17830
2018-08-21 07:00:00,11.86,12.34,11.86,12.25,148190
2018-08-22 07:00:00,12.38,12.38,12.21,12.29,19790
2018-08-23 07:00:00,12.16,12.47,12.04,12.42,39890
2018-08-24 07:00:00,12.04,12.47,12.04,12.34,34160
2018-08-27 07:00:00,12.21,12.34,12.04,12.29,47430
2018-08-28 07:00:00,12.25,12.38,12.21,12.38,29390
2018-08-29 07:00:00,12.38,12.38,12.21,12.29,30650
2018-08-30 07:00:00,12.12,12.34,12.12,12.34,7320
2018-08-31 07:00:00,12.12,12.55,12.12,12.47,36030
2018-09-04 07:00:00,12.55,12.59,12.21,12.59,26830
2018-09-05 07:00:00,12.04,12.51,12.04,12.29,33450
2018-09-06 07:00:00,11.95,12.38,11.95,12.12,25880
2018-09-07 07:00:00,12.25,12.55,12.12,12.42,34050
2018-09-10 07:00:00,12.04,12.47,12.04,12.38,66960
2018-09-11 07:00:00,12.47,12.51,12.04,12.47,107720
2018-09-12 07:00:00,12.34,12.38,12.21,12.21,73660
2018-09-13 07:00:00,12.12,12.47,12.12,12.16,15170
2018-09-14 07:00:00,12.38,12.38,12.12,12.25,33970
2018-09-17 07:00:00,12.29,12.29,12.12,12.29,44410
2018-09-18 07:00:00,12.38,12.38,12.12,12.25,17140
2018-09-19 07:00:00,12.08,12.29,12.08,12.29,55590
2018-09-20 07:00:00,12.25,12.25,12.16,12.21,15610
2018-09-21 07:00:00,12.12,12.29,12.04,12.08,139310
