time,open,high,low,close,volume
2018-01-02 07:00:00,9.98,9.98,9.98,9.98,100
2018-01-04 07:00:00,9.51,9.51,9.51,9.51,300
2018-01-18 07:00:00,9.51,9.51,9.51,9.51,75
2018-01-26 07:00:00,10.46,10.46,10.46,10.46,100
2018-02-02 07:00:00,10.14,10.14,10.14,10.14,1020
2018-02-09 07:00:00,11.15,11.15,11.15,11.15,100
2018-02-12 07:00:00,10.14,11.15,10.14,11.15,970
2018-02-22 07:00:00,10.04,10.07,10.04,10.07,2000
2018-02-23 07:00:00,9.22,10.04,9.22,10.04,5100
2018-02-26 07:00:00,9.98,9.98,9.98,9.98,20530
2018-02-28 07:00:00,10.96,10.96,10.96,10.96,3000
2018-03-05 07:00:00,10.7,10.7,10.7,10.7,1200
2018-03-07 07:00:00,9.68,9.68,9.68,9.68,100
2018-03-08 07:00:00,10.63,10.63,8.73,10.63,3103
2018-03-19 07:00:00,9.58,10.53,9.58,10.53,2400
2018-03-27 07:00:00,9.49,10.43,9.49,10.43,4800
2018-03-30 07:00:00,10.4,11.45,10.37,11.45,3100
2018-04-02 07:00:00,10.3,11.45,10.3,11.45,1000
2018-04-10 07:00:00,10.3,10.3,10.3,10.3,100
2018-04-11 07:00:00,11.32,11.32,10.3,10.3,1600
2018-04-12 07:00:00,11.32,11.32,11.32,11.32,100
2018-04-13 07:00:00,10.21,11.28,10.21,11.28,3200
2018-04-17 07:00:00,10.17,10.78,10.17,10.78,700
2018-04-23 07:00:00,10.95,10.95,10.95,10.95,100
2018-04-24 07:00:00,9.97,10.44,9.97,10.44,300
2018-04-27 07:00:00,9.6,10.44,9.6,10.44,1700
2018-05-02 07:00:00,9.47,11.42,9.47,11.42,1600
2018-05-03 07:00:00,10.44,10.78,10.44,10.78,600
2018-05-04 07:00:00,10.44,10.75,10.44,10.75,1000
2018-05-08 07:00:00,10.44,11.79,10.44,11.79,1500
2018-05-09 07:00:00,10.61,11.79,10.61,11.79,4448
2018-05-10 07:00:00,10.61,10.61,10.61,10.61,200
2018-05-14 07:00:00,11.45,11.45,10.44,10.44,500
2018-05-16 07:00:00,11.45,11.45,9.8,9.8,400
2018-05-17 07:00:00,10.75,10.75,10.75,10.75,100
2018-05-18 07:00:00,11.45,11.45,10.11,10.11,200
