time,open,high,low,close,volume
2018-01-03 07:00:00,7.03,7.03,7.03,7.03,700
2018-01-05 07:00:00,7.03,7.03,7.03,7.03,300
2018-01-18 07:00:00,7.03,7.03,7.03,7.03,300
2018-01-23 07:00:00,7.03,7.03,7.03,7.03,500
2018-01-24 07:00:00,7.03,7.03,7.03,7.03,200
2018-02-06 07:00:00,7.33,7.33,7.33,7.33,300
2018-02-07 07:00:00,7.33,7.33,7.33,7.33,900
2018-02-08 07:00:00,7.33,7.33,7.33,7.33,30
2018-03-20 07:00:00,7.4,7.4,7.4,7.4,100
2018-03-29 07:00:00,7.4,7.4,7.4,7.4,10000
2018-04-03 07:00:00,7.4,7.4,7.4,7.4,1500
2018-04-24 07:00:00,7.77,7.77,7.77,7.77,7976
2018-05-02 07:00:00,7.03,7.03,7.03,7.03,74675
2018-07-03 07:00:00,7.03,7.03,7.03,7.03,115
2018-09-14 07:00:00,7.4,7.4,7.4,7.4,3000
2018-12-10 07:00:00,7.03,7.03,7.03,7.03,7252
2019-01-22 07:00:00,7.03,7.4,6.66,7.4,64000
2019-01-23 07:00:00,7.03,7.48,7.03,7.03,33500
2019-01-24 07:00:00,7.03,7.03,7.03,7.03,3900
2019-01-28 07:00:00,7.55,7.55,7.55,7.55,1000
2019-01-29 07:00:00,7.4,7.4,7.4,7.4,90000
2019-01-30 07:00:00,7.4,7.4,7.4,7.4,101600
2019-02-01 07:00:00,7.4,7.4,7.4,7.4,120050
2019-02-11 07:00:00,7.92,8.0,7.92,8.0,210
2019-02-12 07:00:00,8.07,8.07,8.07,8.07,100
2019-02-19 07:00:00,7.4,8.07,7.4,7.92,20221
2019-02-20 07:00:00,7.4,7.4,7.4,7.4,30000
2019-02-21 07:00:00,7.03,7.03,7.03,7.03,43000
2019-02-22 07:00:00,7.03,7.03,7.03,7.03,42200
2019-02-25 07:00:00,7.26,7.26,7.26,7.26,17752
2019-02-26 07:00:00,7.4,7.4,7.4,7.4,5100
2019-03-07 07:00:00,7.71,7.71,7.71,7.71,100
2019-03-15 07:00:00,7.63,7.63,7.63,7.63,1148
2019-03-18 07:00:00,7.25,7.25,7.25,7.25,3500
2019-03-19 07:00:00,6.87,6.87,6.87,6.87,1500
2019-03-20 07:00:00,6.49,6.49,6.49,6.49,4072
2019-03-25 07:00:00,6.11,6.11,6.11,6.11,20000
2019-03-26 07:00:00,6.11,6.11,6.11,6.11,15000
2019-04-05 07:00:00,6.49,6.49,6.49,6.49,200
2019-04-08 07:00:00,6.87,6.87,6.87,6.87,100
2019-04-11 07:00:00,6.87,6.87,6.87,6.87,2300
2019-04-12 07:00:00,6.87,6.87,6.87,6.87,2000
2019-04-24 07:00:00,6.87,7.25,6.87,7.25,700
2019-08-29 07:00:00,7.4,7.4,7.4,7.4,1000
2020-01-03 07:00:00,7.4,7.4,7.4,7.4,1000
2020-02-03 07:00:00,6.79,6.79,6.79,6.79,66000
2020-02-04 07:00:00,6.26,6.79,6.26,6.79,59000
2020-07-02 07:00:00,6.79,6.79,6.79,6.79,100
2020-11-11 07:00:00,6.79,6.79,6.79,6.79,100
2020-12-21 07:00:00,6.16,6.16,6.16,6.16,100
2020-12-28 07:00:00,6.16,6.16,5.92,5.92,11000
2020-12-29 07:00:00,5.92,5.92,5.92,5.92,40000
2020-12-30 07:00:00,5.92,5.92,5.92,5.92,25000
2020-12-31 07:00:00,5.53,5.53,5.53,5.53,20100
2021-01-04 07:00:00,5.69,5.69,5.69,5.69,25100
2021-01-05 07:00:00,5.69,5.69,5.69,5.69,8000
2021-01-18 07:00:00,5.92,5.92,5.92,5.92,100
2021-01-20 07:00:00,6.0,6.16,6.0,6.16,200
2021-01-27 07:00:00,6.16,6.16,6.16,6.16,100
2021-03-19 07:00:00,5.92,5.92,5.92,5.92,200
2021-04-06 07:00:00,6.48,6.48,6.48,6.48,200
2021-04-07 07:00:00,6.48,7.12,6.48,7.12,4700
2021-04-08 07:00:00,7.76,7.76,7.76,7.76,500
2021-04-12 07:00:00,7.6,7.6,7.6,7.6,300
2021-04-13 07:00:00,7.2,7.2,7.2,7.2,3100
2021-04-29 07:00:00,6.56,6.56,6.56,6.56,200
2021-05-06 07:00:00,6.08,6.08,6.08,6.08,100
2021-05-20 07:00:00,6.56,6.64,6.56,6.64,200
2021-05-21 07:00:00,7.28,7.28,7.28,7.28,1700
2021-05-24 07:00:00,7.28,7.28,7.28,7.28,300
