time,open,high,low,close,volume
2018-01-02 07:00:00,9.52,10.07,9.52,10.07,340
2018-01-03 07:00:00,10.0,10.31,9.92,10.31,11130
2018-01-04 07:00:00,10.0,10.28,10.0,10.23,8030
2018-01-05 07:00:00,10.07,10.17,9.92,10.17,16840
2018-01-08 07:00:00,10.23,10.27,10.03,10.23,52970
2018-01-09 07:00:00,10.15,10.17,9.92,10.15,10060
2018-01-10 07:00:00,10.2,10.22,10.15,10.15,25750
2018-01-11 07:00:00,10.12,10.28,10.12,10.28,9810
2018-01-12 07:00:00,9.68,10.27,9.68,9.68,2750
2018-01-15 07:00:00,9.76,10.31,9.76,10.3,92470
2018-01-16 07:00:00,10.3,10.31,10.15,10.3,39490
2018-01-17 07:00:00,10.3,10.31,10.15,10.3,40110
2018-01-18 07:00:00,10.79,10.79,10.33,10.63,25760
2018-01-19 07:00:00,10.79,11.03,10.66,10.88,64180
2018-01-22 07:00:00,10.95,11.25,10.79,10.95,20770
2018-01-25 07:00:00,10.79,11.11,10.79,11.11,52080
2018-01-26 07:00:00,10.95,11.11,10.71,10.95,10930
2018-01-29 07:00:00,10.92,10.92,10.79,10.79,21460
2018-01-30 07:00:00,10.79,10.79,10.79,10.79,14320
2018-01-31 07:00:00,10.79,10.87,10.79,10.8,7340
2018-02-01 07:00:00,10.79,10.8,10.79,10.8,6780
2018-02-02 07:00:00,10.79,10.95,10.79,10.92,21130
2018-02-05 07:00:00,10.79,10.93,10.63,10.93,3270
2018-02-06 07:00:00,10.63,10.93,10.47,10.55,55310
2018-02-07 07:00:00,10.79,11.15,10.71,11.15,9130
2018-02-08 07:00:00,11.07,11.07,11.07,11.07,20
2018-02-09 07:00:00,10.63,11.09,10.63,11.09,9030
2018-02-12 07:00:00,10.79,11.19,10.79,11.04,9200
2018-02-13 07:00:00,10.79,11.26,10.79,11.26,14490
2018-02-21 07:00:00,10.87,11.33,10.87,10.95,12820
2018-02-22 07:00:00,10.88,11.11,10.88,11.03,63080
2018-02-23 07:00:00,10.95,11.06,10.8,10.95,10350
2018-02-26 07:00:00,10.95,11.03,10.87,11.03,29610
2018-02-27 07:00:00,10.88,11.07,10.87,10.87,10300
2018-02-28 07:00:00,11.06,11.06,10.87,10.87,2870
2018-03-01 07:00:00,10.82,10.92,10.77,10.92,1580
2018-03-02 07:00:00,10.76,10.99,10.76,10.79,20310
2018-03-05 07:00:00,10.71,10.79,10.66,10.71,36540
2018-03-06 07:00:00,10.71,10.71,9.96,9.96,680
2018-03-07 07:00:00,10.07,10.63,10.07,10.63,42230
2018-03-08 07:00:00,10.47,11.03,10.47,10.95,20460
2018-03-09 07:00:00,11.41,11.41,10.65,10.73,9000
2018-03-12 07:00:00,10.57,10.93,10.57,10.85,22800
2018-03-13 07:00:00,10.79,11.09,10.79,10.96,9580
2018-03-14 07:00:00,10.71,10.9,10.71,10.9,11760
2018-03-15 07:00:00,10.71,10.79,10.5,10.71,24700
2018-03-16 07:00:00,10.65,10.93,10.65,10.93,37810
2018-03-19 07:00:00,10.79,10.96,10.79,10.96,12620
2018-03-20 07:00:00,10.88,11.01,10.77,10.95,17980
2018-03-21 07:00:00,10.79,11.09,10.79,11.07,39160
2018-03-22 07:00:00,10.95,11.84,10.63,11.11,61920
2018-03-23 07:00:00,10.95,11.74,10.79,11.74,13230
2018-03-26 07:00:00,11.76,12.03,11.25,11.58,27270
2018-03-27 07:00:00,11.74,11.93,11.28,11.65,32760
2018-03-28 07:00:00,11.5,11.72,11.3,11.71,32440
2018-03-29 07:00:00,11.5,11.88,11.42,11.88,44060
2018-03-30 07:00:00,11.82,12.34,11.82,12.34,38360
2018-04-02 07:00:00,12.23,12.52,11.9,12.34,54720
2018-04-03 07:00:00,12.06,12.36,12.06,12.33,33760
2018-04-04 07:00:00,12.38,12.38,11.92,12.22,47170
2018-04-05 07:00:00,11.92,12.34,11.92,12.07,16680
2018-04-06 07:00:00,12.06,12.85,11.74,12.85,100800
2018-04-09 07:00:00,12.72,13.01,12.53,12.98,38430
2018-04-10 07:00:00,12.53,12.98,12.45,12.98,13810
2018-04-11 07:00:00,12.61,13.06,12.55,12.61,62180
2018-04-12 07:00:00,12.38,12.68,12.22,12.45,51300
2018-04-13 07:00:00,12.3,12.58,12.3,12.58,13670
2018-04-16 07:00:00,12.58,12.58,12.06,12.45,61360
2018-04-17 07:00:00,12.22,12.53,12.2,12.38,20430
2018-04-18 07:00:00,12.23,12.45,12.23,12.38,12820
2018-04-19 07:00:00,12.38,12.44,12.23,12.38,24680
2018-04-20 07:00:00,12.07,12.68,12.06,12.53,42500
2018-04-23 07:00:00,12.22,12.53,12.22,12.34,9760
2018-04-24 07:00:00,12.38,12.38,12.22,12.22,2510
2018-04-26 07:00:00,12.22,12.22,11.98,11.98,32510
2018-04-27 07:00:00,11.98,12.22,11.82,12.17,25330
2018-05-02 07:00:00,12.06,12.52,12.06,12.52,35740
2018-05-03 07:00:00,12.22,12.49,12.06,12.06,14820
2018-05-04 07:00:00,12.06,12.47,12.06,12.44,45280
2018-05-07 07:00:00,12.22,12.42,12.22,12.22,7600
2018-05-08 07:00:00,12.22,12.41,12.22,12.22,12110
2018-05-09 07:00:00,12.06,12.14,11.98,12.06,32560
2018-05-10 07:00:00,11.9,12.06,11.74,12.01,33030
2018-05-11 07:00:00,11.82,12.3,11.58,12.3,17640
2018-05-14 07:00:00,12.3,12.45,11.74,12.45,5880
2018-05-15 07:00:00,12.06,12.45,11.9,12.14,44640
2018-05-16 07:00:00,12.45,12.52,12.07,12.22,22760
