time,open,high,low,close,volume
2018-01-02 07:00:00,7.96,8.32,7.75,8.32,26108
2018-01-03 07:00:00,8.32,8.32,8.32,8.32,30
2018-01-04 07:00:00,7.91,7.91,7.85,7.85,600
2018-01-05 07:00:00,7.96,8.17,7.96,8.17,10308
2018-01-08 07:00:00,8.17,8.17,8.17,8.17,90
2018-01-09 07:00:00,7.96,8.11,7.85,8.11,47794
2018-01-10 07:00:00,7.96,8.11,7.8,8.11,59110
2018-01-11 07:00:00,8.11,8.27,8.11,8.27,32350
2018-01-12 07:00:00,8.27,8.27,8.27,8.27,1400
2018-01-15 07:00:00,8.11,8.11,7.96,8.11,33700
2018-01-16 07:00:00,8.11,8.11,8.01,8.01,10100
2018-01-17 07:00:00,7.96,7.96,7.96,7.96,3700
2018-01-18 07:00:00,7.91,7.91,7.85,7.85,10200
2018-01-19 07:00:00,7.85,7.96,7.85,7.91,900
2018-01-22 07:00:00,7.96,7.96,7.91,7.96,9605
2018-01-23 07:00:00,7.96,7.96,7.96,7.96,8100
2018-01-24 07:00:00,8.06,8.22,8.06,8.22,8244
2018-01-25 07:00:00,8.06,8.06,7.96,7.96,4700
2018-01-26 07:00:00,7.96,8.11,7.96,8.11,7700
2018-01-29 07:00:00,8.22,8.27,7.96,8.27,28609
2018-01-30 07:00:00,8.17,8.17,8.17,8.17,2000
2018-01-31 07:00:00,8.17,8.22,7.91,8.22,17051
2018-02-01 07:00:00,8.22,8.22,8.11,8.11,5100
2018-02-02 07:00:00,8.06,8.11,8.01,8.11,14400
2018-02-05 07:00:00,8.11,8.11,8.06,8.06,6000
2018-02-06 07:00:00,7.96,7.96,7.59,7.59,16900
2018-02-07 07:00:00,7.85,8.32,7.85,8.17,15700
2018-02-08 07:00:00,7.96,7.96,7.96,7.96,1000
2018-02-09 07:00:00,8.11,8.11,7.96,7.96,5500
2018-02-12 07:00:00,7.96,7.96,7.96,7.96,3500
2018-02-13 07:00:00,7.96,8.06,7.96,8.06,8805
2018-02-21 07:00:00,8.01,8.06,8.01,8.06,6901
2018-02-22 07:00:00,8.17,8.17,8.06,8.06,2500
2018-02-26 07:00:00,8.11,8.11,8.06,8.06,3000
2018-02-27 07:00:00,8.06,8.06,8.06,8.06,6
2018-02-28 07:00:00,8.11,8.11,8.01,8.01,8000
2018-03-01 07:00:00,7.96,8.22,7.91,8.22,8614
2018-03-02 07:00:00,8.06,8.11,8.06,8.06,6662
2018-03-05 07:00:00,8.06,8.32,8.06,8.32,33150
2018-03-06 07:00:00,8.11,8.27,8.06,8.27,7500
2018-03-08 07:00:00,8.11,8.11,8.11,8.11,2065
2018-03-09 07:00:00,8.11,8.11,8.11,8.11,7500
2018-03-12 07:00:00,8.17,8.17,8.11,8.11,14900
2018-03-13 07:00:00,8.11,8.27,8.11,8.27,4500
2018-03-14 07:00:00,8.27,8.38,8.27,8.27,2055
2018-03-15 07:00:00,8.43,8.53,8.43,8.53,28929
2018-03-16 07:00:00,8.59,8.64,8.48,8.48,4741
2018-03-19 07:00:00,8.59,8.59,8.59,8.59,1100
2018-03-20 07:00:00,8.48,8.48,8.48,8.48,1800
2018-03-21 07:00:00,8.48,8.48,8.27,8.38,2800
2018-03-23 07:00:00,8.53,8.9,8.48,8.48,7030
2018-03-26 07:00:00,8.43,8.48,8.43,8.48,1000
2018-03-27 07:00:00,8.53,8.53,8.53,8.53,254
2018-03-29 07:00:00,8.48,8.48,8.48,8.48,200
2018-03-30 07:00:00,8.27,8.59,8.27,8.59,4354
2018-04-02 07:00:00,8.43,8.43,8.43,8.43,500
2018-04-03 07:00:00,8.66,8.78,8.6,8.66,7035
2018-04-04 07:00:00,8.66,8.66,8.43,8.43,11000
2018-04-05 07:00:00,8.66,8.66,8.54,8.54,5000
2018-04-09 07:00:00,8.66,8.66,8.54,8.54,5900
2018-04-10 07:00:00,8.37,8.37,8.37,8.37,100
2018-04-11 07:00:00,8.37,8.37,8.14,8.2,12000
2018-04-12 07:00:00,8.2,8.37,8.2,8.37,2155
2018-04-16 07:00:00,8.54,8.54,8.54,8.54,110
2018-04-17 07:00:00,8.2,8.2,8.2,8.2,570
2018-04-18 07:00:00,8.37,8.37,8.31,8.31,1400
2018-04-19 07:00:00,8.2,8.49,8.2,8.49,5200
2018-04-20 07:00:00,8.37,8.37,8.37,8.37,3500
2018-04-23 07:00:00,8.08,8.72,8.08,8.72,14200
2018-04-24 07:00:00,8.66,8.66,8.37,8.37,3180
2018-04-26 07:00:00,8.43,8.43,8.37,8.37,6030
2018-04-27 07:00:00,8.2,8.43,8.2,8.43,13600
2018-05-02 07:00:00,8.43,8.54,8.37,8.54,2700
2018-05-03 07:00:00,8.54,8.54,8.54,8.54,1200
2018-05-07 07:00:00,8.43,8.43,8.31,8.31,8700
2018-05-08 07:00:00,8.37,8.43,8.37,8.43,5100
2018-05-09 07:00:00,8.43,8.43,8.43,8.43,520
2018-05-10 07:00:00,8.43,8.43,8.31,8.31,5300
2018-05-11 07:00:00,8.26,8.26,8.08,8.08,6286
2018-05-15 07:00:00,8.08,8.2,8.08,8.2,500
2018-05-16 07:00:00,8.37,8.37,8.2,8.2,8315
2018-05-18 07:00:00,8.26,8.26,8.14,8.14,9900
2018-05-21 07:00:00,8.14,8.14,8.08,8.08,1900
2018-05-22 07:00:00,7.79,7.97,7.56,7.56,11100
2018-05-24 07:00:00,7.5,7.5,7.5,7.5,3500
2018-05-25 07:00:00,7.5,7.62,7.39,7.39,35300
2018-05-28 07:00:00,7.39,7.39,7.04,7.04,22100
2018-05-29 07:00:00,7.22,7.27,7.22,7.22,9000
2018-05-30 07:00:00,7.22,7.22,7.04,7.04,11169
2018-05-31 07:00:00,7.16,7.68,7.16,7.33,4400
2018-06-01 07:00:00,7.22,7.39,7.22,7.39,11710
2018-06-04 07:00:00,7.39,7.39,7.33,7.39,6500
2018-06-05 07:00:00,7.27,7.27,7.27,7.27,785
2018-06-06 07:00:00,7.45,7.5,7.45,7.5,1200
2018-06-08 07:00:00,7.45,7.45,7.33,7.33,22420
2018-06-12 07:00:00,7.39,7.45,7.39,7.45,1200
2018-06-13 07:00:00,7.45,7.5,7.45,7.45,2100
2018-06-14 07:00:00,7.45,7.45,7.45,7.45,3155
2018-06-15 07:00:00,7.45,7.45,7.45,7.45,700
2018-06-18 07:00:00,7.39,7.39,7.39,7.39,2000
2018-06-19 07:00:00,7.33,7.33,7.33,7.33,1010
2018-06-20 07:00:00,7.33,7.39,7.33,7.39,5500
2018-06-21 07:00:00,7.33,7.33,7.33,7.33,9900
2018-06-22 07:00:00,7.33,7.33,7.33,7.33,46
2018-06-27 07:00:00,7.45,7.45,7.45,7.45,100
2018-06-28 07:00:00,7.5,7.5,7.5,7.5,500
2018-06-29 07:00:00,7.5,7.56,7.5,7.56,1100
2018-07-02 07:00:00,7.5,7.62,7.5,7.62,7640
2018-07-03 07:00:00,7.62,7.62,7.62,7.62,6000
2018-07-04 07:00:00,7.62,7.62,7.62,7.62,900
2018-07-05 07:00:00,7.5,7.5,7.5,7.5,4300
2018-07-06 07:00:00,7.5,7.62,7.5,7.56,3000
2018-07-09 07:00:00,7.5,7.5,7.5,7.5,1507
2018-07-12 07:00:00,7.5,7.5,7.5,7.5,1500
2018-07-13 07:00:00,7.5,7.5,7.5,7.5,1000
2018-07-16 07:00:00,7.62,7.62,7.62,7.62,400
2018-07-17 07:00:00,7.62,7.62,7.62,7.62,27200
2018-07-23 07:00:00,7.5,7.5,7.5,7.5,100
2018-07-24 07:00:00,7.39,7.39,7.22,7.22,900
2018-07-25 07:00:00,7.39,7.39,7.39,7.39,500
2018-07-26 07:00:00,7.39,7.45,7.39,7.39,1750
2018-07-27 07:00:00,7.39,7.39,7.39,7.39,1500
2018-07-30 07:00:00,7.39,7.39,7.39,7.39,4500
2018-08-06 07:00:00,7.5,7.5,7.5,7.5,3000
2018-08-07 07:00:00,7.5,7.5,7.5,7.5,29300
2018-08-08 07:00:00,7.5,7.5,7.5,7.5,10000
2018-08-09 07:00:00,7.79,7.79,7.5,7.5,3100
2018-08-14 07:00:00,7.5,7.5,7.5,7.5,17000
2018-08-15 07:00:00,7.5,7.5,7.5,7.5,10700
2018-08-17 07:00:00,7.5,7.5,7.33,7.33,300
2018-08-21 07:00:00,7.27,7.5,7.27,7.5,5100
2018-08-22 07:00:00,7.5,7.5,7.33,7.5,5200
2018-08-23 07:00:00,7.5,7.5,7.39,7.5,13300
2018-08-24 07:00:00,7.5,7.5,7.5,7.5,29000
2018-08-27 07:00:00,7.5,7.5,7.5,7.5,1500
2018-08-28 07:00:00,7.5,7.5,7.5,7.5,1600
2018-08-30 07:00:00,7.5,7.5,7.5,7.5,193
2018-08-31 07:00:00,7.5,7.5,7.5,7.5,500
2018-09-04 07:00:00,7.5,7.5,7.5,7.5,200
2018-09-05 07:00:00,7.5,7.5,7.39,7.45,800
2018-09-06 07:00:00,7.45,7.45,7.45,7.45,2700
2018-09-07 07:00:00,7.45,7.5,7.45,7.5,3200
2018-09-10 07:00:00,7.39,7.39,7.39,7.39,100
2018-09-11 07:00:00,7.5,7.5,7.5,7.5,300
2018-09-13 07:00:00,7.5,7.5,7.5,7.5,45
2018-09-17 07:00:00,7.45,7.45,7.45,7.45,400
2018-09-18 07:00:00,7.45,7.45,7.39,7.45,6800
2018-09-19 07:00:00,7.45,7.45,7.45,7.45,2000
2018-09-20 07:00:00,7.45,7.45,7.45,7.45,4000
2018-09-21 07:00:00,7.45,7.45,7.45,7.45,26700
2018-09-25 07:00:00,7.45,7.45,7.45,7.45,4300
2018-09-27 07:00:00,7.5,7.56,7.45,7.45,2210
2018-09-28 07:00:00,7.45,7.45,7.45,7.45,14000
2018-10-01 07:00:00,7.45,7.5,7.45,7.5,4400
2018-10-02 07:00:00,7.5,7.5,7.5,7.5,8821
2018-10-04 07:00:00,7.5,7.5,7.5,7.5,2000
2018-10-05 07:00:00,7.79,7.79,7.79,7.79,200
2018-10-08 07:00:00,7.62,7.62,7.5,7.5,1200
2018-10-10 07:00:00,7.5,7.5,7.5,7.5,50
2018-10-11 07:00:00,7.39,7.39,7.39,7.39,5000
2018-10-12 07:00:00,7.5,7.5,7.5,7.5,1600
2018-10-15 07:00:00,7.33,7.39,7.33,7.39,1200
2018-10-16 07:00:00,7.39,7.5,7.39,7.5,5266
2018-10-17 07:00:00,7.62,7.62,7.62,7.62,5200
2018-10-18 07:00:00,7.56,7.56,7.56,7.56,1000
2018-10-19 07:00:00,7.56,7.56,7.56,7.56,66
2018-10-22 07:00:00,7.39,7.39,7.39,7.39,1000
2018-10-23 07:00:00,7.04,7.04,7.04,7.04,810
2018-10-24 07:00:00,7.1,7.5,7.1,7.5,1300
2018-10-25 07:00:00,7.5,7.62,7.5,7.5,17500
2018-10-26 07:00:00,7.5,7.5,7.5,7.5,50
2018-10-30 07:00:00,7.5,7.5,7.5,7.5,4500
2018-10-31 07:00:00,7.5,7.5,7.5,7.5,2700
2018-11-01 07:00:00,7.5,7.5,7.5,7.5,700
2018-11-02 07:00:00,7.68,7.91,7.68,7.74,4600
2018-11-05 07:00:00,7.74,7.74,7.74,7.74,16
2018-11-08 07:00:00,7.74,7.74,7.74,7.74,100
2018-11-12 07:00:00,7.79,7.79,7.68,7.68,535
2018-11-13 07:00:00,7.68,7.68,7.68,7.68,100
2018-11-14 07:00:00,8.42,8.42,7.99,7.99,6900
2018-11-15 07:00:00,7.8,8.29,7.8,8.29,1800
2018-11-16 07:00:00,8.29,8.29,8.29,8.29,600
2018-11-19 07:00:00,7.86,7.86,7.86,7.86,100
2018-11-20 07:00:00,7.99,7.99,7.99,7.99,6500
2018-11-21 07:00:00,7.99,7.99,7.99,7.99,3325
2018-11-22 07:00:00,8.05,8.05,7.99,7.99,600
2018-11-23 07:00:00,7.99,7.99,7.99,7.99,13700
2018-11-26 07:00:00,7.99,7.99,7.99,7.99,25
2018-11-27 07:00:00,7.86,7.86,7.86,7.86,400
2018-11-28 07:00:00,7.86,7.86,7.86,7.86,500
2018-11-29 07:00:00,7.8,7.8,7.8,7.8,500
2018-11-30 07:00:00,7.99,7.99,7.99,7.99,900
2018-12-03 07:00:00,7.99,7.99,7.99,7.99,30200
2018-12-05 07:00:00,7.8,7.86,7.68,7.86,3400
2018-12-06 07:00:00,7.86,7.86,7.86,7.86,4000
2018-12-07 07:00:00,7.86,7.86,7.56,7.56,6500
2018-12-10 07:00:00,7.74,7.86,7.68,7.68,3700
2018-12-11 07:00:00,7.68,7.68,7.62,7.68,4500
2018-12-12 07:00:00,7.62,7.74,7.56,7.62,12700
2018-12-13 07:00:00,7.62,7.62,7.56,7.62,775
2018-12-18 07:00:00,7.62,7.62,7.62,7.62,1500
2018-12-19 07:00:00,7.62,7.62,7.62,7.62,2500
2018-12-20 07:00:00,7.56,7.56,7.56,7.56,1000
2018-12-24 07:00:00,7.56,7.56,7.56,7.56,56
2018-12-25 07:00:00,7.49,7.49,7.49,7.49,1000
2018-12-26 07:00:00,7.43,7.43,7.37,7.43,2120
2018-12-27 07:00:00,7.43,7.43,7.43,7.43,41
2018-12-28 07:00:00,7.43,7.43,7.43,7.43,1800
2019-01-03 07:00:00,7.37,7.37,7.37,7.37,11900
2019-01-04 07:00:00,7.31,7.31,7.25,7.25,11700
2019-01-07 07:00:00,7.25,7.25,7.25,7.25,900
2019-01-08 07:00:00,7.25,7.25,7.19,7.19,1230
2019-01-09 07:00:00,7.13,7.13,7.13,7.13,3900
2019-01-10 07:00:00,7.13,7.13,7.06,7.06,5100
2019-01-11 07:00:00,7.06,7.06,6.76,7.0,8000
2019-01-14 07:00:00,7.0,7.0,6.94,7.0,4040
2019-01-15 07:00:00,6.88,6.88,6.76,6.76,2300
2019-01-21 07:00:00,6.76,6.76,6.76,6.76,50
2019-01-22 07:00:00,6.88,6.88,6.88,6.88,100
2019-02-12 07:00:00,7.06,7.06,7.0,7.06,900
2019-02-13 07:00:00,7.06,7.06,7.06,7.06,1000
2019-02-14 07:00:00,7.06,7.06,7.06,7.06,150
2019-02-15 07:00:00,7.06,7.06,7.06,7.06,1000
2019-02-18 07:00:00,7.56,7.74,7.56,7.74,12752
2019-02-22 07:00:00,7.06,7.31,7.06,7.31,2200
2019-02-25 07:00:00,7.37,7.37,7.37,7.37,2000
2019-02-27 07:00:00,7.37,7.37,7.37,7.37,3000
2019-03-01 07:00:00,7.68,7.68,7.37,7.37,1300
2019-03-05 07:00:00,7.62,7.62,7.62,7.62,100
2019-03-06 07:00:00,7.62,7.62,7.62,7.62,2100
2019-03-08 07:00:00,7.62,7.68,7.62,7.68,2300
2019-03-12 07:00:00,7.68,7.68,7.68,7.68,1763
2019-03-13 07:00:00,7.06,7.06,7.06,7.06,500
2019-03-15 07:00:00,7.31,7.56,7.31,7.56,1800
2019-03-18 07:00:00,7.31,7.43,7.31,7.43,600
2019-03-19 07:00:00,7.43,7.49,7.37,7.37,3300
2019-03-20 07:00:00,7.37,7.37,7.31,7.31,3800
2019-03-22 07:00:00,7.37,7.37,7.37,7.37,1000
2019-03-25 07:00:00,7.56,7.56,7.49,7.49,850
2019-03-26 07:00:00,7.37,7.37,7.37,7.37,1105
2019-03-27 07:00:00,7.37,7.37,7.37,7.37,10
2019-03-28 07:00:00,7.37,7.37,7.37,7.37,1400
2019-03-29 07:00:00,7.56,7.56,7.37,7.37,1900
