time,open,high,low,close,volume
2018-01-03 07:00:00,4.74,4.74,4.35,4.68,600
2018-01-11 07:00:00,4.68,4.68,4.68,4.68,100
2018-01-15 07:00:00,4.48,4.48,4.48,4.48,2300
2018-01-16 07:00:00,4.48,4.48,4.48,4.48,19700
2018-01-17 07:00:00,4.48,4.55,4.48,4.48,31600
2018-01-18 07:00:00,4.48,4.48,4.48,4.48,100
2018-01-22 07:00:00,4.48,4.48,4.35,4.35,3300
2018-01-23 07:00:00,4.28,4.28,4.28,4.28,100
2018-01-26 07:00:00,4.61,4.61,4.61,4.61,110
2018-01-30 07:00:00,4.61,4.61,4.61,4.61,900
2018-01-31 07:00:00,4.61,4.61,4.61,4.61,100
2018-02-22 07:00:00,4.48,4.48,4.48,4.48,100
2018-02-26 07:00:00,4.15,4.15,4.15,4.15,5400
2018-03-01 07:00:00,4.35,4.35,4.35,4.35,100
2018-03-02 07:00:00,4.41,4.41,4.41,4.41,100
2018-03-05 07:00:00,4.41,4.41,4.41,4.41,1000
2018-03-09 07:00:00,4.28,4.28,4.28,4.28,1700
2018-03-21 07:00:00,4.28,4.28,4.28,4.28,4400
2018-03-29 07:00:00,4.28,4.28,4.28,4.28,5
2018-03-30 07:00:00,4.28,4.28,4.28,4.28,3
2018-04-02 07:00:00,4.61,4.61,4.61,4.61,100
2018-04-03 07:00:00,4.61,4.61,4.61,4.61,2
2018-04-04 07:00:00,4.61,4.61,4.61,4.61,2
2018-04-06 07:00:00,4.61,4.61,4.61,4.61,1000
2018-04-10 07:00:00,4.61,4.61,4.61,4.61,19
2018-04-16 07:00:00,4.35,4.35,4.35,4.35,6000
2018-04-17 07:00:00,4.28,4.28,4.28,4.28,10000
2018-04-20 07:00:00,4.09,4.09,3.95,3.95,9500
2018-05-07 07:00:00,4.35,4.35,4.35,4.35,600
2018-05-09 07:00:00,4.35,4.35,4.35,4.35,16
2018-05-22 07:00:00,4.55,4.55,4.55,4.55,100
2018-05-30 07:00:00,4.94,4.94,4.94,4.94,100
2018-06-26 07:00:00,4.61,4.61,4.61,4.61,5000
2018-06-28 07:00:00,4.61,5.07,4.61,5.07,1604
2018-06-29 07:00:00,5.54,5.54,5.54,5.54,300
2018-07-02 07:00:00,6.0,6.0,6.0,6.0,100
2018-07-16 07:00:00,5.93,5.93,5.93,5.93,400
2018-08-15 07:00:00,5.93,5.93,5.93,5.93,2
2018-11-07 07:00:00,5.42,5.42,5.35,5.35,1900
2018-11-12 07:00:00,5.35,5.35,5.35,5.35,5000
2019-03-15 07:00:00,5.35,5.35,5.35,5.35,5
2019-03-20 07:00:00,5.35,5.35,5.35,5.35,5
2019-05-03 07:00:00,4.85,4.85,4.85,4.85,2000
2019-05-21 07:00:00,4.41,4.41,4.41,4.41,100
2019-05-22 07:00:00,3.98,3.98,3.98,3.98,100
2019-05-23 07:00:00,3.69,3.69,3.69,3.69,2000
2019-05-24 07:00:00,4.05,4.05,3.69,3.69,300
2019-05-27 07:00:00,3.54,3.54,3.54,3.54,100
2019-05-28 07:00:00,3.54,3.54,3.54,3.54,100
2019-05-30 07:00:00,3.25,3.25,3.25,3.25,100
2019-06-03 07:00:00,3.54,3.54,2.97,2.97,200
2019-06-04 07:00:00,3.25,3.25,3.25,3.25,100
2019-06-05 07:00:00,3.54,3.54,3.54,3.54,100
2019-06-06 07:00:00,3.83,3.83,3.25,3.25,200
2019-06-07 07:00:00,3.54,3.54,3.54,3.54,100
2019-06-10 07:00:00,3.83,3.83,3.33,3.33,300
2019-06-13 07:00:00,3.62,3.62,3.04,3.62,300
2019-07-02 07:00:00,3.69,3.69,3.69,3.69,1000
2019-07-03 07:00:00,3.69,3.69,3.62,3.62,5340
2019-08-19 07:00:00,3.62,3.62,3.62,3.62,1
2019-08-20 07:00:00,3.62,3.62,3.62,3.62,500
2019-10-07 07:00:00,3.69,3.69,3.69,3.69,2000
2019-10-10 07:00:00,3.83,4.05,3.83,4.05,57500
2019-10-11 07:00:00,4.12,4.12,4.12,4.12,2500
2019-10-30 07:00:00,4.12,4.12,4.12,4.12,20
2019-11-05 07:00:00,4.05,4.05,4.05,4.05,100
2019-11-07 07:00:00,3.69,3.69,3.69,3.69,200
2019-11-08 07:00:00,3.69,3.69,3.69,3.69,6
2019-11-13 07:00:00,3.91,3.91,3.76,3.76,20000
2019-11-15 07:00:00,3.76,3.76,3.76,3.76,4
2019-11-20 07:00:00,3.76,3.76,3.76,3.76,5000
2019-11-22 07:00:00,3.76,3.76,3.76,3.76,100
2019-11-25 07:00:00,3.91,3.91,3.83,3.83,3500
2019-11-26 07:00:00,3.83,3.98,3.83,3.98,15000
2019-11-28 07:00:00,3.76,3.76,3.76,3.76,1980
2019-12-05 07:00:00,3.76,3.76,3.76,3.76,10
2019-12-11 07:00:00,3.76,3.76,3.76,3.76,11
2019-12-18 07:00:00,3.76,3.76,3.76,3.76,40
2019-12-19 07:00:00,3.76,3.76,3.76,3.76,10000
2019-12-20 07:00:00,3.76,3.76,3.76,3.76,4500
2019-12-23 07:00:00,3.76,3.76,3.76,3.76,5000
2019-12-24 07:00:00,3.76,3.76,3.76,3.76,2000
2019-12-26 07:00:00,3.76,3.76,3.76,3.76,40
2019-12-27 07:00:00,3.62,3.76,3.62,3.76,2000
2020-01-22 07:00:00,3.76,3.76,3.76,3.76,1000
2020-02-04 07:00:00,3.62,3.76,3.62,3.62,19500
2020-02-05 07:00:00,3.62,3.62,3.62,3.62,10000
2020-02-06 07:00:00,3.62,3.76,3.62,3.62,10610
2020-02-07 07:00:00,3.62,3.62,3.62,3.62,15000
2020-02-10 07:00:00,3.62,3.62,3.62,3.62,15600
2020-02-11 07:00:00,3.62,3.62,3.62,3.62,10000
2020-02-13 07:00:00,3.62,3.62,3.62,3.62,15200
2020-02-14 07:00:00,3.62,3.62,3.62,3.62,15000
2020-02-17 07:00:00,3.62,3.62,3.62,3.62,100
2020-02-19 07:00:00,3.62,3.62,3.62,3.62,60
2020-02-20 07:00:00,3.62,3.62,3.62,3.62,200
2020-02-25 07:00:00,3.62,3.62,3.62,3.62,14300
2020-02-26 07:00:00,3.62,3.62,3.62,3.62,10000
2020-02-27 07:00:00,3.62,3.62,3.62,3.62,7040
2020-02-28 07:00:00,3.62,3.76,3.62,3.69,32400
2020-03-03 07:00:00,3.69,3.83,3.69,3.83,35115
2020-03-04 07:00:00,3.83,4.12,3.83,4.12,41000
2020-03-05 07:00:00,4.12,4.48,4.12,4.48,15900
2020-03-06 07:00:00,4.27,4.92,4.27,4.92,67200
