time,open,high,low,close,volume
2018-01-02 07:00:00,7.91,7.94,7.8,7.83,1318700
2018-01-03 07:00:00,7.86,7.91,7.8,7.83,1465370
2018-01-04 07:00:00,7.88,8.0,7.83,7.94,2508810
2018-01-05 07:00:00,8.0,8.35,7.91,8.26,4733220
2018-01-08 07:00:00,8.29,8.38,8.14,8.29,2070370
2018-01-09 07:00:00,8.23,8.32,8.09,8.17,2147460
2018-01-10 07:00:00,8.2,8.29,8.03,8.09,3048750
2018-01-11 07:00:00,8.12,8.12,7.77,7.91,3032640
2018-01-12 07:00:00,7.83,7.97,7.8,7.83,2888740
2018-01-15 07:00:00,7.83,8.09,7.83,8.09,1877840
2018-01-16 07:00:00,8.12,8.26,8.03,8.12,2242600
2018-01-17 07:00:00,7.88,8.12,7.88,7.88,2112020
2018-01-18 07:00:00,7.83,7.91,7.68,7.86,1803420
2018-01-19 07:00:00,7.86,8.0,7.83,7.88,1715760
2018-01-22 07:00:00,7.91,7.94,7.8,7.88,1198820
2018-01-25 07:00:00,7.88,7.91,7.74,7.74,3059280
2018-01-26 07:00:00,7.86,8.17,7.77,8.14,2759950
2018-01-29 07:00:00,8.23,8.4,8.09,8.09,3240130
2018-01-30 07:00:00,8.03,8.2,7.91,8.12,2164830
2018-01-31 07:00:00,8.06,8.14,7.77,7.77,3211750
2018-02-01 07:00:00,7.74,7.83,7.57,7.57,2101570
2018-02-02 07:00:00,7.57,7.71,7.51,7.51,1013900
2018-02-05 07:00:00,7.45,7.51,7.05,7.08,1462220
2018-02-06 07:00:00,6.64,6.93,6.58,6.7,5123560
2018-02-07 07:00:00,6.99,7.16,6.96,7.16,1377980
2018-02-08 07:00:00,7.05,7.22,6.93,6.96,272780
2018-02-09 07:00:00,6.79,7.19,6.7,6.93,902000
2018-02-12 07:00:00,6.93,7.16,6.93,7.16,463880
2018-02-13 07:00:00,7.28,7.34,7.22,7.28,465450
2018-02-21 07:00:00,7.48,7.48,7.28,7.28,774720
2018-02-22 07:00:00,7.22,7.45,7.22,7.31,1285040
2018-02-23 07:00:00,7.42,7.42,7.31,7.34,519010
2018-02-26 07:00:00,7.39,7.42,7.28,7.28,1452640
2018-02-27 07:00:00,7.28,7.28,7.1,7.1,1138560
2018-02-28 07:00:00,7.1,7.19,6.93,6.99,2287810
2018-03-01 07:00:00,6.99,7.22,6.99,7.08,951930
2018-03-02 07:00:00,7.08,7.16,6.93,7.13,819530
2018-03-05 07:00:00,7.16,7.45,7.13,7.31,1531690
2018-03-06 07:00:00,7.31,7.77,7.22,7.62,2258900
2018-03-07 07:00:00,7.68,7.83,7.62,7.74,2682690
2018-03-08 07:00:00,7.71,7.74,7.6,7.62,473450
2018-03-09 07:00:00,7.68,7.68,7.39,7.45,846870
2018-03-12 07:00:00,7.42,7.45,7.28,7.28,522400
2018-03-13 07:00:00,7.28,7.42,7.28,7.39,444680
2018-03-14 07:00:00,7.34,7.54,7.34,7.54,876090
