time,open,high,low,close,volume
2018-01-02 07:00:00,87.55,87.55,85.68,85.76,1660
2018-01-03 07:00:00,85.68,86.06,85.16,85.16,4930
2018-01-04 07:00:00,83.29,86.06,83.29,84.26,2650
2018-01-05 07:00:00,84.26,84.56,83.44,84.19,1770
2018-01-08 07:00:00,84.26,84.26,83.81,83.81,1270
2018-01-09 07:00:00,82.76,85.98,82.76,85.98,240
2018-01-10 07:00:00,83.81,85.61,83.06,83.06,7460
2018-01-11 07:00:00,83.06,83.81,83.06,83.06,3810
2018-01-12 07:00:00,83.06,83.81,83.06,83.81,750
2018-01-15 07:00:00,82.32,83.06,81.19,82.69,3680
2018-01-16 07:00:00,82.69,81.57,80.07,81.57,5920
2018-01-17 07:00:00,80.22,80.82,80.22,80.22,670
2018-01-18 07:00:00,80.22,80.22,77.23,79.85,1540
2018-01-19 07:00:00,79.85,83.74,79.85,80.07,1540
2018-01-22 07:00:00,82.32,82.32,79.32,79.55,1460
2018-01-25 07:00:00,78.57,80.07,74.08,77.08,6060
2018-01-26 07:00:00,77.08,77.08,75.58,77.0,1940
2018-01-29 07:00:00,74.08,77.0,74.08,76.7,2600
2018-01-30 07:00:00,74.83,76.63,74.83,75.58,2930
2018-01-31 07:00:00,74.83,76.33,74.83,76.33,3070
2018-02-01 07:00:00,75.58,75.58,75.58,75.58,210
2018-02-02 07:00:00,75.58,75.58,75.58,75.58,440
2018-02-05 07:00:00,73.11,74.08,71.84,74.08,5100
2018-02-06 07:00:00,69.22,69.59,68.92,68.92,5400
2018-02-07 07:00:00,73.34,73.34,72.59,72.96,1550
2018-02-08 07:00:00,72.89,72.89,67.87,70.34,320
2018-02-09 07:00:00,70.34,70.57,70.34,70.57,5990
2018-02-12 07:00:00,70.57,72.51,70.34,72.51,1250
2018-02-13 07:00:00,73.34,74.83,73.34,74.83,480
2018-02-21 07:00:00,74.83,80.07,74.83,78.42,2230
2018-02-22 07:00:00,78.42,80.07,78.42,80.0,1630
2018-02-23 07:00:00,79.32,80.82,78.5,80.07,460
2018-02-26 07:00:00,79.32,82.32,75.21,81.57,540
2018-02-27 07:00:00,76.18,80.82,76.03,78.2,2720
2018-02-28 07:00:00,78.05,79.32,74.83,79.32,620
2018-03-01 07:00:00,76.7,77.08,76.7,77.08,280
2018-03-02 07:00:00,75.58,77.08,75.58,76.4,1190
2018-03-05 07:00:00,74.98,76.7,74.98,76.63,10540
2018-03-06 07:00:00,75.21,76.63,75.21,76.63,130
2018-03-07 07:00:00,76.33,76.93,76.33,76.63,3850
2018-03-08 07:00:00,72.59,76.25,72.59,76.25,1140
2018-03-09 07:00:00,76.25,76.25,73.49,73.49,310
2018-03-12 07:00:00,74.76,74.83,74.76,74.83,9060
2018-03-13 07:00:00,74.46,77.6,74.46,76.03,11410
2018-03-14 07:00:00,76.03,77.0,76.03,77.0,160
2018-03-15 07:00:00,76.7,76.7,74.83,75.58,380
2018-03-16 07:00:00,76.48,76.7,76.48,76.7,500
2018-03-19 07:00:00,73.78,77.23,73.78,75.58,1420
2018-03-20 07:00:00,74.08,77.08,74.08,77.08,6630
2018-03-21 07:00:00,79.32,82.47,77.15,80.67,2140
2018-03-22 07:00:00,80.67,80.67,77.08,77.08,660
2018-03-23 07:00:00,75.95,77.83,74.83,77.83,5580
2018-03-26 07:00:00,77.83,77.83,77.83,77.83,310
2018-03-27 07:00:00,74.91,74.98,74.91,74.91,600
2018-03-28 07:00:00,73.41,80.0,73.41,74.98,130
2018-03-29 07:00:00,75.58,75.58,75.58,75.58,2200
2018-03-30 07:00:00,75.58,75.58,74.38,74.83,4010
2018-04-02 07:00:00,74.83,75.51,74.83,75.51,700
2018-04-03 07:00:00,74.83,75.51,72.96,75.51,550
2018-04-04 07:00:00,75.36,75.43,75.36,75.43,600
2018-04-05 07:00:00,75.43,75.43,74.83,74.83,1070
2018-04-09 07:00:00,72.66,73.34,72.66,72.66,1490
2018-04-10 07:00:00,72.96,72.96,71.54,71.54,2700
2018-04-11 07:00:00,71.09,72.96,71.09,72.96,970
2018-04-12 07:00:00,72.59,72.59,72.59,72.59,100
2018-04-13 07:00:00,72.74,72.74,71.09,71.09,310
2018-04-16 07:00:00,71.09,71.09,70.87,70.87,380
2018-04-17 07:00:00,71.02,73.34,71.02,71.09,5040
2018-04-18 07:00:00,71.09,72.59,71.09,72.59,6020
2018-04-19 07:00:00,71.09,75.58,71.09,75.58,23680
2018-04-20 07:00:00,75.58,77.45,75.58,77.45,12700
2018-04-23 07:00:00,77.45,77.83,77.23,77.23,2880
2018-04-24 07:00:00,77.08,77.08,77.08,77.08,4000
2018-04-26 07:00:00,71.91,74.76,71.91,74.76,20
2018-04-27 07:00:00,74.38,74.38,71.84,73.64,350
2018-05-02 07:00:00,72.21,73.34,72.21,73.34,230
2018-05-03 07:00:00,71.84,76.33,70.34,70.34,1530
2018-05-04 07:00:00,74.08,74.08,74.08,74.08,10
2018-05-07 07:00:00,69.22,74.08,69.22,74.08,1390
2018-05-08 07:00:00,74.08,74.08,72.51,74.01,640
2018-05-10 07:00:00,71.46,71.84,71.46,71.84,230
2018-05-14 07:00:00,74.08,76.33,70.57,74.08,770
2018-05-15 07:00:00,74.08,74.08,74.08,74.08,390
2018-05-16 07:00:00,73.34,73.34,73.34,73.34,410
2018-05-17 07:00:00,70.04,70.72,70.04,70.34,280
2018-05-18 07:00:00,70.34,71.69,70.34,71.69,1290
2018-05-21 07:00:00,70.72,71.09,70.49,70.49,1190
2018-05-22 07:00:00,69.97,69.97,69.59,69.59,1170
2018-05-23 07:00:00,69.59,72.89,69.59,72.89,1110
2018-05-28 07:00:00,69.74,69.74,68.1,68.1,760
2018-05-30 07:00:00,68.17,69.59,68.1,69.59,3190
2018-05-31 07:00:00,68.85,68.85,68.85,68.85,900
2018-06-01 07:00:00,69.59,70.49,69.59,69.59,250
2018-06-05 07:00:00,71.09,71.09,71.09,71.09,10
2018-06-06 07:00:00,71.09,71.09,71.09,71.09,10
2018-06-07 07:00:00,71.09,71.09,71.09,71.09,40
2018-06-08 07:00:00,70.34,71.09,68.85,71.09,80
2018-06-11 07:00:00,69.59,71.09,69.59,71.09,5880
2018-06-13 07:00:00,70.34,70.34,67.35,70.34,60
2018-06-14 07:00:00,70.34,70.34,67.42,69.52,320
2018-06-15 07:00:00,68.85,70.34,67.42,70.34,210
2018-06-19 07:00:00,69.59,69.59,69.59,69.59,70
2018-06-20 07:00:00,69.59,69.59,69.59,69.59,10
2018-06-21 07:00:00,69.59,69.59,69.59,69.59,10
2018-06-25 07:00:00,68.1,68.1,67.35,67.35,140
2018-06-26 07:00:00,67.35,67.35,67.35,67.35,200
2018-06-27 07:00:00,67.35,67.35,67.35,67.35,290
2018-06-29 07:00:00,66.6,67.72,66.6,67.72,70
2018-07-03 07:00:00,64.36,65.1,64.36,65.1,530
2018-07-04 07:00:00,62.86,65.48,62.86,65.48,810
2018-07-05 07:00:00,61.36,66.6,61.36,66.6,20
2018-07-09 07:00:00,62.19,66.15,62.11,62.11,2390
2018-07-10 07:00:00,63.91,63.91,63.91,63.91,10
2018-07-11 07:00:00,62.19,62.19,62.19,62.19,100
2018-07-12 07:00:00,62.04,62.04,62.04,62.04,30
2018-07-13 07:00:00,62.11,62.11,62.04,62.04,260
2018-07-17 07:00:00,62.19,62.19,61.74,62.04,1770
2018-07-18 07:00:00,62.04,65.1,60.61,62.04,90
2018-07-19 07:00:00,62.11,64.95,62.04,64.95,310
2018-07-20 07:00:00,64.95,64.95,62.86,62.86,170
2018-07-23 07:00:00,66.6,66.6,66.6,66.6,10
2018-07-25 07:00:00,66.6,63.61,63.61,63.61,130
2018-07-26 07:00:00,63.16,63.16,63.16,63.16,10
2018-07-27 07:00:00,65.78,65.78,65.78,65.78,10
2018-07-30 07:00:00,66.3,66.38,66.23,66.23,410
2018-07-31 07:00:00,68.85,68.85,63.61,68.1,110
2018-08-01 07:00:00,67.35,67.35,67.35,67.35,89900
2018-08-02 07:00:00,63.68,68.7,63.68,68.7,510
2018-08-03 07:00:00,67.35,67.35,63.98,67.2,260
2018-08-06 07:00:00,67.27,67.27,66.6,67.2,2440
2018-08-07 07:00:00,67.12,67.2,67.12,67.2,480
2018-08-08 07:00:00,64.36,66.6,64.36,65.1,30
2018-08-09 07:00:00,65.85,65.85,65.1,65.85,490
2018-08-10 07:00:00,66.6,66.6,66.6,66.6,10
2018-08-13 07:00:00,65.85,65.85,65.85,65.85,1330
2018-08-15 07:00:00,65.85,65.85,65.85,65.85,60
2018-08-16 07:00:00,65.85,65.85,65.85,65.85,300
2018-08-17 07:00:00,63.61,65.48,63.01,65.48,280
2018-08-20 07:00:00,62.86,65.33,62.86,65.1,200
2018-08-21 07:00:00,63.59,63.59,63.59,63.59,1650
2018-08-22 07:00:00,63.21,63.21,60.18,62.83,960
2018-08-23 07:00:00,59.43,66.24,59.35,60.56,14290
2018-08-27 07:00:00,60.56,60.86,58.44,60.56,420
2018-08-28 07:00:00,60.56,60.56,60.49,60.49,110
2018-08-29 07:00:00,60.49,61.32,60.49,60.49,950
2018-08-30 07:00:00,60.49,60.49,59.8,59.8,70
2018-08-31 07:00:00,60.56,63.97,60.56,60.56,1180
2018-09-04 07:00:00,60.56,60.56,60.26,60.26,40
2018-09-05 07:00:00,61.24,61.24,60.18,60.18,20
2018-09-06 07:00:00,59.8,60.64,59.8,60.64,170
2018-09-07 07:00:00,60.64,60.64,59.8,59.8,60
2018-09-10 07:00:00,61.39,61.39,61.32,61.32,20
2018-09-11 07:00:00,59.05,60.94,59.05,60.94,60
2018-09-14 07:00:00,62.53,64.35,56.7,56.7,2070
2018-09-17 07:00:00,59.96,59.96,59.65,59.8,350
2018-09-18 07:00:00,59.8,59.8,59.8,59.8,50
2018-09-19 07:00:00,59.05,59.05,57.53,58.14,1690
2018-09-20 07:00:00,58.29,58.29,57.16,57.38,860
2018-09-21 07:00:00,57.53,57.91,57.38,57.38,1140
2018-09-24 07:00:00,57.84,59.05,57.84,58.9,430
2018-09-25 07:00:00,62.83,62.91,62.0,62.83,5110
2018-09-26 07:00:00,62.83,63.21,61.32,63.21,13370
2018-09-27 07:00:00,62.83,65.1,62.83,63.29,520
2018-09-28 07:00:00,63.29,63.29,60.26,63.29,160
2018-10-01 07:00:00,60.41,60.41,60.41,60.41,110
2018-10-02 07:00:00,60.56,60.56,60.56,60.56,640
2018-10-03 07:00:00,62.45,63.21,62.45,63.21,220
2018-10-04 07:00:00,63.36,63.59,63.36,63.59,150
2018-10-05 07:00:00,64.65,64.65,60.79,63.97,200
2018-10-08 07:00:00,61.32,61.32,60.56,60.56,110
2018-10-09 07:00:00,60.56,60.56,60.56,60.56,210
2018-10-11 07:00:00,59.05,59.05,59.05,59.05,1720
2018-10-15 07:00:00,59.8,60.56,59.12,59.12,40
2018-10-16 07:00:00,56.93,57.53,56.93,57.53,30
2018-10-17 07:00:00,57.53,61.24,57.53,61.24,70
2018-10-19 07:00:00,57.99,59.05,57.53,59.05,13680
2018-10-24 07:00:00,59.05,59.8,58.29,58.29,340
2018-10-25 07:00:00,56.02,58.06,56.02,58.06,20
2018-10-26 07:00:00,57.91,57.91,57.91,57.91,100
2018-10-29 07:00:00,57.53,57.53,57.53,57.53,10
2018-10-30 07:00:00,57.53,57.53,57.53,57.53,20
2018-10-31 07:00:00,57.53,59.05,53.82,59.05,210
2018-11-01 07:00:00,60.41,60.41,60.41,60.41,10
2018-11-05 07:00:00,56.25,57.53,56.25,57.53,200
2018-11-06 07:00:00,57.53,60.56,57.53,60.18,1110
2018-11-07 07:00:00,57.91,57.91,57.91,57.91,10
2018-11-08 07:00:00,59.73,59.73,57.91,57.91,40
2018-11-09 07:00:00,56.78,59.05,54.81,59.05,270
2018-11-12 07:00:00,58.29,58.29,58.29,58.29,10
2018-11-14 07:00:00,58.29,58.29,58.29,58.29,440
2018-11-15 07:00:00,58.29,58.29,58.29,58.29,5000
2018-11-16 07:00:00,58.29,58.29,58.29,58.29,310
2018-11-19 07:00:00,58.44,59.65,58.44,59.2,250
2018-11-20 07:00:00,59.05,59.05,59.05,59.05,20
2018-11-21 07:00:00,59.43,59.43,58.29,58.29,150
2018-11-22 07:00:00,59.05,59.05,58.29,58.29,9010
2018-11-23 07:00:00,57.53,58.29,56.4,58.29,180
2018-11-26 07:00:00,57.53,57.53,54.51,56.78,1070
2018-11-27 07:00:00,56.78,57.53,56.78,57.53,190
2018-11-28 07:00:00,57.53,57.53,57.53,57.53,140
2018-11-29 07:00:00,57.53,57.53,57.53,57.53,50
2018-11-30 07:00:00,57.53,57.53,57.53,57.53,300
2018-12-03 07:00:00,57.91,58.29,57.91,58.29,90
2018-12-04 07:00:00,58.29,58.29,58.29,58.29,220
2018-12-07 07:00:00,58.29,58.29,58.29,58.29,100
2018-12-11 07:00:00,58.29,58.29,58.29,58.29,350
2018-12-12 07:00:00,58.29,58.29,58.29,58.29,650
2018-12-13 07:00:00,59.05,61.32,59.05,60.18,480
2018-12-14 07:00:00,60.18,60.56,57.53,60.56,360
2018-12-17 07:00:00,59.05,59.05,59.05,59.05,200
2018-12-21 07:00:00,58.29,58.29,58.29,58.29,100
2018-12-24 07:00:00,59.05,59.05,59.05,59.05,30
2018-12-25 07:00:00,55.57,55.57,55.57,55.57,10
2018-12-26 07:00:00,56.1,56.78,56.1,56.78,470
2018-12-27 07:00:00,57.53,57.53,56.78,56.78,6560
2018-12-28 07:00:00,56.78,57.53,56.78,57.16,100
2019-01-02 07:00:00,56.85,56.85,56.85,56.85,10
2019-01-07 07:00:00,57.53,57.53,56.78,56.78,10300
2019-01-08 07:00:00,56.78,57.16,56.78,57.16,30
2019-01-11 07:00:00,57.16,57.16,56.78,56.78,50
2019-01-14 07:00:00,56.78,57.16,56.78,56.78,100540
2019-01-15 07:00:00,56.02,56.02,52.99,56.02,690
2019-01-16 07:00:00,56.1,56.1,56.1,56.1,60
2019-01-18 07:00:00,56.1,56.1,56.02,56.02,210
2019-01-21 07:00:00,53.6,54.51,52.99,54.51,640
2019-01-22 07:00:00,53.75,58.29,53.75,58.29,100
2019-01-23 07:00:00,58.29,58.29,55.72,58.22,94740
2019-01-24 07:00:00,56.78,57.38,55.79,55.79,50
2019-01-28 07:00:00,55.72,55.72,55.72,55.72,350
2019-01-29 07:00:00,53.75,55.26,53.75,55.26,20
2019-01-30 07:00:00,53.75,56.7,53.75,56.7,750
2019-01-31 07:00:00,56.78,56.78,56.78,56.78,370
2019-02-11 07:00:00,54.28,54.28,54.28,54.28,90
2019-02-12 07:00:00,57.84,57.84,57.84,57.84,10
2019-02-13 07:00:00,55.64,55.64,55.64,55.64,1960
2019-02-14 07:00:00,55.26,55.26,54.51,54.51,900
2019-02-15 07:00:00,56.7,56.7,56.7,56.7,10
2019-02-18 07:00:00,56.32,56.4,56.32,56.4,1010
2019-02-19 07:00:00,54.58,55.94,54.13,55.94,670
2019-02-21 07:00:00,53.07,54.88,53.07,54.88,170
2019-02-22 07:00:00,55.72,55.79,55.26,55.79,1810
2019-02-25 07:00:00,56.02,56.78,56.02,56.78,2340
2019-02-26 07:00:00,56.55,56.7,56.55,56.7,100
2019-02-28 07:00:00,56.02,56.78,56.02,56.78,720
2019-03-01 07:00:00,56.78,56.78,56.02,56.02,2080
2019-03-04 07:00:00,59.05,59.05,59.05,59.05,120
2019-03-05 07:00:00,59.05,59.05,56.4,56.78,910
2019-03-06 07:00:00,60.56,60.56,56.78,56.78,670
2019-03-07 07:00:00,58.67,58.67,58.67,58.67,10
2019-03-11 07:00:00,56.78,56.78,56.78,56.78,200
2019-03-12 07:00:00,52.99,60.11,52.99,56.78,440
2019-03-13 07:00:00,56.02,56.78,55.26,56.78,1270
2019-03-15 07:00:00,56.02,56.78,56.02,56.78,310
2019-03-18 07:00:00,57.53,57.91,56.1,56.1,850
2019-03-19 07:00:00,57.91,57.91,57.84,57.91,180
2019-03-20 07:00:00,57.53,57.91,56.78,57.91,430
2019-03-21 07:00:00,57.91,57.91,56.78,56.78,840
2019-03-22 07:00:00,58.59,58.59,56.78,57.84,100
2019-03-25 07:00:00,56.78,57.0,56.63,57.0,1130
2019-03-26 07:00:00,57.16,57.16,56.1,57.0,3200
2019-03-27 07:00:00,54.88,55.26,54.88,55.26,5580
2019-03-28 07:00:00,55.26,57.46,55.26,57.46,160
2019-03-29 07:00:00,55.26,55.26,55.26,55.26,2800
2019-04-01 07:00:00,56.63,56.63,56.32,56.32,40
2019-04-02 07:00:00,56.25,56.25,55.26,56.1,30
2019-04-03 07:00:00,53.9,54.51,53.9,54.43,11890
2019-04-04 07:00:00,54.13,55.94,53.98,54.13,22010
2019-04-05 07:00:00,53.9,54.13,53.9,53.9,51640
2019-04-08 07:00:00,53.98,54.13,53.75,53.75,55100
2019-04-09 07:00:00,53.98,53.98,53.75,53.75,53440
2019-04-10 07:00:00,53.75,53.82,53.75,53.75,7060
