time,open,high,low,close,volume
2018-01-02 07:00:00,12.32,12.42,12.0,12.32,299260
2018-01-03 07:00:00,12.2,12.32,12.07,12.2,209230
2018-01-04 07:00:00,11.88,12.39,11.68,12.2,324290
2018-01-05 07:00:00,12.26,12.42,11.94,11.94,270640
2018-01-08 07:00:00,11.88,12.39,11.88,12.39,526680
2018-01-09 07:00:00,12.45,12.52,12.26,12.45,519130
2018-01-10 07:00:00,12.52,12.9,12.2,12.77,589120
2018-01-11 07:00:00,12.77,12.9,12.58,12.65,512590
2018-01-12 07:00:00,12.45,12.81,12.07,12.45,493600
2018-01-15 07:00:00,12.2,12.42,12.04,12.13,327930
2018-01-16 07:00:00,12.13,12.26,11.94,12.13,205740
2018-01-17 07:00:00,11.75,12.2,11.75,11.75,159230
2018-01-18 07:00:00,11.62,11.94,11.04,11.68,279550
2018-01-19 07:00:00,11.68,11.78,10.91,10.91,222990
2018-01-22 07:00:00,10.59,11.65,10.59,11.65,524120
2018-01-25 07:00:00,12.45,12.45,11.94,11.94,434850
2018-01-26 07:00:00,11.94,12.13,11.62,11.68,205350
2018-01-29 07:00:00,11.55,11.68,10.91,10.98,131010
2018-01-30 07:00:00,10.91,11.1,10.66,10.91,133950
2018-01-31 07:00:00,10.78,10.91,10.56,10.56,297430
2018-02-01 07:00:00,10.56,11.17,10.56,10.98,471430
2018-02-02 07:00:00,11.07,11.17,10.91,11.1,272830
2018-02-05 07:00:00,11.1,11.1,10.78,10.91,235400
2018-02-06 07:00:00,10.72,10.72,10.17,10.4,438570
2018-02-07 07:00:00,10.59,10.88,10.21,10.46,245320
2018-02-08 07:00:00,10.46,10.59,10.21,10.4,482820
2018-02-09 07:00:00,9.76,10.27,9.76,10.27,204730
2018-02-12 07:00:00,10.27,10.4,9.98,10.14,86940
2018-02-13 07:00:00,10.08,10.85,10.01,10.85,79470
2018-02-21 07:00:00,10.85,11.36,10.85,10.91,200990
2018-02-22 07:00:00,10.69,11.07,10.69,10.91,82430
2018-02-23 07:00:00,10.91,10.91,10.59,10.82,194280
2018-02-26 07:00:00,10.91,10.91,10.69,10.69,43550
2018-02-27 07:00:00,10.53,11.36,10.53,11.36,276610
2018-02-28 07:00:00,11.43,12.13,11.36,12.13,617440
2018-03-01 07:00:00,12.48,12.97,12.48,12.97,902140
2018-03-02 07:00:00,13.35,13.74,12.97,13.54,785990
2018-03-05 07:00:00,13.35,13.54,12.81,12.81,819620
2018-03-06 07:00:00,12.84,13.16,12.2,13.16,362680
2018-03-07 07:00:00,13.16,13.16,12.55,12.65,435310
2018-03-08 07:00:00,12.45,12.74,12.29,12.65,174810
2018-03-09 07:00:00,12.65,12.97,12.2,12.2,359860
2018-03-12 07:00:00,12.2,12.52,11.68,11.88,276260
2018-03-13 07:00:00,11.81,12.52,11.81,12.23,1032990
2018-03-14 07:00:00,12.23,12.42,11.91,11.91,577950
2018-03-15 07:00:00,11.88,12.1,11.81,12.0,438860
2018-03-16 07:00:00,12.0,12.07,11.81,11.81,411440
2018-03-19 07:00:00,11.75,11.94,11.36,11.88,722240
2018-03-20 07:00:00,11.88,12.1,11.81,11.81,490430
2018-03-21 07:00:00,11.84,12.61,11.84,12.61,1850610
2018-03-22 07:00:00,12.77,13.03,12.48,12.58,971210
2018-03-23 07:00:00,12.32,12.32,11.75,12.04,444030
2018-03-26 07:00:00,12.04,12.1,11.75,11.94,620820
2018-03-27 07:00:00,12.07,12.65,11.94,12.2,1365240
2018-03-28 07:00:00,12.2,12.48,11.78,11.78,1191310
