time,open,high,low,close,volume
2018-01-05 07:00:00,5.26,5.26,5.26,5.26,100
2018-01-08 07:00:00,6.01,6.01,6.01,6.01,100
2018-01-10 07:00:00,6.89,6.89,6.89,6.89,100
2018-01-11 07:00:00,7.91,7.91,7.91,7.91,100
2018-01-12 07:00:00,9.06,9.06,9.06,9.06,100
2018-01-16 07:00:00,10.38,10.38,10.38,10.38,100
2018-01-17 07:00:00,11.93,11.93,11.44,11.44,8200
2018-01-18 07:00:00,13.39,13.39,11.04,11.62,6700
2018-01-19 07:00:00,11.27,12.77,10.6,11.04,27650
2018-01-22 07:00:00,11.09,11.49,11.04,11.49,93750
2018-01-23 07:00:00,11.09,11.93,11.04,11.93,54100
2018-01-24 07:00:00,11.31,11.93,11.22,11.93,67200
2018-01-25 07:00:00,12.15,12.19,12.1,12.1,13900
2018-01-26 07:00:00,12.19,12.24,11.93,11.93,10200
2018-01-29 07:00:00,12.02,12.02,11.66,11.71,4000
2018-01-30 07:00:00,12.37,12.37,12.15,12.15,300
2018-01-31 07:00:00,12.37,12.37,11.84,12.15,1400
2018-02-01 07:00:00,11.93,12.15,11.88,11.88,4400
2018-02-02 07:00:00,12.02,12.02,11.93,11.93,550
2018-02-05 07:00:00,11.93,11.93,11.93,11.93,9300
2018-02-06 07:00:00,11.49,11.93,11.04,11.93,13100
2018-02-07 07:00:00,13.21,13.21,11.93,11.93,1100
2018-02-08 07:00:00,12.59,12.59,11.49,11.49,750
2018-02-09 07:00:00,12.1,12.1,11.4,11.71,2700
2018-02-12 07:00:00,12.15,12.15,11.93,11.97,6300
2018-02-13 07:00:00,11.97,12.1,11.97,11.97,3500
2018-02-21 07:00:00,12.37,12.59,12.37,12.37,2900
2018-02-22 07:00:00,14.14,14.14,12.02,12.02,1700
2018-02-26 07:00:00,12.46,12.81,12.33,12.33,6100
2018-02-27 07:00:00,11.97,12.02,11.93,11.93,7500
2018-02-28 07:00:00,12.02,12.15,11.93,11.93,12800
2018-03-01 07:00:00,10.29,13.83,10.29,13.83,33800
2018-03-02 07:00:00,15.02,15.06,13.78,14.14,85519
2018-03-05 07:00:00,14.45,14.45,14.0,14.4,22000
2018-03-06 07:00:00,14.23,15.02,14.18,14.53,43300
2018-03-07 07:00:00,15.2,16.7,14.8,16.7,21100
2018-03-08 07:00:00,15.46,16.35,15.46,16.35,4500
2018-03-09 07:00:00,15.9,17.58,15.9,16.35,11835
2018-03-12 07:00:00,17.67,19.22,17.67,19.22,32300
2018-03-13 07:00:00,21.65,21.96,21.21,21.96,19400
2018-03-14 07:00:00,24.3,24.3,20.45,21.21,22710
2018-03-15 07:00:00,20.76,22.0,20.76,21.87,12025
2018-03-16 07:00:00,22.93,23.41,21.65,22.31,26600
2018-03-19 07:00:00,24.25,25.76,24.25,24.52,13110
2018-03-20 07:00:00,24.52,26.06,24.52,26.06,28405
2018-03-21 07:00:00,25.84,26.73,25.18,26.73,7200
2018-03-22 07:00:00,26.51,30.04,26.2,30.0,16000
2018-03-23 07:00:00,28.72,28.72,27.83,28.05,8000
2018-03-26 07:00:00,28.54,30.92,28.54,30.92,4600
2018-03-27 07:00:00,32.65,35.12,29.6,35.12,5705
2018-03-28 07:00:00,33.88,35.34,32.25,32.25,2070
2018-03-29 07:00:00,33.57,36.0,33.57,36.0,3300
2018-03-30 07:00:00,36.23,37.55,36.14,36.67,8250
2018-04-02 07:00:00,40.42,40.42,36.23,36.23,2975
2018-04-03 07:00:00,37.33,37.33,34.46,35.74,3650
2018-04-04 07:00:00,34.94,36.45,34.94,36.23,45850
2018-04-05 07:00:00,36.27,36.58,36.18,36.58,34710
2018-04-06 07:00:00,36.49,36.67,35.78,35.78,31600
2018-04-09 07:00:00,35.34,35.34,34.46,34.46,15400
2018-04-10 07:00:00,35.56,35.74,34.5,34.5,2200
2018-04-11 07:00:00,34.02,34.02,32.25,33.13,8665
2018-04-12 07:00:00,31.85,32.21,30.48,31.19,7500
2018-04-13 07:00:00,28.49,33.13,28.49,31.14,5650
2018-04-16 07:00:00,31.37,32.47,31.37,32.03,9500
2018-04-17 07:00:00,32.69,34.1,32.69,34.1,66200
2018-04-18 07:00:00,34.02,34.19,34.02,34.19,20110
2018-04-19 07:00:00,33.13,33.13,32.29,33.09,1200
2018-04-20 07:00:00,32.25,33.35,32.25,33.35,10100
2018-04-23 07:00:00,33.22,33.44,32.25,32.51,30400
2018-04-24 07:00:00,33.09,33.18,32.25,33.18,34400
2018-04-26 07:00:00,33.13,33.62,33.13,33.57,108300
2018-04-27 07:00:00,34.02,38.43,34.02,38.43,58500
2018-05-02 07:00:00,36.45,37.33,36.45,37.33,2300
2018-05-03 07:00:00,37.33,37.33,36.67,36.67,2500
2018-05-04 07:00:00,42.19,42.19,37.77,37.77,200
2018-05-07 07:00:00,41.97,41.97,35.78,37.95,3300
2018-05-08 07:00:00,37.77,37.99,34.9,35.78,13700
2018-05-09 07:00:00,37.68,43.29,37.11,43.29,21700
2018-05-10 07:00:00,41.97,45.94,39.98,45.94,16910
2018-05-11 07:00:00,41.13,50.36,41.08,50.36,11165
2018-05-14 07:00:00,44.84,47.93,43.74,43.74,1250
2018-05-15 07:00:00,41.97,41.97,41.08,41.53,2800
2018-05-16 07:00:00,41.08,41.08,40.86,40.86,1700
2018-05-17 07:00:00,41.53,41.53,39.32,40.2,9815
2018-05-18 07:00:00,39.89,43.74,39.89,43.74,3300
2018-05-21 07:00:00,41.97,44.18,41.97,44.18,1060
2018-05-22 07:00:00,42.85,42.85,41.97,41.97,3700
2018-05-23 07:00:00,42.1,42.1,42.1,42.1,15
2018-05-24 07:00:00,41.97,42.41,41.97,41.97,700
2018-05-25 07:00:00,41.97,41.97,40.86,41.53,8250
2018-05-28 07:00:00,41.53,41.53,39.76,39.76,14900
2018-05-29 07:00:00,39.98,40.2,38.65,39.98,29621
2018-05-30 07:00:00,38.08,38.48,37.99,37.99,12110
2018-05-31 07:00:00,38.3,38.43,38.3,38.43,2530
2018-06-01 07:00:00,39.76,40.29,39.14,40.2,14000
2018-06-04 07:00:00,39.76,41.97,39.76,41.97,2880
2018-06-05 07:00:00,42.19,42.19,41.75,41.75,970
2018-06-06 07:00:00,41.97,42.19,41.97,41.97,2100
2018-06-07 07:00:00,41.53,41.97,41.53,41.97,6100
2018-06-08 07:00:00,41.88,42.85,41.88,42.85,1310
2018-06-11 07:00:00,40.2,40.2,40.2,40.2,1610
2018-06-15 07:00:00,40.2,40.2,40.2,40.2,100
2018-06-18 07:00:00,41.53,41.97,39.32,39.32,1900
2018-06-19 07:00:00,38.65,38.65,37.99,37.99,6000
2018-06-20 07:00:00,38.43,38.43,36.67,36.67,5200
2018-06-21 07:00:00,37.55,38.39,37.55,37.55,5900
2018-06-22 07:00:00,37.55,38.79,37.55,38.43,5500
2018-06-25 07:00:00,37.55,37.55,37.55,37.55,1000
2018-06-26 07:00:00,37.55,40.2,37.11,40.2,33500
2018-06-27 07:00:00,39.89,40.25,39.76,40.25,7900
2018-06-28 07:00:00,38.61,38.61,37.55,37.55,4700
2018-06-29 07:00:00,36.0,36.23,35.12,35.12,10300
2018-07-02 07:00:00,32.78,32.78,30.48,30.48,12800
2018-07-03 07:00:00,26.95,26.99,26.95,26.99,1500
2018-07-04 07:00:00,30.44,30.44,30.39,30.44,1039
2018-07-05 07:00:00,30.92,30.92,27.39,30.04,2100
2018-07-06 07:00:00,27.7,27.7,27.17,27.61,5200
2018-07-09 07:00:00,27.52,27.52,23.86,25.62,12250
2018-07-10 07:00:00,28.01,28.01,24.96,25.62,9100
2018-07-11 07:00:00,23.68,28.23,23.68,27.3,2500
2018-07-12 07:00:00,24.96,26.2,24.3,26.15,900
2018-07-13 07:00:00,26.51,26.51,24.74,24.74,720
