time,open,high,low,close,volume
2018-01-02 07:00:00,31.74,32.23,31.74,32.08,16670
2018-01-03 07:00:00,32.08,32.18,31.94,32.03,12600
2018-01-04 07:00:00,32.13,32.13,30.74,31.84,17860
2018-01-05 07:00:00,31.74,31.84,31.44,31.79,28540
2018-01-08 07:00:00,32.57,32.57,31.58,31.94,12430
2018-01-09 07:00:00,31.94,31.94,31.79,31.79,9320
2018-01-10 07:00:00,31.58,31.58,31.0,31.26,18260
2018-01-11 07:00:00,30.68,31.31,30.47,30.74,12970
2018-01-12 07:00:00,30.47,30.74,30.37,30.47,23070
2018-01-15 07:00:00,30.68,30.68,30.47,30.52,2010
2018-01-16 07:00:00,30.74,30.74,30.52,30.74,2130
2018-01-17 07:00:00,31.16,31.21,30.74,31.16,2340
2018-01-18 07:00:00,31.16,31.16,31.0,31.16,1680
2018-01-19 07:00:00,31.0,31.37,31.0,31.16,2950
2018-01-22 07:00:00,31.16,31.21,31.1,31.16,4620
2018-01-25 07:00:00,31.16,31.26,31.0,31.0,8930
2018-01-26 07:00:00,31.0,31.1,30.79,30.79,2940
2018-01-29 07:00:00,30.79,31.0,30.58,30.79,11140
2018-01-30 07:00:00,30.79,30.79,30.1,30.74,5300
2018-01-31 07:00:00,30.74,30.95,30.74,30.89,2780
2018-02-01 07:00:00,30.79,30.89,30.74,30.74,3600
2018-02-02 07:00:00,30.74,31.1,30.74,31.1,1520
2018-02-05 07:00:00,31.0,31.0,30.47,30.47,15230
2018-02-06 07:00:00,30.47,30.47,28.37,30.0,5490
2018-02-07 07:00:00,30.47,31.05,30.37,30.47,23230
2018-02-08 07:00:00,30.37,30.58,30.37,30.58,17080
2018-02-09 07:00:00,28.9,30.21,28.9,29.95,6260
2018-02-12 07:00:00,29.42,31.1,29.42,30.52,3390
2018-02-13 07:00:00,31.52,31.52,30.52,31.26,1080
2018-02-21 07:00:00,31.26,31.26,31.0,31.21,1800
2018-02-22 07:00:00,31.89,32.57,31.52,32.05,22320
2018-02-23 07:00:00,32.05,32.05,31.84,31.94,10620
2018-02-26 07:00:00,31.94,32.05,31.79,32.0,8980
2018-02-27 07:00:00,31.84,32.0,31.79,32.0,10870
2018-02-28 07:00:00,32.0,32.0,31.63,31.89,9980
2018-03-01 07:00:00,31.79,31.89,31.52,31.89,7840
2018-03-02 07:00:00,32.05,32.05,31.58,31.73,6430
2018-03-05 07:00:00,31.79,31.84,31.52,31.52,32810
2018-03-06 07:00:00,31.8,31.8,31.63,31.74,11990
2018-03-07 07:00:00,31.74,31.8,31.74,31.74,10700
2018-03-08 07:00:00,31.8,31.8,31.63,31.69,13350
2018-03-09 07:00:00,31.52,31.52,31.25,31.25,9530
2018-03-12 07:00:00,31.31,31.31,31.14,31.14,13400
2018-03-13 07:00:00,31.14,31.36,31.14,31.31,11400
2018-03-14 07:00:00,31.31,31.52,31.31,31.36,2790
2018-03-15 07:00:00,31.52,31.52,31.36,31.36,1960
2018-03-16 07:00:00,31.52,31.8,31.47,31.69,11580
2018-03-19 07:00:00,31.8,31.9,31.8,31.9,10180
2018-03-20 07:00:00,31.9,31.9,31.52,31.9,13250
2018-03-21 07:00:00,31.9,31.9,31.74,31.85,3320
2018-03-22 07:00:00,31.85,31.85,31.69,31.69,15290
2018-03-23 07:00:00,31.47,31.52,31.47,31.47,1430
2018-03-26 07:00:00,31.25,31.74,31.25,31.74,3840
2018-03-27 07:00:00,31.36,31.42,31.25,31.25,3550
2018-03-28 07:00:00,31.25,31.25,30.98,30.98,1880
2018-03-29 07:00:00,30.98,30.98,30.87,30.87,2100
2018-03-30 07:00:00,30.87,30.98,30.71,30.98,7600
2018-04-02 07:00:00,30.49,31.2,30.49,31.2,6530
2018-04-03 07:00:00,31.2,31.2,31.2,31.2,1990
2018-04-04 07:00:00,30.44,31.25,30.44,31.25,2440
2018-04-05 07:00:00,31.52,32.61,31.14,31.52,33830
2018-04-06 07:00:00,31.14,31.96,31.14,31.9,2640
2018-04-09 07:00:00,31.31,31.52,31.25,31.52,2600
2018-04-10 07:00:00,31.47,32.07,31.47,32.07,930
2018-04-11 07:00:00,32.07,32.07,30.49,30.49,790
2018-04-12 07:00:00,30.54,31.8,30.54,31.8,670
2018-04-13 07:00:00,31.8,31.8,31.52,31.8,1710
2018-04-16 07:00:00,31.8,31.96,31.09,31.96,1790
2018-04-17 07:00:00,31.52,31.96,31.52,31.52,250
2018-04-18 07:00:00,31.52,31.9,31.52,31.9,14970
2018-04-19 07:00:00,31.9,32.12,31.9,31.9,12580
2018-04-20 07:00:00,31.85,31.85,31.52,31.52,2490
2018-04-23 07:00:00,31.52,32.28,31.47,31.52,21520
2018-04-24 07:00:00,31.52,32.01,31.52,32.01,1760
2018-04-26 07:00:00,32.01,32.01,31.09,31.42,4620
2018-04-27 07:00:00,30.65,31.14,30.65,30.98,1180
2018-05-02 07:00:00,30.98,31.25,30.98,31.25,6570
2018-05-03 07:00:00,30.98,31.25,30.49,31.2,2030
2018-05-04 07:00:00,32.01,32.01,31.42,31.42,1040
2018-05-07 07:00:00,31.52,31.52,31.31,31.31,770
2018-05-08 07:00:00,30.54,31.42,30.44,31.42,5030
2018-05-09 07:00:00,31.42,31.42,30.93,30.93,740
2018-05-10 07:00:00,30.98,31.52,30.71,30.71,2360
2018-05-11 07:00:00,30.98,30.98,30.71,30.71,810
2018-05-14 07:00:00,30.71,31.25,30.71,31.25,2830
2018-05-15 07:00:00,31.25,31.25,30.71,31.03,1340
2018-05-16 07:00:00,31.03,31.03,30.71,30.98,270
2018-05-17 07:00:00,30.82,30.98,30.76,30.98,1180
2018-05-18 07:00:00,30.98,30.98,30.76,30.98,3520
2018-05-21 07:00:00,30.87,31.14,30.87,31.14,650
2018-05-22 07:00:00,30.87,31.2,30.87,30.87,1180
2018-05-23 07:00:00,30.93,30.98,30.87,30.93,910
2018-05-24 07:00:00,31.09,31.09,30.98,30.98,1400
2018-05-25 07:00:00,30.98,30.98,30.71,30.87,330
2018-05-28 07:00:00,30.87,30.87,29.89,29.89,9930
2018-05-29 07:00:00,29.89,30.44,29.35,30.44,7350
2018-05-30 07:00:00,30.44,30.71,30.44,30.71,2050
2018-05-31 07:00:00,30.44,30.44,30.22,30.22,330
2018-06-01 07:00:00,30.71,30.71,30.27,30.33,5650
2018-06-04 07:00:00,30.93,30.98,30.44,30.44,8850
2018-06-05 07:00:00,30.71,30.71,30.27,30.27,4020
2018-06-06 07:00:00,30.27,30.98,30.27,30.98,3230
2018-06-07 07:00:00,30.98,30.98,30.71,30.71,420
2018-06-08 07:00:00,30.71,30.98,30.71,30.71,3680
2018-06-11 07:00:00,30.71,30.87,30.44,30.82,3370
2018-06-12 07:00:00,30.82,30.82,30.44,30.71,6160
2018-06-13 07:00:00,30.27,30.71,30.27,30.49,670
2018-06-14 07:00:00,30.6,30.82,30.6,30.82,340
2018-06-15 07:00:00,30.87,30.87,30.65,30.71,1430
2018-06-18 07:00:00,30.87,30.98,30.6,30.6,5920
2018-06-19 07:00:00,30.6,30.82,30.44,30.65,5230
2018-06-20 07:00:00,30.44,30.6,30.44,30.44,14250
2018-06-21 07:00:00,30.65,30.71,30.44,30.71,4100
2018-06-22 07:00:00,30.71,30.71,30.49,30.71,750
2018-06-26 07:00:00,30.65,30.65,30.49,30.49,2010
2018-06-27 07:00:00,30.6,30.98,30.44,30.44,11830
2018-06-28 07:00:00,30.44,30.87,30.44,30.44,8320
2018-06-29 07:00:00,30.44,30.44,29.95,30.22,5110
2018-07-02 07:00:00,29.89,30.06,29.35,29.62,11240
2018-07-03 07:00:00,29.62,30.0,29.57,29.62,4120
2018-07-04 07:00:00,29.84,29.84,29.62,29.62,6440
2018-07-05 07:00:00,29.62,29.62,29.08,29.08,3380
2018-07-06 07:00:00,29.08,29.08,28.26,28.97,3840
2018-07-09 07:00:00,29.19,30.11,29.02,29.02,1530
2018-07-10 07:00:00,29.3,29.3,28.59,28.59,1730
2018-07-11 07:00:00,28.7,29.24,28.7,28.7,1550
2018-07-12 07:00:00,28.75,29.13,28.59,28.59,2480
2018-07-13 07:00:00,28.7,28.75,28.7,28.75,390
2018-07-16 07:00:00,28.81,29.13,28.75,29.08,3240
2018-07-17 07:00:00,29.08,29.08,28.26,29.02,3580
2018-07-18 07:00:00,29.13,29.13,28.81,29.13,1580
2018-07-19 07:00:00,28.81,29.24,28.81,29.24,2130
2018-07-20 07:00:00,29.89,29.89,29.24,29.35,10920
2018-07-23 07:00:00,29.35,29.62,28.81,29.62,15370
2018-07-24 07:00:00,29.62,29.62,28.86,29.35,700
2018-07-25 07:00:00,29.35,29.35,29.08,29.35,1070
2018-07-26 07:00:00,29.08,29.08,28.81,29.08,2770
2018-07-27 07:00:00,28.97,29.08,28.92,29.08,5330
2018-07-30 07:00:00,29.08,29.62,28.53,29.35,4080
2018-07-31 07:00:00,29.35,29.57,29.08,29.35,1980
2018-08-01 07:00:00,29.35,29.35,29.08,29.19,410
2018-08-02 07:00:00,29.08,29.35,29.08,29.35,1510
2018-08-03 07:00:00,29.3,29.78,29.08,29.78,3200
2018-08-06 07:00:00,29.68,29.68,29.35,29.35,1300
2018-08-07 07:00:00,29.89,29.89,29.35,29.35,4200
2018-08-08 07:00:00,29.35,29.62,29.35,29.35,4940
2018-08-09 07:00:00,29.35,29.35,29.19,29.19,6070
2018-08-10 07:00:00,29.19,29.19,28.97,28.97,7760
2018-08-13 07:00:00,29.13,29.13,29.02,29.02,2220
2018-08-14 07:00:00,29.62,29.62,29.08,29.57,3800
2018-08-15 07:00:00,29.51,29.51,29.08,29.08,12830
2018-08-16 07:00:00,28.97,29.35,28.81,29.35,7250
2018-08-17 07:00:00,29.35,29.35,28.81,28.92,8250
2018-08-20 07:00:00,28.97,28.97,28.86,28.86,8360
2018-08-21 07:00:00,29.35,29.35,29.35,29.35,760
2018-08-22 07:00:00,29.35,29.4,29.13,29.24,7550
2018-08-23 07:00:00,29.24,29.62,29.24,29.62,3050
2018-08-24 07:00:00,29.68,29.68,29.4,29.4,2370
2018-08-27 07:00:00,29.78,30.16,29.46,29.46,680
2018-08-28 07:00:00,30.0,30.0,29.95,29.95,30
2018-08-29 07:00:00,30.0,30.0,29.73,29.84,1120
2018-08-30 07:00:00,29.57,29.89,29.4,29.62,4230
2018-08-31 07:00:00,29.68,29.78,29.62,29.78,1980
2018-09-04 07:00:00,29.89,30.33,29.78,29.78,630
2018-09-05 07:00:00,29.89,30.44,29.78,29.78,2880
2018-09-06 07:00:00,29.89,29.89,29.78,29.78,1370
2018-09-07 07:00:00,29.89,30.0,29.89,29.89,1430
2018-09-10 07:00:00,29.89,30.16,29.89,30.06,1870
2018-09-11 07:00:00,30.38,30.44,30.16,30.44,2610
2018-09-12 07:00:00,30.44,30.93,30.44,30.44,450
2018-09-13 07:00:00,30.87,30.87,30.44,30.49,150
2018-09-14 07:00:00,30.71,30.71,30.44,30.71,580
2018-09-17 07:00:00,30.44,30.49,30.33,30.44,1230
2018-09-18 07:00:00,30.33,30.93,30.33,30.44,5140
2018-09-19 07:00:00,30.54,30.71,30.49,30.49,2650
2018-09-20 07:00:00,30.49,30.98,30.49,30.6,270
2018-09-21 07:00:00,30.6,30.6,30.38,30.38,6190
2018-09-24 07:00:00,30.71,30.98,30.49,30.49,2210
2018-09-25 07:00:00,30.44,30.98,30.44,30.6,6530
2018-09-26 07:00:00,30.93,32.61,30.93,31.96,10640
2018-09-27 07:00:00,32.01,32.61,32.01,32.61,8870
2018-09-28 07:00:00,32.28,32.5,32.28,32.39,960
2018-10-01 07:00:00,31.58,31.8,31.52,31.8,210
2018-10-02 07:00:00,31.52,32.18,31.52,32.18,10230
2018-10-03 07:00:00,32.07,32.34,32.07,32.23,4700
2018-10-04 07:00:00,32.23,32.34,32.23,32.34,3070
2018-10-05 07:00:00,32.34,32.61,32.34,32.61,9030
2018-10-08 07:00:00,32.34,32.61,32.34,32.61,240
2018-10-09 07:00:00,32.56,32.56,31.52,32.5,5730
2018-10-10 07:00:00,32.5,32.5,31.8,32.07,4820
2018-10-11 07:00:00,32.07,32.07,31.25,31.8,8270
2018-10-12 07:00:00,31.47,31.8,31.47,31.8,5760
2018-10-15 07:00:00,32.07,32.07,31.8,32.01,3760
2018-10-16 07:00:00,32.07,32.56,32.07,32.5,6140
2018-10-17 07:00:00,32.61,32.61,32.28,32.5,8860
2018-10-18 07:00:00,32.56,32.61,32.5,32.61,3740
2018-10-19 07:00:00,32.61,32.61,32.45,32.61,9990
2018-10-22 07:00:00,32.61,32.61,32.5,32.56,3980
