time,open,high,low,close,volume
2018-01-02 07:00:00,11.53,11.71,11.53,11.71,400
2018-01-03 07:00:00,11.95,12.18,11.95,12.18,700
2018-01-09 07:00:00,12.09,12.09,12.09,12.09,200
2018-01-15 07:00:00,11.24,11.24,11.24,11.24,100
2018-01-16 07:00:00,10.78,10.78,10.78,10.78,400
2018-01-17 07:00:00,10.31,10.31,10.31,10.31,100
2018-01-18 07:00:00,9.37,9.37,9.37,9.37,100
2018-01-25 07:00:00,8.9,9.37,8.9,9.37,200
2018-01-29 07:00:00,9.37,9.37,9.37,9.37,100
2018-01-30 07:00:00,9.6,9.6,9.6,9.6,100
2018-01-31 07:00:00,9.6,9.6,9.6,9.6,100
2018-02-02 07:00:00,9.7,9.7,9.7,9.7,3000
2018-02-21 07:00:00,9.37,9.37,9.37,9.37,200
2018-02-27 07:00:00,9.37,9.84,9.37,9.84,300
2018-02-28 07:00:00,8.25,9.37,8.25,9.37,200
2018-03-01 07:00:00,9.37,9.37,9.37,9.37,400
2018-03-02 07:00:00,7.96,9.37,7.96,8.67,300
2018-03-05 07:00:00,7.4,7.4,7.4,7.4,100
2018-03-06 07:00:00,6.32,6.32,6.32,6.32,100
2018-03-09 07:00:00,7.26,7.26,7.26,7.26,100
2018-03-12 07:00:00,8.34,8.34,8.34,8.34,100
2018-03-13 07:00:00,9.56,9.56,9.56,9.56,100
2018-03-14 07:00:00,9.56,10.78,9.56,10.31,1100
2018-03-15 07:00:00,10.73,10.73,10.73,10.73,100
2018-03-16 07:00:00,11.24,11.24,11.01,11.01,300
2018-03-22 07:00:00,10.31,10.31,9.93,9.93,400
2018-03-23 07:00:00,10.07,10.07,10.07,10.07,1000
2018-03-26 07:00:00,9.37,9.37,9.37,9.37,100
2018-03-27 07:00:00,9.84,9.84,9.18,9.84,300
2018-03-28 07:00:00,9.84,9.84,9.84,9.84,100
2018-03-29 07:00:00,8.39,10.07,8.39,10.07,200
2018-03-30 07:00:00,7.87,9.84,7.87,9.84,200
2018-04-02 07:00:00,10.07,10.17,10.07,10.17,200
2018-04-05 07:00:00,8.62,8.62,8.62,8.62,100
2018-04-06 07:00:00,9.37,9.37,9.37,9.37,100
2018-04-11 07:00:00,7.96,10.54,7.96,10.54,200
2018-04-12 07:00:00,8.01,8.01,8.01,8.01,100
2018-04-17 07:00:00,6.84,9.18,6.84,9.18,300
2018-04-18 07:00:00,9.6,9.6,9.6,9.6,200
2018-04-20 07:00:00,9.6,9.6,9.6,9.6,200
2018-04-23 07:00:00,8.9,10.78,8.9,10.78,700
2018-05-07 07:00:00,9.14,9.14,9.14,9.14,100
2018-05-09 07:00:00,7.96,7.96,7.78,7.78,200
2018-05-10 07:00:00,9.04,9.04,9.04,9.04,100
2018-05-11 07:00:00,7.92,8.95,7.92,8.95,200
