time,open,high,low,close,volume
2018-01-02 07:00:00,45.2,45.2,45.0,45.0,950
2018-01-03 07:00:00,45.2,45.2,45.2,45.2,600
2018-01-04 07:00:00,45.5,45.5,45.5,45.5,300
2018-01-05 07:00:00,45.7,46.0,45.7,46.0,800
2018-01-08 07:00:00,46.2,46.2,46.2,46.2,2500
2018-01-09 07:00:00,46.3,46.3,46.3,46.3,3000
2018-01-10 07:00:00,46.4,46.4,46.4,46.4,3000
2018-01-11 07:00:00,46.5,46.5,46.5,46.5,3000
2018-01-12 07:00:00,47.0,47.0,46.6,47.0,4020
2018-01-15 07:00:00,47.0,47.0,47.0,47.0,3000
2018-01-16 07:00:00,47.0,47.0,47.0,47.0,3330
2018-01-17 07:00:00,47.0,47.0,47.0,47.0,3000
2018-01-18 07:00:00,47.0,47.0,47.0,47.0,3000
2018-01-19 07:00:00,47.2,47.2,47.2,47.2,3000
2018-01-22 07:00:00,47.0,47.2,47.0,47.2,440
2018-01-25 07:00:00,47.5,47.5,47.5,47.5,600
2018-01-26 07:00:00,47.5,47.5,47.5,47.5,2500
2018-01-29 07:00:00,47.7,47.7,47.7,47.7,3000
2018-01-30 07:00:00,47.7,47.7,47.7,47.7,3000
2018-01-31 07:00:00,47.7,48.0,47.7,48.0,5600
2018-02-01 07:00:00,48.2,48.2,48.2,48.2,4000
2018-02-02 07:00:00,48.5,48.5,48.5,48.5,4500
2018-02-05 07:00:00,48.5,48.5,48.5,48.5,1500
2018-02-06 07:00:00,48.5,48.5,48.5,48.5,260
2018-02-07 07:00:00,48.7,48.7,48.7,48.7,2900
2018-02-08 07:00:00,48.7,48.7,48.7,48.7,300
2018-02-13 07:00:00,48.5,50.5,48.5,50.5,1600
2018-02-21 07:00:00,51.0,51.0,51.0,51.0,500
2018-02-22 07:00:00,51.0,51.0,51.0,51.0,2000
2018-02-23 07:00:00,51.2,51.2,51.2,51.2,350
2018-02-26 07:00:00,51.2,51.2,51.2,51.2,30
2018-02-27 07:00:00,51.5,51.5,51.5,51.5,500
2018-03-01 07:00:00,51.5,51.5,51.5,51.5,300
2018-03-05 07:00:00,52.0,52.0,52.0,52.0,1000
2018-03-06 07:00:00,52.0,52.0,52.0,52.0,720
2018-03-07 07:00:00,52.5,52.5,52.5,52.5,1000
2018-03-08 07:00:00,52.8,52.8,52.8,52.8,330
2018-03-09 07:00:00,53.0,53.0,53.0,53.0,300
2018-03-12 07:00:00,54.0,54.0,54.0,54.0,1000
2018-03-13 07:00:00,54.2,54.2,54.2,54.2,150
2018-03-14 07:00:00,54.0,54.0,54.0,54.0,4370
2018-03-15 07:00:00,54.0,54.0,54.0,54.0,100
2018-03-19 07:00:00,54.3,54.3,54.0,54.0,2070
2018-03-20 07:00:00,54.4,54.5,54.4,54.5,1680
2018-03-21 07:00:00,54.5,54.5,54.5,54.5,500
2018-03-22 07:00:00,54.5,54.5,54.5,54.5,1000
2018-03-23 07:00:00,54.5,54.5,54.5,54.5,1000
2018-03-27 07:00:00,54.5,54.5,54.5,54.5,200
2018-03-28 07:00:00,55.0,55.0,55.0,55.0,500
2018-03-29 07:00:00,55.2,55.2,55.1,55.1,400
2018-04-03 07:00:00,55.1,55.1,55.1,55.1,70
2018-04-04 07:00:00,55.4,55.4,55.4,55.4,1000
2018-04-05 07:00:00,55.4,55.4,55.4,55.4,1000
2018-04-10 07:00:00,55.0,55.0,55.0,55.0,3000
2018-04-11 07:00:00,54.5,54.5,54.0,54.0,20
2018-04-12 07:00:00,53.5,53.5,53.5,53.5,420
2018-04-13 07:00:00,53.0,53.0,53.0,53.0,500
2018-04-16 07:00:00,52.5,52.5,52.5,52.5,500
2018-04-17 07:00:00,52.2,52.2,52.0,52.0,1940
2018-04-18 07:00:00,51.5,51.5,51.3,51.3,5390
2018-04-19 07:00:00,50.9,50.9,50.9,50.9,2000
2018-04-20 07:00:00,50.0,50.2,50.0,50.2,3010
2018-04-23 07:00:00,50.0,50.0,50.0,50.0,1000
2018-04-24 07:00:00,49.6,49.6,49.5,49.5,3100
2018-04-26 07:00:00,49.0,49.0,49.0,49.0,800
2018-05-02 07:00:00,49.0,49.0,49.0,49.0,500
2018-05-04 07:00:00,49.2,49.2,49.2,49.2,500
2018-05-07 07:00:00,49.4,49.4,49.2,49.2,1100
2018-05-08 07:00:00,49.3,49.3,49.3,49.3,600
2018-05-09 07:00:00,49.5,49.5,49.5,49.5,600
2018-05-10 07:00:00,49.5,49.7,49.5,49.7,1000
2018-05-11 07:00:00,49.9,50.0,49.9,49.9,1200
2018-05-14 07:00:00,50.0,50.0,50.0,50.0,1420
2018-05-15 07:00:00,50.2,50.2,50.2,50.2,700
2018-05-16 07:00:00,50.2,50.2,50.2,50.2,500
2018-05-21 07:00:00,50.3,50.3,50.3,50.3,800
2018-05-22 07:00:00,50.0,50.0,50.0,50.0,600
2018-05-23 07:00:00,49.7,49.7,49.6,49.6,1900
2018-05-24 07:00:00,49.5,49.5,49.5,49.5,500
2018-05-25 07:00:00,49.4,49.4,49.4,49.4,800
2018-05-28 07:00:00,49.0,49.0,49.0,49.0,800
2018-05-29 07:00:00,49.0,49.0,49.0,49.0,800
2018-05-30 07:00:00,48.5,48.5,48.5,48.5,1000
2018-05-31 07:00:00,48.0,48.0,48.0,48.0,1000
2018-06-01 07:00:00,47.8,47.8,47.8,47.8,1200
2018-06-04 07:00:00,47.8,47.8,47.8,47.8,1180
2018-06-08 07:00:00,47.8,47.8,47.8,47.8,1000
2018-06-11 07:00:00,47.8,47.8,47.8,47.8,1000
2018-06-13 07:00:00,47.6,47.6,47.6,47.6,1300
2018-06-20 07:00:00,48.0,48.0,48.0,48.0,1000
2018-06-22 07:00:00,48.3,48.3,48.3,48.3,1200
2018-06-25 07:00:00,48.3,48.3,48.3,48.3,20
2018-07-09 07:00:00,45.3,45.3,45.3,45.3,1000
2018-07-12 07:00:00,43.0,43.0,42.9,42.9,1400
2018-07-13 07:00:00,42.0,42.5,42.0,42.5,1040
2018-07-16 07:00:00,42.5,42.5,42.5,42.5,1000
2018-07-17 07:00:00,42.0,42.0,42.0,42.0,1000
2018-07-18 07:00:00,42.0,42.0,42.0,42.0,1000
2018-07-25 07:00:00,42.0,42.0,42.0,42.0,850
2018-07-30 07:00:00,42.0,42.0,42.0,42.0,1000
2018-08-02 07:00:00,42.0,42.0,42.0,42.0,1000
2018-08-07 07:00:00,42.0,42.0,42.0,42.0,1000
2018-08-09 07:00:00,42.1,42.1,42.1,42.1,1000
2018-08-10 07:00:00,42.1,42.1,42.1,42.1,1000
2018-08-13 07:00:00,42.5,42.5,42.5,42.5,1000
2018-08-14 07:00:00,42.6,42.6,42.6,42.6,1000
2018-08-16 07:00:00,42.6,42.6,42.6,42.6,1000
2018-08-17 07:00:00,42.7,42.7,42.7,42.7,1000
2018-08-21 07:00:00,42.7,42.7,42.7,42.7,1000
2018-08-22 07:00:00,42.8,42.8,42.8,42.8,1000
2018-08-24 07:00:00,42.8,42.8,42.8,42.8,1000
2018-08-27 07:00:00,42.8,42.8,42.8,42.8,1000
2018-08-28 07:00:00,42.8,42.8,42.8,42.8,800
2018-08-29 07:00:00,42.8,42.8,42.8,42.8,1000
2018-08-30 07:00:00,42.9,42.9,42.9,42.9,800
2018-08-31 07:00:00,42.9,42.9,42.9,42.9,1000
2018-09-04 07:00:00,40.0,42.9,40.0,42.9,1020
2018-09-05 07:00:00,42.8,42.8,42.8,42.8,1100
2018-09-06 07:00:00,43.3,43.3,43.3,43.3,1000
2018-09-11 07:00:00,43.3,43.3,43.3,43.3,800
2018-09-12 07:00:00,43.3,43.3,43.3,43.3,1000
2018-09-14 07:00:00,43.5,43.5,43.5,43.5,1000
2018-09-18 07:00:00,43.5,43.5,43.5,43.5,1000
2018-09-19 07:00:00,43.6,43.6,43.6,43.6,1000
2018-09-20 07:00:00,43.6,43.6,43.6,43.6,1000
2018-09-21 07:00:00,44.0,44.0,43.6,43.6,1000
2018-09-24 07:00:00,43.65,43.65,43.65,43.65,1000
2018-09-25 07:00:00,43.9,44.8,43.8,44.8,3450
2018-09-26 07:00:00,46.6,46.6,46.6,46.6,1300
2018-09-27 07:00:00,46.6,46.6,46.5,46.5,2860
2018-09-28 07:00:00,46.5,47.0,46.45,47.0,1760
2018-10-02 07:00:00,47.0,47.0,46.85,46.85,2240
2018-10-03 07:00:00,46.9,46.9,46.7,46.7,530
2018-10-04 07:00:00,46.7,46.7,46.7,46.7,260
2018-10-05 07:00:00,46.7,46.7,46.7,46.7,1000
2018-10-10 07:00:00,46.7,46.7,46.7,46.7,1000
2018-10-12 07:00:00,46.75,46.75,46.75,46.75,1500
2018-10-15 07:00:00,46.75,46.75,46.75,46.75,1000
2018-10-17 07:00:00,46.75,46.75,46.75,46.75,1000
2018-10-18 07:00:00,46.8,46.8,46.8,46.8,950
2018-10-19 07:00:00,46.8,46.8,46.8,46.8,1000
2018-10-22 07:00:00,46.8,46.8,46.8,46.8,1020
2018-10-23 07:00:00,46.8,46.8,46.8,46.8,1000
2018-10-26 07:00:00,46.8,46.8,46.7,46.7,2930
2018-10-30 07:00:00,46.8,46.8,46.8,46.8,290
2018-11-02 07:00:00,43.55,43.55,43.55,43.55,300
2018-11-06 07:00:00,43.0,43.0,43.0,43.0,1000
2018-11-07 07:00:00,42.6,42.6,42.6,42.6,1060
2018-11-08 07:00:00,42.2,42.2,42.2,42.2,1000
2018-11-12 07:00:00,42.0,42.0,42.0,42.0,1010
2018-11-13 07:00:00,41.5,41.5,41.5,41.5,1060
2018-11-14 07:00:00,41.2,41.2,41.2,41.2,1010
2018-11-15 07:00:00,41.0,41.0,41.0,41.0,1000
2018-11-16 07:00:00,41.0,41.0,41.0,41.0,1100
2018-11-19 07:00:00,40.8,40.8,40.8,40.8,200
2018-11-21 07:00:00,40.5,40.5,40.5,40.5,1000
2018-11-22 07:00:00,40.3,40.3,40.3,40.3,950
2018-11-23 07:00:00,40.15,40.15,40.15,40.15,1000
2018-11-26 07:00:00,40.2,40.2,40.2,40.2,950
2018-11-27 07:00:00,40.3,40.3,40.3,40.3,600
2018-11-28 07:00:00,40.4,40.4,40.4,40.4,850
2018-11-29 07:00:00,40.3,40.3,40.3,40.3,860
2018-12-03 07:00:00,40.5,40.5,40.5,40.5,1000
2018-12-04 07:00:00,40.6,40.6,40.6,40.6,850
2018-12-05 07:00:00,40.8,40.8,40.8,40.8,950
2018-12-06 07:00:00,40.9,40.9,40.9,40.9,1300
2018-12-07 07:00:00,41.0,41.0,41.0,41.0,1090
2018-12-12 07:00:00,41.25,41.25,41.25,41.25,850
2018-12-14 07:00:00,41.3,41.3,41.3,41.3,950
2018-12-18 07:00:00,41.0,41.0,41.0,41.0,950
2018-12-19 07:00:00,40.8,40.8,40.8,40.8,800
2018-12-21 07:00:00,40.6,40.6,40.6,40.6,1000
2018-12-24 07:00:00,40.5,40.5,40.5,40.5,1000
2018-12-26 07:00:00,40.3,40.3,40.3,40.3,1000
2018-12-27 07:00:00,40.2,40.2,40.2,40.2,950
2019-01-02 07:00:00,40.5,40.5,40.5,40.5,1200
2019-01-04 07:00:00,38.5,38.5,38.5,38.5,450
2019-01-07 07:00:00,36.6,36.6,36.6,36.6,1000
2019-01-08 07:00:00,36.6,36.6,34.8,34.8,600
2019-01-09 07:00:00,35.0,35.0,35.0,35.0,400
2019-01-10 07:00:00,35.0,35.0,35.0,35.0,560
2019-01-14 07:00:00,35.4,35.4,35.4,35.4,450
2019-01-15 07:00:00,35.5,35.5,35.5,35.5,850
2019-01-16 07:00:00,35.55,35.55,35.55,35.55,950
2019-01-17 07:00:00,35.8,35.8,35.8,35.8,160
2019-01-18 07:00:00,36.0,36.0,35.8,35.8,1100
2019-01-21 07:00:00,36.0,36.0,36.0,36.0,20
2019-01-22 07:00:00,37.2,37.2,36.1,36.1,1010
2019-01-24 07:00:00,36.1,36.1,36.1,36.1,1000
2019-01-28 07:00:00,36.15,36.15,36.15,36.15,1000
2019-01-29 07:00:00,36.1,36.1,36.1,36.1,1000
2019-01-31 07:00:00,36.6,36.6,36.6,36.6,250
2019-02-01 07:00:00,36.0,36.7,36.0,36.7,1180
2019-02-11 07:00:00,36.9,36.9,36.9,36.9,1000
2019-02-13 07:00:00,37.0,37.0,37.0,37.0,850
2019-02-14 07:00:00,36.0,37.0,36.0,37.0,1100
2019-02-15 07:00:00,37.5,37.5,37.2,37.2,1100
2019-02-18 07:00:00,36.9,37.0,36.9,37.0,1000
