time,open,high,low,close,volume
2018-01-04 07:00:00,8.06,8.06,8.06,8.06,10
2018-01-08 07:00:00,8.6,8.6,8.6,8.6,10
2018-01-09 07:00:00,9.16,9.16,9.16,9.16,10
2018-01-11 07:00:00,8.52,8.52,8.52,8.52,10
2018-01-12 07:00:00,8.88,8.88,8.88,8.88,40
2018-01-15 07:00:00,8.88,8.88,8.28,8.28,240
2018-01-17 07:00:00,8.28,8.45,8.45,8.45,10
2018-01-18 07:00:00,7.88,7.88,7.88,7.88,10
2018-01-19 07:00:00,7.46,7.49,7.46,7.49,40
2018-01-25 07:00:00,6.98,6.98,6.98,6.98,10
2018-01-26 07:00:00,6.49,7.46,6.49,6.51,40
2018-01-29 07:00:00,6.97,6.97,6.97,6.97,820
2018-01-30 07:00:00,7.42,7.42,7.42,7.42,30
2018-01-31 07:00:00,7.42,7.46,6.92,7.46,30
2018-02-02 07:00:00,7.46,7.46,6.94,6.94,20
2018-02-05 07:00:00,7.42,7.42,6.46,7.42,150
2018-02-07 07:00:00,6.9,7.92,6.9,7.46,840
2018-02-08 07:00:00,7.46,7.46,7.46,7.46,840
2018-02-09 07:00:00,7.46,7.46,7.46,7.46,50
2018-02-12 07:00:00,6.94,6.94,6.94,6.94,10
2018-02-13 07:00:00,7.1,7.1,7.1,7.1,10
2018-02-21 07:00:00,7.6,7.6,7.6,7.6,100
2018-02-22 07:00:00,7.81,7.81,7.81,7.81,10
2018-02-26 07:00:00,7.81,7.81,7.81,7.81,120
2018-03-06 07:00:00,7.81,7.81,7.81,7.81,230
2018-03-07 07:00:00,7.28,7.81,7.28,7.81,120
2018-03-08 07:00:00,7.28,7.28,7.28,7.28,10
2018-03-09 07:00:00,7.78,7.78,7.78,7.78,10
2018-03-13 07:00:00,7.25,7.25,7.25,7.25,10
2018-03-16 07:00:00,6.74,6.74,6.74,6.74,10
2018-03-19 07:00:00,7.21,7.21,7.21,7.21,30
2018-03-21 07:00:00,6.71,7.71,6.71,7.71,20
2018-03-27 07:00:00,8.17,8.17,8.17,8.17,10
2018-04-05 07:00:00,8.17,8.17,8.17,8.17,30
2018-04-06 07:00:00,8.17,8.17,8.17,8.17,1500
2018-04-09 07:00:00,8.17,8.17,7.67,7.67,70
2018-04-10 07:00:00,7.81,7.81,7.81,7.81,17000
2018-04-11 07:00:00,7.88,7.88,7.46,7.88,8380
2018-04-12 07:00:00,7.39,7.39,7.39,7.39,2000
2018-04-13 07:00:00,7.81,7.81,7.81,7.81,2010
2018-04-16 07:00:00,7.46,7.81,7.46,7.81,5510
2018-04-17 07:00:00,7.64,7.81,7.49,7.81,12720
2018-04-23 07:00:00,7.78,7.78,7.78,7.78,10
2018-05-04 07:00:00,7.74,7.78,7.74,7.78,60
2018-05-07 07:00:00,7.46,7.46,7.46,7.46,10
2018-05-08 07:00:00,7.46,7.46,7.46,7.46,210
2018-05-09 07:00:00,7.96,7.96,7.96,7.96,100
2018-05-14 07:00:00,7.96,7.96,7.96,7.96,70
2018-05-16 07:00:00,7.96,7.96,7.96,7.96,10
2018-05-18 07:00:00,7.96,8.31,8.31,8.31,40
2018-06-11 07:00:00,7.79,8.87,7.75,8.87,320
2018-06-12 07:00:00,9.35,9.35,9.35,9.35,10
2018-06-13 07:00:00,9.35,9.8,9.35,9.8,30
2018-06-14 07:00:00,9.65,10.46,9.65,10.46,20
2018-06-15 07:00:00,10.39,11.17,9.76,9.76,30
2018-06-18 07:00:00,9.09,10.39,9.09,10.39,20
2018-06-19 07:00:00,9.68,10.72,9.68,10.72,20
2018-06-20 07:00:00,11.09,11.09,11.09,11.09,10
2018-06-22 07:00:00,10.35,11.65,10.35,11.65,20
2018-06-26 07:00:00,10.87,12.39,10.87,12.39,20
2018-06-27 07:00:00,11.54,12.95,11.54,11.54,40
2018-06-28 07:00:00,10.76,12.32,10.76,12.32,20
2018-06-29 07:00:00,11.46,13.13,11.46,13.13,40
2018-07-03 07:00:00,12.24,13.99,12.24,13.99,20
2018-07-04 07:00:00,13.02,14.43,13.02,13.02,290
2018-07-12 07:00:00,12.13,12.13,12.13,12.13,10
2018-07-19 07:00:00,11.32,11.32,11.32,11.32,10
2018-07-23 07:00:00,10.54,10.54,10.54,10.54,30
2018-07-24 07:00:00,9.83,9.83,9.83,9.83,10
2018-08-01 07:00:00,9.57,9.57,9.57,9.57,100
2018-08-02 07:00:00,9.57,8.9,8.9,8.9,20
2018-08-03 07:00:00,8.31,8.31,8.31,8.31,700
2018-08-06 07:00:00,7.75,8.31,7.75,7.75,60
2018-08-07 07:00:00,8.27,8.27,7.21,7.21,40
2018-08-08 07:00:00,7.72,7.72,7.42,7.42,1280
2018-08-09 07:00:00,7.06,7.9,7.06,7.9,220
2018-08-10 07:00:00,7.35,8.39,7.35,7.35,4810
2018-08-13 07:00:00,6.84,7.83,6.84,7.83,20
2018-08-14 07:00:00,7.29,8.35,7.29,8.35,140
2018-08-15 07:00:00,8.35,8.9,8.35,8.9,20
2018-08-16 07:00:00,8.31,9.5,8.31,8.31,15190
2018-08-17 07:00:00,7.75,8.31,7.75,8.31,1000
2018-08-21 07:00:00,8.31,8.31,8.31,8.31,2380
2018-08-23 07:00:00,8.31,8.31,8.31,8.31,2000
2018-08-24 07:00:00,8.31,8.31,8.01,8.31,7000
2018-08-27 07:00:00,8.16,8.16,7.75,7.75,8010
2018-08-28 07:00:00,7.21,8.16,7.21,8.16,3240
2018-08-29 07:00:00,8.16,8.16,8.16,8.16,2000
2018-08-31 07:00:00,7.61,7.61,7.61,7.61,5330
2018-09-07 07:00:00,8.13,8.13,8.13,8.13,430
2018-09-10 07:00:00,7.57,8.68,7.57,8.68,1010
2018-09-11 07:00:00,9.28,9.28,9.28,9.28,10
2018-09-12 07:00:00,9.28,9.91,9.28,9.87,100
2018-09-13 07:00:00,9.87,10.5,9.87,10.5,20
2018-09-14 07:00:00,9.8,10.72,9.8,10.72,150
2018-09-18 07:00:00,9.98,11.46,9.98,11.46,190
2018-09-20 07:00:00,10.69,10.69,10.69,10.69,150
2018-09-26 07:00:00,9.94,9.94,9.94,9.94,10
2018-09-27 07:00:00,9.28,9.28,9.28,9.28,210
2018-09-28 07:00:00,9.28,9.28,8.65,8.65,510
2018-10-01 07:00:00,8.05,8.05,8.05,8.05,190
2018-10-02 07:00:00,8.05,8.05,8.05,8.05,700
2018-10-03 07:00:00,7.87,7.87,7.87,7.87,2000
2018-10-05 07:00:00,7.87,7.87,7.87,7.87,700
2018-10-08 07:00:00,7.87,7.87,7.87,7.87,140
2018-10-11 07:00:00,7.42,7.42,7.32,7.32,1770
2018-10-12 07:00:00,7.42,7.42,7.42,7.42,70
2018-10-16 07:00:00,6.9,7.42,6.9,7.42,660
2018-10-17 07:00:00,6.9,7.42,6.9,7.42,20
2018-10-18 07:00:00,6.9,6.9,6.9,6.9,10
2018-10-19 07:00:00,6.42,7.38,6.42,6.43,1030
2018-10-22 07:00:00,6.02,6.87,6.02,6.87,190
2018-10-23 07:00:00,6.4,7.35,6.4,7.35,30
2018-10-24 07:00:00,7.35,7.83,7.35,7.79,170
2018-10-25 07:00:00,7.79,7.79,7.79,7.79,180
2018-10-29 07:00:00,7.25,7.79,7.25,7.79,50
2018-11-01 07:00:00,7.25,7.25,7.25,7.25,10
2018-11-02 07:00:00,7.25,7.25,7.25,7.25,10
2018-11-06 07:00:00,6.75,6.75,6.75,6.75,10
2018-11-07 07:00:00,7.21,7.21,7.21,7.21,10
2018-11-12 07:00:00,6.71,7.72,6.71,7.72,20
2018-11-15 07:00:00,7.21,7.21,7.21,7.21,10
2018-11-20 07:00:00,6.71,6.71,6.71,6.71,10
2018-11-21 07:00:00,7.18,7.18,7.18,7.18,10
2018-11-23 07:00:00,6.69,7.64,6.69,7.64,20
2018-11-28 07:00:00,7.11,7.11,7.11,7.11,10
2018-11-30 07:00:00,7.11,7.11,7.11,7.11,190
2018-12-03 07:00:00,6.61,7.61,6.61,7.61,20
2018-12-05 07:00:00,7.21,7.21,7.21,7.21,10
2018-12-06 07:00:00,6.72,6.72,6.72,6.72,10
2018-12-07 07:00:00,7.18,7.18,7.18,7.18,10
2018-12-10 07:00:00,6.69,6.69,6.69,6.69,10
2018-12-11 07:00:00,6.76,7.15,6.76,7.15,20
2018-12-12 07:00:00,6.66,6.66,6.66,6.66,10
2018-12-13 07:00:00,6.21,6.21,6.21,6.21,10
2018-12-14 07:00:00,5.78,6.64,5.78,6.64,220
2018-12-17 07:00:00,6.18,6.68,6.18,6.68,110
2018-12-18 07:00:00,6.68,6.68,6.21,6.21,20
2018-12-20 07:00:00,5.79,5.79,5.79,5.79,10
2018-12-21 07:00:00,5.39,6.19,5.39,5.39,70
2018-12-24 07:00:00,5.05,5.05,5.05,5.05,110
2018-12-25 07:00:00,4.7,5.39,4.7,5.39,3510
2018-12-26 07:00:00,5.39,5.77,5.39,5.77,20
2018-12-27 07:00:00,6.17,6.17,6.17,6.17,10
2018-12-28 07:00:00,6.17,6.6,6.17,6.6,190
2019-01-02 07:00:00,7.06,7.06,7.06,7.06,1010
2019-01-03 07:00:00,7.53,7.53,7.53,7.53,100
2019-01-04 07:00:00,8.05,8.05,7.01,7.94,210
