time,open,high,low,close,volume
2018-01-03 07:00:00,4.64,4.69,4.64,4.69,3044
2018-01-05 07:00:00,4.69,4.69,4.69,4.69,54
2018-01-08 07:00:00,4.74,4.74,4.69,4.69,5700
2018-01-09 07:00:00,4.64,4.69,4.64,4.69,5600
2018-01-10 07:00:00,4.69,4.69,4.69,4.69,6800
2018-01-11 07:00:00,4.69,4.69,4.69,4.69,1400
2018-01-12 07:00:00,4.69,4.69,4.69,4.69,10400
2018-01-15 07:00:00,4.74,4.74,4.69,4.69,2400
2018-01-16 07:00:00,4.69,4.74,4.69,4.74,2000
2018-01-18 07:00:00,4.69,4.74,4.69,4.69,3900
2018-01-19 07:00:00,4.69,4.69,4.69,4.69,400
2018-01-22 07:00:00,4.74,4.74,4.74,4.74,3000
2018-01-23 07:00:00,4.74,4.78,4.74,4.78,2800
2018-01-24 07:00:00,4.83,4.83,4.83,4.83,1000
2018-01-26 07:00:00,4.83,4.83,4.83,4.83,50
2018-01-31 07:00:00,4.88,4.88,4.88,4.88,100
2018-02-02 07:00:00,4.88,4.88,4.88,4.88,400
2018-02-05 07:00:00,4.88,4.92,4.88,4.92,2500
2018-02-07 07:00:00,4.88,4.92,4.88,4.92,2400
2018-02-08 07:00:00,4.88,4.88,4.88,4.88,4000
2018-02-09 07:00:00,4.92,4.92,4.92,4.92,100
2018-02-12 07:00:00,4.92,4.92,4.92,4.92,2330
2018-02-23 07:00:00,4.97,4.97,4.97,4.97,1700
2018-02-26 07:00:00,5.01,5.11,4.92,4.97,4700
2018-02-27 07:00:00,4.97,4.97,4.97,4.97,32
2018-03-06 07:00:00,4.92,4.92,4.92,4.92,100
2018-03-08 07:00:00,5.06,5.06,4.92,4.92,200
2018-03-09 07:00:00,4.92,4.92,4.92,4.92,200
2018-03-13 07:00:00,4.92,4.92,4.92,4.92,1000
2018-03-14 07:00:00,4.92,4.92,4.92,4.92,532
2018-03-15 07:00:00,4.92,4.92,4.5,4.92,4000
2018-03-16 07:00:00,4.97,4.97,4.97,4.97,3200
2018-03-19 07:00:00,5.01,5.01,5.01,5.01,1000
2018-03-20 07:00:00,5.06,5.06,5.06,5.06,400
2018-03-21 07:00:00,4.92,4.92,4.92,4.92,100
2018-03-22 07:00:00,4.92,4.97,4.92,4.97,2000
2018-03-23 07:00:00,4.97,4.97,4.97,4.97,2052
2018-03-26 07:00:00,4.97,4.97,4.92,4.92,1500
2018-03-27 07:00:00,4.92,4.92,4.64,4.64,600
2018-03-28 07:00:00,5.06,5.06,4.64,4.64,1500
2018-03-30 07:00:00,4.78,4.78,4.64,4.64,335100
2018-04-02 07:00:00,4.69,4.92,4.69,4.92,3800
2018-04-04 07:00:00,4.97,5.11,4.97,5.11,432
2018-04-05 07:00:00,5.11,5.43,5.11,5.43,2222
2018-04-06 07:00:00,5.48,5.57,5.48,5.57,7900
2018-04-09 07:00:00,5.94,6.13,5.62,5.62,1000
2018-04-10 07:00:00,5.66,5.66,5.34,5.34,700
2018-04-11 07:00:00,5.85,5.85,5.34,5.34,210
2018-04-12 07:00:00,5.85,5.85,5.34,5.34,220400
2018-04-13 07:00:00,5.34,5.34,5.34,5.34,100
2018-04-17 07:00:00,5.34,5.57,5.34,5.57,5780
2018-04-18 07:00:00,5.57,5.57,5.06,5.06,4100
2018-04-23 07:00:00,5.11,5.11,5.11,5.11,600
2018-04-24 07:00:00,5.11,5.11,5.11,5.11,1000
2018-04-26 07:00:00,5.11,5.11,5.11,5.11,1
2018-04-27 07:00:00,5.01,5.11,5.01,5.11,500
2018-05-03 07:00:00,5.11,5.11,5.11,5.11,730
2018-05-09 07:00:00,5.11,5.11,5.11,5.11,100
2018-05-10 07:00:00,5.11,5.11,5.11,5.11,100
2018-05-15 07:00:00,4.86,4.86,4.86,4.86,100
2018-05-16 07:00:00,4.86,4.86,4.86,4.86,10
2018-05-29 07:00:00,4.65,4.65,4.65,4.65,100
2018-06-05 07:00:00,4.86,4.86,4.8,4.8,500
2018-06-07 07:00:00,4.6,4.86,4.6,4.86,900
2018-06-28 07:00:00,4.55,5.01,4.55,4.86,700
2018-06-29 07:00:00,4.96,4.96,4.96,4.96,100
2018-07-04 07:00:00,5.01,5.01,5.01,5.01,100
2018-07-18 07:00:00,4.75,4.75,4.75,4.75,200
2018-07-20 07:00:00,4.7,4.7,4.65,4.65,300
2018-07-26 07:00:00,4.7,4.7,4.7,4.7,100
2018-08-02 07:00:00,4.86,4.86,4.8,4.8,300
2018-08-03 07:00:00,4.86,4.86,4.86,4.86,200
2018-08-06 07:00:00,4.91,4.91,4.91,4.91,200
2018-08-07 07:00:00,4.96,4.96,4.96,4.96,100
2018-08-10 07:00:00,4.65,4.86,4.6,4.86,1200
2018-08-16 07:00:00,4.86,4.86,4.86,4.86,1300
2018-08-17 07:00:00,4.86,4.86,4.86,4.86,300
2018-08-21 07:00:00,4.8,4.8,4.8,4.8,1000
2018-08-24 07:00:00,4.86,4.86,4.86,4.86,100
2018-08-27 07:00:00,4.7,4.7,4.65,4.65,1500
2018-08-28 07:00:00,4.7,4.75,4.65,4.65,4600
2018-08-29 07:00:00,4.7,4.7,4.7,4.7,700
2018-09-05 07:00:00,4.7,4.7,4.7,4.7,2110
2018-09-06 07:00:00,4.8,4.8,4.8,4.8,100
2018-09-11 07:00:00,4.8,4.8,4.8,4.8,300
2018-09-14 07:00:00,4.7,4.75,4.7,4.75,200
2018-09-17 07:00:00,4.75,4.75,4.75,4.75,1500
2018-09-18 07:00:00,4.86,4.86,4.75,4.75,1410
2018-09-19 07:00:00,4.96,4.96,4.75,4.96,5900
2018-09-24 07:00:00,4.75,4.75,4.75,4.75,11900
2018-09-25 07:00:00,4.75,4.75,4.75,4.75,54
2018-09-28 07:00:00,4.75,4.75,4.75,4.75,200
2018-10-02 07:00:00,4.91,4.91,4.91,4.91,100
