time,open,high,low,close,volume
2018-01-05 07:00:00,2.6,2.6,2.5,2.6,246200
2018-01-12 07:00:00,2.4,2.8,2.4,2.8,78300
2018-01-19 07:00:00,2.6,3.0,2.6,2.6,183032
2018-01-26 07:00:00,2.4,2.6,2.4,2.4,193804
2018-02-02 07:00:00,2.2,2.3,2.2,2.2,97080
2018-02-09 07:00:00,2.0,2.0,2.0,2.0,89200
2018-02-23 07:00:00,1.8,2.2,1.8,2.2,100800
2018-03-02 07:00:00,2.4,2.4,2.3,2.4,50150
2018-03-09 07:00:00,2.2,2.6,2.2,2.6,61520
2018-03-16 07:00:00,2.8,2.8,2.4,2.4,4325
2018-03-23 07:00:00,2.2,2.6,2.2,2.6,42000
2018-03-30 07:00:00,2.8,2.8,2.5,2.6,1500
2018-04-06 07:00:00,2.4,2.6,2.4,2.6,73220
2018-04-20 07:00:00,2.4,2.6,2.4,2.6,40100
2018-04-27 07:00:00,2.4,2.4,2.4,2.4,2000
2018-05-04 07:00:00,2.2,2.2,2.2,2.2,34400
2018-05-11 07:00:00,2.0,2.0,2.0,2.0,5000
2018-05-18 07:00:00,1.8,2.1,1.8,2.1,18100
2018-05-25 07:00:00,1.9,2.2,1.9,2.2,200
2018-06-01 07:00:00,2.0,2.0,2.0,2.0,29600
2018-06-08 07:00:00,1.8,1.9,1.8,1.9,120200
2018-06-15 07:00:00,1.8,1.9,1.8,1.9,25610
2018-06-22 07:00:00,1.8,1.8,1.8,1.8,2000
2018-06-29 07:00:00,1.7,1.9,1.7,1.9,6100
2018-07-06 07:00:00,1.8,2.0,1.8,2.0,17300
2018-07-20 07:00:00,2.0,2.0,1.9,2.0,11200
2018-07-27 07:00:00,1.8,1.8,1.8,1.8,10500
2018-08-03 07:00:00,1.7,1.7,1.7,1.7,100
2018-08-10 07:00:00,1.6,1.6,1.6,1.6,34900
2018-08-17 07:00:00,1.5,1.7,1.5,1.7,55500
2018-08-20 07:00:00,1.8,1.8,1.8,1.8,45100
2018-08-21 07:00:00,1.9,1.9,1.9,1.9,100
2018-08-22 07:00:00,2.0,2.0,2.0,2.0,9300
2018-08-23 07:00:00,2.2,2.2,2.2,2.2,159535
2018-08-24 07:00:00,2.3,2.4,2.2,2.4,181480
2018-08-27 07:00:00,2.6,2.6,2.2,2.4,55360
2018-08-28 07:00:00,2.2,2.3,2.2,2.2,25000
2018-08-29 07:00:00,2.0,2.1,2.0,2.0,45000
2018-08-30 07:00:00,1.8,2.2,1.8,1.8,121216
2018-08-31 07:00:00,1.8,1.9,1.7,1.9,128420
2018-09-04 07:00:00,1.9,2.0,1.8,2.0,11600
