time,open,high,low,close,volume
2018-10-18 07:00:00,3.01,3.01,3.01,3.01,1800
2018-10-19 07:00:00,3.21,3.21,3.21,3.21,2200
2018-10-22 07:00:00,3.43,3.43,3.43,3.43,2800
2018-10-23 07:00:00,3.67,3.67,3.67,3.67,3200
2018-10-24 07:00:00,3.92,3.92,3.92,3.92,3700
2018-10-25 07:00:00,4.2,4.2,4.2,4.2,800
2018-10-26 07:00:00,4.49,4.49,4.49,4.49,19500
2018-10-29 07:00:00,4.8,4.8,4.8,4.8,11200
2018-10-30 07:00:00,5.14,5.14,5.14,5.14,10200
2018-10-31 07:00:00,5.49,5.49,5.49,5.49,10500
2018-11-01 07:00:00,5.87,5.87,5.87,5.87,13610
2018-11-02 07:00:00,6.27,6.27,6.27,6.27,16600
2018-11-05 07:00:00,6.71,6.71,6.71,6.71,38600
2018-11-06 07:00:00,7.18,7.18,7.18,7.18,86870
2018-11-07 07:00:00,7.68,7.68,7.67,7.67,358700
2018-11-08 07:00:00,7.52,7.58,7.45,7.58,77250
2018-11-09 07:00:00,7.41,7.57,7.26,7.41,94040
2018-11-12 07:00:00,7.37,7.85,7.37,7.72,110590
2018-11-13 07:00:00,7.56,7.72,7.53,7.57,103310
2018-11-14 07:00:00,7.47,7.93,7.45,7.54,94280
2018-11-15 07:00:00,7.49,7.62,7.31,7.45,122210
2018-11-16 07:00:00,7.39,7.66,7.39,7.66,73460
2018-11-19 07:00:00,7.56,7.77,7.53,7.62,80460
2018-11-20 07:00:00,7.47,7.66,7.45,7.54,76790
2018-11-21 07:00:00,7.37,7.52,7.33,7.41,77530
2018-11-22 07:00:00,7.41,7.72,7.37,7.6,84560
2018-11-23 07:00:00,7.54,7.85,7.47,7.64,112660
2018-11-26 07:00:00,7.58,7.84,7.56,7.83,127760
2018-11-27 07:00:00,7.89,8.27,7.7,7.95,114620
2018-11-28 07:00:00,7.83,7.97,7.68,7.91,135880
2018-11-29 07:00:00,7.79,7.93,7.66,7.74,124920
2018-11-30 07:00:00,7.7,7.72,7.57,7.71,100060
2018-12-03 07:00:00,7.62,8.13,7.62,8.04,107730
2018-12-04 07:00:00,8.04,8.1,7.83,7.91,89790
2018-12-05 07:00:00,7.83,7.93,7.77,7.84,93080
2018-12-06 07:00:00,7.83,7.85,7.68,7.77,85200
2018-12-07 07:00:00,7.66,7.79,7.6,7.78,90240
2018-12-10 07:00:00,7.67,7.72,7.6,7.67,86510
2018-12-11 07:00:00,7.6,7.67,7.58,7.64,80490
2018-12-12 07:00:00,7.62,7.65,7.52,7.64,75340
2018-12-13 07:00:00,7.64,7.68,7.61,7.66,81630
2018-12-14 07:00:00,7.62,7.63,7.58,7.63,81190
2018-12-17 07:00:00,7.61,7.65,7.57,7.63,87800
2018-12-18 07:00:00,7.6,7.66,7.56,7.63,84140
2018-12-19 07:00:00,7.58,7.6,7.53,7.6,97400
2018-12-20 07:00:00,7.56,7.61,7.56,7.6,77710
