time,open,high,low,close,volume
2018-01-08 07:00:00,10.24,10.24,10.24,10.24,100
2018-01-09 07:00:00,8.73,11.75,8.73,11.75,19500
2018-01-10 07:00:00,11.49,13.13,11.49,11.68,1400
2018-01-11 07:00:00,10.44,13.13,10.44,13.13,200
2018-01-12 07:00:00,10.18,12.8,10.18,12.8,200
2018-01-15 07:00:00,10.18,10.18,10.18,10.18,100
2018-01-22 07:00:00,10.37,10.37,10.31,10.31,2000
2018-01-30 07:00:00,11.82,11.82,11.82,11.82,2300
2018-01-31 07:00:00,11.82,11.82,11.82,11.82,1500
2018-02-07 07:00:00,10.04,10.04,10.04,10.04,100
2018-02-27 07:00:00,11.49,11.49,11.49,11.49,5000
2018-02-28 07:00:00,9.85,9.85,9.85,9.85,100
2018-03-15 07:00:00,10.18,10.18,10.18,10.18,1000
2018-03-20 07:00:00,10.24,10.24,10.24,10.24,2000
2018-03-21 07:00:00,10.24,10.24,10.24,10.24,10
2018-03-26 07:00:00,11.75,11.75,11.75,11.75,203
2018-03-27 07:00:00,10.04,10.04,10.04,10.04,100
2018-03-30 07:00:00,11.49,11.49,11.16,11.49,2900
2018-04-02 07:00:00,9.91,11.49,9.91,11.49,230
2018-04-03 07:00:00,10.18,10.7,10.18,10.7,3800
2018-04-04 07:00:00,10.64,10.64,10.11,10.64,18000
2018-04-06 07:00:00,10.57,10.57,10.57,10.57,4
2018-04-10 07:00:00,9.32,9.32,9.32,9.32,100
2018-05-04 07:00:00,9.52,9.52,9.52,9.52,600
2018-05-08 07:00:00,10.9,10.9,10.9,10.9,200
2018-05-16 07:00:00,9.39,9.39,9.39,9.39,100
2018-05-23 07:00:00,10.77,10.77,10.77,10.77,4100
2018-06-05 07:00:00,9.17,9.17,9.17,9.17,100
2018-06-08 07:00:00,10.49,10.49,10.49,10.49,13300
2018-06-11 07:00:00,10.56,10.56,10.49,10.49,2400
2018-06-13 07:00:00,9.03,9.03,9.03,9.03,100
2018-06-18 07:00:00,10.35,10.35,10.35,10.35,100
2018-06-20 07:00:00,11.88,11.88,11.81,11.88,4600
2018-06-21 07:00:00,10.28,10.28,10.28,10.28,100
2018-07-20 07:00:00,10.35,10.35,10.35,10.35,11200
2018-08-01 07:00:00,11.11,11.11,11.11,11.11,100
2018-08-14 07:00:00,11.18,11.18,10.42,10.42,16100
2018-08-15 07:00:00,10.49,10.49,10.42,10.42,8300
2018-08-23 07:00:00,12.02,12.02,11.95,12.02,12100
2018-08-24 07:00:00,10.49,13.2,10.49,13.2,200
2018-08-27 07:00:00,10.49,10.49,10.49,10.49,100
2018-08-30 07:00:00,10.49,10.49,10.49,10.49,10
2018-08-31 07:00:00,11.81,11.81,11.81,11.81,100
2018-09-04 07:00:00,10.49,13.4,10.49,13.4,300
2018-09-05 07:00:00,10.77,10.77,10.77,10.77,110
2018-09-11 07:00:00,12.29,12.29,12.29,12.29,100
2018-09-12 07:00:00,10.77,10.77,10.77,10.77,1200
2018-09-13 07:00:00,10.84,10.84,10.84,10.84,2900
2018-09-18 07:00:00,12.36,12.36,12.36,12.36,100
2018-09-19 07:00:00,10.7,12.71,10.7,12.71,15200
2018-09-20 07:00:00,12.71,12.85,12.71,12.85,10700
2018-09-24 07:00:00,10.97,10.97,10.97,10.97,100
2018-09-26 07:00:00,11.25,11.25,11.18,11.18,4100
2018-09-28 07:00:00,12.78,12.85,12.78,12.85,1000
2018-10-01 07:00:00,11.18,13.13,11.18,13.13,4100
2018-10-02 07:00:00,11.25,11.25,11.25,11.25,100
2018-10-05 07:00:00,11.25,11.25,11.25,11.25,10
2018-10-08 07:00:00,12.85,12.85,12.85,12.85,100
2018-10-11 07:00:00,11.67,14.17,11.67,14.17,200
2018-10-18 07:00:00,11.25,11.25,11.25,11.25,100
