time,open,high,low,close,volume
2018-01-02 07:00:00,9.07,9.12,8.89,9.12,34350
2018-01-03 07:00:00,9.12,9.36,9.12,9.28,41750
2018-01-04 07:00:00,9.28,9.49,9.2,9.46,44950
2018-01-05 07:00:00,9.52,9.54,9.31,9.31,26090
2018-01-08 07:00:00,9.18,9.44,9.15,9.44,15230
2018-01-09 07:00:00,9.41,9.54,9.36,9.54,35050
2018-01-10 07:00:00,9.62,9.62,9.54,9.54,2820
2018-01-11 07:00:00,9.15,9.46,9.15,9.41,3050
2018-01-12 07:00:00,9.41,9.52,8.76,9.31,21260
2018-01-15 07:00:00,9.31,9.36,9.15,9.36,21810
2018-01-16 07:00:00,9.31,9.4,9.26,9.31,1050
2018-01-17 07:00:00,9.23,9.31,9.23,9.23,23440
2018-01-18 07:00:00,8.81,9.24,8.81,8.86,1420
2018-01-19 07:00:00,8.88,9.39,8.88,9.39,16850
2018-01-22 07:00:00,9.52,9.52,8.94,9.31,2220
2018-01-25 07:00:00,9.41,9.46,9.28,9.36,67120
2018-01-26 07:00:00,9.36,10.01,9.36,9.94,141970
2018-01-29 07:00:00,10.01,10.41,9.99,10.33,82540
2018-01-30 07:00:00,10.46,10.98,10.33,10.98,79060
2018-01-31 07:00:00,10.98,11.03,10.51,10.72,84820
2018-02-01 07:00:00,10.25,10.8,9.99,10.28,48020
2018-02-02 07:00:00,10.28,10.99,10.28,10.99,122650
2018-02-05 07:00:00,11.75,11.75,10.98,11.24,354600
2018-02-06 07:00:00,10.72,10.72,10.46,10.46,199150
2018-02-07 07:00:00,11.09,11.09,10.72,10.98,164150
2018-02-08 07:00:00,10.98,11.09,10.22,10.46,201430
2018-02-09 07:00:00,9.83,10.3,9.83,10.17,51370
2018-02-12 07:00:00,10.17,10.35,9.94,9.96,124970
2018-02-13 07:00:00,9.96,10.09,9.9,10.09,115550
2018-02-21 07:00:00,10.09,10.8,10.09,10.8,122180
2018-02-22 07:00:00,11.01,11.45,10.98,10.98,97880
2018-02-23 07:00:00,10.98,11.24,10.98,11.11,70940
2018-02-26 07:00:00,11.05,11.09,10.85,10.93,189880
2018-02-27 07:00:00,10.93,10.98,10.8,10.88,79760
2018-02-28 07:00:00,10.98,11.16,10.8,10.82,153730
2018-03-01 07:00:00,10.82,10.88,10.73,10.73,83330
2018-03-02 07:00:00,10.72,10.77,10.46,10.54,129750
2018-03-05 07:00:00,10.68,10.68,10.2,10.2,249380
2018-03-06 07:00:00,10.22,10.69,10.22,10.51,167730
2018-03-07 07:00:00,10.62,10.8,10.43,10.51,37720
2018-03-08 07:00:00,10.59,11.19,10.54,11.15,295590
2018-03-09 07:00:00,11.63,11.63,11.35,11.37,245550
2018-03-12 07:00:00,11.45,11.6,11.37,11.37,107930
2018-03-13 07:00:00,11.37,11.48,11.11,11.24,75520
2018-03-14 07:00:00,11.24,11.66,11.22,11.43,423590
2018-03-15 07:00:00,11.66,11.66,11.48,11.5,87840
2018-03-16 07:00:00,11.63,11.69,11.5,11.5,509470
2018-03-19 07:00:00,11.61,11.63,11.24,11.56,190620
2018-03-20 07:00:00,11.56,11.63,11.53,11.56,115710
