time,open,high,low,close,volume
2018-01-02 07:00:00,6.5,7.04,6.46,6.67,106200
2018-01-03 07:00:00,6.58,6.67,6.41,6.54,83800
2018-01-04 07:00:00,6.5,6.79,6.46,6.62,106300
2018-01-05 07:00:00,6.58,6.79,6.54,6.71,105700
2018-01-08 07:00:00,6.71,6.79,6.62,6.71,94300
2018-01-09 07:00:00,6.67,6.67,6.46,6.58,70100
2018-01-10 07:00:00,6.58,6.67,6.04,6.58,105700
2018-01-11 07:00:00,6.58,6.58,6.29,6.29,36900
2018-01-12 07:00:00,6.34,6.9,6.34,6.75,66800
2018-01-15 07:00:00,6.8,7.16,6.75,7.06,73800
2018-01-16 07:00:00,7.11,7.16,7.0,7.06,53800
2018-01-17 07:00:00,7.11,7.11,6.9,6.9,54300
2018-01-18 07:00:00,6.9,6.95,6.8,6.85,57300
2018-01-19 07:00:00,6.85,7.16,6.85,7.0,72000
2018-01-22 07:00:00,7.11,7.16,6.9,7.0,72800
2018-01-23 07:00:00,7.0,7.0,6.95,7.0,48200
2018-01-24 07:00:00,7.0,7.11,7.0,7.06,78400
2018-01-25 07:00:00,7.06,7.06,6.9,7.0,51000
2018-01-26 07:00:00,7.0,7.16,6.9,7.11,40000
2018-01-29 07:00:00,7.16,7.36,7.11,7.11,40300
2018-01-30 07:00:00,7.06,7.06,6.85,7.0,51200
2018-01-31 07:00:00,7.0,7.16,7.0,7.0,25900
2018-02-01 07:00:00,7.0,7.0,6.85,6.95,36600
2018-02-02 07:00:00,6.95,7.06,6.85,7.0,27600
2018-02-05 07:00:00,7.0,7.0,6.75,6.85,35000
2018-02-06 07:00:00,6.75,6.75,6.39,6.7,11100
2018-02-07 07:00:00,6.75,6.9,6.75,6.9,30800
2018-02-08 07:00:00,6.9,6.95,6.8,6.8,22500
2018-02-09 07:00:00,6.54,6.7,6.54,6.7,32300
2018-02-12 07:00:00,6.7,6.9,6.7,6.85,35000
2018-02-13 07:00:00,6.85,7.06,6.85,7.06,35100
2018-02-21 07:00:00,7.06,7.11,6.95,7.11,35600
2018-02-22 07:00:00,7.06,7.06,6.9,6.95,31300
2018-02-23 07:00:00,6.95,7.0,6.9,6.95,20800
2018-02-26 07:00:00,6.95,6.95,6.8,6.85,31400
2018-02-27 07:00:00,6.85,6.9,6.85,6.85,10200
2018-02-28 07:00:00,6.85,6.9,6.85,6.9,10800
2018-03-01 07:00:00,6.9,6.9,6.8,6.8,5900
2018-03-02 07:00:00,6.8,6.8,6.75,6.8,4800
2018-03-05 07:00:00,6.8,6.8,6.75,6.75,7200
2018-03-06 07:00:00,6.75,6.9,6.75,6.9,43200
2018-03-07 07:00:00,6.85,6.9,6.7,6.75,46600
2018-03-08 07:00:00,6.8,6.85,6.7,6.85,50800
2018-03-09 07:00:00,6.8,6.95,6.8,6.9,49800
2018-03-12 07:00:00,6.85,6.9,6.8,6.85,42900
2018-03-13 07:00:00,6.85,6.9,6.7,6.9,46300
2018-03-14 07:00:00,6.9,6.95,6.8,6.85,38100
2018-03-15 07:00:00,6.85,6.85,6.75,6.85,32500
2018-03-16 07:00:00,6.85,6.85,6.54,6.59,51000
2018-03-19 07:00:00,6.59,6.9,6.39,6.9,81000
2018-03-20 07:00:00,6.85,6.9,6.8,6.85,46600
2018-03-21 07:00:00,6.85,6.85,6.75,6.75,24500
2018-03-22 07:00:00,6.75,6.8,6.7,6.75,22400
2018-03-23 07:00:00,6.75,6.75,6.65,6.7,20300
2018-03-26 07:00:00,6.7,6.75,6.65,6.75,31300
2018-03-27 07:00:00,6.75,6.8,6.65,6.75,27000
2018-03-28 07:00:00,6.7,6.75,6.65,6.7,17000
