time,open,high,low,close,volume
2018-01-02 07:00:00,5.41,5.61,5.41,5.61,2890
2018-01-03 07:00:00,5.77,5.77,5.43,5.43,2870
2018-01-04 07:00:00,5.57,5.57,5.41,5.45,3440
2018-01-05 07:00:00,5.59,5.59,5.35,5.53,1020
2018-01-08 07:00:00,5.61,5.61,5.61,5.61,20
2018-01-09 07:00:00,5.61,5.81,5.41,5.69,13600
2018-01-10 07:00:00,5.45,5.77,5.45,5.77,18090
2018-01-11 07:00:00,5.61,5.61,5.53,5.61,2880
2018-01-12 07:00:00,5.51,5.61,5.49,5.51,4810
2018-01-15 07:00:00,5.45,5.51,5.43,5.47,11410
2018-01-16 07:00:00,5.41,5.41,5.41,5.41,780
2018-01-17 07:00:00,5.27,5.41,5.27,5.27,25340
2018-01-18 07:00:00,5.31,5.31,5.15,5.25,26190
2018-01-19 07:00:00,5.27,5.27,5.17,5.21,22590
2018-01-22 07:00:00,5.13,5.57,5.13,5.35,7030
2018-01-25 07:00:00,5.53,5.55,5.29,5.35,14150
2018-01-26 07:00:00,5.53,5.55,5.23,5.41,22610
2018-01-29 07:00:00,5.55,5.55,5.23,5.41,3650
2018-01-30 07:00:00,5.41,5.41,5.39,5.39,3000
2018-01-31 07:00:00,5.41,5.71,5.39,5.41,17360
2018-02-01 07:00:00,5.35,5.41,5.25,5.37,3350
2018-02-02 07:00:00,5.37,5.67,5.37,5.41,54780
2018-02-05 07:00:00,5.29,5.61,5.29,5.59,50420
2018-02-06 07:00:00,5.59,5.59,5.21,5.49,1310
2018-02-07 07:00:00,5.35,5.49,5.35,5.49,7020
2018-02-08 07:00:00,5.37,5.47,5.21,5.35,13240
2018-02-09 07:00:00,5.35,5.63,4.99,5.53,22210
2018-02-12 07:00:00,5.59,5.59,5.41,5.51,8650
2018-02-13 07:00:00,5.57,5.59,5.33,5.53,7550
2018-02-21 07:00:00,5.59,5.61,5.33,5.51,3850
2018-02-22 07:00:00,5.53,5.53,5.37,5.37,840
2018-02-23 07:00:00,5.53,5.53,5.33,5.39,13610
2018-02-26 07:00:00,5.41,5.41,5.35,5.41,23070
2018-02-27 07:00:00,5.47,5.47,5.37,5.41,2360
2018-02-28 07:00:00,5.47,5.49,5.35,5.43,19150
2018-03-01 07:00:00,5.43,5.49,5.37,5.49,12190
2018-03-02 07:00:00,5.35,5.57,5.33,5.45,1550
2018-03-05 07:00:00,5.51,5.51,5.43,5.43,3950
2018-03-06 07:00:00,5.33,5.49,5.31,5.33,9980
2018-03-07 07:00:00,5.33,5.47,5.33,5.35,11130
2018-03-08 07:00:00,5.47,5.47,5.41,5.41,1010
2018-03-09 07:00:00,5.45,5.49,5.29,5.45,6690
2018-03-12 07:00:00,5.45,5.53,5.37,5.53,2080
2018-03-13 07:00:00,5.33,5.51,5.33,5.45,4120
2018-03-14 07:00:00,5.37,5.45,5.33,5.41,6860
2018-03-15 07:00:00,5.41,5.41,5.35,5.41,2330
2018-03-16 07:00:00,5.55,5.55,5.31,5.37,27690
2018-03-19 07:00:00,5.49,5.49,5.31,5.43,26210
2018-03-20 07:00:00,5.35,5.43,5.35,5.43,7120
2018-03-21 07:00:00,5.61,5.61,5.45,5.55,1470
2018-03-22 07:00:00,5.41,5.51,5.41,5.51,5010
2018-03-23 07:00:00,5.51,5.53,5.33,5.53,4370
2018-03-26 07:00:00,5.33,5.57,5.33,5.49,22780
2018-03-27 07:00:00,5.51,5.57,5.41,5.57,28050
2018-03-28 07:00:00,5.39,5.61,5.39,5.61,1940
2018-03-29 07:00:00,5.39,5.59,5.39,5.41,5810
2018-03-30 07:00:00,5.51,5.53,5.37,5.51,11560
2018-04-02 07:00:00,5.57,5.57,5.49,5.55,5230
2018-04-03 07:00:00,5.41,5.41,5.41,5.41,5100
2018-04-04 07:00:00,5.53,5.53,5.47,5.47,11770
2018-04-05 07:00:00,5.45,5.61,5.45,5.61,32130
2018-04-06 07:00:00,5.53,5.57,5.49,5.57,12530
2018-04-09 07:00:00,5.61,5.61,5.61,5.61,10
2018-04-10 07:00:00,5.61,5.63,5.57,5.61,56320
2018-04-11 07:00:00,5.65,5.99,5.65,5.99,169540
2018-04-12 07:00:00,6.37,6.37,6.01,6.17,13930
2018-04-13 07:00:00,6.21,6.21,5.79,6.01,27460
2018-04-16 07:00:00,5.99,6.15,5.85,6.01,20580
2018-04-17 07:00:00,5.87,6.05,5.87,6.01,27260
2018-04-18 07:00:00,5.97,6.01,5.85,6.01,53590
2018-04-19 07:00:00,6.01,6.01,5.91,6.01,21980
2018-04-20 07:00:00,5.89,5.97,5.89,5.93,220
2018-04-23 07:00:00,5.97,5.97,5.89,5.89,1640
2018-04-24 07:00:00,5.89,5.93,5.89,5.93,270
2018-04-26 07:00:00,5.93,5.99,5.93,5.95,10390
2018-04-27 07:00:00,6.18,6.18,5.64,6.0,7530
2018-05-02 07:00:00,6.2,6.2,5.66,6.02,5410
2018-05-03 07:00:00,6.09,6.11,5.91,6.04,3460
2018-05-04 07:00:00,5.98,6.0,5.82,6.0,14160
2018-05-07 07:00:00,5.98,5.98,5.84,5.98,1030
2018-05-08 07:00:00,5.93,5.95,5.73,5.73,7710
2018-05-09 07:00:00,5.64,5.75,5.62,5.69,26360
2018-05-10 07:00:00,5.71,5.93,5.71,5.75,1890
2018-05-11 07:00:00,5.84,5.89,5.71,5.89,4700
2018-05-14 07:00:00,6.0,6.0,5.62,5.8,3040
2018-05-15 07:00:00,5.78,5.98,5.71,5.86,3990
2018-05-16 07:00:00,5.86,5.86,5.51,5.66,26680
2018-05-17 07:00:00,5.73,5.75,5.6,5.75,290
2018-05-18 07:00:00,5.71,5.93,5.71,5.93,3530
2018-05-21 07:00:00,5.78,5.82,5.53,5.78,7660
2018-05-22 07:00:00,5.73,5.78,5.73,5.78,1210
2018-05-23 07:00:00,5.75,5.75,5.75,5.75,1060
2018-05-24 07:00:00,5.75,5.78,5.6,5.75,1450
2018-05-25 07:00:00,5.75,5.75,5.73,5.75,2950
2018-05-28 07:00:00,5.6,5.6,5.55,5.55,1880
2018-05-29 07:00:00,5.22,5.58,5.22,5.51,13720
2018-05-30 07:00:00,5.51,5.64,5.51,5.6,4910
2018-05-31 07:00:00,5.49,5.62,5.38,5.62,1640
2018-06-01 07:00:00,5.62,5.62,5.62,5.62,200
2018-06-04 07:00:00,5.53,5.75,5.51,5.75,110
2018-06-05 07:00:00,5.71,5.73,5.71,5.73,20
2018-06-06 07:00:00,5.46,5.75,5.46,5.75,600
2018-06-07 07:00:00,5.73,5.73,5.71,5.73,1570
2018-06-08 07:00:00,5.78,5.82,5.75,5.82,1540
2018-06-11 07:00:00,5.62,5.62,5.62,5.62,1110
2018-06-12 07:00:00,5.82,5.82,5.58,5.58,5630
2018-06-13 07:00:00,5.73,5.73,5.58,5.58,2200
2018-06-14 07:00:00,5.66,5.66,5.55,5.55,2270
2018-06-15 07:00:00,5.71,5.71,5.44,5.71,5930
2018-06-18 07:00:00,5.71,5.71,5.53,5.53,6140
2018-06-19 07:00:00,5.69,5.78,5.51,5.64,3000
2018-06-20 07:00:00,5.64,5.66,5.64,5.66,650
2018-06-21 07:00:00,5.64,5.75,5.6,5.64,3020
2018-06-22 07:00:00,5.6,5.66,5.58,5.64,2620
2018-06-25 07:00:00,5.69,5.75,5.35,5.64,3950
2018-06-26 07:00:00,5.66,5.66,5.51,5.64,50
2018-06-27 07:00:00,5.6,5.66,5.6,5.64,1470
2018-06-28 07:00:00,5.55,5.55,5.49,5.55,5230
2018-06-29 07:00:00,5.64,5.64,5.58,5.6,4000
2018-07-02 07:00:00,5.51,5.62,5.46,5.46,2120
2018-07-03 07:00:00,5.6,5.6,5.38,5.51,6420
2018-07-04 07:00:00,5.51,5.55,5.44,5.51,8830
2018-07-05 07:00:00,5.55,5.64,5.51,5.51,4620
2018-07-06 07:00:00,5.4,5.55,5.4,5.55,230
2018-07-09 07:00:00,5.58,5.58,5.38,5.58,5970
2018-07-10 07:00:00,5.38,5.58,5.38,5.58,3140
2018-07-11 07:00:00,5.4,5.58,5.35,5.53,8730
2018-07-12 07:00:00,5.53,5.53,5.53,5.53,150
2018-07-13 07:00:00,5.51,5.53,5.51,5.53,740
2018-07-16 07:00:00,5.53,5.53,5.42,5.49,1010
2018-07-17 07:00:00,5.49,5.49,5.35,5.38,1920
2018-07-18 07:00:00,5.33,5.49,5.29,5.49,7140
2018-07-19 07:00:00,5.38,5.42,5.31,5.35,7090
2018-07-20 07:00:00,5.4,5.46,5.31,5.38,8470
2018-07-23 07:00:00,5.4,5.55,5.35,5.55,19190
2018-07-24 07:00:00,5.53,5.6,5.53,5.6,33690
2018-07-25 07:00:00,5.55,5.98,5.55,5.82,23360
2018-07-26 07:00:00,5.82,6.22,5.82,5.86,13510
2018-07-27 07:00:00,5.82,6.04,5.49,6.04,5290
2018-07-30 07:00:00,6.11,6.13,5.82,6.04,620
2018-07-31 07:00:00,6.06,6.11,5.78,6.11,10060
2018-08-01 07:00:00,6.04,6.04,5.86,6.0,10290
2018-08-02 07:00:00,6.09,6.11,5.89,6.04,1140
2018-08-03 07:00:00,5.91,6.04,5.91,6.04,410
2018-08-06 07:00:00,6.04,6.22,6.02,6.02,2030
2018-08-07 07:00:00,6.02,6.04,5.82,6.04,1190
2018-08-08 07:00:00,5.84,6.13,5.84,5.91,1830
2018-08-09 07:00:00,6.04,6.04,5.75,5.95,1370
2018-08-10 07:00:00,5.95,6.11,5.78,5.95,9330
2018-08-13 07:00:00,6.13,6.13,5.86,5.86,850
2018-08-14 07:00:00,6.13,6.13,5.84,6.0,1510
2018-08-15 07:00:00,6.09,6.09,6.0,6.0,220
2018-08-16 07:00:00,6.09,6.09,6.09,6.09,10
2018-08-17 07:00:00,6.11,6.11,5.91,6.0,380
2018-08-20 07:00:00,5.71,6.0,5.69,5.73,11920
2018-08-21 07:00:00,6.0,6.0,5.73,5.78,2350
2018-08-22 07:00:00,5.55,5.98,5.55,5.69,3530
2018-08-23 07:00:00,5.93,5.95,5.66,5.78,5500
2018-08-24 07:00:00,6.11,6.11,6.11,6.11,50
2018-08-27 07:00:00,5.78,5.91,5.78,5.91,710
2018-08-28 07:00:00,5.64,5.91,5.64,5.82,2770
2018-08-29 07:00:00,5.86,5.98,5.78,5.78,890
2018-08-30 07:00:00,5.98,5.98,5.71,5.78,10140
2018-08-31 07:00:00,6.09,6.09,5.95,6.04,480
2018-09-04 07:00:00,5.73,5.98,5.73,5.78,3390
2018-09-05 07:00:00,6.0,6.0,5.69,6.0,4090
2018-09-06 07:00:00,5.95,6.22,5.95,6.06,3080
2018-09-07 07:00:00,5.95,6.06,5.78,5.91,5540
2018-09-10 07:00:00,5.86,6.0,5.78,6.0,210
2018-09-11 07:00:00,5.8,6.0,5.8,6.0,360
2018-09-12 07:00:00,5.8,6.0,5.8,5.98,3080
2018-09-13 07:00:00,6.0,6.0,5.95,6.0,1290
