time,open,high,low,close,volume
2018-01-02 07:00:00,9.22,9.22,8.7,8.73,1480
2018-01-03 07:00:00,9.08,9.08,8.53,8.53,1450
2018-01-04 07:00:00,8.96,8.96,8.96,8.96,240
2018-01-05 07:00:00,8.79,8.82,8.7,8.82,480
2018-01-08 07:00:00,9.19,9.19,8.7,8.7,5220
2018-01-09 07:00:00,8.93,8.99,8.21,8.21,5590
2018-01-10 07:00:00,8.7,8.76,8.64,8.64,10030
2018-01-11 07:00:00,8.96,8.96,8.41,8.93,910
2018-01-12 07:00:00,8.53,8.93,8.53,8.53,1010
2018-01-15 07:00:00,8.9,8.9,8.9,8.9,160
2018-01-16 07:00:00,8.99,8.99,8.44,8.99,1000
2018-01-17 07:00:00,8.7,8.7,8.7,8.7,7150
2018-01-18 07:00:00,8.96,8.96,8.96,8.96,260
2018-01-19 07:00:00,8.82,8.96,8.7,8.7,350
2018-01-22 07:00:00,8.9,8.9,8.9,8.9,10
2018-01-25 07:00:00,8.9,8.9,8.64,8.64,1480
2018-01-26 07:00:00,8.99,9.22,8.06,8.82,1030
2018-01-29 07:00:00,8.82,8.82,8.79,8.79,7140
2018-01-30 07:00:00,8.79,8.79,8.76,8.76,70
2018-01-31 07:00:00,8.7,8.79,8.15,8.7,2480
2018-02-01 07:00:00,8.99,9.28,8.67,8.67,1290
2018-02-02 07:00:00,8.7,8.99,8.59,8.59,260
2018-02-05 07:00:00,8.85,8.85,8.35,8.82,2500
2018-02-06 07:00:00,8.88,9.43,8.3,8.82,920
2018-02-07 07:00:00,8.82,8.88,8.82,8.88,30
2018-02-08 07:00:00,8.88,9.25,8.88,9.25,330
2018-02-09 07:00:00,9.25,9.25,9.25,9.25,270
2018-02-12 07:00:00,8.64,9.05,8.64,9.05,670
2018-02-13 07:00:00,9.22,9.57,8.99,9.05,1620
2018-02-21 07:00:00,9.28,9.57,9.28,9.57,230
2018-02-22 07:00:00,9.05,9.57,8.99,9.57,200
2018-02-23 07:00:00,8.99,8.99,8.9,8.9,3670
2018-02-26 07:00:00,8.9,9.28,8.76,9.05,450
2018-02-27 07:00:00,9.05,9.57,8.7,9.22,9030
2018-02-28 07:00:00,9.22,9.57,8.7,9.57,7480
2018-03-01 07:00:00,8.93,9.51,8.93,8.93,3520
2018-03-02 07:00:00,9.22,9.22,9.19,9.19,410
2018-03-05 07:00:00,8.76,9.31,8.76,9.31,990
2018-03-06 07:00:00,8.99,9.19,8.67,8.67,2780
2018-03-07 07:00:00,8.99,8.99,8.09,8.09,38170
2018-03-08 07:00:00,8.47,8.47,7.89,7.89,2180
2018-03-09 07:00:00,8.44,8.44,8.41,8.44,4580
2018-03-12 07:00:00,8.44,8.44,7.89,7.89,2950
2018-03-13 07:00:00,8.21,8.21,7.83,7.83,2650
2018-03-14 07:00:00,7.77,8.09,7.72,8.06,7360
2018-03-15 07:00:00,7.83,8.09,7.77,8.09,2780
2018-03-16 07:00:00,7.8,8.06,7.77,8.03,13470
2018-03-19 07:00:00,8.12,8.35,7.77,8.03,6970
2018-03-20 07:00:00,8.12,8.35,7.66,7.98,8450
2018-03-21 07:00:00,7.83,8.01,7.83,7.92,1170
2018-03-22 07:00:00,8.01,8.01,7.89,7.95,2890
2018-03-23 07:00:00,8.03,8.03,7.92,8.01,1260
2018-03-26 07:00:00,7.89,8.06,7.89,8.03,2410
2018-03-27 07:00:00,8.06,8.06,8.06,8.06,160
2018-03-28 07:00:00,8.06,8.35,8.03,8.35,12340
2018-03-29 07:00:00,8.06,8.24,8.06,8.24,1410
2018-03-30 07:00:00,8.21,8.41,8.21,8.3,3370
2018-04-02 07:00:00,8.3,8.3,8.3,8.3,210
2018-04-03 07:00:00,8.01,8.12,8.01,8.12,1080
2018-04-04 07:00:00,8.09,8.12,8.09,8.12,3540
2018-04-05 07:00:00,7.98,8.18,7.98,8.18,1150
2018-04-06 07:00:00,8.12,8.47,8.12,8.41,3770
2018-04-09 07:00:00,8.41,8.59,8.41,8.5,400
2018-04-10 07:00:00,7.92,8.67,7.92,8.15,11130
2018-04-11 07:00:00,8.47,8.7,8.12,8.7,5300
2018-04-12 07:00:00,8.64,8.99,8.64,8.99,4000
2018-04-13 07:00:00,8.82,8.82,8.38,8.7,4500
2018-04-16 07:00:00,8.99,8.99,8.99,8.99,310
2018-04-17 07:00:00,8.38,8.88,8.38,8.88,3080
2018-04-18 07:00:00,8.88,8.93,8.7,8.93,1150
2018-04-19 07:00:00,8.56,8.93,8.41,8.93,2470
2018-04-20 07:00:00,8.93,8.93,8.93,8.93,250
2018-04-23 07:00:00,9.34,9.34,9.34,9.34,310
2018-04-24 07:00:00,8.7,9.17,8.7,9.17,1780
2018-04-26 07:00:00,8.61,9.17,8.59,9.17,1220
2018-04-27 07:00:00,9.17,9.17,9.17,9.17,2000
2018-05-02 07:00:00,9.28,9.57,8.53,9.46,1060
2018-05-03 07:00:00,8.85,9.22,8.82,8.82,110
2018-05-04 07:00:00,9.11,9.11,9.11,9.11,710
2018-05-07 07:00:00,9.11,9.11,9.11,9.11,300
2018-05-08 07:00:00,9.11,9.11,9.11,9.11,400
2018-05-09 07:00:00,8.53,9.28,8.53,9.28,2350
2018-05-10 07:00:00,8.79,9.63,8.79,9.4,3760
2018-05-11 07:00:00,9.28,9.28,8.76,8.76,4950
2018-05-14 07:00:00,9.32,9.35,8.79,8.79,2480
2018-05-15 07:00:00,8.48,9.29,8.45,8.63,4430
2018-05-16 07:00:00,9.13,9.13,9.13,9.13,210
2018-05-17 07:00:00,8.51,8.98,8.51,8.98,560
2018-05-18 07:00:00,8.38,8.98,8.38,8.85,2230
2018-05-21 07:00:00,8.85,8.88,8.85,8.88,280
2018-05-22 07:00:00,8.51,8.88,8.51,8.88,1160
2018-05-23 07:00:00,8.88,8.95,8.88,8.95,840
2018-05-24 07:00:00,8.92,8.92,8.38,8.85,720
2018-05-25 07:00:00,8.32,8.7,8.26,8.35,3380
2018-05-28 07:00:00,8.88,8.88,7.82,8.73,2640
2018-05-29 07:00:00,8.13,8.82,8.13,8.82,2080
2018-05-30 07:00:00,8.76,9.01,8.35,8.88,980
2018-05-31 07:00:00,8.54,9.07,8.51,8.57,1850
2018-06-01 07:00:00,8.7,8.85,8.7,8.85,120
2018-06-04 07:00:00,8.48,8.85,8.48,8.85,4110
2018-06-05 07:00:00,8.85,8.85,8.85,8.85,200
2018-06-06 07:00:00,8.57,9.2,8.57,9.2,950
2018-06-07 07:00:00,8.6,8.7,8.57,8.57,2150
2018-06-08 07:00:00,8.76,8.76,8.54,8.54,320
2018-06-11 07:00:00,8.76,8.85,8.76,8.85,170
2018-06-12 07:00:00,8.6,8.6,8.6,8.6,450
2018-06-13 07:00:00,8.42,8.76,8.42,8.76,610
2018-06-14 07:00:00,8.76,8.76,8.76,8.76,100
2018-06-15 07:00:00,9.01,9.01,9.01,9.01,210
2018-06-18 07:00:00,9.01,9.01,9.01,9.01,500
2018-06-19 07:00:00,8.63,8.63,8.63,8.63,240
2018-06-20 07:00:00,8.57,8.88,8.54,8.54,2420
2018-06-21 07:00:00,8.73,9.13,8.51,8.51,1320
2018-06-22 07:00:00,8.73,8.76,8.73,8.76,1330
2018-06-25 07:00:00,8.45,8.76,8.45,8.76,40
2018-06-28 07:00:00,8.76,8.88,8.76,8.88,270
2018-06-29 07:00:00,8.88,8.88,8.88,8.88,330
2018-07-02 07:00:00,8.88,8.88,8.88,8.88,100
2018-07-03 07:00:00,8.88,8.88,8.88,8.88,200
2018-07-04 07:00:00,9.13,9.13,9.13,9.13,210
2018-07-05 07:00:00,9.13,9.13,9.13,9.13,100
2018-07-06 07:00:00,8.54,8.88,8.51,8.88,3180
2018-07-09 07:00:00,8.88,8.88,8.88,8.88,210
2018-07-10 07:00:00,8.88,8.88,8.88,8.88,200
2018-07-11 07:00:00,8.95,9.13,8.45,8.45,290
2018-07-12 07:00:00,8.48,8.7,8.48,8.7,380
2018-07-13 07:00:00,8.88,8.88,8.63,8.63,310
2018-07-16 07:00:00,8.07,8.67,8.07,8.67,70
2018-07-17 07:00:00,8.67,8.67,8.67,8.67,160
2018-07-18 07:00:00,8.67,8.67,8.2,8.6,730
2018-07-19 07:00:00,8.63,8.63,8.51,8.51,120
2018-07-20 07:00:00,8.54,8.54,8.54,8.54,140
2018-07-23 07:00:00,8.48,9.01,8.48,8.95,3170
2018-07-24 07:00:00,8.95,8.95,8.95,8.95,200
2018-07-25 07:00:00,8.95,8.82,8.82,8.82,320
2018-07-26 07:00:00,8.82,8.82,8.38,8.76,310
2018-07-27 07:00:00,8.48,8.79,8.48,8.79,410
2018-07-30 07:00:00,8.38,8.73,8.26,8.73,970
2018-07-31 07:00:00,8.38,8.67,8.38,8.67,410
2018-08-01 07:00:00,8.76,8.88,8.76,8.88,270
2018-08-02 07:00:00,8.88,8.88,8.88,8.88,330
2018-08-03 07:00:00,8.73,9.13,8.57,9.13,1230
2018-08-06 07:00:00,9.13,9.13,9.13,9.13,110
2018-08-07 07:00:00,8.51,8.98,8.51,8.98,180
2018-08-08 07:00:00,8.48,8.48,8.48,8.48,130
2018-08-09 07:00:00,8.76,8.76,7.91,8.76,17970
2018-08-10 07:00:00,8.2,8.67,8.2,8.67,340
2018-08-13 07:00:00,8.76,8.76,8.76,8.76,90
2018-08-14 07:00:00,8.17,8.76,8.17,8.17,7880
2018-08-15 07:00:00,8.29,8.38,8.29,8.38,590
2018-08-16 07:00:00,7.91,7.91,7.91,7.91,390
2018-08-17 07:00:00,7.95,8.29,7.82,7.82,270
2018-08-20 07:00:00,7.79,8.07,7.7,7.98,640
2018-08-21 07:00:00,8.35,8.35,7.66,8.04,280
2018-08-22 07:00:00,8.1,8.26,7.63,8.26,9020
