time,open,high,low,close,volume
2018-01-02 07:00:00,16.02,16.34,16.02,16.34,205
2018-01-03 07:00:00,17.32,17.32,14.71,16.83,600
2018-01-05 07:00:00,16.64,16.64,16.64,16.64,100
2018-01-08 07:00:00,16.31,16.31,16.31,16.31,100
2018-01-09 07:00:00,16.28,16.28,16.28,16.28,100
2018-01-10 07:00:00,16.28,16.28,16.28,16.28,100
2018-01-11 07:00:00,15.66,15.66,15.66,15.66,100
2018-01-12 07:00:00,16.34,16.34,14.15,14.15,300
2018-01-15 07:00:00,15.53,15.53,15.53,15.53,100
2018-01-16 07:00:00,16.34,16.34,16.34,16.34,110
2018-01-17 07:00:00,15.66,15.66,15.33,15.33,204
2018-01-18 07:00:00,16.34,16.34,13.86,13.89,1400
2018-01-19 07:00:00,15.04,15.04,15.04,15.04,200
2018-01-22 07:00:00,13.73,15.04,13.56,14.68,700
2018-01-23 07:00:00,13.66,14.94,13.63,14.81,600
2018-01-24 07:00:00,14.77,14.77,14.77,14.77,200
2018-01-25 07:00:00,15.98,15.98,15.98,15.98,700
2018-01-26 07:00:00,14.41,14.41,14.41,14.41,100
2018-01-29 07:00:00,14.64,14.64,14.64,14.64,100
2018-01-30 07:00:00,14.84,15.36,14.84,15.36,300
2018-01-31 07:00:00,15.36,15.69,15.36,15.59,1156
2018-02-02 07:00:00,15.56,15.56,15.56,15.56,300
2018-02-05 07:00:00,15.33,15.33,15.33,15.33,100
2018-02-06 07:00:00,15.33,16.18,15.33,16.18,200
2018-02-07 07:00:00,14.71,15.36,14.71,15.36,500
2018-02-08 07:00:00,16.02,16.02,14.97,14.97,200
2018-02-09 07:00:00,14.71,15.69,14.71,15.69,900
2018-02-12 07:00:00,15.66,15.66,15.66,15.66,100
2018-02-13 07:00:00,14.22,15.69,14.22,15.69,400
2018-02-21 07:00:00,15.49,15.49,15.49,15.49,100
2018-02-22 07:00:00,15.33,15.33,15.33,15.33,100
2018-02-23 07:00:00,15.69,15.69,15.69,15.69,200
2018-02-26 07:00:00,15.49,15.49,15.49,15.49,100
2018-02-27 07:00:00,15.36,17.0,15.36,17.0,1800
2018-02-28 07:00:00,17.65,17.65,16.9,16.9,1700
2018-03-01 07:00:00,15.69,15.69,15.66,15.66,320
2018-03-02 07:00:00,15.66,15.66,15.66,15.66,336
2018-03-05 07:00:00,15.69,15.69,15.0,15.0,200
2018-03-06 07:00:00,15.0,15.0,15.0,15.0,100
2018-03-07 07:00:00,14.87,14.87,14.87,14.87,100
2018-03-08 07:00:00,15.04,15.04,15.04,15.04,200
2018-03-09 07:00:00,16.11,16.11,16.11,16.11,100
2018-03-12 07:00:00,16.02,16.02,16.02,16.02,100
2018-03-13 07:00:00,15.04,15.69,15.04,15.69,300
2018-03-14 07:00:00,15.53,15.53,15.53,15.53,100
2018-03-15 07:00:00,15.85,15.85,15.85,15.85,100
2018-03-19 07:00:00,15.04,15.04,15.04,15.04,100
2018-03-20 07:00:00,14.71,14.71,14.71,14.71,100
2018-03-21 07:00:00,14.38,14.38,14.38,14.38,100
2018-03-22 07:00:00,15.04,15.69,15.04,15.69,2611
2018-03-23 07:00:00,15.36,15.36,15.04,15.04,8500
2018-03-26 07:00:00,15.1,15.1,15.04,15.04,900
2018-03-27 07:00:00,14.71,15.33,14.71,15.33,2300
2018-03-28 07:00:00,15.36,15.36,15.13,15.13,500
2018-03-29 07:00:00,15.2,16.64,15.2,16.34,6200
2018-03-30 07:00:00,17.98,17.98,17.0,17.81,34811
2018-04-02 07:00:00,18.63,18.63,16.9,16.9,3600
2018-04-03 07:00:00,17.16,17.16,16.34,16.38,1300
2018-04-04 07:00:00,16.34,17.0,16.02,16.93,2750
2018-04-05 07:00:00,16.02,16.93,16.02,16.83,1700
2018-04-06 07:00:00,16.9,16.9,16.18,16.8,800
2018-04-09 07:00:00,16.8,16.8,16.73,16.73,400
2018-04-10 07:00:00,15.56,16.7,15.56,16.7,500
2018-04-11 07:00:00,16.02,16.51,15.85,16.51,1300
2018-04-12 07:00:00,15.69,16.34,15.36,16.34,1700
2018-04-13 07:00:00,15.07,16.54,15.04,16.54,2700
2018-04-18 07:00:00,15.36,15.98,15.36,15.98,630
2018-04-19 07:00:00,16.02,16.02,14.77,15.92,1326
2018-04-20 07:00:00,15.95,15.95,14.87,15.85,600
2018-04-23 07:00:00,15.36,15.66,14.48,15.66,900
2018-04-24 07:00:00,15.82,15.82,15.69,15.82,300
2018-04-26 07:00:00,14.61,15.79,14.61,15.79,1200
2018-04-27 07:00:00,15.69,17.32,15.04,17.29,3600
2018-05-02 07:00:00,15.79,16.6,15.62,16.6,1400
2018-05-03 07:00:00,15.36,15.36,15.2,15.2,500
2018-05-04 07:00:00,15.98,15.98,15.1,15.2,900
2018-05-07 07:00:00,15.2,15.82,15.2,15.82,500
2018-05-08 07:00:00,15.04,15.75,15.04,15.75,500
2018-05-09 07:00:00,15.04,15.66,15.04,15.66,300
2018-05-10 07:00:00,15.07,15.62,15.07,15.62,200
2018-05-11 07:00:00,15.04,15.59,15.04,15.59,200
2018-05-14 07:00:00,15.04,15.75,15.04,15.75,560
2018-05-15 07:00:00,15.2,15.62,15.04,15.62,300
2018-05-16 07:00:00,15.59,15.59,15.59,15.59,100
2018-05-17 07:00:00,15.36,15.69,15.36,15.69,200
2018-05-23 07:00:00,14.36,15.52,14.36,15.52,1000
2018-05-25 07:00:00,15.49,15.49,15.49,15.49,206
2018-05-28 07:00:00,15.02,15.29,14.06,15.29,1200
2018-06-18 07:00:00,15.32,15.32,15.32,15.32,200
2018-06-19 07:00:00,15.32,16.49,15.32,15.36,1240
2018-06-20 07:00:00,15.86,15.86,15.86,15.86,100
2018-06-21 07:00:00,16.19,16.19,16.19,16.19,100
2018-06-22 07:00:00,16.69,16.69,16.69,16.69,100
2018-06-29 07:00:00,18.03,18.03,18.03,18.03,110
2018-07-02 07:00:00,18.03,18.03,18.03,18.03,10
2018-07-06 07:00:00,18.03,18.03,18.03,18.03,4
2018-07-10 07:00:00,18.7,18.7,18.7,18.7,100
2018-07-11 07:00:00,18.7,18.7,18.7,18.7,10
2018-07-19 07:00:00,16.83,16.83,16.83,16.83,3000
2018-07-25 07:00:00,16.66,16.66,16.66,16.66,100
2018-07-26 07:00:00,15.36,16.53,15.36,16.19,600
2018-07-27 07:00:00,16.83,16.83,16.83,16.83,100
2018-07-30 07:00:00,15.36,16.83,15.36,16.83,1700
2018-07-31 07:00:00,15.36,15.69,15.36,15.69,700
2018-08-01 07:00:00,15.02,15.62,15.02,15.62,200
2018-08-02 07:00:00,14.22,15.36,14.22,15.36,600
2018-08-06 07:00:00,14.69,15.19,14.69,15.19,500
2018-08-09 07:00:00,14.96,14.96,14.69,14.69,500
2018-08-10 07:00:00,15.49,15.49,14.66,14.66,600
2018-08-13 07:00:00,14.69,15.52,14.69,15.52,700
2018-08-14 07:00:00,14.69,15.36,14.69,15.36,200
2018-08-17 07:00:00,15.02,15.02,15.02,15.02,100
2018-08-20 07:00:00,15.02,15.02,15.02,15.02,1200
2018-08-21 07:00:00,15.02,15.19,15.02,15.06,5300
2018-08-22 07:00:00,15.06,15.06,15.06,15.06,1000
2018-08-23 07:00:00,15.02,15.02,15.02,15.02,1900
2018-08-27 07:00:00,14.99,14.99,14.99,14.99,1000
2018-08-28 07:00:00,16.36,16.36,16.36,16.36,100
2018-08-29 07:00:00,17.86,17.86,15.06,15.99,1700
2018-08-30 07:00:00,16.36,16.36,14.52,14.69,2100
2018-08-31 07:00:00,16.09,16.09,14.69,14.69,3300
2018-09-04 07:00:00,14.69,14.69,14.69,14.69,5800
2018-09-05 07:00:00,13.69,14.69,13.39,14.69,1200
2018-09-06 07:00:00,13.85,14.49,13.35,13.35,4000
2018-09-07 07:00:00,14.36,14.36,12.72,14.29,13500
2018-09-10 07:00:00,15.69,15.69,14.29,15.69,313700
2018-09-11 07:00:00,17.26,17.26,16.36,16.53,100707
2018-09-12 07:00:00,16.69,16.69,15.36,15.56,70400
2018-09-13 07:00:00,15.56,15.69,14.72,15.69,71800
2018-09-14 07:00:00,15.52,15.69,14.96,15.46,52900
2018-09-17 07:00:00,15.46,15.46,15.02,15.32,90500
2018-09-18 07:00:00,15.36,15.36,14.96,15.32,79750
2018-09-19 07:00:00,15.32,15.36,14.89,15.19,102630
2018-09-20 07:00:00,16.69,16.69,14.38,14.74,48720
2018-09-21 07:00:00,15.39,15.39,13.77,14.3,9890
2018-09-24 07:00:00,14.38,14.38,12.88,13.57,72400
2018-09-25 07:00:00,13.45,13.45,12.8,12.88,58400
2018-09-26 07:00:00,12.8,12.8,12.35,12.68,32600
2018-09-27 07:00:00,12.56,12.76,12.56,12.76,16517
2018-09-28 07:00:00,12.56,13.73,12.56,13.73,26653
2018-10-01 07:00:00,12.96,13.73,12.96,13.41,11650
2018-10-02 07:00:00,13.69,13.73,13.37,13.37,7017
2018-10-03 07:00:00,13.25,13.41,13.16,13.29,6700
2018-10-04 07:00:00,13.37,13.37,13.04,13.37,8700
2018-10-05 07:00:00,13.29,13.33,12.96,13.21,7910
2018-10-08 07:00:00,12.96,13.16,12.64,12.84,7600
2018-10-09 07:00:00,12.92,13.0,12.88,13.0,3800
2018-10-10 07:00:00,12.96,13.08,12.8,12.84,4600
2018-10-11 07:00:00,12.96,12.96,12.15,12.15,8900
2018-10-12 07:00:00,12.35,12.56,12.15,12.56,8100
2018-10-15 07:00:00,12.56,12.56,12.15,12.48,4200
2018-10-16 07:00:00,12.15,12.52,12.15,12.48,2900
2018-10-17 07:00:00,12.15,12.4,12.15,12.4,5445
2018-10-18 07:00:00,12.4,12.48,12.27,12.27,2542
2018-10-19 07:00:00,12.27,12.27,12.15,12.27,4100
2018-10-22 07:00:00,12.31,12.31,12.23,12.23,2600
2018-10-23 07:00:00,12.23,12.23,12.11,12.11,3242
