time,open,high,low,close,volume
2018-01-02 07:00:00,19.96,20.63,19.73,20.63,1800
2018-01-03 07:00:00,20.58,20.63,20.58,20.63,1000
2018-01-04 07:00:00,20.52,20.75,20.13,20.63,3620
2018-01-05 07:00:00,20.24,20.63,20.24,20.58,2600
2018-01-08 07:00:00,20.58,20.58,20.18,20.18,2000
2018-01-09 07:00:00,20.18,21.37,20.18,21.37,5100
2018-01-11 07:00:00,21.25,21.25,21.2,21.2,900
2018-01-12 07:00:00,21.08,21.31,21.08,21.31,1600
2018-01-15 07:00:00,21.08,21.08,20.8,20.8,806
2018-01-16 07:00:00,20.24,21.37,20.24,21.37,4020
2018-01-17 07:00:00,20.8,21.93,20.8,21.37,1200
2018-01-18 07:00:00,21.37,21.37,21.37,21.37,6
2018-01-19 07:00:00,20.8,21.37,20.52,21.37,7600
2018-01-22 07:00:00,21.37,23.5,21.37,22.88,10010
2018-01-23 07:00:00,24.18,24.18,22.88,23.61,4708
2018-01-24 07:00:00,23.56,25.98,22.77,23.84,10900
2018-01-25 07:00:00,24.46,24.46,23.84,23.9,600
2018-01-26 07:00:00,23.11,23.9,22.49,22.49,4700
2018-01-29 07:00:00,24.74,24.74,22.49,23.0,3400
2018-01-30 07:00:00,23.9,23.9,23.9,23.9,100
2018-01-31 07:00:00,23.05,23.05,22.32,23.05,1700
2018-02-01 07:00:00,21.65,22.55,21.37,22.55,1300
2018-02-02 07:00:00,21.65,22.49,21.65,22.49,700
2018-02-05 07:00:00,21.76,21.76,21.65,21.65,1300
2018-02-06 07:00:00,22.49,22.49,21.08,21.59,3400
2018-02-07 07:00:00,23.05,23.05,21.48,22.38,700
2018-02-08 07:00:00,21.48,21.48,21.48,21.48,500
2018-02-09 07:00:00,22.94,22.94,21.48,21.48,2700
2018-02-12 07:00:00,22.49,22.49,22.38,22.43,700
2018-02-13 07:00:00,22.43,22.77,22.43,22.77,200
2018-02-21 07:00:00,23.0,24.74,23.0,24.74,400
2018-02-22 07:00:00,24.74,24.74,22.43,22.71,6000
2018-02-23 07:00:00,21.93,22.66,21.93,22.66,1100
2018-02-26 07:00:00,22.49,22.49,22.38,22.38,200
2018-02-27 07:00:00,21.59,22.43,21.59,21.76,900
2018-02-28 07:00:00,21.98,22.32,21.93,22.32,2800
2018-03-06 07:00:00,22.27,22.27,22.15,22.15,1000
2018-03-09 07:00:00,21.93,21.93,21.7,21.7,3200
2018-03-12 07:00:00,21.76,21.93,21.76,21.82,4400
2018-03-13 07:00:00,21.7,21.7,21.7,21.7,500
2018-03-15 07:00:00,21.7,21.7,21.37,21.37,1500
2018-03-16 07:00:00,20.8,21.82,20.8,21.82,5000
2018-03-19 07:00:00,21.37,21.37,20.92,20.92,4000
2018-03-20 07:00:00,21.7,21.7,20.97,21.59,1600
2018-03-21 07:00:00,21.82,21.82,21.14,21.14,1920
2018-03-22 07:00:00,22.77,22.77,21.37,22.32,1000
2018-03-23 07:00:00,21.82,21.82,21.31,21.31,5700
2018-03-26 07:00:00,21.37,21.37,21.31,21.31,728
2018-03-29 07:00:00,21.31,21.31,21.08,21.08,2100
2018-03-30 07:00:00,21.08,22.83,21.08,22.38,7400
2018-04-02 07:00:00,21.14,21.25,21.08,21.25,3100
2018-04-03 07:00:00,20.86,21.2,20.8,21.2,1300
2018-04-04 07:00:00,21.2,21.2,20.52,21.2,1800
2018-04-05 07:00:00,20.52,21.08,20.52,21.08,3100
2018-04-06 07:00:00,21.03,21.14,21.03,21.14,400
2018-04-10 07:00:00,20.58,20.8,20.52,20.75,2100
2018-04-11 07:00:00,19.9,20.75,19.79,20.52,4450
2018-04-12 07:00:00,20.69,20.69,20.24,20.52,1400
2018-04-13 07:00:00,20.52,20.52,20.02,20.52,1200
2018-04-16 07:00:00,20.41,20.47,20.41,20.47,400
2018-04-17 07:00:00,20.41,20.41,20.41,20.41,500
2018-04-18 07:00:00,20.24,20.41,20.24,20.41,2600
2018-04-19 07:00:00,20.52,20.52,20.24,20.41,1200
2018-04-20 07:00:00,20.47,20.47,20.47,20.47,200
2018-04-23 07:00:00,20.75,20.75,20.07,20.07,2400
2018-04-24 07:00:00,20.3,20.3,20.3,20.3,100
2018-04-26 07:00:00,20.35,20.41,20.35,20.35,2679
2018-04-27 07:00:00,20.63,20.63,20.58,20.58,600
2018-05-02 07:00:00,18.89,20.69,18.89,20.58,1100
2018-05-03 07:00:00,20.75,20.75,20.75,20.75,100
2018-05-04 07:00:00,20.58,20.58,20.58,20.58,400
2018-05-07 07:00:00,19.68,20.47,19.12,19.4,3279
2018-05-08 07:00:00,20.35,20.35,20.35,20.35,100
2018-05-09 07:00:00,19.68,20.41,19.68,20.18,2300
2018-05-10 07:00:00,18.89,20.13,18.84,20.13,2400
2018-05-11 07:00:00,21.31,21.31,19.12,19.12,1500
2018-05-14 07:00:00,20.8,20.8,19.17,20.18,2400
2018-05-16 07:00:00,19.62,19.68,19.62,19.68,500
2018-05-18 07:00:00,19.85,19.85,19.85,19.85,100
2018-05-21 07:00:00,18.22,19.62,18.22,19.62,5400
2018-05-23 07:00:00,19.4,19.4,19.4,19.4,100
2018-05-24 07:00:00,19.12,19.12,19.12,19.12,1600
2018-05-25 07:00:00,20.63,20.63,20.24,20.24,4200
2018-05-28 07:00:00,20.8,20.8,20.8,20.8,100
2018-05-29 07:00:00,20.8,20.8,20.8,20.8,29
2018-05-30 07:00:00,20.8,20.8,20.8,20.8,50
2018-05-31 07:00:00,20.8,20.8,20.8,20.8,70
2018-06-01 07:00:00,21.03,21.03,19.68,20.8,1400
2018-06-05 07:00:00,19.79,20.8,19.79,20.8,200
2018-06-06 07:00:00,20.8,20.92,20.8,20.92,300
2018-06-07 07:00:00,19.96,22.21,19.96,21.93,1230
2018-06-08 07:00:00,23.61,23.61,23.61,23.61,100
2018-06-11 07:00:00,21.25,21.93,21.25,21.93,820
2018-06-12 07:00:00,19.96,22.1,19.79,20.24,800
2018-06-13 07:00:00,21.31,21.31,20.24,21.08,900
2018-06-14 07:00:00,21.32,22.27,21.08,22.27,700
2018-06-18 07:00:00,20.79,22.21,20.61,22.21,500
2018-06-19 07:00:00,20.25,21.32,20.25,21.32,899
2018-06-20 07:00:00,21.92,21.92,21.92,21.92,200
2018-06-21 07:00:00,22.21,22.21,21.92,21.92,2201
2018-06-22 07:00:00,20.43,21.26,20.43,21.26,400
2018-06-25 07:00:00,20.31,21.08,19.72,21.08,2000
2018-06-26 07:00:00,20.85,20.85,20.85,20.85,100
2018-06-27 07:00:00,20.73,20.73,20.31,20.55,700
2018-06-28 07:00:00,21.32,21.32,20.19,20.19,400
2018-06-29 07:00:00,20.91,20.91,20.73,20.73,700
2018-07-03 07:00:00,20.67,20.97,20.67,20.97,200
2018-07-04 07:00:00,19.3,21.38,19.3,21.38,300
2018-07-09 07:00:00,20.97,23.04,20.97,23.04,400
2018-07-10 07:00:00,23.04,23.04,23.04,23.04,27
2018-07-11 07:00:00,22.81,22.81,22.81,22.81,100
2018-07-12 07:00:00,20.79,20.97,20.79,20.97,500
2018-07-13 07:00:00,20.97,21.92,20.79,21.92,1100
2018-07-17 07:00:00,20.79,21.38,20.79,21.38,200
2018-07-19 07:00:00,21.38,21.56,20.79,21.38,1300
2018-07-20 07:00:00,21.38,23.52,21.38,22.09,7700
2018-07-23 07:00:00,23.16,23.16,22.27,22.27,600
2018-07-24 07:00:00,21.38,22.21,21.38,22.21,300
2018-07-25 07:00:00,22.27,23.99,22.21,23.4,7101
2018-07-26 07:00:00,24.29,24.29,22.21,22.21,500
2018-07-27 07:00:00,21.2,21.2,21.2,21.2,1400
2018-07-30 07:00:00,21.26,22.87,21.26,22.87,900
2018-07-31 07:00:00,21.08,22.45,21.08,22.45,300
2018-08-01 07:00:00,22.45,22.45,22.45,22.45,600
2018-08-02 07:00:00,22.45,22.45,22.45,22.45,1
2018-08-06 07:00:00,20.91,21.68,20.85,21.68,3000
2018-08-07 07:00:00,22.57,22.57,22.57,22.57,200
2018-08-08 07:00:00,21.68,21.68,21.68,21.68,1100
2018-08-13 07:00:00,20.61,21.44,20.61,21.44,200
2018-08-14 07:00:00,21.08,21.08,20.55,21.08,800
2018-08-15 07:00:00,20.25,20.85,20.19,20.85,2100
2018-08-16 07:00:00,20.25,20.97,20.25,20.91,300
