time,open,high,low,close,volume
2018-01-02 07:00:00,3.73,3.89,3.68,3.73,56700
2018-01-03 07:00:00,3.84,3.89,3.84,3.89,33000
2018-01-04 07:00:00,3.84,3.94,3.84,3.89,51000
2018-01-05 07:00:00,3.94,4.1,3.89,3.99,20700
2018-01-08 07:00:00,3.94,3.99,3.94,3.94,22600
2018-01-09 07:00:00,3.94,4.1,3.94,4.04,16100
2018-01-10 07:00:00,4.1,4.1,3.99,3.99,18800
2018-01-11 07:00:00,4.1,4.2,4.1,4.2,86800
2018-01-12 07:00:00,4.25,4.56,4.25,4.36,61300
2018-01-15 07:00:00,4.36,4.36,4.3,4.3,98810
2018-01-16 07:00:00,4.41,4.41,4.36,4.36,17500
2018-01-17 07:00:00,4.36,4.46,4.36,4.46,52900
2018-01-18 07:00:00,4.41,4.41,4.3,4.3,30900
2018-01-19 07:00:00,4.3,4.41,4.3,4.36,21300
2018-01-22 07:00:00,4.41,4.51,4.3,4.51,42500
2018-01-23 07:00:00,4.46,4.51,4.36,4.36,25900
2018-01-24 07:00:00,4.41,4.46,4.36,4.36,13100
2018-01-25 07:00:00,4.36,4.36,4.25,4.25,8710
2018-01-26 07:00:00,4.15,4.15,4.04,4.1,11110
2018-01-29 07:00:00,3.99,4.1,3.73,4.04,17500
2018-01-30 07:00:00,4.04,4.15,4.04,4.15,9800
2018-01-31 07:00:00,4.15,4.25,4.15,4.25,800
2018-02-01 07:00:00,4.36,4.36,4.25,4.3,11300
2018-02-02 07:00:00,4.36,4.41,4.3,4.36,17300
2018-02-05 07:00:00,4.36,4.36,4.15,4.2,4100
2018-02-06 07:00:00,4.1,4.15,3.94,4.15,26700
2018-02-07 07:00:00,4.15,4.2,4.04,4.04,32200
2018-02-08 07:00:00,4.1,4.15,4.1,4.1,25820
2018-02-09 07:00:00,4.15,4.15,4.15,4.15,400
2018-02-12 07:00:00,4.15,4.25,4.15,4.15,30880
2018-02-13 07:00:00,4.15,4.3,4.15,4.15,64000
2018-02-21 07:00:00,4.2,4.2,4.2,4.2,300
2018-02-22 07:00:00,4.2,4.2,4.15,4.15,1900
2018-02-23 07:00:00,3.73,4.15,3.73,3.99,27619
2018-02-26 07:00:00,4.04,4.04,3.89,3.89,40200
2018-02-27 07:00:00,3.89,3.94,3.89,3.89,38410
2018-02-28 07:00:00,3.99,4.25,3.99,4.25,87000
2018-03-01 07:00:00,4.67,4.67,4.3,4.41,245130
2018-03-02 07:00:00,4.46,4.46,4.36,4.41,45100
2018-03-05 07:00:00,4.41,4.41,4.15,4.2,51110
2018-03-06 07:00:00,4.1,4.15,4.04,4.1,42300
2018-03-07 07:00:00,4.15,4.25,4.15,4.15,18600
2018-03-08 07:00:00,4.25,4.25,4.15,4.15,14500
2018-03-09 07:00:00,4.2,4.2,4.15,4.15,10600
2018-03-12 07:00:00,4.2,4.41,4.2,4.3,170100
2018-03-13 07:00:00,4.36,4.41,4.25,4.3,115800
2018-03-14 07:00:00,4.36,4.41,4.25,4.3,63500
2018-03-15 07:00:00,4.3,4.46,4.25,4.41,88710
2018-03-16 07:00:00,4.41,4.46,4.41,4.41,56000
2018-03-19 07:00:00,4.3,4.41,4.25,4.41,53400
2018-03-20 07:00:00,4.41,4.51,4.36,4.41,34910
2018-03-21 07:00:00,4.46,4.51,4.41,4.41,43400
2018-03-22 07:00:00,4.51,4.51,4.41,4.41,35700
2018-03-23 07:00:00,4.46,4.51,4.36,4.36,75700
2018-03-26 07:00:00,4.51,4.51,4.36,4.36,1300
2018-03-27 07:00:00,4.51,4.51,4.41,4.41,11900
2018-03-28 07:00:00,4.41,4.46,4.41,4.41,15700
2018-03-29 07:00:00,4.46,4.51,4.41,4.41,89800
2018-03-30 07:00:00,4.46,4.51,4.41,4.41,28900
2018-04-02 07:00:00,4.41,4.51,4.41,4.41,37700
2018-04-03 07:00:00,4.51,4.51,4.46,4.51,61519
2018-04-04 07:00:00,4.46,4.87,4.46,4.77,141603
2018-04-05 07:00:00,4.87,4.87,4.67,4.72,21400
2018-04-06 07:00:00,4.82,5.19,4.82,5.19,109610
2018-04-09 07:00:00,5.45,5.7,5.34,5.55,237730
2018-04-10 07:00:00,5.7,5.7,5.13,5.13,36600
2018-04-11 07:00:00,5.19,5.19,4.98,4.98,73400
2018-04-12 07:00:00,5.13,5.13,4.93,4.93,22800
2018-04-13 07:00:00,4.93,5.03,4.67,4.82,9800
2018-04-16 07:00:00,4.82,4.93,4.82,4.82,13219
2018-04-17 07:00:00,4.82,5.13,4.82,4.87,65700
2018-04-18 07:00:00,4.82,4.93,4.82,4.93,7200
2018-04-19 07:00:00,4.93,5.34,4.93,5.34,128300
2018-04-20 07:00:00,5.34,5.55,5.08,5.08,221400
2018-04-23 07:00:00,4.87,4.93,4.87,4.93,5500
2018-04-24 07:00:00,4.93,5.08,4.56,5.03,11700
2018-04-26 07:00:00,4.77,5.08,4.77,4.93,47600
2018-04-27 07:00:00,4.77,5.19,4.77,4.93,49600
2018-05-02 07:00:00,4.82,4.82,4.82,4.82,2500
2018-05-03 07:00:00,4.82,5.08,4.82,4.82,54403
2018-05-04 07:00:00,4.93,5.19,4.93,4.93,46000
2018-05-07 07:00:00,4.98,5.08,4.98,5.03,29400
2018-05-08 07:00:00,5.03,5.19,5.03,5.13,26400
2018-05-09 07:00:00,5.13,5.19,4.93,4.93,10200
2018-05-10 07:00:00,5.08,5.08,4.93,4.93,201
2018-05-11 07:00:00,4.93,4.93,4.82,4.93,15300
2018-05-14 07:00:00,4.93,4.93,4.93,4.93,3700
2018-05-15 07:00:00,4.93,4.98,4.87,4.98,2200
2018-05-16 07:00:00,4.98,5.19,4.98,5.19,113000
2018-05-17 07:00:00,5.19,5.19,5.19,5.19,100
2018-05-18 07:00:00,5.19,5.19,5.19,5.19,51000
2018-05-21 07:00:00,5.19,5.19,5.08,5.08,8700
2018-05-22 07:00:00,5.03,5.03,4.93,5.03,7200
2018-05-23 07:00:00,5.03,5.03,5.03,5.03,2000
2018-05-24 07:00:00,4.98,5.13,4.98,5.03,7700
2018-05-25 07:00:00,4.93,5.13,4.93,5.03,62400
2018-05-28 07:00:00,5.03,5.19,4.93,5.13,73302
2018-05-29 07:00:00,5.08,5.13,5.08,5.08,20300
2018-05-30 07:00:00,5.08,5.08,4.98,4.98,11200
2018-06-01 07:00:00,4.98,5.03,4.51,5.03,5500
2018-06-04 07:00:00,4.98,4.98,4.98,4.98,1900
2018-06-05 07:00:00,4.98,4.98,4.93,4.93,6100
2018-06-06 07:00:00,4.82,4.87,4.82,4.82,13100
2018-06-07 07:00:00,4.82,4.87,4.82,4.87,10500
2018-06-08 07:00:00,4.87,4.87,4.87,4.87,2000
2018-06-11 07:00:00,4.93,4.93,4.93,4.93,8801
2018-06-12 07:00:00,4.82,4.82,4.77,4.77,4000
2018-06-13 07:00:00,4.77,4.93,4.77,4.93,2500
2018-06-14 07:00:00,4.87,4.93,4.82,4.93,25200
2018-06-15 07:00:00,4.93,4.93,4.82,4.82,1800
2018-06-18 07:00:00,4.82,4.82,4.82,4.82,600
2018-06-19 07:00:00,4.82,4.82,4.77,4.77,7018
2018-06-20 07:00:00,4.77,4.93,4.77,4.93,3600
2018-06-21 07:00:00,4.93,4.93,4.93,4.93,2000
2018-06-25 07:00:00,4.87,4.93,4.77,4.93,44600
2018-06-26 07:00:00,4.93,4.98,4.87,4.87,41800
2018-06-27 07:00:00,4.82,4.93,4.72,4.93,30000
2018-06-29 07:00:00,4.77,4.93,4.77,4.93,10600
2018-07-02 07:00:00,4.77,4.93,4.77,4.93,10600
2018-07-03 07:00:00,4.77,4.77,4.67,4.67,11700
2018-07-04 07:00:00,4.77,4.87,4.67,4.87,33600
2018-07-05 07:00:00,4.67,4.87,4.67,4.87,39200
2018-07-06 07:00:00,4.82,4.82,4.82,4.82,200
2018-07-09 07:00:00,4.72,4.87,4.72,4.87,7000
2018-07-10 07:00:00,4.82,4.87,4.82,4.87,4000
2018-07-12 07:00:00,4.77,4.77,4.77,4.77,9870
2018-07-13 07:00:00,4.77,4.93,4.77,4.93,78500
2018-07-16 07:00:00,4.87,4.93,4.87,4.93,13505
2018-07-17 07:00:00,4.93,4.93,4.93,4.93,11600
2018-07-18 07:00:00,4.98,4.98,4.93,4.98,17240
2018-07-19 07:00:00,5.03,5.08,4.98,5.08,7911
2018-07-20 07:00:00,5.08,5.19,5.08,5.08,11304
2018-07-23 07:00:00,5.13,5.13,5.08,5.08,19400
2018-07-24 07:00:00,5.08,5.08,5.03,5.08,4400
2018-07-25 07:00:00,5.19,5.19,5.19,5.19,100
2018-07-26 07:00:00,5.19,5.19,4.98,5.19,167202
2018-07-27 07:00:00,5.19,5.29,5.19,5.19,17000
2018-07-30 07:00:00,5.08,5.19,5.08,5.19,5200
2018-07-31 07:00:00,5.19,5.19,5.08,5.19,31300
2018-08-01 07:00:00,5.03,5.29,5.03,5.19,32000
2018-08-02 07:00:00,5.24,5.24,5.19,5.19,27500
2018-08-03 07:00:00,5.24,5.29,5.24,5.29,21610
2018-08-06 07:00:00,5.29,5.29,5.29,5.29,2000
2018-08-07 07:00:00,5.24,5.29,5.24,5.29,9000
2018-08-08 07:00:00,5.24,5.29,5.19,5.19,6500
2018-08-09 07:00:00,5.19,5.19,5.08,5.08,4200
2018-08-10 07:00:00,4.77,5.29,4.77,4.98,12500
2018-08-13 07:00:00,5.19,5.29,5.13,5.29,21800
2018-08-14 07:00:00,5.29,5.29,5.29,5.29,54240
2018-08-15 07:00:00,5.29,5.29,5.19,5.29,276900
2018-08-16 07:00:00,5.29,5.34,5.19,5.29,361600
2018-08-17 07:00:00,5.29,5.29,5.19,5.29,153700
2018-08-20 07:00:00,5.45,5.45,5.29,5.29,6700
2018-08-21 07:00:00,5.29,5.34,5.29,5.34,1600
2018-08-22 07:00:00,5.29,5.29,5.19,5.19,4000
2018-08-23 07:00:00,5.19,5.19,5.03,5.03,178600
2018-08-24 07:00:00,4.93,4.98,4.93,4.98,109900
2018-08-27 07:00:00,4.98,4.98,4.82,4.98,154500
2018-08-28 07:00:00,4.98,5.24,4.98,5.24,900
2018-08-29 07:00:00,5.08,5.19,5.08,5.19,23300
2018-08-30 07:00:00,5.19,5.19,5.03,5.03,1700
2018-08-31 07:00:00,5.13,5.24,5.13,5.24,18010
2018-09-04 07:00:00,5.24,5.24,5.19,5.24,49700
2018-09-05 07:00:00,5.24,5.24,5.19,5.19,45800
2018-09-06 07:00:00,5.29,5.29,5.24,5.29,17410
2018-09-07 07:00:00,5.24,5.29,5.24,5.29,3200
2018-09-10 07:00:00,5.29,5.29,5.29,5.29,43300
2018-09-11 07:00:00,5.34,5.34,5.29,5.34,19100
2018-09-12 07:00:00,5.29,5.34,5.29,5.34,6500
2018-09-13 07:00:00,5.29,5.34,5.24,5.34,9400
2018-09-14 07:00:00,5.34,5.34,5.29,5.29,10900
2018-09-17 07:00:00,5.29,5.29,5.29,5.29,1800
2018-09-18 07:00:00,5.34,5.34,5.34,5.34,3700
2018-09-19 07:00:00,5.34,5.34,5.19,5.19,12400
2018-09-20 07:00:00,5.13,5.13,5.13,5.13,800
2018-09-21 07:00:00,5.29,5.29,5.29,5.29,2900
2018-09-24 07:00:00,5.34,5.34,5.29,5.29,17300
2018-09-25 07:00:00,5.19,5.19,5.19,5.19,1400
2018-09-26 07:00:00,5.08,5.34,5.08,5.19,10010
2018-09-27 07:00:00,5.29,5.34,5.13,5.34,10000
2018-09-28 07:00:00,5.34,5.34,5.34,5.34,11000
2018-10-02 07:00:00,5.34,5.39,5.24,5.24,11100
2018-10-03 07:00:00,5.39,5.39,5.24,5.24,30100
2018-10-04 07:00:00,5.34,5.34,5.34,5.34,3010
2018-10-05 07:00:00,5.24,5.45,5.24,5.34,42110
2018-10-08 07:00:00,5.45,5.45,5.45,5.45,7500
2018-10-09 07:00:00,5.45,5.45,5.45,5.45,6000
2018-10-10 07:00:00,5.29,5.29,5.29,5.29,5200
2018-10-11 07:00:00,5.19,5.29,5.19,5.19,16100
2018-10-12 07:00:00,5.19,5.29,5.19,5.29,64200
2018-10-15 07:00:00,5.19,5.19,5.19,5.19,1900
2018-10-17 07:00:00,5.45,5.65,5.29,5.29,56410
2018-10-18 07:00:00,5.65,5.65,5.5,5.65,17600
2018-10-19 07:00:00,5.65,5.65,5.34,5.34,5600
2018-10-22 07:00:00,5.65,5.65,5.34,5.34,15800
2018-10-23 07:00:00,5.6,5.6,5.45,5.45,5000
2018-10-25 07:00:00,5.45,5.5,5.45,5.5,2100
2018-10-26 07:00:00,5.55,5.7,5.55,5.7,24300
2018-10-29 07:00:00,5.7,5.96,5.6,5.96,1400
2018-10-30 07:00:00,5.96,6.48,5.96,6.48,1500
2018-10-31 07:00:00,5.86,6.33,5.86,5.86,54000
2018-11-01 07:00:00,5.86,6.43,5.5,5.81,546400
2018-11-02 07:00:00,5.81,5.81,5.39,5.5,275900
2018-11-05 07:00:00,5.45,5.6,5.34,5.6,100700
2018-11-06 07:00:00,5.55,5.7,5.45,5.65,271510
2018-11-07 07:00:00,5.6,5.65,5.45,5.45,156700
2018-11-08 07:00:00,5.5,5.6,5.45,5.55,108300
2018-11-09 07:00:00,5.5,5.7,5.45,5.7,127400
2018-11-12 07:00:00,5.65,5.76,5.34,5.6,240100
2018-11-13 07:00:00,5.6,5.6,5.5,5.55,106300
2018-11-14 07:00:00,5.55,5.6,5.45,5.45,138900
2018-11-15 07:00:00,5.45,5.5,5.39,5.45,120000
2018-11-16 07:00:00,5.5,5.55,5.45,5.5,28710
2018-11-19 07:00:00,5.45,5.55,5.39,5.5,74400
2018-11-20 07:00:00,5.5,5.6,5.45,5.6,111800
2018-11-21 07:00:00,5.65,5.65,5.55,5.6,110400
2018-11-22 07:00:00,5.6,5.65,5.55,5.6,75500
2018-11-23 07:00:00,5.55,5.6,5.5,5.55,83300
2018-11-26 07:00:00,5.55,5.65,5.5,5.6,112100
2018-11-27 07:00:00,5.6,5.65,5.55,5.6,67200
2018-11-28 07:00:00,5.6,5.6,5.24,5.55,505600
2018-11-29 07:00:00,5.55,5.7,5.34,5.65,275300
2018-11-30 07:00:00,5.6,5.7,5.29,5.7,166900
2018-12-03 07:00:00,5.6,5.7,5.13,5.45,480000
2018-12-04 07:00:00,5.45,5.5,5.29,5.45,517000
2018-12-05 07:00:00,5.19,5.24,5.13,5.24,73000
2018-12-06 07:00:00,5.19,5.19,5.08,5.08,110200
2018-12-07 07:00:00,5.08,5.13,5.03,5.13,9100
2018-12-10 07:00:00,5.13,5.13,5.03,5.08,46700
2018-12-11 07:00:00,5.08,5.08,5.03,5.08,27000
2018-12-12 07:00:00,5.03,5.03,4.67,4.77,51700
2018-12-13 07:00:00,4.77,4.77,4.77,4.77,20500
2018-12-14 07:00:00,4.77,4.77,4.51,4.56,34300
2018-12-17 07:00:00,4.56,4.56,4.51,4.56,19300
2018-12-18 07:00:00,4.51,4.56,4.46,4.56,25400
2018-12-19 07:00:00,4.56,4.56,4.51,4.51,14800
2018-12-20 07:00:00,4.56,4.56,4.51,4.51,4400
2018-12-21 07:00:00,4.51,4.56,4.51,4.51,22000
2018-12-24 07:00:00,4.51,4.77,4.51,4.72,110300
2018-12-25 07:00:00,4.67,4.72,4.62,4.67,49800
2018-12-26 07:00:00,4.67,4.77,4.46,4.51,116900
2018-12-27 07:00:00,4.51,4.67,4.51,4.51,92000
2018-12-28 07:00:00,4.51,4.62,4.51,4.51,70100
2019-01-02 07:00:00,4.51,4.56,4.46,4.51,62300
2019-01-03 07:00:00,4.51,4.56,4.46,4.46,63600
2019-01-04 07:00:00,4.46,4.51,4.46,4.51,35900
2019-01-07 07:00:00,4.51,4.56,4.51,4.56,60600
2019-01-08 07:00:00,4.56,4.67,4.51,4.67,71900
2019-01-09 07:00:00,4.67,4.72,4.56,4.67,69900
2019-01-10 07:00:00,4.72,4.72,4.62,4.62,77900
2019-01-11 07:00:00,4.72,4.72,4.67,4.67,91630
2019-01-14 07:00:00,4.72,4.82,4.56,4.56,92802
2019-01-15 07:00:00,4.67,4.72,4.56,4.62,86900
2019-01-16 07:00:00,4.67,4.77,4.62,4.62,88408
2019-01-17 07:00:00,4.62,4.72,4.62,4.67,94600
2019-01-18 07:00:00,4.72,4.77,4.72,4.77,92700
2019-01-21 07:00:00,4.82,4.82,4.72,4.72,94000
2019-01-22 07:00:00,4.77,4.77,4.67,4.72,100200
2019-01-23 07:00:00,4.72,4.82,4.72,4.77,91408
2019-01-24 07:00:00,4.77,4.82,4.77,4.77,95700
2019-01-25 07:00:00,4.77,4.93,4.72,4.72,96200
2019-01-28 07:00:00,4.72,4.82,4.72,4.77,103400
2019-01-29 07:00:00,4.77,4.87,4.77,4.82,97700
2019-01-30 07:00:00,4.82,4.93,4.82,4.87,118800
2019-01-31 07:00:00,4.87,4.98,4.87,4.93,98200
2019-02-01 07:00:00,4.93,5.08,4.93,4.98,124400
2019-02-11 07:00:00,4.98,5.13,4.98,5.08,115200
2019-02-12 07:00:00,5.08,5.19,5.08,5.08,118410
2019-02-13 07:00:00,5.13,5.19,5.08,5.08,89400
2019-02-14 07:00:00,5.08,5.08,5.03,5.03,103900
2019-02-15 07:00:00,5.08,5.08,4.98,4.98,109000
2019-02-18 07:00:00,4.98,5.03,4.93,5.03,102400
2019-02-19 07:00:00,5.03,5.08,4.98,5.03,114200
2019-02-20 07:00:00,5.08,5.13,5.03,5.08,118100
2019-02-21 07:00:00,5.08,5.13,5.08,5.08,113310
2019-02-22 07:00:00,5.08,5.13,5.08,5.13,160800
2019-02-25 07:00:00,5.13,5.24,5.13,5.13,164800
2019-02-26 07:00:00,5.13,5.19,4.98,4.98,168500
2019-02-27 07:00:00,4.98,5.08,4.98,5.03,145500
2019-02-28 07:00:00,5.03,5.08,4.98,5.03,157200
2019-03-01 07:00:00,5.08,5.13,5.03,5.08,144000
2019-03-04 07:00:00,5.13,5.13,5.03,5.13,102700
2019-03-05 07:00:00,5.19,5.19,5.08,5.13,106700
2019-03-06 07:00:00,5.13,5.19,5.08,5.13,159400
2019-03-07 07:00:00,5.13,5.24,5.13,5.19,158000
2019-03-08 07:00:00,5.13,5.24,5.08,5.08,154022
2019-03-11 07:00:00,5.13,5.19,5.08,5.08,148700
2019-03-12 07:00:00,5.13,5.13,5.08,5.13,143630
2019-03-13 07:00:00,5.13,5.24,5.13,5.19,142032
2019-03-14 07:00:00,5.29,5.29,5.19,5.19,139000
2019-03-15 07:00:00,5.24,5.24,5.13,5.13,141200
2019-03-18 07:00:00,5.19,5.19,5.13,5.19,107508
2019-03-19 07:00:00,5.19,5.24,5.13,5.19,125800
2019-03-20 07:00:00,5.19,5.24,5.08,5.08,127500
2019-03-21 07:00:00,5.13,5.19,5.08,5.08,135200
2019-03-22 07:00:00,5.13,5.19,5.08,5.13,135130
2019-03-25 07:00:00,5.13,5.13,5.03,5.08,142500
2019-03-26 07:00:00,5.13,5.13,5.03,5.03,140900
2019-03-27 07:00:00,5.08,5.13,5.03,5.08,144200
2019-03-28 07:00:00,5.08,5.13,5.03,5.08,127000
2019-03-29 07:00:00,5.08,5.13,5.08,5.13,134000
2019-04-01 07:00:00,5.08,5.19,5.08,5.08,152840
2019-04-02 07:00:00,5.08,5.19,5.03,5.13,139100
2019-04-03 07:00:00,5.19,5.19,5.08,5.13,142500
2019-04-04 07:00:00,5.13,5.19,5.08,5.08,143800
2019-04-05 07:00:00,5.08,5.13,5.03,5.08,119300
2019-04-08 07:00:00,5.08,5.13,5.08,5.13,140600
2019-04-09 07:00:00,5.08,5.13,5.08,5.08,132700
2019-04-10 07:00:00,5.08,5.13,5.03,5.08,155900
2019-04-11 07:00:00,5.08,5.19,5.08,5.13,168140
2019-04-12 07:00:00,5.13,5.6,5.13,5.39,183600
2019-04-16 07:00:00,5.45,5.45,5.34,5.34,177400
2019-04-17 07:00:00,5.34,5.39,5.24,5.24,233300
2019-04-18 07:00:00,5.19,5.29,5.13,5.29,206100
2019-04-19 07:00:00,5.24,5.39,5.24,5.34,180300
2019-04-22 07:00:00,5.34,5.39,5.24,5.34,203615
2019-04-23 07:00:00,5.34,5.81,5.29,5.7,361600
2019-04-24 07:00:00,5.7,6.02,5.7,5.91,272520
2019-04-25 07:00:00,5.91,6.07,5.91,5.91,248510
2019-04-26 07:00:00,5.91,6.07,5.76,6.02,247405
2019-05-02 07:00:00,6.02,6.07,5.91,5.96,192900
2019-05-03 07:00:00,5.96,6.02,5.91,5.91,221100
2019-05-06 07:00:00,5.91,6.02,5.76,5.76,223600
2019-05-07 07:00:00,5.81,5.91,5.76,5.81,205300
2019-05-08 07:00:00,5.81,5.91,5.81,5.86,207000
2019-05-09 07:00:00,5.91,5.91,5.86,5.91,212200
2019-05-10 07:00:00,5.96,6.07,5.91,5.96,206300
2019-05-13 07:00:00,5.96,6.12,5.96,6.02,224850
2019-05-14 07:00:00,6.02,6.07,6.02,6.02,212600
2019-05-15 07:00:00,6.02,6.12,6.02,6.02,221300
2019-05-16 07:00:00,6.02,6.12,6.02,6.02,209800
2019-05-17 07:00:00,6.02,6.12,6.02,6.07,255400
2019-05-20 07:00:00,6.07,6.12,6.02,6.02,241800
2019-05-21 07:00:00,6.02,6.02,5.86,5.91,219000
2019-05-22 07:00:00,5.81,5.81,5.7,5.7,101400
2019-05-23 07:00:00,5.65,5.7,5.65,5.65,102000
2019-05-24 07:00:00,5.76,5.76,5.7,5.7,224100
2019-05-27 07:00:00,5.7,5.81,5.7,5.7,214200
2019-05-28 07:00:00,5.76,5.81,5.7,5.7,234500
2019-05-29 07:00:00,5.76,5.76,5.65,5.65,206800
2019-05-30 07:00:00,5.65,5.7,5.6,5.65,218900
2019-05-31 07:00:00,5.6,5.65,5.55,5.6,216860
2019-06-03 07:00:00,5.55,5.65,5.45,5.45,147340
2019-06-04 07:00:00,5.39,5.45,5.34,5.39,215300
